Reporting Area,MMWR Year,MMWR Week,"Babesiosis, Current week","Babesiosis, Current week, flag","Babesiosis, Previous 52 weeks Med","Babesiosis, Previous 52 weeks Med, flag","Babesiosis, Previous 52 weeks Max","Babesiosis, Previous 52 weeks Max, flag","Babesiosis, Cum 2017","Babesiosis, Cum 2017, flag","Babesiosis, Cum 2016","Babesiosis, Cum 2016, flag","Campylobacteriosis, Current week","Campylobacteriosis, Current week, flag","Campylobacteriosis, Previous 52 weeks Med","Campylobacteriosis, Previous 52 weeks Med, flag","Campylobacteriosis, Previous 52 weeks Max","Campylobacteriosis, Previous 52 weeks Max, flag","Campylobacteriosis, Cum 2017","Campylobacteriosis, Cum 2017, flag","Campylobacteriosis, Cum 2016","Campylobacteriosis, Cum 2016, flag",Location 1,Location 2
TEXAS,2017,3,,-,0,,1,,,-,,-,32,,78,,172,,65,,11,,"TEXAS
(31.827233, -99.423022)",
ALASKA,2017,3,,N,0,,0,,,N,,N,3,,2,,7,,3,,6,,"ALASKA
(64.836661, -147.738891)",
GUAM,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEW JERSEY,2017,3,,-,1,,20,,,-,,-,,-,30,,65,,11,,87,,"NEW JERSEY
(40.104655, -74.386686)",
UNITED STATES,2017,4,,-,12,,144,,11,,16,,380,,986,,1560,,2016,,2971,,,
NEW ENGLAND,2017,4,,-,5,,106,,2,,11,,7,,51,,98,,108,,162,,,
MID. ATLANTIC,2017,4,,-,6,,40,,5,,3,,66,,130,,230,,276,,483,,,
NEW YORK CITY,2017,4,,-,1,,9,,4,,,-,54,,33,,54,,148,,130,,,
E.N. CENTRAL,2017,4,,-,1,,6,,2,,,-,42,,143,,240,,240,,470,,,
W.N. CENTRAL,2017,4,,-,0,,1,,,-,,-,20,,72,,155,,104,,218,,,
S. ATLANTIC,2017,4,,-,0,,4,,2,,1,,62,,134,,213,,283,,472,,,
E.S. CENTRAL,2017,4,,-,0,,1,,,-,,-,16,,42,,73,,111,,186,,,
W.S. CENTRAL,2017,4,,-,0,,1,,,-,,-,52,,107,,234,,169,,86,,,
MOUNTAIN,2017,4,,-,0,,1,,,-,,-,31,,79,,143,,159,,256,,,
PACIFIC,2017,4,,-,0,,1,,,-,1,,84,,231,,339,,566,,638,,,
AMER. SAMOA,2017,4,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,,
HAWAII,2017,4,,N,0,,0,,,N,,N,1,,9,,25,,20,,23,,"HAWAII
(21.30992, -157.858158)",
RHODE ISLAND,2017,4,,-,1,,24,,,-,1,,,-,4,,13,,4,,11,,"RHODE ISLAND
(41.707447, -71.522488)",
NEW HAMPSHIRE,2017,4,,-,0,,2,,,-,,-,,-,4,,10,,6,,17,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ARKANSAS,2017,4,,-,0,,0,,,-,,-,3,,8,,29,,10,,21,,"ARKANSAS
(34.748745, -92.275105)",
ILLINOIS,2017,4,,-,0,,1,,,-,,-,,-,37,,64,,5,,122,,"ILLINOIS
(40.477092, -88.993221)",
SOUTH CAROLINA,2017,4,,-,0,,1,,,-,1,,2,,6,,15,,18,,25,,"SOUTH CAROLINA
(34.009286, -81.037094)",
C.N.M.I.,2017,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MINNESOTA,2017,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MONTANA,2017,4,,-,0,,1,,,-,,-,2,,6,,14,,7,,17,,"MONTANA
(47.062617, -109.430168)",
INDIANA,2017,4,,-,0,,0,,,-,,-,,-,17,,31,,19,,53,,"INDIANA
(39.76845, -86.156212)",
ALABAMA,2017,4,,-,0,,0,,,-,,-,6,,13,,25,,24,,55,,"ALABAMA
(32.839182, -86.631125)",
MAINE,2017,4,,-,0,,11,,2,,1,,,-,4,,12,,13,,3,,"MAINE
(45.252223, -68.986647)",
NEBRASKA,2017,4,,-,0,,1,,,-,,-,9,,10,,26,,17,,24,,"NEBRASKA
(41.640503, -99.367122)",
PENNSYLVANIA,2017,4,,N,0,,0,,,N,,N,12,,38,,81,,81,,169,,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW JERSEY,2017,4,,-,1,,20,,,-,,-,,-,30,,65,,38,,105,,"NEW JERSEY
(40.104655, -74.386686)",
NEW YORK,2017,4,,-,4,,26,,1,,3,,,-,34,,63,,9,,79,,"NEW YORK
(42.826892, -75.544286)",
WYOMING,2017,4,,-,0,,0,,,-,,-,,-,3,,9,,2,,6,,"WYOMING
(43.23558, -108.110518)",
OHIO,2017,4,,-,0,,0,,,-,,-,37,,36,,63,,114,,145,,"OHIO
(40.056807, -82.405897)",
GEORGIA,2017,4,,N,0,,0,,,N,,N,4,,17,,34,,35,,67,,"GEORGIA
(32.836038, -83.631709)",
VERMONT,2017,4,,-,0,,5,,,-,,-,,-,4,,10,,4,,7,,"VERMONT
(43.622479, -72.51927)",
ARIZONA,2017,4,,-,0,,0,,,-,,-,12,,22,,51,,62,,84,,"ARIZONA
(34.869712, -111.760902)",
DELAWARE,2017,4,,-,0,,1,,,-,,-,,-,3,,9,,2,,10,,"DELAWARE
(39.008676, -75.574561)",
OKLAHOMA,2017,4,,N,0,,0,,,N,,N,6,,21,,45,,31,,34,,"OKLAHOMA
(35.468494, -97.521264)",
MISSISSIPPI,2017,4,,N,0,,0,,,N,,N,4,,5,,13,,23,,20,,"MISSISSIPPI
(32.738663, -89.537312)",
SOUTH DAKOTA,2017,4,,-,0,,0,,,-,,-,,-,8,,24,,4,,23,,"SOUTH DAKOTA
(44.35371, -100.373709)",
MARYLAND,2017,4,,-,0,,3,,2,,,-,9,,16,,32,,48,,50,,"MARYLAND
(39.290443, -76.612333)",
NEW MEXICO,2017,4,,N,0,,0,,,N,,N,,-,9,,25,,8,,23,,"NEW MEXICO
(34.520396, -106.244402)",
CONNECTICUT,2017,4,,-,1,,32,,,-,3,,,-,10,,34,,22,,40,,"CONNECTICUT
(41.544654, -72.651713)",
UTAH,2017,4,,-,0,,1,,,-,,-,,-,8,,27,,4,,28,,"UTAH
(39.359772, -111.584173)",
FLORIDA,2017,4,,N,0,,0,,,N,,N,41,,38,,59,,140,,142,,"FLORIDA
(28.915325, -81.922409)",
OREGON,2017,4,,-,0,,1,,,-,1,,8,,18,,39,,46,,43,,"OREGON
(44.567912, -120.156945)",
ALASKA,2017,4,,N,0,,0,,,N,,N,1,,2,,7,,4,,6,,"ALASKA
(64.836661, -147.738891)",
NORTH DAKOTA,2017,4,,-,0,,1,,,-,,-,,-,1,,9,,,-,10,,"NORTH DAKOTA
(47.475879, -100.121011)",
TEXAS,2017,4,,-,0,,1,,,-,,-,40,,78,,180,,109,,15,,"TEXAS
(31.827233, -99.423022)",
WISCONSIN,2017,4,,-,1,,6,,2,,,-,4,,29,,59,,63,,76,,"WISCONSIN
(44.395526, -89.834513)",
MASSACHUSETTS,2017,4,,-,3,,50,,,-,6,,7,,26,,44,,59,,84,,"MASSACHUSETTS
(42.268546, -72.085064)",
CALIFORNIA,2017,4,,-,0,,1,,,-,,-,64,,163,,238,,482,,538,,"CALIFORNIA
(37.640735, -121.002435)",
KANSAS,2017,4,,N,0,,0,,,N,,N,,-,12,,31,,10,,38,,"KANSAS
(38.345528, -98.201847)",
IOWA,2017,4,,-,0,,1,,,-,,-,,-,18,,44,,23,,53,,"IOWA
(42.46942, -93.815856)",
WEST VIRGINIA,2017,4,,-,0,,0,,,-,,-,,-,4,,14,,1,,11,,"WEST VIRGINIA
(38.668501, -80.709421)",
NEVADA,2017,4,,N,0,,0,,,N,,N,,-,3,,12,,3,,14,,"NEVADA
(39.491833, -117.070159)",
WASHINGTON,2017,4,,-,0,,0,,,-,,-,10,,28,,151,,14,,28,,"WASHINGTON
(47.517368, -120.467672)",
DIST. OF COL.,2017,4,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
KENTUCKY,2017,4,,-,0,,0,,,-,,-,1,,13,,26,,37,,53,,"KENTUCKY
(37.64591, -84.774043)",
PUERTO RICO,2017,4,,N,0,,0,,,N,,N,,-,1,,3,,1,,2,,"PUERTO RICO
(18.215692, -66.414655)",
MICHIGAN,2017,4,,-,0,,1,,,-,,-,1,,27,,51,,39,,74,,"MICHIGAN
(44.66399, -84.711206)",
LOUISIANA,2017,4,,-,0,,1,,,-,,-,3,,5,,21,,19,,16,,"LOUISIANA
(31.2931, -92.463284)",
NORTH CAROLINA,2017,4,,N,0,,0,,,N,,N,,-,24,,48,,4,,80,,"NORTH CAROLINA
(35.47995, -79.180571)",
TENNESSEE,2017,4,,-,0,,1,,,-,,-,5,,13,,30,,27,,58,,"TENNESSEE
(35.681402, -85.774444)",
IDAHO,2017,4,,N,0,,0,,,N,,N,2,,8,,20,,23,,27,,"IDAHO
(43.680635, -114.364237)",
VIRGIN ISL.,2017,4,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
GUAM,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MISSOURI,2017,4,,N,0,,0,,,N,,N,11,,23,,57,,50,,70,,"MISSOURI
(38.636168, -92.566292)",
VIRGINIA,2017,4,,N,0,,0,,,N,,N,6,,27,,55,,35,,87,,"VIRGINIA
(37.542699, -78.45822)",
COLORADO,2017,4,,N,0,,0,,,N,,N,15,,18,,45,,50,,57,,"COLORADO
(38.841772, -106.132562)",
UNITED STATES,2017,5,,-,12,,145,,14,,19,,372,,988,,1559,,2756,,3699,,,
NEW ENGLAND,2017,5,,-,5,,107,,3,,11,,2,,51,,98,,122,,205,,,
MID. ATLANTIC,2017,5,,-,6,,40,,7,,5,,64,,130,,230,,402,,597,,,
NEW YORK CITY,2017,5,,-,1,,9,,4,,,-,49,,33,,54,,196,,157,,,
E.N. CENTRAL,2017,5,,-,1,,7,,2,,,-,30,,143,,241,,333,,589,,,
W.N. CENTRAL,2017,5,,-,0,,1,,,-,1,,16,,72,,155,,142,,262,,,
S. ATLANTIC,2017,5,,-,0,,4,,2,,1,,67,,135,,214,,409,,582,,,
E.S. CENTRAL,2017,5,,-,0,,1,,,-,,-,21,,43,,73,,155,,213,,,
W.S. CENTRAL,2017,5,,-,0,,1,,,-,,-,63,,107,,234,,247,,133,,,
MOUNTAIN,2017,5,,-,0,,1,,,-,,-,30,,79,,143,,225,,323,,,
PACIFIC,2017,5,,-,0,,1,,,-,1,,79,,233,,339,,721,,795,,,
AMER. SAMOA,2017,5,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,,
MINNESOTA,2017,5,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
KENTUCKY,2017,5,,-,0,,0,,,-,,-,9,,13,,26,,53,,64,,"KENTUCKY
(37.64591, -84.774043)",
WISCONSIN,2017,5,,-,1,,7,,2,,,-,8,,29,,59,,81,,99,,"WISCONSIN
(44.395526, -89.834513)",
DIST. OF COL.,2017,5,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
RHODE ISLAND,2017,5,,-,1,,24,,,-,1,,,-,4,,13,,4,,17,,"RHODE ISLAND
(41.707447, -71.522488)",
MASSACHUSETTS,2017,5,,-,3,,50,,,-,6,,,-,26,,44,,59,,103,,"MASSACHUSETTS
(42.268546, -72.085064)",
SOUTH CAROLINA,2017,5,,-,0,,1,,,-,1,,4,,6,,15,,23,,31,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MISSISSIPPI,2017,5,,N,0,,0,,,N,,N,3,,5,,13,,26,,21,,"MISSISSIPPI
(32.738663, -89.537312)",
NEVADA,2017,5,,N,0,,0,,,N,,N,,-,3,,12,,3,,19,,"NEVADA
(39.491833, -117.070159)",
ARKANSAS,2017,5,,-,0,,0,,,-,,-,6,,9,,29,,24,,28,,"ARKANSAS
(34.748745, -92.275105)",
ALASKA,2017,5,,N,0,,0,,,N,,N,,-,2,,7,,4,,8,,"ALASKA
(64.836661, -147.738891)",
FLORIDA,2017,5,,N,0,,0,,,N,,N,44,,39,,59,,184,,176,,"FLORIDA
(28.915325, -81.922409)",
GEORGIA,2017,5,,N,0,,0,,,N,,N,4,,17,,34,,60,,83,,"GEORGIA
(32.836038, -83.631709)",
WYOMING,2017,5,,-,0,,0,,,-,,-,,-,3,,9,,10,,7,,"WYOMING
(43.23558, -108.110518)",
NEW MEXICO,2017,5,,N,0,,0,,,N,,N,1,,9,,25,,17,,31,,"NEW MEXICO
(34.520396, -106.244402)",
NEW YORK,2017,5,,-,4,,26,,1,,4,,,-,34,,63,,9,,99,,"NEW YORK
(42.826892, -75.544286)",
UTAH,2017,5,,-,0,,1,,,-,,-,,-,8,,27,,5,,37,,"UTAH
(39.359772, -111.584173)",
SOUTH DAKOTA,2017,5,,-,0,,0,,,-,,-,,-,8,,24,,4,,33,,"SOUTH DAKOTA
(44.35371, -100.373709)",
OHIO,2017,5,,-,0,,0,,,-,,-,22,,36,,63,,136,,193,,"OHIO
(40.056807, -82.405897)",
PENNSYLVANIA,2017,5,,N,0,,0,,,N,,N,15,,38,,82,,113,,207,,"PENNSYLVANIA
(40.789676, -77.858055)",
KANSAS,2017,5,,N,0,,0,,,N,,N,,-,12,,31,,13,,42,,"KANSAS
(38.345528, -98.201847)",
NORTH CAROLINA,2017,5,,N,0,,0,,,N,,N,,-,25,,49,,24,,100,,"NORTH CAROLINA
(35.47995, -79.180571)",
MAINE,2017,5,,-,0,,10,,3,,1,,2,,4,,12,,16,,8,,"MAINE
(45.252223, -68.986647)",
CONNECTICUT,2017,5,,-,1,,32,,,-,3,,,-,10,,34,,31,,46,,"CONNECTICUT
(41.544654, -72.651713)",
C.N.M.I.,2017,5,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEW JERSEY,2017,5,,-,1,,20,,2,,1,,,-,30,,65,,84,,134,,"NEW JERSEY
(40.104655, -74.386686)",
TEXAS,2017,5,,-,0,,1,,,-,,-,41,,78,,189,,154,,26,,"TEXAS
(31.827233, -99.423022)",
OKLAHOMA,2017,5,,N,0,,0,,,N,,N,3,,21,,45,,32,,55,,"OKLAHOMA
(35.468494, -97.521264)",
WASHINGTON,2017,5,,-,0,,0,,,-,,-,,-,28,,151,,14,,36,,"WASHINGTON
(47.517368, -120.467672)",
CALIFORNIA,2017,5,,-,0,,1,,,-,,-,62,,164,,238,,620,,661,,"CALIFORNIA
(37.640735, -121.002435)",
GUAM,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEW HAMPSHIRE,2017,5,,-,0,,2,,,-,,-,,-,4,,10,,8,,19,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
OREGON,2017,5,,-,0,,0,,,-,1,,16,,19,,39,,59,,58,,"OREGON
(44.567912, -120.156945)",
IOWA,2017,5,,-,0,,1,,,-,,-,9,,18,,44,,50,,64,,"IOWA
(42.46942, -93.815856)",
MISSOURI,2017,5,,N,0,,0,,,N,,N,,-,23,,57,,50,,83,,"MISSOURI
(38.636168, -92.566292)",
PUERTO RICO,2017,5,,N,0,,0,,,N,,N,1,,1,,3,,4,,4,,"PUERTO RICO
(18.215692, -66.414655)",
ALABAMA,2017,5,,-,0,,0,,,-,,-,3,,13,,25,,37,,63,,"ALABAMA
(32.839182, -86.631125)",
MONTANA,2017,5,,-,0,,1,,,-,,-,2,,6,,14,,20,,22,,"MONTANA
(47.062617, -109.430168)",
NORTH DAKOTA,2017,5,,-,0,,1,,,-,1,,,-,1,,9,,,-,12,,"NORTH DAKOTA
(47.475879, -100.121011)",
LOUISIANA,2017,5,,-,0,,1,,,-,,-,13,,5,,21,,37,,24,,"LOUISIANA
(31.2931, -92.463284)",
VIRGIN ISL.,2017,5,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEBRASKA,2017,5,,-,0,,1,,,-,,-,7,,10,,26,,25,,28,,"NEBRASKA
(41.640503, -99.367122)",
VIRGINIA,2017,5,,N,0,,0,,,N,,N,7,,26,,55,,54,,104,,"VIRGINIA
(37.542699, -78.45822)",
ILLINOIS,2017,5,,-,0,,1,,,-,,-,,-,37,,64,,45,,140,,"ILLINOIS
(40.477092, -88.993221)",
INDIANA,2017,5,,-,0,,0,,,-,,-,,-,17,,31,,32,,63,,"INDIANA
(39.76845, -86.156212)",
COLORADO,2017,5,,N,0,,0,,,N,,N,20,,18,,45,,70,,69,,"COLORADO
(38.841772, -106.132562)",
IDAHO,2017,5,,N,0,,0,,,N,,N,2,,8,,20,,28,,32,,"IDAHO
(43.680635, -114.364237)",
TENNESSEE,2017,5,,-,0,,1,,,-,,-,6,,13,,30,,39,,65,,"TENNESSEE
(35.681402, -85.774444)",
VERMONT,2017,5,,-,0,,5,,,-,,-,,-,4,,10,,4,,12,,"VERMONT
(43.622479, -72.51927)",
HAWAII,2017,5,,N,0,,0,,,N,,N,1,,8,,25,,24,,32,,"HAWAII
(21.30992, -157.858158)",
ARIZONA,2017,5,,-,0,,0,,,-,,-,5,,22,,51,,72,,106,,"ARIZONA
(34.869712, -111.760902)",
MICHIGAN,2017,5,,-,0,,1,,,-,,-,,-,27,,51,,39,,94,,"MICHIGAN
(44.66399, -84.711206)",
DELAWARE,2017,5,,-,0,,1,,,-,,-,,-,3,,9,,2,,11,,"DELAWARE
(39.008676, -75.574561)",
WEST VIRGINIA,2017,5,,-,0,,0,,,-,,-,,-,4,,14,,2,,13,,"WEST VIRGINIA
(38.668501, -80.709421)",
MARYLAND,2017,5,,-,0,,3,,2,,,-,8,,16,,32,,60,,64,,"MARYLAND
(39.290443, -76.612333)",
UNITED STATES,2017,6,1,,13,,145,,17,,20,,353,,991,,1555,,3467,,4356,,,
NEW ENGLAND,2017,6,,-,5,,107,,3,,13,,4,,51,,98,,142,,244,,,
MID. ATLANTIC,2017,6,1,,6,,41,,10,,4,,79,,129,,229,,567,,682,,,
NEW YORK CITY,2017,6,,-,1,,9,,4,,,-,39,,33,,54,,235,,184,,,
E.N. CENTRAL,2017,6,,-,1,,7,,2,,,-,1,,143,,241,,360,,680,,,
W.N. CENTRAL,2017,6,,-,0,,1,,,-,1,,14,,72,,155,,188,,332,,,
S. ATLANTIC,2017,6,,-,0,,4,,2,,1,,66,,135,,215,,527,,695,,,
E.S. CENTRAL,2017,6,,-,0,,1,,,-,,-,28,,43,,74,,201,,241,,,
W.S. CENTRAL,2017,6,,-,0,,1,,,-,,-,34,,107,,234,,292,,170,,,
MOUNTAIN,2017,6,,-,0,,1,,,-,,-,29,,79,,143,,277,,371,,,
PACIFIC,2017,6,,-,0,,1,,,-,1,,98,,234,,341,,913,,941,,,
AMER. SAMOA,2017,6,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,,
WEST VIRGINIA,2017,6,,-,0,,0,,,-,,-,1,,4,,14,,6,,16,,"WEST VIRGINIA
(38.668501, -80.709421)",
OREGON,2017,6,,-,0,,0,,,-,1,,8,,19,,39,,70,,63,,"OREGON
(44.567912, -120.156945)",
WISCONSIN,2017,6,,-,1,,7,,2,,,-,1,,30,,59,,101,,117,,"WISCONSIN
(44.395526, -89.834513)",
GUAM,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
SOUTH DAKOTA,2017,6,,-,0,,0,,,-,,-,,-,8,,24,,14,,41,,"SOUTH DAKOTA
(44.35371, -100.373709)",
GEORGIA,2017,6,,N,0,,0,,,N,,N,4,,17,,34,,67,,95,,"GEORGIA
(32.836038, -83.631709)",
VERMONT,2017,6,,-,0,,5,,,-,,-,2,,4,,10,,7,,14,,"VERMONT
(43.622479, -72.51927)",
NEBRASKA,2017,6,,-,0,,1,,,-,,-,5,,10,,26,,31,,37,,"NEBRASKA
(41.640503, -99.367122)",
VIRGIN ISL.,2017,6,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW MEXICO,2017,6,,N,0,,0,,,N,,N,,-,9,,25,,21,,37,,"NEW MEXICO
(34.520396, -106.244402)",
DIST. OF COL.,2017,6,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
ALABAMA,2017,6,,-,0,,0,,,-,,-,4,,13,,25,,46,,74,,"ALABAMA
(32.839182, -86.631125)",
TENNESSEE,2017,6,,-,0,,1,,,-,,-,5,,13,,30,,52,,69,,"TENNESSEE
(35.681402, -85.774444)",
ARIZONA,2017,6,,-,0,,0,,,-,,-,15,,22,,51,,92,,115,,"ARIZONA
(34.869712, -111.760902)",
CONNECTICUT,2017,6,,-,2,,32,,,-,4,,,-,10,,34,,35,,55,,"CONNECTICUT
(41.544654, -72.651713)",
IDAHO,2017,6,,N,0,,0,,,N,,N,2,,8,,20,,32,,37,,"IDAHO
(43.680635, -114.364237)",
MINNESOTA,2017,6,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
TEXAS,2017,6,,-,0,,1,,,-,,-,24,,78,,193,,188,,39,,"TEXAS
(31.827233, -99.423022)",
C.N.M.I.,2017,6,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
SOUTH CAROLINA,2017,6,,-,0,,1,,,-,1,,2,,6,,15,,29,,37,,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEW HAMPSHIRE,2017,6,,-,0,,2,,,-,,-,,-,4,,10,,17,,22,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEVADA,2017,6,,N,0,,0,,,N,,N,,-,3,,12,,4,,20,,"NEVADA
(39.491833, -117.070159)",
RHODE ISLAND,2017,6,,-,1,,24,,,-,1,,1,,4,,13,,6,,18,,"RHODE ISLAND
(41.707447, -71.522488)",
KENTUCKY,2017,6,,-,0,,0,,,-,,-,12,,13,,26,,68,,76,,"KENTUCKY
(37.64591, -84.774043)",
FLORIDA,2017,6,,N,0,,0,,,N,,N,43,,39,,59,,227,,211,,"FLORIDA
(28.915325, -81.922409)",
INDIANA,2017,6,,-,0,,0,,,-,,-,,-,17,,31,,32,,72,,"INDIANA
(39.76845, -86.156212)",
MONTANA,2017,6,,-,0,,1,,,-,,-,,-,6,,14,,25,,28,,"MONTANA
(47.062617, -109.430168)",
LOUISIANA,2017,6,,-,0,,1,,,-,,-,,-,5,,21,,37,,25,,"LOUISIANA
(31.2931, -92.463284)",
VIRGINIA,2017,6,,N,0,,0,,,N,,N,6,,26,,64,,71,,126,,"VIRGINIA
(37.542699, -78.45822)",
DELAWARE,2017,6,,-,0,,1,,,-,,-,,-,3,,9,,4,,13,,"DELAWARE
(39.008676, -75.574561)",
NEW JERSEY,2017,6,,-,1,,20,,2,,1,,,-,30,,65,,85,,154,,"NEW JERSEY
(40.104655, -74.386686)",
NORTH CAROLINA,2017,6,,N,0,,0,,,N,,N,,-,25,,49,,48,,110,,"NORTH CAROLINA
(35.47995, -79.180571)",
ILLINOIS,2017,6,,-,0,,1,,,-,,-,,-,37,,64,,52,,154,,"ILLINOIS
(40.477092, -88.993221)",
ALASKA,2017,6,,N,0,,0,,,N,,N,,-,2,,7,,5,,8,,"ALASKA
(64.836661, -147.738891)",
MICHIGAN,2017,6,,-,0,,1,,,-,,-,,-,27,,51,,39,,112,,"MICHIGAN
(44.66399, -84.711206)",
ARKANSAS,2017,6,,-,0,,0,,,-,,-,4,,9,,29,,30,,32,,"ARKANSAS
(34.748745, -92.275105)",
NORTH DAKOTA,2017,6,,-,0,,0,,,-,1,,,-,0,,9,,,-,14,,"NORTH DAKOTA
(47.475879, -100.121011)",
NEW YORK,2017,6,1,,3,,26,,4,,3,,19,,33,,60,,95,,102,,"NEW YORK
(42.826892, -75.544286)",
PENNSYLVANIA,2017,6,,N,0,,0,,,N,,N,21,,39,,82,,152,,242,,"PENNSYLVANIA
(40.789676, -77.858055)",
OHIO,2017,6,,-,0,,0,,,-,,-,,-,35,,63,,136,,225,,"OHIO
(40.056807, -82.405897)",
IOWA,2017,6,,-,0,,1,,,-,,-,7,,18,,44,,61,,84,,"IOWA
(42.46942, -93.815856)",
OKLAHOMA,2017,6,,N,0,,0,,,N,,N,6,,20,,45,,37,,74,,"OKLAHOMA
(35.468494, -97.521264)",
MARYLAND,2017,6,,-,0,,3,,2,,,-,10,,16,,32,,75,,87,,"MARYLAND
(39.290443, -76.612333)",
UTAH,2017,6,,-,0,,1,,,-,,-,,-,8,,27,,8,,44,,"UTAH
(39.359772, -111.584173)",
PUERTO RICO,2017,6,,N,0,,0,,,N,,N,,-,1,,3,,4,,7,,"PUERTO RICO
(18.215692, -66.414655)",
COLORADO,2017,6,,N,0,,0,,,N,,N,12,,18,,45,,82,,81,,"COLORADO
(38.841772, -106.132562)",
MASSACHUSETTS,2017,6,,-,3,,50,,,-,7,,,-,26,,44,,59,,121,,"MASSACHUSETTS
(42.268546, -72.085064)",
KANSAS,2017,6,,N,0,,0,,,N,,N,,-,12,,31,,13,,51,,"KANSAS
(38.345528, -98.201847)",
WASHINGTON,2017,6,,-,0,,0,,,-,,-,20,,28,,151,,52,,54,,"WASHINGTON
(47.517368, -120.467672)",
CALIFORNIA,2017,6,,-,0,,1,,,-,,-,67,,165,,239,,754,,777,,"CALIFORNIA
(37.640735, -121.002435)",
HAWAII,2017,6,,N,0,,0,,,N,,N,3,,8,,25,,32,,39,,"HAWAII
(21.30992, -157.858158)",
MAINE,2017,6,,-,0,,10,,3,,1,,1,,4,,12,,18,,14,,"MAINE
(45.252223, -68.986647)",
MISSISSIPPI,2017,6,,N,0,,0,,,N,,N,7,,5,,13,,35,,22,,"MISSISSIPPI
(32.738663, -89.537312)",
MISSOURI,2017,6,,N,0,,0,,,N,,N,2,,23,,57,,69,,105,,"MISSOURI
(38.636168, -92.566292)",
