Reporting Area,MMWR Year,MMWR Week,"Babesiosis, Current week","Babesiosis, Current week, flag","Babesiosis, Previous 52 weeks Med","Babesiosis, Previous 52 weeks Med, flag","Babesiosis, Previous 52 weeks Max","Babesiosis, Previous 52 weeks Max, flag","Babesiosis, Cum 2017","Babesiosis, Cum 2017, flag","Babesiosis, Cum 2016","Babesiosis, Cum 2016, flag","Campylobacteriosis, Current week","Campylobacteriosis, Current week, flag","Campylobacteriosis, Previous 52 weeks Med","Campylobacteriosis, Previous 52 weeks Med, flag","Campylobacteriosis, Previous 52 weeks Max","Campylobacteriosis, Previous 52 weeks Max, flag","Campylobacteriosis, Cum 2017","Campylobacteriosis, Cum 2017, flag","Campylobacteriosis, Cum 2016","Campylobacteriosis, Cum 2016, flag",Location 1,Location 2
WYOMING,2017,6,,-,0,,0,,,-,,-,,-,3,,9,,13,,9,,"WYOMING
(43.23558, -108.110518)",
UNITED STATES,2017,7,2,,14,,145,,22,,23,,385,,996,,1555,,4194,,5038,,,
NEW ENGLAND,2017,7,,-,5,,107,,3,,15,,4,,51,,98,,153,,285,,,
MID. ATLANTIC,2017,7,2,,6,,41,,15,,5,,76,,134,,229,,706,,785,,,
NEW YORK CITY,2017,7,,-,1,,9,,4,,,-,40,,33,,54,,271,,214,,,
E.N. CENTRAL,2017,7,,-,1,,7,,2,,,-,21,,143,,241,,438,,802,,,
W.N. CENTRAL,2017,7,,-,0,,1,,,-,1,,7,,72,,155,,228,,367,,,
S. ATLANTIC,2017,7,,-,0,,4,,2,,1,,62,,135,,215,,625,,825,,,
E.S. CENTRAL,2017,7,,-,0,,1,,,-,,-,12,,43,,74,,229,,276,,,
W.S. CENTRAL,2017,7,,-,0,,1,,,-,,-,71,,109,,234,,381,,210,,,
MOUNTAIN,2017,7,,-,0,,1,,,-,,-,31,,79,,143,,328,,420,,,
PACIFIC,2017,7,,-,0,,1,,,-,1,,101,,235,,341,,1106,,1068,,,
AMER. SAMOA,2017,7,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,,
KENTUCKY,2017,7,,-,0,,0,,,-,,-,3,,13,,26,,77,,89,,"KENTUCKY
(37.64591, -84.774043)",
MINNESOTA,2017,7,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MISSOURI,2017,7,,N,0,,0,,,N,,N,3,,22,,57,,82,,116,,"MISSOURI
(38.636168, -92.566292)",
SOUTH DAKOTA,2017,7,,-,0,,0,,,-,,-,,-,8,,24,,18,,43,,"SOUTH DAKOTA
(44.35371, -100.373709)",
COLORADO,2017,7,,N,0,,0,,,N,,N,15,,18,,45,,97,,91,,"COLORADO
(38.841772, -106.132562)",
HAWAII,2017,7,,N,0,,0,,,N,,N,6,,8,,25,,43,,43,,"HAWAII
(21.30992, -157.858158)",
NORTH DAKOTA,2017,7,,-,0,,0,,,-,1,,,-,0,,9,,,-,17,,"NORTH DAKOTA
(47.475879, -100.121011)",
NORTH CAROLINA,2017,7,,N,0,,0,,,N,,N,,-,26,,49,,55,,128,,"NORTH CAROLINA
(35.47995, -79.180571)",
INDIANA,2017,7,,-,0,,0,,,-,,-,,-,17,,31,,43,,85,,"INDIANA
(39.76845, -86.156212)",
ALABAMA,2017,7,,-,0,,0,,,-,,-,2,,13,,25,,49,,79,,"ALABAMA
(32.839182, -86.631125)",
C.N.M.I.,2017,7,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
TENNESSEE,2017,7,,-,0,,1,,,-,,-,5,,13,,30,,64,,82,,"TENNESSEE
(35.681402, -85.774444)",
VIRGINIA,2017,7,,N,0,,0,,,N,,N,12,,26,,64,,87,,150,,"VIRGINIA
(37.542699, -78.45822)",
CALIFORNIA,2017,7,,-,0,,1,,,-,,-,71,,165,,239,,911,,868,,"CALIFORNIA
(37.640735, -121.002435)",
OHIO,2017,7,,-,0,,0,,,-,,-,15,,35,,63,,167,,260,,"OHIO
(40.056807, -82.405897)",
IOWA,2017,7,,-,0,,1,,,-,,-,,-,18,,44,,61,,93,,"IOWA
(42.46942, -93.815856)",
MONTANA,2017,7,,-,0,,1,,,-,,-,1,,6,,14,,27,,34,,"MONTANA
(47.062617, -109.430168)",
VERMONT,2017,7,,-,0,,5,,,-,,-,,-,4,,10,,8,,20,,"VERMONT
(43.622479, -72.51927)",
NEW JERSEY,2017,7,,-,1,,20,,5,,1,,,-,31,,65,,136,,185,,"NEW JERSEY
(40.104655, -74.386686)",
MICHIGAN,2017,7,,-,0,,1,,,-,,-,,-,27,,51,,39,,130,,"MICHIGAN
(44.66399, -84.711206)",
WASHINGTON,2017,7,,-,0,,0,,,-,,-,8,,28,,151,,57,,68,,"WASHINGTON
(47.517368, -120.467672)",
SOUTH CAROLINA,2017,7,,-,0,,1,,,-,1,,1,,6,,15,,34,,50,,"SOUTH CAROLINA
(34.009286, -81.037094)",
KANSAS,2017,7,,N,0,,0,,,N,,N,1,,12,,31,,31,,56,,"KANSAS
(38.345528, -98.201847)",
DELAWARE,2017,7,,-,0,,1,,,-,,-,,-,3,,9,,6,,15,,"DELAWARE
(39.008676, -75.574561)",
VIRGIN ISL.,2017,7,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
PENNSYLVANIA,2017,7,,N,0,,0,,,N,,N,16,,39,,82,,184,,265,,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW MEXICO,2017,7,,N,0,,0,,,N,,N,,-,9,,25,,29,,42,,"NEW MEXICO
(34.520396, -106.244402)",
GUAM,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
DIST. OF COL.,2017,7,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
PUERTO RICO,2017,7,,N,0,,0,,,N,,N,,-,1,,2,,4,,7,,"PUERTO RICO
(18.215692, -66.414655)",
MASSACHUSETTS,2017,7,,-,3,,50,,,-,8,,,-,26,,44,,59,,146,,"MASSACHUSETTS
(42.268546, -72.085064)",
CONNECTICUT,2017,7,,-,2,,32,,,-,4,,1,,10,,34,,39,,62,,"CONNECTICUT
(41.544654, -72.651713)",
MISSISSIPPI,2017,7,,N,0,,0,,,N,,N,2,,5,,13,,39,,26,,"MISSISSIPPI
(32.738663, -89.537312)",
MARYLAND,2017,7,,-,0,,3,,2,,,-,5,,15,,32,,87,,102,,"MARYLAND
(39.290443, -76.612333)",
MAINE,2017,7,,-,0,,10,,3,,1,,2,,4,,12,,22,,17,,"MAINE
(45.252223, -68.986647)",
OKLAHOMA,2017,7,,N,0,,0,,,N,,N,,-,20,,45,,37,,82,,"OKLAHOMA
(35.468494, -97.521264)",
TEXAS,2017,7,,-,0,,1,,,-,,-,57,,78,,198,,255,,62,,"TEXAS
(31.827233, -99.423022)",
NEW YORK,2017,7,2,,3,,26,,6,,4,,20,,33,,60,,115,,121,,"NEW YORK
(42.826892, -75.544286)",
OREGON,2017,7,,-,0,,1,,,-,1,,15,,19,,39,,88,,81,,"OREGON
(44.567912, -120.156945)",
WYOMING,2017,7,,-,0,,0,,,-,,-,,-,3,,9,,13,,12,,"WYOMING
(43.23558, -108.110518)",
UTAH,2017,7,,-,0,,1,,,-,,-,,-,8,,27,,12,,49,,"UTAH
(39.359772, -111.584173)",
ARIZONA,2017,7,,-,0,,0,,,-,,-,11,,22,,51,,108,,129,,"ARIZONA
(34.869712, -111.760902)",
WEST VIRGINIA,2017,7,,-,0,,0,,,-,,-,,-,4,,14,,6,,19,,"WEST VIRGINIA
(38.668501, -80.709421)",
RHODE ISLAND,2017,7,,-,1,,24,,,-,2,,1,,4,,13,,7,,18,,"RHODE ISLAND
(41.707447, -71.522488)",
IDAHO,2017,7,,N,0,,0,,,N,,N,4,,8,,20,,38,,40,,"IDAHO
(43.680635, -114.364237)",
FLORIDA,2017,7,,N,0,,0,,,N,,N,38,,40,,59,,267,,254,,"FLORIDA
(28.915325, -81.922409)",
NEVADA,2017,7,,N,0,,0,,,N,,N,,-,3,,12,,4,,23,,"NEVADA
(39.491833, -117.070159)",
NEW HAMPSHIRE,2017,7,,-,0,,2,,,-,,-,,-,4,,10,,18,,22,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ARKANSAS,2017,7,,-,0,,0,,,-,,-,3,,9,,29,,40,,36,,"ARKANSAS
(34.748745, -92.275105)",
GEORGIA,2017,7,,N,0,,0,,,N,,N,6,,17,,34,,83,,107,,"GEORGIA
(32.836038, -83.631709)",
NEBRASKA,2017,7,,-,0,,1,,,-,,-,3,,10,,26,,36,,42,,"NEBRASKA
(41.640503, -99.367122)",
LOUISIANA,2017,7,,-,0,,1,,,-,,-,11,,5,,21,,49,,30,,"LOUISIANA
(31.2931, -92.463284)",
ILLINOIS,2017,7,,-,0,,1,,,-,,-,,-,37,,64,,70,,181,,"ILLINOIS
(40.477092, -88.993221)",
ALASKA,2017,7,,N,0,,0,,,N,,N,1,,2,,7,,7,,8,,"ALASKA
(64.836661, -147.738891)",
WISCONSIN,2017,7,,-,1,,7,,2,,,-,6,,30,,59,,119,,146,,"WISCONSIN
(44.395526, -89.834513)",
UNITED STATES,2017,8,,-,14,,146,,23,,25,,348,,1001,,1555,,5005,,5820,,,
NEW ENGLAND,2017,8,,-,5,,108,,4,,17,,4,,51,,98,,240,,330,,,
MID. ATLANTIC,2017,8,,-,6,,41,,15,,5,,66,,134,,229,,781,,878,,,
NEW YORK CITY,2017,8,,-,1,,9,,4,,,-,26,,34,,54,,296,,232,,,
E.N. CENTRAL,2017,8,,-,1,,7,,2,,,-,43,,149,,242,,611,,920,,,
W.N. CENTRAL,2017,8,,-,0,,1,,,-,1,,26,,72,,155,,286,,413,,,
S. ATLANTIC,2017,8,,-,0,,4,,2,,1,,50,,137,,215,,718,,953,,,
E.S. CENTRAL,2017,8,,-,0,,1,,,-,,-,11,,43,,74,,265,,309,,,
W.S. CENTRAL,2017,8,,-,0,,1,,,-,,-,38,,110,,234,,439,,243,,,
MOUNTAIN,2017,8,,-,0,,1,,,-,,-,35,,79,,143,,396,,479,,,
PACIFIC,2017,8,,-,0,,1,,,-,1,,75,,235,,341,,1269,,1295,,,
AMER. SAMOA,2017,8,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,,
ARIZONA,2017,8,,-,0,,0,,,-,,-,8,,22,,51,,120,,142,,"ARIZONA
(34.869712, -111.760902)",
GUAM,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
OHIO,2017,8,,-,0,,0,,,-,,-,40,,35,,63,,208,,288,,"OHIO
(40.056807, -82.405897)",
VERMONT,2017,8,,-,0,,5,,,-,,-,1,,4,,10,,10,,22,,"VERMONT
(43.622479, -72.51927)",
PUERTO RICO,2017,8,,N,0,,0,,,N,,N,,-,1,,2,,4,,7,,"PUERTO RICO
(18.215692, -66.414655)",
ALASKA,2017,8,,N,0,,0,,,N,,N,2,,2,,7,,9,,9,,"ALASKA
(64.836661, -147.738891)",
ALABAMA,2017,8,,-,0,,0,,,-,,-,,-,13,,25,,52,,93,,"ALABAMA
(32.839182, -86.631125)",
NORTH CAROLINA,2017,8,,N,0,,0,,,N,,N,,-,26,,49,,77,,149,,"NORTH CAROLINA
(35.47995, -79.180571)",
CONNECTICUT,2017,8,,-,2,,32,,,-,5,,,-,10,,34,,50,,71,,"CONNECTICUT
(41.544654, -72.651713)",
WASHINGTON,2017,8,,-,0,,0,,,-,,-,,-,28,,151,,57,,116,,"WASHINGTON
(47.517368, -120.467672)",
SOUTH DAKOTA,2017,8,,-,0,,0,,,-,,-,,-,8,,24,,18,,48,,"SOUTH DAKOTA
(44.35371, -100.373709)",
ARKANSAS,2017,8,,-,0,,0,,,-,,-,3,,9,,29,,44,,40,,"ARKANSAS
(34.748745, -92.275105)",
SOUTH CAROLINA,2017,8,,-,0,,1,,,-,1,,,-,6,,15,,37,,51,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MASSACHUSETTS,2017,8,,-,3,,50,,1,,9,,,-,26,,44,,104,,171,,"MASSACHUSETTS
(42.268546, -72.085064)",
WEST VIRGINIA,2017,8,,-,0,,0,,,-,,-,,-,4,,14,,11,,19,,"WEST VIRGINIA
(38.668501, -80.709421)",
CALIFORNIA,2017,8,,-,0,,1,,,-,,-,56,,165,,239,,1047,,1028,,"CALIFORNIA
(37.640735, -121.002435)",
NEVADA,2017,8,,N,0,,0,,,N,,N,1,,3,,12,,19,,25,,"NEVADA
(39.491833, -117.070159)",
VIRGIN ISL.,2017,8,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MAINE,2017,8,,-,0,,10,,3,,1,,3,,4,,12,,28,,20,,"MAINE
(45.252223, -68.986647)",
GEORGIA,2017,8,,N,0,,0,,,N,,N,8,,17,,34,,97,,125,,"GEORGIA
(32.836038, -83.631709)",
MINNESOTA,2017,8,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
FLORIDA,2017,8,,N,0,,0,,,N,,N,31,,39,,59,,299,,296,,"FLORIDA
(28.915325, -81.922409)",
DIST. OF COL.,2017,8,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MISSISSIPPI,2017,8,,N,0,,0,,,N,,N,5,,5,,13,,52,,28,,"MISSISSIPPI
(32.738663, -89.537312)",
NEW MEXICO,2017,8,,N,0,,0,,,N,,N,,-,9,,25,,38,,49,,"NEW MEXICO
(34.520396, -106.244402)",
VIRGINIA,2017,8,,N,0,,0,,,N,,N,4,,26,,64,,95,,181,,"VIRGINIA
(37.542699, -78.45822)",
TEXAS,2017,8,,-,0,,1,,,-,,-,27,,78,,204,,301,,73,,"TEXAS
(31.827233, -99.423022)",
NEW HAMPSHIRE,2017,8,,-,0,,2,,,-,,-,,-,4,,10,,31,,24,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
WISCONSIN,2017,8,,-,1,,7,,2,,,-,3,,29,,59,,141,,171,,"WISCONSIN
(44.395526, -89.834513)",
IOWA,2017,8,,-,0,,1,,,-,,-,11,,18,,44,,85,,107,,"IOWA
(42.46942, -93.815856)",
HAWAII,2017,8,,N,0,,0,,,N,,N,5,,8,,25,,49,,48,,"HAWAII
(21.30992, -157.858158)",
MICHIGAN,2017,8,,-,0,,2,,,-,,-,,-,29,,51,,115,,149,,"MICHIGAN
(44.66399, -84.711206)",
DELAWARE,2017,8,,-,0,,1,,,-,,-,,-,3,,9,,6,,17,,"DELAWARE
(39.008676, -75.574561)",
OKLAHOMA,2017,8,,N,0,,0,,,N,,N,,-,20,,45,,37,,95,,"OKLAHOMA
(35.468494, -97.521264)",
LOUISIANA,2017,8,,-,0,,1,,,-,,-,8,,5,,21,,57,,35,,"LOUISIANA
(31.2931, -92.463284)",
MONTANA,2017,8,,-,0,,1,,,-,,-,2,,6,,14,,32,,40,,"MONTANA
(47.062617, -109.430168)",
MARYLAND,2017,8,,-,0,,3,,2,,,-,7,,15,,32,,96,,115,,"MARYLAND
(39.290443, -76.612333)",
INDIANA,2017,8,,-,0,,0,,,-,,-,,-,17,,31,,51,,98,,"INDIANA
(39.76845, -86.156212)",
PENNSYLVANIA,2017,8,,N,0,,0,,,N,,N,18,,39,,82,,212,,288,,"PENNSYLVANIA
(40.789676, -77.858055)",
MISSOURI,2017,8,,N,0,,0,,,N,,N,10,,22,,57,,107,,128,,"MISSOURI
(38.636168, -92.566292)",
UTAH,2017,8,,-,0,,1,,,-,,-,,-,8,,27,,15,,56,,"UTAH
(39.359772, -111.584173)",
OREGON,2017,8,,-,0,,1,,,-,1,,12,,19,,39,,107,,94,,"OREGON
(44.567912, -120.156945)",
NEW JERSEY,2017,8,,-,1,,20,,5,,1,,,-,30,,65,,136,,215,,"NEW JERSEY
(40.104655, -74.386686)",
C.N.M.I.,2017,8,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
RHODE ISLAND,2017,8,,-,1,,24,,,-,2,,,-,4,,13,,17,,22,,"RHODE ISLAND
(41.707447, -71.522488)",
NEW YORK,2017,8,,-,3,,26,,6,,4,,22,,33,,60,,137,,143,,"NEW YORK
(42.826892, -75.544286)",
NEBRASKA,2017,8,,-,0,,1,,,-,,-,5,,10,,26,,41,,45,,"NEBRASKA
(41.640503, -99.367122)",
TENNESSEE,2017,8,,-,0,,1,,,-,,-,2,,13,,30,,76,,89,,"TENNESSEE
(35.681402, -85.774444)",
KENTUCKY,2017,8,,-,0,,0,,,-,,-,4,,13,,26,,85,,99,,"KENTUCKY
(37.64591, -84.774043)",
IDAHO,2017,8,,N,0,,0,,,N,,N,4,,8,,20,,42,,49,,"IDAHO
(43.680635, -114.364237)",
WYOMING,2017,8,,-,0,,0,,,-,,-,,-,3,,9,,13,,12,,"WYOMING
(43.23558, -108.110518)",
KANSAS,2017,8,,N,0,,0,,,N,,N,,-,12,,31,,35,,64,,"KANSAS
(38.345528, -98.201847)",
NORTH DAKOTA,2017,8,,-,0,,0,,,-,1,,,-,0,,9,,,-,21,,"NORTH DAKOTA
(47.475879, -100.121011)",
COLORADO,2017,8,,N,0,,0,,,N,,N,20,,18,,45,,117,,106,,"COLORADO
(38.841772, -106.132562)",
ILLINOIS,2017,8,,-,0,,1,,,-,,-,,-,37,,64,,96,,214,,"ILLINOIS
(40.477092, -88.993221)",
UNITED STATES,2017,9,,-,14,,146,,24,,28,,347,,1007,,1555,,5766,,6513,,,
NEW ENGLAND,2017,9,,-,5,,108,,5,,19,,15,,51,,99,,287,,360,,,
MID. ATLANTIC,2017,9,,-,6,,41,,15,,6,,67,,137,,229,,919,,983,,,
NEW YORK CITY,2017,9,,-,1,,9,,4,,,-,29,,34,,54,,325,,255,,,
E.N. CENTRAL,2017,9,,-,1,,7,,2,,,-,43,,149,,243,,711,,1034,,,
W.N. CENTRAL,2017,9,,-,0,,1,,,-,1,,27,,72,,155,,339,,483,,,
S. ATLANTIC,2017,9,,-,0,,4,,2,,1,,51,,137,,215,,811,,1079,,,
E.S. CENTRAL,2017,9,,-,0,,1,,,-,,-,21,,43,,74,,328,,342,,,
W.S. CENTRAL,2017,9,,-,0,,1,,,-,,-,28,,110,,234,,488,,274,,,
MOUNTAIN,2017,9,,-,0,,1,,,-,,-,16,,79,,143,,437,,536,,,
PACIFIC,2017,9,,-,0,,1,,,-,1,,79,,235,,341,,1446,,1422,,,
AMER. SAMOA,2017,9,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,,
OKLAHOMA,2017,9,,N,0,,0,,,N,,N,6,,20,,45,,43,,106,,"OKLAHOMA
(35.468494, -97.521264)",
LOUISIANA,2017,9,,-,0,,1,,,-,,-,7,,6,,21,,66,,43,,"LOUISIANA
(31.2931, -92.463284)",
NEBRASKA,2017,9,,-,0,,1,,,-,,-,5,,10,,26,,47,,56,,"NEBRASKA
(41.640503, -99.367122)",
SOUTH DAKOTA,2017,9,,-,0,,0,,,-,,-,,-,8,,24,,18,,56,,"SOUTH DAKOTA
(44.35371, -100.373709)",
VIRGIN ISL.,2017,9,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEVADA,2017,9,,N,0,,0,,,N,,N,,-,3,,12,,19,,25,,"NEVADA
(39.491833, -117.070159)",
NORTH CAROLINA,2017,9,,N,0,,0,,,N,,N,,-,26,,49,,81,,180,,"NORTH CAROLINA
(35.47995, -79.180571)",
IOWA,2017,9,,-,0,,1,,,-,,-,4,,18,,44,,92,,122,,"IOWA
(42.46942, -93.815856)",
CALIFORNIA,2017,9,,-,0,,1,,,-,,-,73,,165,,239,,1220,,1107,,"CALIFORNIA
(37.640735, -121.002435)",
ALASKA,2017,9,,N,0,,0,,,N,,N,,-,2,,7,,9,,11,,"ALASKA
(64.836661, -147.738891)",
IDAHO,2017,9,,N,0,,0,,,N,,N,3,,7,,20,,49,,63,,"IDAHO
(43.680635, -114.364237)",
NEW YORK,2017,9,,-,3,,26,,6,,4,,22,,33,,60,,160,,166,,"NEW YORK
(42.826892, -75.544286)",
MINNESOTA,2017,9,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MAINE,2017,9,,-,0,,10,,4,,1,,2,,4,,12,,30,,21,,"MAINE
(45.252223, -68.986647)",
UTAH,2017,9,,-,0,,1,,,-,,-,,-,8,,27,,16,,62,,"UTAH
(39.359772, -111.584173)",
ALABAMA,2017,9,,-,0,,0,,,-,,-,2,,13,,25,,76,,108,,"ALABAMA
(32.839182, -86.631125)",
MISSOURI,2017,9,,N,0,,0,,,N,,N,17,,22,,57,,137,,151,,"MISSOURI
(38.636168, -92.566292)",
DELAWARE,2017,9,,-,0,,1,,,-,,-,,-,3,,9,,8,,21,,"DELAWARE
(39.008676, -75.574561)",
RHODE ISLAND,2017,9,,-,1,,24,,,-,2,,,-,4,,13,,21,,24,,"RHODE ISLAND
(41.707447, -71.522488)",
MASSACHUSETTS,2017,9,,-,3,,50,,1,,11,,12,,26,,44,,133,,185,,"MASSACHUSETTS
(42.268546, -72.085064)",
DIST. OF COL.,2017,9,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
TEXAS,2017,9,,-,0,,1,,,-,,-,15,,78,,210,,328,,78,,"TEXAS
(31.827233, -99.423022)",
ILLINOIS,2017,9,,-,0,,1,,,-,,-,,-,37,,64,,119,,240,,"ILLINOIS
(40.477092, -88.993221)",
NEW JERSEY,2017,9,,-,1,,20,,5,,2,,,-,31,,65,,197,,246,,"NEW JERSEY
(40.104655, -74.386686)",
OHIO,2017,9,,-,0,,0,,,-,,-,39,,36,,63,,248,,315,,"OHIO
(40.056807, -82.405897)",
FLORIDA,2017,9,,N,0,,0,,,N,,N,26,,39,,59,,326,,325,,"FLORIDA
(28.915325, -81.922409)",
KANSAS,2017,9,,N,0,,0,,,N,,N,1,,12,,31,,45,,76,,"KANSAS
(38.345528, -98.201847)",
ARKANSAS,2017,9,,-,0,,0,,,-,,-,,-,9,,29,,51,,47,,"ARKANSAS
(34.748745, -92.275105)",
CONNECTICUT,2017,9,,-,2,,32,,,-,5,,,-,10,,34,,57,,80,,"CONNECTICUT
(41.544654, -72.651713)",
TENNESSEE,2017,9,,-,0,,1,,,-,,-,4,,13,,30,,93,,95,,"TENNESSEE
(35.681402, -85.774444)",
C.N.M.I.,2017,9,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
HAWAII,2017,9,,N,0,,0,,,N,,N,,-,8,,25,,49,,51,,"HAWAII
(21.30992, -157.858158)",
WYOMING,2017,9,,-,0,,0,,,-,,-,,-,3,,9,,18,,12,,"WYOMING
(43.23558, -108.110518)",
INDIANA,2017,9,,-,0,,0,,,-,,-,,-,17,,31,,60,,110,,"INDIANA
(39.76845, -86.156212)",
WASHINGTON,2017,9,,-,0,,0,,,-,,-,,-,25,,151,,57,,150,,"WASHINGTON
(47.517368, -120.467672)",
MICHIGAN,2017,9,,-,0,,2,,,-,,-,4,,29,,51,,143,,172,,"MICHIGAN
(44.66399, -84.711206)",
OREGON,2017,9,,-,0,,1,,,-,1,,6,,18,,37,,111,,103,,"OREGON
(44.567912, -120.156945)",
MARYLAND,2017,9,,-,0,,3,,2,,,-,8,,16,,32,,107,,136,,"MARYLAND
(39.290443, -76.612333)",
VERMONT,2017,9,,-,0,,5,,,-,,-,1,,4,,10,,12,,25,,"VERMONT
(43.622479, -72.51927)",
KENTUCKY,2017,9,,-,0,,0,,,-,,-,9,,13,,26,,97,,105,,"KENTUCKY
(37.64591, -84.774043)",
NEW HAMPSHIRE,2017,9,,-,0,,2,,,-,,-,,-,4,,11,,34,,25,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
PENNSYLVANIA,2017,9,,N,0,,0,,,N,,N,16,,40,,82,,237,,316,,"PENNSYLVANIA
(40.789676, -77.858055)",
GUAM,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
PUERTO RICO,2017,9,,N,0,,0,,,N,,N,,-,1,,2,,4,,7,,"PUERTO RICO
(18.215692, -66.414655)",
NEW MEXICO,2017,9,,N,0,,0,,,N,,N,,-,9,,25,,43,,53,,"NEW MEXICO
(34.520396, -106.244402)",
VIRGINIA,2017,9,,N,0,,0,,,N,,N,9,,26,,64,,121,,205,,"VIRGINIA
(37.542699, -78.45822)",
MISSISSIPPI,2017,9,,N,0,,0,,,N,,N,6,,6,,13,,62,,34,,"MISSISSIPPI
(32.738663, -89.537312)",
NORTH DAKOTA,2017,9,,-,0,,0,,,-,1,,,-,0,,9,,,-,22,,"NORTH DAKOTA
(47.475879, -100.121011)",
ARIZONA,2017,9,,-,0,,0,,,-,,-,10,,22,,51,,136,,156,,"ARIZONA
(34.869712, -111.760902)",
WEST VIRGINIA,2017,9,,-,0,,0,,,-,,-,,-,4,,14,,11,,19,,"WEST VIRGINIA
(38.668501, -80.709421)",
WISCONSIN,2017,9,,-,1,,7,,2,,,-,,-,29,,59,,141,,197,,"WISCONSIN
(44.395526, -89.834513)",
MONTANA,2017,9,,-,0,,1,,,-,,-,3,,6,,14,,39,,47,,"MONTANA
(47.062617, -109.430168)",
GEORGIA,2017,9,,N,0,,0,,,N,,N,7,,17,,34,,112,,138,,"GEORGIA
(32.836038, -83.631709)",
COLORADO,2017,9,,N,0,,0,,,N,,N,,-,19,,45,,117,,118,,"COLORADO
(38.841772, -106.132562)",
SOUTH CAROLINA,2017,9,,-,0,,1,,,-,1,,1,,6,,15,,45,,55,,"SOUTH CAROLINA
(34.009286, -81.037094)",
UNITED STATES,2017,10,,-,14,,146,,26,,31,,328,,1022,,1554,,6418,,7213,,,
NEW ENGLAND,2017,10,,-,5,,108,,6,,22,,6,,51,,101,,298,,404,,,
