Reporting Area,MMWR Year,MMWR Week,"Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Med","Chlamydia trachomatis infection, Previous 52 weeks Med, flag","Chlamydia trachomatis infection, Previous 52 weeks Max","Chlamydia trachomatis infection, Previous 52 weeks Max, flag","Chlamydia trachomatis infection, Cum 2017","Chlamydia trachomatis infection, Cum 2017, flag","Chlamydia trachomatis infection, Cum 2016","Chlamydia trachomatis infection, Cum 2016, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Med","Coccidioidomycosis, Previous 52 weeks Med, flag","Coccidioidomycosis, Previous 52 weeks Max","Coccidioidomycosis, Previous 52 weeks Max, flag","Coccidioidomycosis, Cum 2017","Coccidioidomycosis, Cum 2017, flag","Coccidioidomycosis, Cum 2016","Coccidioidomycosis, Cum 2016, flag",Location 1,Location 2
UNITED STATES,2017,1,8286,,29056,,32594,,8286,,25647,,148,,208,,269,,148,,201,,,
NEW ENGLAND,2017,1,534,,1044,,1296,,534,,806,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2017,1,1598,,3918,,4284,,1598,,4060,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,1,530,,1297,,1520,,530,,1402,,,N,0,,0,,,N,,N,,
E.N. CENTRAL,2017,1,1094,,4221,,4909,,1094,,4744,,2,,1,,7,,2,,,-,,
W.N. CENTRAL,2017,1,248,,1841,,2070,,248,,1930,,,-,2,,9,,,-,1,,,
S. ATLANTIC,2017,1,1014,,5590,,7038,,1014,,3471,,,-,0,,2,,,-,,-,,
E.S. CENTRAL,2017,1,45,,1483,,2262,,45,,1050,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2017,1,2125,,3969,,5427,,2125,,3231,,,-,0,,1,,,-,1,,,
MOUNTAIN,2017,1,233,,1998,,2636,,233,,1492,,140,,123,,161,,140,,126,,,
PACIFIC,2017,1,1395,,4994,,5338,,1395,,4863,,6,,74,,143,,6,,73,,,
AMER. SAMOA,2017,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
GUAM,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
TENNESSEE,2017,1,,-,616,,806,,,-,741,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
VERMONT,2017,1,,-,24,,76,,,-,31,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
MISSOURI,2017,1,118,,593,,713,,118,,559,,,-,0,,2,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
NORTH DAKOTA,2017,1,,-,62,,93,,,-,92,,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MARYLAND,2017,1,32,,526,,886,,32,,60,,,-,0,,2,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
CALIFORNIA,2017,1,745,,3808,,4142,,745,,3882,,6,,74,,143,,6,,73,,"CALIFORNIA
(37.640735, -121.002435)",
COLORADO,2017,1,,-,477,,1192,,,-,386,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
DELAWARE,2017,1,80,,99,,199,,80,,73,,,-,0,,1,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
OHIO,2017,1,429,,1162,,1355,,429,,1355,,2,,0,,4,,2,,,-,"OHIO
(40.056807, -82.405897)",
PUERTO RICO,2017,1,,-,123,,481,,,-,13,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
WEST VIRGINIA,2017,1,56,,91,,182,,56,,46,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
ARIZONA,2017,1,132,,643,,990,,132,,301,,140,,120,,160,,140,,123,,"ARIZONA
(34.869712, -111.760902)",
ILLINOIS,2017,1,,-,1056,,1576,,,-,1576,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
VIRGIN ISL.,2017,1,,-,3,,28,,,-,12,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
RHODE ISLAND,2017,1,,-,92,,298,,,-,8,,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
DIST. OF COL.,2017,1,,-,152,,283,,,-,192,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
KENTUCKY,2017,1,45,,362,,687,,45,,51,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
ARKANSAS,2017,1,,-,268,,505,,,-,107,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
HAWAII,2017,1,,-,134,,173,,,-,144,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
WYOMING,2017,1,24,,38,,73,,24,,31,,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
WASHINGTON,2017,1,394,,597,,1078,,394,,584,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
MAINE,2017,1,134,,79,,157,,134,,31,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
KANSAS,2017,1,30,,239,,283,,30,,247,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
NORTH CAROLINA,2017,1,,-,1027,,1294,,,-,1294,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
FLORIDA,2017,1,242,,1805,,2324,,242,,655,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
NEVADA,2017,1,,-,200,,267,,,-,167,,,-,1,,5,,,-,3,,"NEVADA
(39.491833, -117.070159)",
CONNECTICUT,2017,1,2,,228,,350,,2,,27,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
ALABAMA,2017,1,,-,301,,739,,,-,184,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
MONTANA,2017,1,,-,84,,109,,,-,80,,,-,0,,2,,,-,,-,"MONTANA
(47.062617, -109.430168)",
INDIANA,2017,1,229,,597,,766,,229,,658,,,N,0,,0,,,N,,N,"INDIANA
(39.76845, -86.156212)",
PENNSYLVANIA,2017,1,668,,1115,,1376,,668,,1094,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW YORK,2017,1,244,,803,,1017,,244,,186,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
IDAHO,2017,1,,-,107,,212,,,-,77,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
NEW HAMPSHIRE,2017,1,164,,99,,218,,164,,134,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
VIRGINIA,2017,1,,-,624,,1358,,,-,534,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
MISSISSIPPI,2017,1,,-,325,,566,,,-,74,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
NEBRASKA,2017,1,55,,149,,274,,55,,119,,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
WISCONSIN,2017,1,280,,501,,619,,280,,461,,,-,0,,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
IOWA,2017,1,45,,254,,302,,45,,268,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
ALASKA,2017,1,,-,104,,152,,,-,55,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
MINNESOTA,2017,1,,-,424,,526,,,-,526,,,-,1,,4,,,-,1,,"MINNESOTA
(46.357661, -94.793397)",
NEW MEXICO,2017,1,10,,233,,364,,10,,243,,,-,0,,3,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
MASSACHUSETTS,2017,1,234,,515,,592,,234,,575,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
UTAH,2017,1,67,,183,,220,,67,,207,,,-,1,,3,,,-,,-,"UTAH
(39.359772, -111.584173)",
LOUISIANA,2017,1,,-,592,,1983,,,-,23,,,-,0,,1,,,-,1,,"LOUISIANA
(31.2931, -92.463284)",
OREGON,2017,1,256,,331,,422,,256,,198,,,-,0,,3,,,-,,-,"OREGON
(44.567912, -120.156945)",
NEW JERSEY,2017,1,156,,651,,1378,,156,,1378,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
OKLAHOMA,2017,1,40,,296,,390,,40,,339,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
GEORGIA,2017,1,,-,921,,1219,,,-,154,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
MICHIGAN,2017,1,156,,871,,1127,,156,,694,,,-,1,,3,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
TEXAS,2017,1,2085,,2783,,3107,,2085,,2762,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
SOUTH DAKOTA,2017,1,,-,81,,119,,,-,119,,,N,0,,1,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
C.N.M.I.,2017,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
SOUTH CAROLINA,2017,1,604,,565,,789,,604,,463,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
UNITED STATES,2017,2,12393,,29800,,33017,,26911,,56694,,68,,209,,272,,202,,415,,,
NEW ENGLAND,2017,2,289,,1043,,1197,,825,,1945,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2017,2,2524,,3906,,4284,,5294,,7993,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,2,796,,1295,,1522,,1871,,2758,,,N,0,,0,,,N,,N,,
E.N. CENTRAL,2017,2,1415,,4247,,4921,,3654,,9675,,,-,1,,7,,2,,1,,,
W.N. CENTRAL,2017,2,231,,1841,,2078,,966,,3851,,,-,2,,9,,,-,1,,,
S. ATLANTIC,2017,2,968,,5656,,7053,,2018,,8913,,,-,0,,2,,,-,,-,,
E.S. CENTRAL,2017,2,689,,2152,,2915,,1347,,3578,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2017,2,2743,,3968,,5427,,5026,,7287,,,-,0,,1,,,-,1,,,
MOUNTAIN,2017,2,1267,,1997,,2635,,2155,,3286,,66,,122,,160,,184,,270,,,
PACIFIC,2017,2,2267,,4995,,5343,,5626,,10166,,2,,75,,149,,16,,142,,,
AMER. SAMOA,2017,2,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
RHODE ISLAND,2017,2,4,,80,,283,,5,,21,,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
HAWAII,2017,2,,-,133,,173,,,-,286,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
MAINE,2017,2,85,,79,,157,,219,,103,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
IOWA,2017,2,42,,252,,302,,223,,522,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
NEVADA,2017,2,139,,200,,267,,261,,373,,,-,1,,5,,,-,5,,"NEVADA
(39.491833, -117.070159)",
MISSOURI,2017,2,173,,597,,713,,530,,1153,,,-,0,,2,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
WEST VIRGINIA,2017,2,63,,91,,182,,139,,112,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
NORTH DAKOTA,2017,2,,-,62,,93,,,-,169,,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
INDIANA,2017,2,177,,589,,766,,546,,1266,,,N,0,,0,,,N,,N,"INDIANA
(39.76845, -86.156212)",
NORTH CAROLINA,2017,2,,-,1036,,1272,,,-,2514,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
SOUTH DAKOTA,2017,2,,-,80,,107,,,-,220,,,N,0,,1,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
IDAHO,2017,2,,-,107,,212,,,-,188,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
OKLAHOMA,2017,2,47,,293,,390,,170,,729,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
TEXAS,2017,2,2696,,2782,,3107,,4856,,5584,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
VIRGINIA,2017,2,,-,624,,1358,,,-,1174,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
MONTANA,2017,2,,-,84,,109,,,-,168,,,-,0,,2,,1,,1,,"MONTANA
(47.062617, -109.430168)",
NEBRASKA,2017,2,,-,148,,274,,55,,238,,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MINNESOTA,2017,2,,-,431,,526,,,-,1033,,,-,1,,4,,,-,1,,"MINNESOTA
(46.357661, -94.793397)",
ALASKA,2017,2,,-,104,,152,,,-,135,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
UTAH,2017,2,109,,183,,220,,268,,427,,,-,1,,3,,,-,1,,"UTAH
(39.359772, -111.584173)",
LOUISIANA,2017,2,,-,592,,1983,,,-,565,,,-,0,,1,,,-,1,,"LOUISIANA
(31.2931, -92.463284)",
SOUTH CAROLINA,2017,2,613,,581,,789,,1217,,1079,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
DELAWARE,2017,2,,-,99,,199,,80,,159,,,-,0,,1,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
COLORADO,2017,2,422,,477,,1192,,814,,765,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
VIRGIN ISL.,2017,2,,-,3,,28,,,-,27,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
OHIO,2017,2,595,,1156,,1313,,1444,,2674,,,-,0,,4,,2,,,-,"OHIO
(40.056807, -82.405897)",
ARIZONA,2017,2,502,,642,,989,,666,,821,,66,,119,,158,,183,,261,,"ARIZONA
(34.869712, -111.760902)",
OREGON,2017,2,,-,331,,422,,256,,603,,,-,0,,3,,1,,,-,"OREGON
(44.567912, -120.156945)",
CALIFORNIA,2017,2,1725,,3808,,4064,,4434,,7938,,2,,75,,149,,15,,142,,"CALIFORNIA
(37.640735, -121.002435)",
KENTUCKY,2017,2,,-,362,,687,,45,,142,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
WASHINGTON,2017,2,542,,597,,1078,,936,,1204,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
GUAM,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
FLORIDA,2017,2,,-,1805,,2324,,242,,2441,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
MASSACHUSETTS,2017,2,,-,512,,592,,234,,1164,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW JERSEY,2017,2,207,,651,,732,,752,,2110,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
TENNESSEE,2017,2,110,,630,,815,,408,,1505,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
PENNSYLVANIA,2017,2,871,,1115,,1376,,1777,,2221,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
ILLINOIS,2017,2,45,,1074,,1497,,286,,3077,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
MISSISSIPPI,2017,2,118,,325,,566,,129,,383,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
VERMONT,2017,2,,-,23,,76,,,-,71,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
NEW HAMPSHIRE,2017,2,197,,99,,218,,362,,309,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ALABAMA,2017,2,461,,1035,,1470,,765,,1548,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
KANSAS,2017,2,16,,238,,283,,158,,516,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
NEW MEXICO,2017,2,72,,233,,390,,96,,472,,,-,0,,3,,,-,2,,"NEW MEXICO
(34.520396, -106.244402)",
NEW YORK,2017,2,650,,806,,1229,,894,,904,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
C.N.M.I.,2017,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
CONNECTICUT,2017,2,3,,228,,357,,5,,277,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
ARKANSAS,2017,2,,-,268,,505,,,-,409,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
WYOMING,2017,2,23,,38,,73,,50,,72,,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
GEORGIA,2017,2,,-,923,,1219,,,-,867,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
DIST. OF COL.,2017,2,292,,151,,283,,308,,282,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
PUERTO RICO,2017,2,,-,124,,481,,350,,73,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
MARYLAND,2017,2,,-,526,,886,,32,,285,,,-,0,,2,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
MICHIGAN,2017,2,207,,871,,1127,,587,,1676,,,-,1,,3,,,-,1,,"MICHIGAN
(44.66399, -84.711206)",
WISCONSIN,2017,2,391,,501,,620,,791,,982,,,-,0,,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
UNITED STATES,2017,3,12149,,29256,,32418,,48684,,84417,,169,,206,,292,,456,,628,,,
NEW ENGLAND,2017,3,244,,1037,,1197,,1082,,3140,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2017,3,2626,,3892,,4284,,9396,,11723,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,3,650,,1298,,1530,,3214,,3965,,,N,0,,0,,,N,,N,,
E.N. CENTRAL,2017,3,1095,,4255,,4833,,6141,,14189,,,-,1,,7,,2,,1,,,
W.N. CENTRAL,2017,3,221,,1841,,2080,,2224,,5657,,,-,2,,8,,,-,1,,,
S. ATLANTIC,2017,3,1766,,5675,,7077,,5755,,14001,,,-,0,,2,,,-,1,,,
E.S. CENTRAL,2017,3,355,,1770,,2286,,1918,,3935,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2017,3,2720,,3948,,5427,,9039,,11320,,,-,0,,1,,,-,1,,,
MOUNTAIN,2017,3,1118,,1996,,2635,,3633,,5201,,157,,122,,160,,403,,409,,,
PACIFIC,2017,3,2004,,4992,,5355,,9496,,15251,,12,,75,,152,,51,,215,,,
AMER. SAMOA,2017,3,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
ARIZONA,2017,3,337,,651,,1068,,1015,,1367,,157,,119,,158,,402,,396,,"ARIZONA
(34.869712, -111.760902)",
RHODE ISLAND,2017,3,,-,80,,283,,5,,46,,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
UTAH,2017,3,102,,183,,216,,458,,644,,,-,1,,3,,,-,2,,"UTAH
(39.359772, -111.584173)",
ARKANSAS,2017,3,30,,268,,506,,88,,578,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
CALIFORNIA,2017,3,1184,,3807,,4055,,7241,,11766,,12,,75,,151,,50,,215,,"CALIFORNIA
(37.640735, -121.002435)",
OHIO,2017,3,418,,1156,,1284,,2293,,3875,,,-,0,,4,,2,,,-,"OHIO
(40.056807, -82.405897)",
TENNESSEE,2017,3,146,,616,,815,,645,,1891,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
DIST. OF COL.,2017,3,,-,152,,292,,308,,453,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
OKLAHOMA,2017,3,42,,291,,356,,329,,1059,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
GEORGIA,2017,3,,-,923,,1219,,,-,1903,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
ILLINOIS,2017,3,42,,1081,,1270,,746,,4330,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
NORTH CAROLINA,2017,3,,-,1028,,1272,,,-,3401,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
DELAWARE,2017,3,80,,99,,199,,231,,246,,,-,0,,1,,,-,1,,"DELAWARE
(39.008676, -75.574561)",
PENNSYLVANIA,2017,3,956,,1111,,1376,,2995,,3338,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
WISCONSIN,2017,3,331,,501,,622,,1279,,1547,,,-,0,,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
FLORIDA,2017,3,824,,1816,,2723,,2804,,4095,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
C.N.M.I.,2017,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
KENTUCKY,2017,3,76,,362,,687,,209,,197,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
MISSISSIPPI,2017,3,133,,325,,566,,299,,655,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
PUERTO RICO,2017,3,,-,124,,481,,389,,141,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
VERMONT,2017,3,3,,24,,84,,15,,111,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
IOWA,2017,3,47,,251,,302,,505,,778,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
WASHINGTON,2017,3,456,,595,,1078,,1392,,1846,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
MASSACHUSETTS,2017,3,,-,510,,592,,234,,1734,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
SOUTH CAROLINA,2017,3,606,,581,,789,,1823,,1610,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
ALASKA,2017,3,,-,104,,152,,,-,238,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
NEW JERSEY,2017,3,194,,650,,727,,1469,,2772,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
NEW MEXICO,2017,3,115,,235,,396,,315,,698,,,-,0,,3,,,-,2,,"NEW MEXICO
(34.520396, -106.244402)",
TEXAS,2017,3,1900,,2777,,3107,,6845,,8544,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
INDIANA,2017,3,304,,588,,766,,1236,,1944,,,N,0,,0,,,N,,N,"INDIANA
(39.76845, -86.156212)",
WEST VIRGINIA,2017,3,97,,91,,182,,255,,172,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
GUAM,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MONTANA,2017,3,,-,83,,109,,,-,266,,,-,0,,2,,1,,2,,"MONTANA
(47.062617, -109.430168)",
KANSAS,2017,3,36,,237,,283,,431,,746,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
NEW YORK,2017,3,826,,806,,1491,,1718,,1648,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
MICHIGAN,2017,3,,-,867,,1127,,587,,2493,,,-,0,,3,,,-,1,,"MICHIGAN
(44.66399, -84.711206)",
NEVADA,2017,3,98,,204,,267,,379,,551,,,-,1,,5,,,-,7,,"NEVADA
(39.491833, -117.070159)",
COLORADO,2017,3,405,,484,,1192,,1330,,1192,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
WYOMING,2017,3,23,,38,,73,,75,,145,,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
SOUTH DAKOTA,2017,3,,-,80,,107,,,-,304,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
CONNECTICUT,2017,3,,-,223,,357,,5,,609,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
LOUISIANA,2017,3,748,,586,,1983,,1777,,1139,,,-,0,,1,,,-,1,,"LOUISIANA
(31.2931, -92.463284)",
IDAHO,2017,3,38,,106,,212,,61,,338,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
GUAM,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
VIRGIN ISL.,2017,3,,-,10,,28,,,-,48,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW HAMPSHIRE,2017,3,174,,99,,218,,537,,449,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
HAWAII,2017,3,,-,132,,174,,44,,380,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
ALABAMA,2017,3,,-,521,,735,,765,,1192,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
MINNESOTA,2017,3,,-,427,,528,,,-,1456,,,-,1,,4,,,-,1,,"MINNESOTA
(46.357661, -94.793397)",
NEBRASKA,2017,3,,-,149,,275,,129,,360,,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MAINE,2017,3,67,,80,,157,,286,,191,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
