Reporting Area,MMWR Year,MMWR Week,"Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Med","Chlamydia trachomatis infection, Previous 52 weeks Med, flag","Chlamydia trachomatis infection, Previous 52 weeks Max","Chlamydia trachomatis infection, Previous 52 weeks Max, flag","Chlamydia trachomatis infection, Cum 2017","Chlamydia trachomatis infection, Cum 2017, flag","Chlamydia trachomatis infection, Cum 2016","Chlamydia trachomatis infection, Cum 2016, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Med","Coccidioidomycosis, Previous 52 weeks Med, flag","Coccidioidomycosis, Previous 52 weeks Max","Coccidioidomycosis, Previous 52 weeks Max, flag","Coccidioidomycosis, Cum 2017","Coccidioidomycosis, Cum 2017, flag","Coccidioidomycosis, Cum 2016","Coccidioidomycosis, Cum 2016, flag",Location 1,Location 2
VIRGINIA,2017,3,,-,607,,1358,,,-,1552,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
MISSOURI,2017,3,126,,596,,713,,1104,,1768,,,-,0,,2,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
MARYLAND,2017,3,159,,556,,1190,,334,,569,,,-,0,,2,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
OREGON,2017,3,364,,330,,422,,819,,1021,,,-,0,,2,,1,,,-,"OREGON
(44.567912, -120.156945)",
NORTH DAKOTA,2017,3,12,,61,,93,,55,,245,,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
UNITED STATES,2017,4,16566,,29349,,32412,,75880,,115925,,171,,205,,307,,666,,860,,,
NEW ENGLAND,2017,4,691,,1042,,1200,,3101,,4219,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2017,4,2950,,3914,,4284,,13733,,15653,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,4,940,,1298,,1531,,4881,,5333,,,N,0,,0,,,N,,N,,
E.N. CENTRAL,2017,4,1171,,4257,,4851,,9433,,19026,,,-,1,,7,,2,,1,,,
W.N. CENTRAL,2017,4,411,,1836,,2078,,3667,,7616,,,-,2,,8,,,-,3,,,
S. ATLANTIC,2017,4,2476,,5704,,7095,,9361,,20380,,,-,0,,2,,,-,1,,,
E.S. CENTRAL,2017,4,502,,1773,,2382,,3109,,5915,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2017,4,4727,,3927,,5433,,14044,,15480,,,-,0,,1,,,-,2,,,
MOUNTAIN,2017,4,1472,,2000,,2635,,5750,,7345,,156,,122,,169,,555,,556,,,
PACIFIC,2017,4,2166,,4993,,5360,,13682,,20291,,15,,75,,164,,109,,297,,,
AMER. SAMOA,2017,4,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
WYOMING,2017,4,22,,38,,55,,111,,183,,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
CALIFORNIA,2017,4,1279,,3805,,4122,,10451,,15801,,15,,74,,164,,108,,297,,"CALIFORNIA
(37.640735, -121.002435)",
NORTH DAKOTA,2017,4,14,,61,,93,,104,,309,,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
HAWAII,2017,4,,-,132,,174,,133,,505,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
MICHIGAN,2017,4,180,,867,,1127,,1681,,3595,,,-,0,,3,,,-,1,,"MICHIGAN
(44.66399, -84.711206)",
MAINE,2017,4,99,,79,,157,,385,,282,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
COLORADO,2017,4,536,,484,,1192,,1869,,1645,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
NEW YORK,2017,4,855,,809,,1577,,2569,,2475,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
NEW MEXICO,2017,4,42,,239,,398,,457,,1012,,,-,0,,3,,,-,2,,"NEW MEXICO
(34.520396, -106.244402)",
MISSISSIPPI,2017,4,188,,325,,651,,525,,1221,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
ARKANSAS,2017,4,,-,268,,506,,88,,949,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
ALASKA,2017,4,,-,103,,152,,,-,352,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
WISCONSIN,2017,4,399,,502,,623,,1852,,2157,,,-,0,,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
VERMONT,2017,4,8,,24,,89,,45,,167,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
UTAH,2017,4,104,,183,,217,,667,,835,,,-,1,,3,,,-,3,,"UTAH
(39.359772, -111.584173)",
ILLINOIS,2017,4,60,,1078,,1271,,1395,,5582,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
TEXAS,2017,4,3897,,2775,,3107,,10822,,11415,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
SOUTH CAROLINA,2017,4,554,,595,,789,,2376,,2262,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
C.N.M.I.,2017,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NORTH CAROLINA,2017,4,,-,1036,,1272,,6,,4595,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
INDIANA,2017,4,367,,586,,766,,1954,,2534,,,N,0,,0,,,N,,N,"INDIANA
(39.76845, -86.156212)",
WASHINGTON,2017,4,514,,591,,1078,,1906,,2485,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
MONTANA,2017,4,,-,83,,109,,,-,360,,,-,0,,2,,1,,2,,"MONTANA
(47.062617, -109.430168)",
NEW JERSEY,2017,4,307,,651,,727,,2224,,3418,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
OREGON,2017,4,373,,330,,422,,1192,,1148,,,-,0,,3,,1,,,-,"OREGON
(44.567912, -120.156945)",
LOUISIANA,2017,4,787,,592,,1983,,2565,,1725,,,-,0,,1,,,-,2,,"LOUISIANA
(31.2931, -92.463284)",
OHIO,2017,4,165,,1160,,1284,,2551,,5158,,,-,0,,4,,2,,,-,"OHIO
(40.056807, -82.405897)",
ARIZONA,2017,4,468,,651,,1072,,1690,,2077,,156,,119,,169,,554,,541,,"ARIZONA
(34.869712, -111.760902)",
DIST. OF COL.,2017,4,168,,152,,294,,673,,522,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
SOUTH DAKOTA,2017,4,10,,79,,107,,231,,383,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
CONNECTICUT,2017,4,,-,231,,374,,7,,752,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
IDAHO,2017,4,103,,107,,212,,351,,483,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
PUERTO RICO,2017,4,,-,124,,481,,504,,183,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
NEVADA,2017,4,197,,204,,267,,605,,750,,,-,1,,5,,,-,8,,"NEVADA
(39.491833, -117.070159)",
VIRGIN ISL.,2017,4,,-,9,,28,,,-,71,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW HAMPSHIRE,2017,4,162,,99,,218,,699,,610,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
TENNESSEE,2017,4,240,,616,,815,,885,,2657,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
ALABAMA,2017,4,,-,524,,735,,1190,,1750,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
MISSOURI,2017,4,174,,596,,714,,1693,,2430,,,-,0,,2,,,-,1,,"MISSOURI
(38.636168, -92.566292)",
DELAWARE,2017,4,122,,99,,199,,353,,364,,,-,0,,1,,,-,1,,"DELAWARE
(39.008676, -75.574561)",
KENTUCKY,2017,4,74,,362,,687,,509,,287,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
GUAM,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MASSACHUSETTS,2017,4,347,,513,,597,,1884,,2310,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
PENNSYLVANIA,2017,4,848,,1116,,1376,,4059,,4427,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
MINNESOTA,2017,4,,-,433,,526,,,-,1915,,,-,1,,4,,,-,2,,"MINNESOTA
(46.357661, -94.793397)",
RHODE ISLAND,2017,4,75,,80,,406,,81,,98,,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
OKLAHOMA,2017,4,43,,290,,356,,569,,1391,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
NEBRASKA,2017,4,84,,152,,275,,343,,541,,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
GEORGIA,2017,4,,-,920,,1219,,,-,3123,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
KANSAS,2017,4,129,,237,,283,,791,,1000,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
IOWA,2017,4,,-,249,,302,,505,,1038,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
FLORIDA,2017,4,1193,,1816,,2771,,4863,,6069,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
WEST VIRGINIA,2017,4,116,,91,,182,,373,,255,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
MARYLAND,2017,4,323,,556,,1196,,717,,794,,,-,0,,2,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
VIRGINIA,2017,4,,-,607,,1358,,,-,2396,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
UNITED STATES,2017,5,17219,,29370,,32413,,103738,,148382,,90,,202,,313,,776,,1079,,,
NEW ENGLAND,2017,5,347,,1040,,1200,,3540,,5374,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2017,5,3008,,3928,,4285,,18107,,19940,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,5,861,,1300,,1533,,6355,,6729,,,N,0,,0,,,N,,N,,
E.N. CENTRAL,2017,5,1552,,4270,,4865,,14189,,23761,,1,,1,,7,,3,,6,,,
W.N. CENTRAL,2017,5,428,,1833,,2078,,5095,,9466,,1,,2,,8,,1,,4,,,
S. ATLANTIC,2017,5,2553,,5677,,7098,,12901,,27416,,,-,0,,2,,,-,2,,,
E.S. CENTRAL,2017,5,994,,1764,,2392,,5016,,7752,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2017,5,3966,,3936,,5433,,18442,,19755,,,-,0,,1,,,-,3,,,
MOUNTAIN,2017,5,1748,,1997,,2635,,8025,,9614,,83,,122,,162,,623,,695,,,
PACIFIC,2017,5,2623,,4993,,5361,,18423,,25304,,5,,75,,170,,149,,369,,,
AMER. SAMOA,2017,5,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
VIRGINIA,2017,5,,-,605,,1358,,,-,3754,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
KENTUCKY,2017,5,106,,366,,687,,970,,368,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
PUERTO RICO,2017,5,,-,126,,481,,672,,363,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
OKLAHOMA,2017,5,75,,287,,356,,834,,1717,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
WEST VIRGINIA,2017,5,104,,91,,182,,487,,364,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
MAINE,2017,5,121,,79,,157,,506,,361,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
KANSAS,2017,5,83,,238,,283,,1022,,1242,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
UTAH,2017,5,106,,182,,217,,890,,1028,,,-,1,,3,,,-,3,,"UTAH
(39.359772, -111.584173)",
NEW MEXICO,2017,5,121,,236,,399,,770,,1338,,,-,0,,3,,,-,2,,"NEW MEXICO
(34.520396, -106.244402)",
INDIANA,2017,5,318,,586,,766,,2589,,3224,,,N,0,,0,,,N,,N,"INDIANA
(39.76845, -86.156212)",
MONTANA,2017,5,,-,82,,109,,,-,448,,,-,0,,2,,1,,2,,"MONTANA
(47.062617, -109.430168)",
GEORGIA,2017,5,,-,917,,1159,,,-,4156,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
RHODE ISLAND,2017,5,38,,80,,436,,119,,239,,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
VIRGIN ISL.,2017,5,,-,9,,28,,,-,85,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
C.N.M.I.,2017,5,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
DELAWARE,2017,5,149,,99,,199,,502,,462,,,-,0,,1,,,-,1,,"DELAWARE
(39.008676, -75.574561)",
ALASKA,2017,5,,-,102,,152,,,-,467,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
SOUTH CAROLINA,2017,5,594,,581,,789,,2970,,2889,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
SOUTH DAKOTA,2017,5,8,,79,,107,,318,,484,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW JERSEY,2017,5,282,,651,,727,,2893,,4124,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
NORTH DAKOTA,2017,5,9,,59,,93,,144,,391,,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MISSOURI,2017,5,207,,591,,714,,2134,,3051,,,-,0,,2,,,-,1,,"MISSOURI
(38.636168, -92.566292)",
NORTH CAROLINA,2017,5,2,,1036,,1272,,95,,5868,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
GUAM,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
CALIFORNIA,2017,5,1690,,3798,,4218,,14222,,19764,,5,,74,,170,,148,,369,,"CALIFORNIA
(37.640735, -121.002435)",
VERMONT,2017,5,,-,23,,89,,45,,199,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
NEW HAMPSHIRE,2017,5,185,,99,,218,,884,,662,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
TEXAS,2017,5,3243,,2775,,3967,,14153,,14409,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
LOUISIANA,2017,5,598,,599,,1983,,3162,,2292,,,-,0,,1,,,-,3,,"LOUISIANA
(31.2931, -92.463284)",
MINNESOTA,2017,5,,-,430,,526,,,-,2366,,,-,1,,4,,,-,3,,"MINNESOTA
(46.357661, -94.793397)",
ARIZONA,2017,5,603,,651,,1071,,2420,,2874,,83,,118,,162,,622,,676,,"ARIZONA
(34.869712, -111.760902)",
DIST. OF COL.,2017,5,,-,153,,294,,673,,705,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
ILLINOIS,2017,5,70,,1081,,1272,,2166,,6914,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
FLORIDA,2017,5,1217,,1805,,2799,,6916,,7894,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
ALABAMA,2017,5,460,,518,,735,,2154,,2335,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
MARYLAND,2017,5,487,,556,,1209,,1258,,1324,,,-,0,,2,,,-,1,,"MARYLAND
(39.290443, -76.612333)",
NEW YORK,2017,5,876,,809,,1705,,3444,,3284,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
WYOMING,2017,5,21,,38,,55,,136,,230,,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
COLORADO,2017,5,626,,485,,1192,,2511,,2116,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
MISSISSIPPI,2017,5,167,,325,,661,,746,,1671,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
ARKANSAS,2017,5,50,,271,,506,,293,,1337,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
CONNECTICUT,2017,5,3,,233,,374,,102,,1057,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
TENNESSEE,2017,5,261,,616,,815,,1146,,3378,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
NEBRASKA,2017,5,57,,149,,274,,480,,620,,1,,0,,1,,1,,,-,"NEBRASKA
(41.640503, -99.367122)",
OREGON,2017,5,441,,331,,422,,1641,,1317,,,-,0,,3,,1,,,-,"OREGON
(44.567912, -120.156945)",
WISCONSIN,2017,5,412,,502,,623,,2483,,2723,,,-,0,,2,,,-,1,,"WISCONSIN
(44.395526, -89.834513)",
NEVADA,2017,5,169,,206,,286,,840,,951,,,-,1,,5,,,-,12,,"NEVADA
(39.491833, -117.070159)",
IOWA,2017,5,64,,249,,302,,997,,1312,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
MASSACHUSETTS,2017,5,,-,512,,597,,1884,,2856,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
OHIO,2017,5,518,,1163,,1274,,4523,,6399,,1,,0,,4,,3,,2,,"OHIO
(40.056807, -82.405897)",
HAWAII,2017,5,,-,132,,174,,162,,622,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
PENNSYLVANIA,2017,5,989,,1116,,1376,,5415,,5803,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
IDAHO,2017,5,102,,107,,212,,458,,629,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
MICHIGAN,2017,5,234,,864,,1127,,2428,,4501,,,-,0,,3,,,-,3,,"MICHIGAN
(44.66399, -84.711206)",
WASHINGTON,2017,5,492,,587,,1078,,2398,,3134,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
UNITED STATES,2017,6,14398,,29380,,32147,,129232,,179378,,134,,202,,315,,944,,1263,,,
NEW ENGLAND,2017,6,219,,1050,,1200,,3989,,6503,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2017,6,2636,,3928,,4216,,22005,,23917,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,6,775,,1301,,1543,,7743,,7983,,,N,0,,0,,,N,,N,,
E.N. CENTRAL,2017,6,951,,4246,,4884,,17310,,28392,,,-,1,,7,,3,,7,,,
W.N. CENTRAL,2017,6,497,,1831,,2077,,6576,,11305,,,-,2,,8,,1,,4,,,
S. ATLANTIC,2017,6,2380,,5681,,7095,,16898,,34049,,,-,0,,2,,,-,2,,,
E.S. CENTRAL,2017,6,348,,1796,,2406,,7362,,9418,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2017,6,3888,,3945,,5433,,22815,,23742,,,-,0,,1,,,-,3,,,
MOUNTAIN,2017,6,1329,,1995,,2634,,9699,,11783,,124,,121,,160,,746,,807,,,
PACIFIC,2017,6,2150,,4988,,5457,,22578,,30269,,10,,75,,172,,194,,440,,,
AMER. SAMOA,2017,6,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
VIRGINIA,2017,6,,-,580,,1319,,,-,4814,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
CALIFORNIA,2017,6,1299,,3797,,4254,,17255,,23525,,10,,75,,172,,192,,440,,"CALIFORNIA
(37.640735, -121.002435)",
WYOMING,2017,6,17,,37,,55,,158,,270,,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MISSISSIPPI,2017,6,,-,320,,661,,746,,2098,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
KENTUCKY,2017,6,115,,366,,687,,1444,,466,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
KANSAS,2017,6,83,,238,,283,,1310,,1454,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
IDAHO,2017,6,,-,106,,212,,458,,790,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
NEW JERSEY,2017,6,209,,651,,727,,3514,,4847,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
NEW YORK,2017,6,776,,811,,1822,,4216,,4085,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
SOUTH CAROLINA,2017,6,465,,580,,789,,3435,,3486,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
WEST VIRGINIA,2017,6,,-,91,,182,,487,,496,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
RHODE ISLAND,2017,6,24,,78,,449,,143,,359,,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
CONNECTICUT,2017,6,5,,237,,374,,289,,1329,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
NEW MEXICO,2017,6,55,,237,,399,,965,,1617,,,-,0,,3,,,-,2,,"NEW MEXICO
(34.520396, -106.244402)",
SOUTH DAKOTA,2017,6,13,,79,,107,,428,,568,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
DIST. OF COL.,2017,6,,-,152,,294,,673,,855,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
TEXAS,2017,6,3102,,2775,,4015,,17434,,17189,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
COLORADO,2017,6,624,,488,,1191,,3134,,2627,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
HAWAII,2017,6,,-,132,,174,,432,,747,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
TENNESSEE,2017,6,233,,616,,818,,3018,,3910,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
NORTH CAROLINA,2017,6,,-,1037,,1193,,542,,7062,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
IOWA,2017,6,82,,248,,302,,1285,,1570,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
FLORIDA,2017,6,1223,,1815,,2801,,9212,,9816,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
VERMONT,2017,6,7,,21,,95,,88,,251,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
OHIO,2017,6,,-,1163,,1274,,4989,,7623,,,-,0,,4,,3,,2,,"OHIO
(40.056807, -82.405897)",
ALABAMA,2017,6,,-,518,,735,,2154,,2944,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
PENNSYLVANIA,2017,6,876,,1122,,1264,,6532,,7002,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
VIRGIN ISL.,2017,6,,-,8,,28,,,-,95,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MARYLAND,2017,6,560,,565,,1245,,1915,,1847,,,-,0,,2,,,-,1,,"MARYLAND
(39.290443, -76.612333)",
ARKANSAS,2017,6,82,,271,,508,,414,,1704,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MISSOURI,2017,6,222,,590,,714,,2706,,3583,,,-,0,,2,,,-,1,,"MISSOURI
(38.636168, -92.566292)",
LOUISIANA,2017,6,661,,600,,1983,,3820,,2776,,,-,0,,1,,,-,3,,"LOUISIANA
(31.2931, -92.463284)",
ILLINOIS,2017,6,75,,1104,,1218,,3001,,8246,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
OKLAHOMA,2017,6,43,,282,,356,,1147,,2073,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
UTAH,2017,6,111,,182,,218,,1077,,1220,,,-,1,,3,,,-,3,,"UTAH
(39.359772, -111.584173)",
DELAWARE,2017,6,132,,100,,199,,634,,575,,,-,0,,1,,,-,1,,"DELAWARE
(39.008676, -75.574561)",
PUERTO RICO,2017,6,,-,124,,481,,770,,568,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
MONTANA,2017,6,,-,81,,109,,,-,557,,,-,0,,2,,1,,2,,"MONTANA
(47.062617, -109.430168)",
MAINE,2017,6,81,,80,,157,,597,,424,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
WASHINGTON,2017,6,509,,579,,1078,,2907,,3746,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
WISCONSIN,2017,6,301,,502,,623,,2993,,3246,,,-,0,,2,,,-,1,,"WISCONSIN
(44.395526, -89.834513)",
MASSACHUSETTS,2017,6,,-,510,,597,,1884,,3326,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
OREGON,2017,6,342,,331,,440,,1984,,1643,,,-,0,,3,,2,,,-,"OREGON
(44.567912, -120.156945)",
GEORGIA,2017,6,,-,911,,1159,,,-,5098,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
NEW HAMPSHIRE,2017,6,102,,105,,218,,988,,814,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEVADA,2017,6,114,,208,,290,,1030,,1156,,,-,1,,5,,,-,15,,"NEVADA
(39.491833, -117.070159)",
MINNESOTA,2017,6,,-,433,,526,,,-,2792,,,-,1,,4,,,-,3,,"MINNESOTA
(46.357661, -94.793397)",
ARIZONA,2017,6,408,,646,,1070,,2877,,3546,,124,,117,,159,,745,,785,,"ARIZONA
(34.869712, -111.760902)",
C.N.M.I.,2017,6,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MICHIGAN,2017,6,185,,854,,1127,,2986,,5393,,,-,0,,3,,,-,4,,"MICHIGAN
(44.66399, -84.711206)",
INDIANA,2017,6,390,,586,,764,,3341,,3884,,,N,0,,0,,,N,,N,"INDIANA
(39.76845, -86.156212)",
NORTH DAKOTA,2017,6,7,,59,,93,,196,,472,,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NEBRASKA,2017,6,90,,149,,274,,651,,866,,,-,0,,1,,1,,,-,"NEBRASKA
(41.640503, -99.367122)",
