Reporting Area,MMWR Year,MMWR Week,"Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Med","Chlamydia trachomatis infection, Previous 52 weeks Med, flag","Chlamydia trachomatis infection, Previous 52 weeks Max","Chlamydia trachomatis infection, Previous 52 weeks Max, flag","Chlamydia trachomatis infection, Cum 2017","Chlamydia trachomatis infection, Cum 2017, flag","Chlamydia trachomatis infection, Cum 2016","Chlamydia trachomatis infection, Cum 2016, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Med","Coccidioidomycosis, Previous 52 weeks Med, flag","Coccidioidomycosis, Previous 52 weeks Max","Coccidioidomycosis, Previous 52 weeks Max, flag","Coccidioidomycosis, Cum 2017","Coccidioidomycosis, Cum 2017, flag","Coccidioidomycosis, Cum 2016","Coccidioidomycosis, Cum 2016, flag",Location 1,Location 2
NEW ENGLAND,2017,10,238,,1063,,1277,,8223,,10752,,,-,0,,1,,,-,1,,,
MID. ATLANTIC,2017,10,2174,,3891,,4301,,36923,,39719,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,10,842,,1307,,1565,,13237,,13143,,,N,0,,0,,,N,,N,,
E.N. CENTRAL,2017,10,1027,,4362,,5062,,31350,,46855,,,-,1,,7,,9,,12,,,
W.N. CENTRAL,2017,10,257,,1813,,2062,,13114,,18610,,,-,2,,8,,1,,10,,,
S. ATLANTIC,2017,10,2173,,5603,,7099,,32579,,58091,,,-,0,,2,,,-,3,,,
E.S. CENTRAL,2017,10,609,,1854,,2428,,13076,,16044,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2017,10,3837,,3949,,5433,,40862,,39585,,,-,0,,1,,,-,4,,,
MOUNTAIN,2017,10,1504,,2002,,2636,,16674,,19867,,120,,121,,161,,1197,,1292,,,
PACIFIC,2017,10,2601,,3769,,4272,,32845,,38837,,5,,80,,201,,371,,721,,,
AMER. SAMOA,2017,10,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
C.N.M.I.,2017,10,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MONTANA,2017,10,,-,80,,108,,,-,936,,,-,0,,2,,2,,3,,"MONTANA
(47.062617, -109.430168)",
NORTH CAROLINA,2017,10,,-,1074,,1231,,3770,,11447,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
WEST VIRGINIA,2017,10,41,,90,,128,,837,,1009,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
TEXAS,2017,10,2847,,2797,,4029,,29310,,28358,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
CALIFORNIA,2017,10,1710,,2613,,2973,,23631,,27369,,5,,79,,201,,368,,719,,"CALIFORNIA
(37.640735, -121.002435)",
MAINE,2017,10,90,,81,,157,,971,,742,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
OHIO,2017,10,19,,1154,,1275,,8536,,12371,,,-,0,,4,,5,,3,,"OHIO
(40.056807, -82.405897)",
NORTH DAKOTA,2017,10,6,,57,,93,,410,,742,,,-,0,,1,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
INDIANA,2017,10,327,,595,,763,,5809,,6281,,,N,0,,0,,,N,,N,"INDIANA
(39.76845, -86.156212)",
LOUISIANA,2017,10,744,,658,,1983,,7692,,4962,,,-,0,,1,,,-,4,,"LOUISIANA
(31.2931, -92.463284)",
NEW MEXICO,2017,10,92,,236,,399,,1802,,2656,,,-,0,,2,,,-,7,,"NEW MEXICO
(34.520396, -106.244402)",
COLORADO,2017,10,532,,488,,1192,,5039,,4301,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
VIRGINIA,2017,10,,-,495,,1319,,,-,6660,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
CONNECTICUT,2017,10,1,,242,,374,,710,,2488,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
WISCONSIN,2017,10,413,,496,,627,,4762,,5226,,,-,0,,2,,,-,2,,"WISCONSIN
(44.395526, -89.834513)",
SOUTH DAKOTA,2017,10,,-,79,,107,,580,,907,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
MARYLAND,2017,10,330,,580,,1315,,3779,,4329,,,-,0,,2,,,-,2,,"MARYLAND
(39.290443, -76.612333)",
ILLINOIS,2017,10,58,,1222,,1345,,6339,,14050,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
GEORGIA,2017,10,,-,877,,1159,,,-,8984,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
OREGON,2017,10,316,,331,,440,,3403,,3145,,,-,0,,2,,3,,2,,"OREGON
(44.567912, -120.156945)",
VIRGIN ISL.,2017,10,,-,8,,28,,46,,138,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
WYOMING,2017,10,14,,34,,55,,273,,443,,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
RHODE ISLAND,2017,10,66,,74,,486,,381,,625,,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
IDAHO,2017,10,,-,103,,164,,458,,1389,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
MASSACHUSETTS,2017,10,,-,513,,607,,4503,,5305,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
HAWAII,2017,10,,-,132,,174,,881,,1276,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
DIST. OF COL.,2017,10,,-,152,,294,,673,,1473,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
IOWA,2017,10,,-,245,,302,,2071,,2500,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
MISSISSIPPI,2017,10,306,,306,,674,,1855,,3752,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
SOUTH CAROLINA,2017,10,500,,580,,789,,5918,,5955,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
PUERTO RICO,2017,10,,-,128,,481,,1466,,966,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
OKLAHOMA,2017,10,53,,281,,339,,2197,,3293,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
DELAWARE,2017,10,101,,101,,199,,1086,,1017,,,-,0,,1,,,-,1,,"DELAWARE
(39.008676, -75.574561)",
ARKANSAS,2017,10,193,,268,,508,,1663,,2972,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
UTAH,2017,10,141,,182,,219,,1924,,1966,,,-,1,,3,,4,,4,,"UTAH
(39.359772, -111.584173)",
TENNESSEE,2017,10,208,,649,,843,,5682,,6340,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
PENNSYLVANIA,2017,10,122,,1117,,1264,,10179,,11595,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
ARIZONA,2017,10,579,,646,,1078,,5034,,6169,,120,,117,,157,,1179,,1261,,"ARIZONA
(34.869712, -111.760902)",
MISSOURI,2017,10,204,,593,,750,,5028,,5933,,,-,0,,2,,,-,1,,"MISSOURI
(38.636168, -92.566292)",
ALASKA,2017,10,,-,106,,142,,,-,1044,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
NEW YORK,2017,10,928,,814,,1969,,7511,,7386,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
MICHIGAN,2017,10,210,,844,,1127,,5904,,8927,,,-,0,,3,,4,,7,,"MICHIGAN
(44.66399, -84.711206)",
ALABAMA,2017,10,,-,492,,735,,2154,,5105,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
VERMONT,2017,10,10,,22,,96,,190,,399,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
NEW JERSEY,2017,10,282,,644,,725,,5996,,7595,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
KENTUCKY,2017,10,95,,393,,687,,3385,,847,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
MINNESOTA,2017,10,9,,434,,527,,1682,,4474,,,-,1,,4,,,-,6,,"MINNESOTA
(46.357661, -94.793397)",
KANSAS,2017,10,38,,238,,287,,2212,,2432,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
FLORIDA,2017,10,1201,,1798,,2767,,16516,,17217,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
NEVADA,2017,10,146,,210,,317,,2144,,2007,,,-,1,,5,,12,,17,,"NEVADA
(39.491833, -117.070159)",
GUAM,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WASHINGTON,2017,10,575,,589,,818,,4930,,6003,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
NEW HAMPSHIRE,2017,10,71,,104,,218,,1468,,1193,,,-,0,,1,,,-,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEBRASKA,2017,10,,-,150,,274,,1131,,1622,,,-,0,,1,,1,,2,,"NEBRASKA
(41.640503, -99.367122)",
UNITED STATES,2017,11,11612,,30351,,33115,,267289,,337129,,,-,208,,343,,1587,,2222,,,
NEW ENGLAND,2017,11,151,,1084,,1323,,9133,,11870,,,-,0,,1,,,-,1,,,
MID. ATLANTIC,2017,11,2442,,4602,,5066,,47764,,50555,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,11,633,,1307,,1577,,14486,,14441,,,N,0,,0,,,N,,N,,
E.N. CENTRAL,2017,11,561,,4384,,5082,,35694,,51364,,,-,1,,7,,9,,15,,,
W.N. CENTRAL,2017,11,394,,1811,,2062,,15436,,20315,,,-,2,,8,,3,,11,,,
S. ATLANTIC,2017,11,1916,,5583,,7102,,36127,,64230,,,-,0,,2,,,-,3,,,
E.S. CENTRAL,2017,11,599,,1906,,2462,,16321,,18121,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2017,11,3652,,3955,,5433,,44922,,43132,,,-,0,,3,,1,,4,,,
MOUNTAIN,2017,11,1006,,2001,,2637,,18426,,21777,,,-,121,,161,,1203,,1412,,,
PACIFIC,2017,11,891,,4986,,5620,,43466,,55765,,,-,80,,201,,371,,776,,,
AMER. SAMOA,2017,11,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
NEW MEXICO,2017,11,61,,236,,399,,2113,,2889,,,-,0,,2,,,-,8,,"NEW MEXICO
(34.520396, -106.244402)",
CALIFORNIA,2017,11,,-,3810,,4321,,33208,,42957,,,-,79,,201,,368,,774,,"CALIFORNIA
(37.640735, -121.002435)",
COLORADO,2017,11,,-,492,,1192,,5039,,4753,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
ALABAMA,2017,11,434,,513,,735,,5234,,5623,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
TENNESSEE,2017,11,165,,649,,843,,5847,,7006,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
ARIZONA,2017,11,671,,645,,1077,,5898,,6793,,,-,117,,157,,1179,,1378,,"ARIZONA
(34.869712, -111.760902)",
OKLAHOMA,2017,11,50,,280,,339,,2426,,3563,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
MINNESOTA,2017,11,15,,434,,527,,2296,,4882,,,-,1,,4,,,-,7,,"MINNESOTA
(46.357661, -94.793397)",
GEORGIA,2017,11,,-,874,,1159,,,-,9795,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
IDAHO,2017,11,,-,102,,164,,458,,1493,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
WEST VIRGINIA,2017,11,,-,90,,128,,837,,1087,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
MONTANA,2017,11,,-,79,,108,,,-,1019,,,-,0,,2,,2,,3,,"MONTANA
(47.062617, -109.430168)",
DELAWARE,2017,11,107,,101,,197,,1193,,1106,,,-,0,,1,,,-,1,,"DELAWARE
(39.008676, -75.574561)",
ILLINOIS,2017,11,50,,1245,,1383,,7068,,15420,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
MISSISSIPPI,2017,11,,-,349,,705,,1855,,4194,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
NORTH CAROLINA,2017,11,1,,1074,,1235,,4523,,12521,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
SOUTH CAROLINA,2017,11,621,,583,,789,,6637,,6556,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
VIRGIN ISL.,2017,11,,-,8,,28,,46,,148,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
DIST. OF COL.,2017,11,,-,152,,294,,673,,1652,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NEW JERSEY,2017,11,177,,643,,725,,6550,,8263,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
SOUTH DAKOTA,2017,11,1,,79,,104,,611,,1006,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
VIRGINIA,2017,11,,-,495,,1319,,,-,7382,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
MICHIGAN,2017,11,203,,843,,1127,,6588,,9771,,,-,0,,3,,4,,9,,"MICHIGAN
(44.66399, -84.711206)",
PENNSYLVANIA,2017,11,761,,1819,,2066,,18348,,19695,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
ARKANSAS,2017,11,215,,269,,508,,2065,,3130,,,-,0,,1,,1,,,-,"ARKANSAS
(34.748745, -92.275105)",
NEBRASKA,2017,11,86,,150,,275,,1493,,1756,,,-,0,,1,,1,,2,,"NEBRASKA
(41.640503, -99.367122)",
MASSACHUSETTS,2017,11,,-,519,,607,,5114,,5805,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
WYOMING,2017,11,21,,34,,55,,303,,483,,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
GUAM,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEW HAMPSHIRE,2017,11,150,,104,,218,,1623,,1388,,,-,0,,1,,,-,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
C.N.M.I.,2017,11,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
PUERTO RICO,2017,11,,-,128,,481,,1466,,1072,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
LOUISIANA,2017,11,655,,658,,1983,,8177,,5438,,,-,0,,3,,,-,4,,"LOUISIANA
(31.2931, -92.463284)",
NEW YORK,2017,11,871,,813,,1969,,8380,,8156,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
UTAH,2017,11,121,,183,,232,,2144,,2127,,,-,1,,3,,5,,4,,"UTAH
(39.359772, -111.584173)",
HAWAII,2017,11,2,,131,,174,,1036,,1391,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
WASHINGTON,2017,11,478,,580,,818,,5408,,6795,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
VERMONT,2017,11,,-,21,,96,,190,,428,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
OHIO,2017,11,,-,1154,,1275,,10723,,13504,,,-,0,,4,,5,,4,,"OHIO
(40.056807, -82.405897)",
OREGON,2017,11,411,,331,,440,,3814,,3459,,,-,0,,2,,3,,2,,"OREGON
(44.567912, -120.156945)",
TEXAS,2017,11,2732,,2815,,4055,,32254,,31001,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
WISCONSIN,2017,11,,-,496,,627,,4762,,5744,,,-,0,,2,,,-,2,,"WISCONSIN
(44.395526, -89.834513)",
MISSOURI,2017,11,178,,593,,750,,5554,,6569,,,-,0,,2,,2,,1,,"MISSOURI
(38.636168, -92.566292)",
FLORIDA,2017,11,969,,1783,,2767,,18212,,19040,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
KANSAS,2017,11,78,,238,,287,,2522,,2624,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
NORTH DAKOTA,2017,11,,-,57,,93,,410,,809,,,-,0,,1,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
MAINE,2017,11,,-,83,,157,,971,,802,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
CONNECTICUT,2017,11,1,,248,,386,,854,,2703,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
ALASKA,2017,11,,-,106,,142,,,-,1163,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
MARYLAND,2017,11,218,,586,,1338,,4052,,5091,,,-,0,,2,,,-,2,,"MARYLAND
(39.290443, -76.612333)",
NEVADA,2017,11,132,,212,,330,,2471,,2220,,,-,1,,5,,17,,19,,"NEVADA
(39.491833, -117.070159)",
INDIANA,2017,11,308,,595,,763,,6553,,6925,,,N,0,,0,,,N,,N,"INDIANA
(39.76845, -86.156212)",
IOWA,2017,11,36,,249,,302,,2550,,2669,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
RHODE ISLAND,2017,11,,-,73,,486,,381,,744,,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
KENTUCKY,2017,11,,-,393,,687,,3385,,1298,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
UNITED STATES,2017,12,15023,,29971,,32547,,302372,,361692,,111,,208,,369,,1848,,2416,,,
NEW ENGLAND,2017,12,544,,1086,,1367,,10832,,13007,,,-,0,,1,,,-,1,,,
MID. ATLANTIC,2017,12,2706,,3925,,5075,,51759,,47193,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,12,585,,1307,,1579,,15748,,15686,,,N,0,,0,,,N,,N,,
E.N. CENTRAL,2017,12,953,,4415,,5098,,39460,,55957,,,-,1,,7,,9,,15,,,
W.N. CENTRAL,2017,12,327,,1813,,2062,,16884,,22143,,1,,2,,8,,4,,13,,,
S. ATLANTIC,2017,12,2047,,5736,,7234,,39970,,72070,,,-,0,,2,,1,,3,,,
E.S. CENTRAL,2017,12,1019,,1935,,2486,,18032,,20098,,,-,0,,1,,1,,,-,,
W.S. CENTRAL,2017,12,3571,,3971,,5433,,48846,,47012,,,-,0,,3,,1,,4,,,
MOUNTAIN,2017,12,1005,,2006,,2637,,22392,,23628,,96,,121,,161,,1363,,1544,,,
PACIFIC,2017,12,2851,,4991,,5668,,54197,,60584,,14,,81,,227,,469,,836,,,
AMER. SAMOA,2017,12,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
WEST VIRGINIA,2017,12,6,,90,,128,,908,,1160,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
SOUTH CAROLINA,2017,12,495,,583,,789,,7131,,7105,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
C.N.M.I.,2017,12,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
CONNECTICUT,2017,12,5,,255,,408,,1139,,2965,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
NEW MEXICO,2017,12,62,,239,,400,,2579,,3116,,,-,0,,2,,,-,8,,"NEW MEXICO
(34.520396, -106.244402)",
MAINE,2017,12,64,,83,,157,,1114,,887,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
NORTH CAROLINA,2017,12,,-,1082,,1236,,5321,,13495,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
TENNESSEE,2017,12,,-,638,,843,,5847,,7506,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
WISCONSIN,2017,12,356,,496,,627,,5424,,6233,,,-,0,,2,,,-,2,,"WISCONSIN
(44.395526, -89.834513)",
NEW YORK,2017,12,996,,818,,1970,,9374,,8937,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
VIRGIN ISL.,2017,12,,-,8,,28,,46,,154,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MISSISSIPPI,2017,12,316,,338,,709,,2222,,4562,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
ARKANSAS,2017,12,,-,269,,508,,2065,,3448,,,-,0,,1,,1,,,-,"ARKANSAS
(34.748745, -92.275105)",
OREGON,2017,12,386,,331,,440,,4198,,3788,,,-,0,,2,,3,,3,,"OREGON
(44.567912, -120.156945)",
MINNESOTA,2017,12,8,,434,,527,,2352,,5290,,,-,1,,4,,,-,8,,"MINNESOTA
(46.357661, -94.793397)",
RHODE ISLAND,2017,12,73,,72,,494,,505,,863,,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
DELAWARE,2017,12,96,,102,,197,,1289,,1187,,,-,0,,1,,,-,1,,"DELAWARE
(39.008676, -75.574561)",
FLORIDA,2017,12,1059,,1784,,2769,,20082,,20793,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
DIST. OF COL.,2017,12,,-,148,,294,,673,,1836,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
OKLAHOMA,2017,12,48,,280,,339,,2652,,3863,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
VERMONT,2017,12,8,,24,,97,,283,,466,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
GUAM,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
KENTUCKY,2017,12,259,,395,,714,,4204,,1976,,,-,0,,1,,1,,,-,"KENTUCKY
(37.64591, -84.774043)",
MARYLAND,2017,12,391,,588,,1338,,4566,,5568,,,-,0,,2,,1,,2,,"MARYLAND
(39.290443, -76.612333)",
VIRGINIA,2017,12,,-,441,,1319,,,-,7927,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
WYOMING,2017,12,31,,34,,55,,349,,511,,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
UTAH,2017,12,126,,183,,232,,2361,,2299,,,-,1,,3,,5,,4,,"UTAH
(39.359772, -111.584173)",
MICHIGAN,2017,12,244,,842,,1127,,7318,,10731,,,-,0,,3,,4,,9,,"MICHIGAN
(44.66399, -84.711206)",
ILLINOIS,2017,12,47,,1300,,1421,,8396,,16805,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
MASSACHUSETTS,2017,12,312,,525,,611,,6077,,6299,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
PUERTO RICO,2017,12,,-,131,,481,,1707,,1078,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
NEW HAMPSHIRE,2017,12,82,,104,,218,,1714,,1527,,,-,0,,1,,,-,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ARIZONA,2017,12,729,,651,,1083,,7002,,7316,,96,,117,,157,,1330,,1509,,"ARIZONA
(34.869712, -111.760902)",
CALIFORNIA,2017,12,1940,,3829,,4369,,42846,,46615,,14,,80,,227,,466,,833,,"CALIFORNIA
(37.640735, -121.002435)",
GEORGIA,2017,12,,-,1030,,1228,,,-,12999,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
ALASKA,2017,12,,-,103,,142,,,-,1275,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
LOUISIANA,2017,12,740,,658,,1983,,8846,,5906,,,-,0,,3,,,-,4,,"LOUISIANA
(31.2931, -92.463284)",
OHIO,2017,12,8,,1154,,1275,,11089,,14651,,,-,0,,4,,5,,4,,"OHIO
(40.056807, -82.405897)",
MONTANA,2017,12,11,,83,,158,,1106,,1122,,,-,0,,2,,2,,3,,"MONTANA
(47.062617, -109.430168)",
NEW JERSEY,2017,12,267,,643,,725,,7191,,8908,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
KANSAS,2017,12,13,,239,,288,,2689,,2872,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
PENNSYLVANIA,2017,12,858,,1107,,2004,,19446,,13662,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
MISSOURI,2017,12,178,,588,,750,,6203,,7170,,,-,0,,2,,2,,2,,"MISSOURI
(38.636168, -92.566292)",
NEBRASKA,2017,12,51,,151,,275,,1704,,1912,,1,,0,,1,,2,,2,,"NEBRASKA
(41.640503, -99.367122)",
COLORADO,2017,12,,-,492,,1192,,5557,,5280,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
NEVADA,2017,12,46,,212,,332,,2617,,2387,,,-,1,,5,,26,,20,,"NEVADA
(39.491833, -117.070159)",
IOWA,2017,12,73,,249,,302,,2820,,2940,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
NORTH DAKOTA,2017,12,,-,57,,93,,476,,871,,,-,0,,1,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
IDAHO,2017,12,,-,105,,164,,821,,1597,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
HAWAII,2017,12,2,,132,,178,,1222,,1488,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
INDIANA,2017,12,298,,597,,763,,7233,,7537,,,N,0,,0,,,N,,N,"INDIANA
(39.76845, -86.156212)",
WASHINGTON,2017,12,523,,575,,818,,5931,,7418,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
TEXAS,2017,12,2783,,2838,,4051,,35283,,33795,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
SOUTH DAKOTA,2017,12,4,,79,,104,,640,,1088,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
ALABAMA,2017,12,444,,517,,735,,5759,,6054,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
