Reporting Area,MMWRYear,MMWRWeek,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Med","Cryptosporidiosis, Previous 52 weeks Med, flag","Cryptosporidiosis, Previous 52 weeks Max","Cryptosporidiosis, Previous 52 weeks Max, flag","Cryptosporidiosis, Cum 2017","Cryptosporidiosis, Cum 2017, flag","Cryptosporidiosis, Cum 2016","Cryptosporidiosis, Cum 2016, flag","Dengue Virus Infection, Dengue§, Current week","Dengue Virus Infection, Dengue§, Current week, flag","Dengue Virus Infection, Dengue§, Previous 52 weeks Med","Dengue Virus Infection, Dengue§, Previous 52 weeks Med, flag","Dengue Virus Infection, Dengue§, Previous 52 weeks Max","Dengue Virus Infection, Dengue§, Previous 52 weeks Max, flag","Dengue Virus Infection, Dengue§, Cum 2017","Dengue Virus Infection, Dengue§, Cum 2017, flag","Dengue Virus Infection, Dengue§, Cum 2016","Dengue Virus Infection, Dengue§, Cum 2016, flag","Dengue Virus Infection, Severe Dengue, Current week","Dengue Virus Infection, Severe Dengue, Current week, flag","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Med","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Med, flag","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Max","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Max, flag","Dengue Virus Infection, Severe Dengue, Cum 2017","Dengue Virus Infection, Severe Dengue, Cum 2017, flag","Dengue Virus Infection, Severe Dengue, Cum 2016","Dengue Virus Infection, Severe Dengue, Cum 2016, flag",Location 1,Location 2
UNITED STATES,2017,1,31,,152,,715,,31,,108,,1,,13,,49,,1,,49,,,-,0,,1,,,-,,-,,
NEW ENGLAND,2017,1,,-,7,,23,,,-,2,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,1,11,,14,,60,,11,,13,,,-,3,,9,,,-,9,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,1,5,,3,,12,,5,,4,,,-,0,,4,,,-,3,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,1,11,,34,,298,,11,,30,,,-,1,,7,,,-,2,,,-,0,,1,,,-,,-,,
W.N. CENTRAL,2017,1,1,,26,,107,,1,,14,,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,
S. ATLANTIC,2017,1,1,,25,,78,,1,,22,,,-,2,,7,,,-,7,,,-,0,,1,,,-,,-,,
E.S. CENTRAL,2017,1,3,,10,,43,,3,,6,,1,,0,,3,,1,,,-,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2017,1,,-,17,,39,,,-,3,,,-,1,,4,,,-,1,,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,1,3,,11,,109,,3,,10,,,-,1,,4,,,-,1,,,-,0,,1,,,-,,-,,
PACIFIC,2017,1,1,,13,,47,,1,,8,,,-,3,,27,,,-,27,,,-,0,,1,,,-,,-,,
AMER. SAMOA,2017,1,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
VERMONT,2017,1,,-,1,,10,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
PUERTO RICO,2017,1,,-,0,,1,,,-,,-,,-,2,,27,,,-,2,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NORTH DAKOTA,2017,1,,-,0,,5,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
VIRGINIA,2017,1,,-,4,,12,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
C.N.M.I.,2017,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEW JERSEY,2017,1,,-,2,,18,,,-,2,,,-,1,,5,,,-,2,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
OREGON,2017,1,1,,6,,26,,1,,3,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
PENNSYLVANIA,2017,1,,-,7,,22,,,-,6,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
MISSOURI,2017,1,,-,6,,22,,,-,2,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
MINNESOTA,2017,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
ALABAMA,2017,1,3,,5,,27,,3,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
HAWAII,2017,1,,-,0,,3,,,-,,-,,-,0,,11,,,-,11,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
UTAH,2017,1,,-,3,,24,,,-,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
COLORADO,2017,1,2,,0,,1,,2,,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
DELAWARE,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
WEST VIRGINIA,2017,1,,-,0,,5,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MONTANA,2017,1,,-,1,,5,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NORTH CAROLINA,2017,1,,-,3,,17,,,-,3,,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
OHIO,2017,1,8,,12,,206,,8,,9,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
GEORGIA,2017,1,,-,6,,25,,,-,7,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MARYLAND,2017,1,,-,2,,10,,,-,3,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
NEVADA,2017,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
KENTUCKY,2017,1,,-,2,,7,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
WYOMING,2017,1,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
IDAHO,2017,1,,-,2,,10,,,-,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
ILLINOIS,2017,1,,-,4,,50,,,-,4,,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
TEXAS,2017,1,,-,11,,33,,,-,3,,,-,1,,4,,,-,,-,,-,0,,1,,,-,,-,"TEXAS
(31.827233, -99.423022)",
NEW HAMPSHIRE,2017,1,,-,1,,7,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
KANSAS,2017,1,,-,2,,7,,,-,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
CONNECTICUT,2017,1,,-,1,,5,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
LOUISIANA,2017,1,,-,1,,5,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
NEW YORK,2017,1,6,,5,,25,,6,,1,,,-,1,,5,,,-,3,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
ALASKA,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MAINE,2017,1,,-,1,,4,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
OKLAHOMA,2017,1,,-,3,,9,,,-,,-,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
GUAM,2017,1,,-,0,,0,,,-,,-,,-,1,,1,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
ARIZONA,2017,1,1,,3,,83,,1,,3,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
ARKANSAS,2017,1,,-,1,,4,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
DIST. OF COL.,2017,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
WISCONSIN,2017,1,3,,12,,52,,3,,9,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
NEW MEXICO,2017,1,,-,1,,7,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
MICHIGAN,2017,1,,-,6,,23,,,-,6,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
FLORIDA,2017,1,1,,12,,31,,1,,4,,,-,1,,4,,,-,4,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
WASHINGTON,2017,1,,-,0,,34,,,-,,-,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
VIRGIN ISL.,2017,1,,-,0,,0,,,-,,-,,-,1,,5,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
CALIFORNIA,2017,1,,-,7,,15,,,-,5,,,-,2,,15,,,-,15,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
MASSACHUSETTS,2017,1,,-,3,,14,,,-,2,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
SOUTH CAROLINA,2017,1,,-,1,,8,,,-,5,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
SOUTH DAKOTA,2017,1,,-,3,,7,,,-,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
IOWA,2017,1,,-,9,,65,,,-,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
TENNESSEE,2017,1,,-,3,,9,,,-,2,,1,,0,,1,,1,,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
MISSISSIPPI,2017,1,,-,1,,3,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
INDIANA,2017,1,,-,3,,8,,,-,2,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
RHODE ISLAND,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEBRASKA,2017,1,1,,4,,16,,1,,4,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
UNITED STATES,2017,2,51,,155,,732,,96,,217,,,-,13,,40,,1,,86,,,-,0,,1,,,-,,-,,
NEW ENGLAND,2017,2,,-,7,,23,,,-,5,,,-,0,,1,,,-,4,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,2,9,,14,,60,,22,,26,,,-,3,,10,,,-,14,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,2,7,,3,,12,,12,,7,,,-,0,,4,,,-,7,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,2,5,,34,,303,,20,,50,,,-,1,,7,,,-,7,,,-,0,,1,,,-,,-,,
W.N. CENTRAL,2017,2,2,,26,,107,,3,,23,,,-,0,,3,,,-,3,,,-,0,,0,,,-,,-,,
S. ATLANTIC,2017,2,12,,25,,79,,18,,58,,,-,2,,7,,,-,14,,,-,0,,1,,,-,,-,,
E.S. CENTRAL,2017,2,6,,10,,43,,9,,11,,,-,0,,2,,1,,,-,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2017,2,6,,17,,39,,6,,7,,,-,1,,4,,,-,1,,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,2,8,,15,,123,,11,,20,,,-,1,,4,,,-,3,,,-,0,,1,,,-,,-,,
PACIFIC,2017,2,3,,13,,47,,7,,17,,,-,3,,19,,,-,40,,,-,0,,1,,,-,,-,,
AMER. SAMOA,2017,2,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MINNESOTA,2017,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
CONNECTICUT,2017,2,,-,1,,5,,,-,,-,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
WEST VIRGINIA,2017,2,,-,0,,5,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
WASHINGTON,2017,2,,-,0,,34,,,-,,-,,-,0,,2,,,-,3,,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
ILLINOIS,2017,2,,-,5,,50,,3,,7,,,-,0,,3,,,-,3,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
SOUTH DAKOTA,2017,2,,-,3,,7,,,-,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
VERMONT,2017,2,,-,1,,10,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
LOUISIANA,2017,2,,-,1,,5,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
CALIFORNIA,2017,2,2,,7,,15,,5,,11,,,-,2,,13,,,-,18,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
MISSOURI,2017,2,,-,6,,22,,,-,5,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
MISSISSIPPI,2017,2,,-,1,,3,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MAINE,2017,2,,-,1,,4,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
GUAM,2017,2,,-,0,,0,,,-,,-,,-,1,,1,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEBRASKA,2017,2,2,,3,,16,,3,,8,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
GEORGIA,2017,2,4,,6,,25,,8,,17,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
NEW YORK,2017,2,,-,5,,25,,6,,6,,,-,1,,3,,,-,,-,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
KANSAS,2017,2,,-,2,,7,,,-,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
OREGON,2017,2,1,,6,,26,,2,,6,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
ALABAMA,2017,2,2,,5,,27,,5,,4,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
WISCONSIN,2017,2,,-,12,,57,,4,,13,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
DIST. OF COL.,2017,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
SOUTH CAROLINA,2017,2,1,,1,,8,,1,,9,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEW MEXICO,2017,2,,-,1,,7,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
HAWAII,2017,2,,-,0,,3,,,-,,-,,-,0,,11,,,-,19,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
VIRGINIA,2017,2,,-,4,,12,,1,,4,,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
TEXAS,2017,2,4,,12,,33,,4,,6,,,-,1,,4,,,-,,-,,-,0,,1,,,-,,-,"TEXAS
(31.827233, -99.423022)",
NEVADA,2017,2,,-,0,,3,,,-,3,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
TENNESSEE,2017,2,2,,3,,9,,2,,2,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
WYOMING,2017,2,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
UTAH,2017,2,,-,3,,24,,,-,6,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
MONTANA,2017,2,,-,1,,5,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
IDAHO,2017,2,,-,2,,10,,,-,5,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
VIRGIN ISL.,2017,2,,-,0,,0,,,-,,-,,-,1,,5,,,-,1,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
COLORADO,2017,2,6,,3,,14,,8,,1,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
KENTUCKY,2017,2,2,,2,,7,,2,,4,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
MICHIGAN,2017,2,,-,6,,23,,,-,9,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
DELAWARE,2017,2,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
OKLAHOMA,2017,2,1,,3,,9,,1,,,-,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
PENNSYLVANIA,2017,2,2,,7,,22,,4,,11,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
NORTH DAKOTA,2017,2,,-,0,,5,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MASSACHUSETTS,2017,2,,-,3,,14,,,-,4,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
INDIANA,2017,2,,-,3,,8,,,-,8,,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NEW HAMPSHIRE,2017,2,,-,1,,7,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
OHIO,2017,2,5,,12,,206,,13,,13,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
ARKANSAS,2017,2,1,,1,,4,,1,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
IOWA,2017,2,,-,9,,65,,,-,4,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
C.N.M.I.,2017,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
PUERTO RICO,2017,2,,-,0,,1,,,-,,-,,-,2,,27,,,-,4,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEW JERSEY,2017,2,,-,2,,18,,,-,2,,,-,1,,5,,,-,5,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
NORTH CAROLINA,2017,2,,-,4,,17,,,-,5,,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
MARYLAND,2017,2,,-,2,,10,,,-,5,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
ALASKA,2017,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
ARIZONA,2017,2,2,,2,,83,,3,,3,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
RHODE ISLAND,2017,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
FLORIDA,2017,2,7,,12,,31,,8,,16,,,-,1,,3,,,-,7,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
UNITED STATES,2017,3,49,,156,,728,,170,,344,,,-,13,,36,,2,,122,,,-,0,,1,,,-,,-,,
NEW ENGLAND,2017,3,2,,8,,23,,8,,13,,,-,0,,1,,,-,5,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,3,3,,15,,61,,28,,39,,,-,3,,10,,,-,20,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,3,1,,4,,12,,13,,9,,,-,1,,5,,,-,9,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,3,8,,35,,299,,31,,79,,,-,1,,7,,1,,9,,,-,0,,1,,,-,,-,,
W.N. CENTRAL,2017,3,3,,26,,107,,6,,39,,,-,0,,3,,,-,4,,,-,0,,0,,,-,,-,,
S. ATLANTIC,2017,3,12,,25,,79,,31,,92,,,-,2,,7,,,-,20,,,-,0,,1,,,-,,-,,
E.S. CENTRAL,2017,3,5,,10,,43,,15,,15,,,-,0,,2,,1,,,-,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2017,3,5,,17,,39,,15,,12,,,-,1,,4,,,-,2,,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,3,7,,15,,123,,19,,28,,,-,0,,4,,,-,3,,,-,0,,1,,,-,,-,,
PACIFIC,2017,3,4,,13,,47,,17,,27,,,-,3,,19,,,-,59,,,-,0,,1,,,-,,-,,
AMER. SAMOA,2017,3,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MISSOURI,2017,3,,-,6,,22,,,-,8,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
VIRGIN ISL.,2017,3,,-,0,,0,,,-,,-,,-,1,,6,,,-,3,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
VERMONT,2017,3,1,,1,,10,,1,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MISSISSIPPI,2017,3,,-,1,,3,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
LOUISIANA,2017,3,,-,1,,5,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
NEW HAMPSHIRE,2017,3,,-,1,,7,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MONTANA,2017,3,,-,0,,5,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
ALASKA,2017,3,,-,0,,2,,1,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MICHIGAN,2017,3,,-,6,,19,,,-,11,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
UTAH,2017,3,2,,3,,24,,3,,8,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
INDIANA,2017,3,,-,3,,8,,1,,12,,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
WASHINGTON,2017,3,,-,0,,34,,,-,,-,,-,0,,2,,,-,4,,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
