Reporting Area,MMWRYear,MMWRWeek,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Med","Cryptosporidiosis, Previous 52 weeks Med, flag","Cryptosporidiosis, Previous 52 weeks Max","Cryptosporidiosis, Previous 52 weeks Max, flag","Cryptosporidiosis, Cum 2017","Cryptosporidiosis, Cum 2017, flag","Cryptosporidiosis, Cum 2016","Cryptosporidiosis, Cum 2016, flag","Dengue Virus Infection, Dengue§, Current week","Dengue Virus Infection, Dengue§, Current week, flag","Dengue Virus Infection, Dengue§, Previous 52 weeks Med","Dengue Virus Infection, Dengue§, Previous 52 weeks Med, flag","Dengue Virus Infection, Dengue§, Previous 52 weeks Max","Dengue Virus Infection, Dengue§, Previous 52 weeks Max, flag","Dengue Virus Infection, Dengue§, Cum 2017","Dengue Virus Infection, Dengue§, Cum 2017, flag","Dengue Virus Infection, Dengue§, Cum 2016","Dengue Virus Infection, Dengue§, Cum 2016, flag","Dengue Virus Infection, Severe Dengue, Current week","Dengue Virus Infection, Severe Dengue, Current week, flag","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Med","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Med, flag","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Max","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Max, flag","Dengue Virus Infection, Severe Dengue, Cum 2017","Dengue Virus Infection, Severe Dengue, Cum 2017, flag","Dengue Virus Infection, Severe Dengue, Cum 2016","Dengue Virus Infection, Severe Dengue, Cum 2016, flag",Location 1,Location 2
KANSAS,2017,3,,-,2,,7,,,-,4,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
ALABAMA,2017,3,2,,5,,27,,8,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
IOWA,2017,3,1,,9,,65,,1,,9,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
WYOMING,2017,3,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
IDAHO,2017,3,1,,2,,10,,1,,7,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
WEST VIRGINIA,2017,3,,-,0,,5,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
GEORGIA,2017,3,,-,6,,25,,8,,24,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
C.N.M.I.,2017,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MAINE,2017,3,1,,1,,4,,2,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
VIRGINIA,2017,3,1,,4,,12,,2,,5,,,-,0,,3,,,-,4,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
CONNECTICUT,2017,3,,-,1,,5,,1,,2,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
GUAM,2017,3,,-,0,,0,,,-,,-,,-,1,,1,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NORTH CAROLINA,2017,3,,-,4,,17,,,-,9,,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
OREGON,2017,3,1,,5,,26,,5,,9,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
RHODE ISLAND,2017,3,,-,0,,2,,,-,,-,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
FLORIDA,2017,3,11,,11,,31,,19,,34,,,-,0,,3,,,-,9,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
SOUTH CAROLINA,2017,3,,-,1,,8,,2,,10,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
ARIZONA,2017,3,2,,2,,81,,5,,4,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
KENTUCKY,2017,3,,-,2,,7,,3,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
NEW YORK,2017,3,,-,5,,25,,6,,10,,,-,1,,3,,,-,1,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
NORTH DAKOTA,2017,3,,-,0,,5,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
HAWAII,2017,3,,-,0,,3,,,-,,-,,-,0,,11,,,-,29,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
WISCONSIN,2017,3,3,,12,,58,,10,,20,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
ARKANSAS,2017,3,,-,1,,4,,2,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
DIST. OF COL.,2017,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
OKLAHOMA,2017,3,2,,3,,9,,3,,1,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
NEBRASKA,2017,3,2,,3,,16,,5,,10,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MASSACHUSETTS,2017,3,,-,3,,14,,4,,9,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW JERSEY,2017,3,,-,2,,18,,,-,4,,,-,1,,5,,,-,6,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
NEVADA,2017,3,1,,0,,2,,1,,3,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
COLORADO,2017,3,1,,3,,14,,9,,4,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
CALIFORNIA,2017,3,3,,7,,15,,11,,18,,,-,2,,14,,,-,26,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
MINNESOTA,2017,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
OHIO,2017,3,5,,12,,206,,17,,25,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
TEXAS,2017,3,3,,12,,33,,10,,9,,,-,1,,4,,,-,,-,,-,0,,1,,,-,,-,"TEXAS
(31.827233, -99.423022)",
SOUTH DAKOTA,2017,3,,-,3,,7,,,-,7,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MARYLAND,2017,3,,-,2,,10,,,-,7,,,-,0,,2,,,-,4,,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
DELAWARE,2017,3,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
PENNSYLVANIA,2017,3,2,,7,,24,,9,,16,,,-,0,,2,,,-,4,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW MEXICO,2017,3,,-,1,,7,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
PUERTO RICO,2017,3,,-,0,,1,,,-,,-,,-,2,,27,,,-,7,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
TENNESSEE,2017,3,3,,3,,9,,4,,3,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
ILLINOIS,2017,3,,-,5,,50,,3,,11,,,-,0,,3,,,-,4,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
UNITED STATES,2017,4,48,,156,,728,,252,,460,,1,,12,,32,,3,,148,,,-,0,,1,,,-,,-,,
NEW ENGLAND,2017,4,5,,7,,23,,15,,15,,,-,0,,1,,,-,6,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,4,8,,15,,61,,39,,49,,,-,3,,10,,,-,28,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,4,6,,4,,12,,19,,9,,,-,0,,5,,,-,11,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,4,4,,36,,299,,46,,106,,,-,1,,7,,1,,9,,,-,0,,1,,,-,,-,,
W.N. CENTRAL,2017,4,3,,26,,107,,16,,49,,,-,0,,3,,,-,4,,,-,0,,0,,,-,,-,,
S. ATLANTIC,2017,4,8,,25,,79,,41,,111,,,-,2,,7,,,-,25,,,-,0,,1,,,-,,-,,
E.S. CENTRAL,2017,4,4,,10,,43,,20,,25,,1,,0,,2,,2,,,-,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2017,4,5,,17,,39,,21,,27,,,-,1,,4,,,-,2,,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,4,11,,15,,122,,32,,39,,,-,0,,4,,,-,3,,,-,0,,1,,,-,,-,,
PACIFIC,2017,4,,-,13,,47,,22,,39,,,-,3,,14,,,-,71,,,-,0,,1,,,-,,-,,
AMER. SAMOA,2017,4,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
NEBRASKA,2017,4,1,,3,,16,,7,,12,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
IDAHO,2017,4,1,,2,,10,,2,,8,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
KENTUCKY,2017,4,,-,2,,7,,3,,6,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
CONNECTICUT,2017,4,,-,1,,5,,2,,3,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
VIRGINIA,2017,4,3,,4,,12,,6,,6,,,-,0,,3,,,-,5,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
UTAH,2017,4,1,,3,,24,,4,,10,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
NORTH CAROLINA,2017,4,,-,3,,17,,,-,14,,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
LOUISIANA,2017,4,,-,1,,5,,,-,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
NEW JERSEY,2017,4,,-,2,,18,,,-,8,,,-,0,,5,,,-,8,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
SOUTH CAROLINA,2017,4,,-,1,,8,,2,,10,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
FLORIDA,2017,4,4,,11,,31,,23,,43,,,-,0,,3,,,-,11,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
OKLAHOMA,2017,4,1,,3,,9,,4,,4,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
MISSISSIPPI,2017,4,1,,1,,3,,1,,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
C.N.M.I.,2017,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
PENNSYLVANIA,2017,4,2,,7,,24,,14,,21,,,-,0,,2,,,-,6,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
DELAWARE,2017,4,,-,0,,2,,,-,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
VIRGIN ISL.,2017,4,,-,0,,0,,,-,,-,,-,1,,6,,1,,8,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ILLINOIS,2017,4,,-,5,,50,,3,,14,,,-,0,,3,,,-,4,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
MARYLAND,2017,4,,-,1,,10,,,-,7,,,-,0,,1,,,-,5,,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
OHIO,2017,4,2,,11,,207,,19,,37,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
RHODE ISLAND,2017,4,,-,0,,2,,,-,,-,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
KANSAS,2017,4,,-,2,,7,,2,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
GEORGIA,2017,4,1,,5,,25,,10,,27,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
NEW MEXICO,2017,4,,-,1,,7,,1,,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
MONTANA,2017,4,,-,0,,5,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
HAWAII,2017,4,,-,0,,3,,,-,,-,,-,0,,11,,,-,40,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
TENNESSEE,2017,4,3,,3,,9,,8,,10,,1,,0,,1,,2,,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
COLORADO,2017,4,7,,3,,14,,16,,7,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
PUERTO RICO,2017,4,,-,0,,1,,,-,,-,,-,2,,27,,,-,16,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
ARIZONA,2017,4,2,,3,,82,,8,,6,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
WISCONSIN,2017,4,2,,12,,58,,14,,24,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
GUAM,2017,4,,-,0,,0,,,-,,-,,-,1,,1,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
INDIANA,2017,4,,-,3,,8,,4,,18,,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
MAINE,2017,4,1,,1,,4,,3,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
ARKANSAS,2017,4,,-,1,,4,,2,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
ALABAMA,2017,4,,-,5,,27,,8,,7,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
SOUTH DAKOTA,2017,4,,-,3,,7,,,-,9,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NORTH DAKOTA,2017,4,,-,0,,5,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NEW YORK,2017,4,,-,5,,25,,6,,11,,,-,1,,3,,,-,3,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
NEW HAMPSHIRE,2017,4,,-,1,,7,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MASSACHUSETTS,2017,4,2,,3,,14,,7,,10,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
WEST VIRGINIA,2017,4,,-,0,,5,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MICHIGAN,2017,4,,-,6,,19,,6,,13,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
NEVADA,2017,4,,-,0,,2,,1,,3,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MISSOURI,2017,4,2,,6,,22,,6,,10,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
CALIFORNIA,2017,4,,-,6,,15,,16,,24,,,-,2,,14,,,-,27,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
ALASKA,2017,4,,-,0,,2,,1,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
WASHINGTON,2017,4,,-,0,,34,,,-,,-,,-,0,,2,,,-,4,,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
MINNESOTA,2017,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
IOWA,2017,4,,-,9,,65,,1,,11,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
OREGON,2017,4,,-,5,,26,,5,,15,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
WYOMING,2017,4,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
DIST. OF COL.,2017,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
TEXAS,2017,4,4,,12,,33,,15,,15,,,-,1,,4,,,-,,-,,-,0,,1,,,-,,-,"TEXAS
(31.827233, -99.423022)",
VERMONT,2017,4,2,,1,,10,,3,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
UNITED STATES,2017,5,45,,157,,728,,360,,592,,,-,12,,32,,6,,169,,,-,0,,1,,,-,,-,,
NEW ENGLAND,2017,5,,-,7,,23,,15,,18,,,-,0,,1,,,-,6,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,5,4,,15,,61,,47,,60,,,-,3,,10,,,-,35,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,5,1,,4,,12,,20,,13,,,-,0,,5,,,-,15,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,5,9,,36,,294,,65,,132,,,-,1,,7,,1,,11,,,-,0,,1,,,-,,-,,
W.N. CENTRAL,2017,5,1,,26,,107,,24,,69,,,-,0,,3,,,-,5,,,-,0,,0,,,-,,-,,
S. ATLANTIC,2017,5,8,,25,,79,,67,,137,,,-,2,,7,,,-,30,,,-,0,,1,,,-,,-,,
E.S. CENTRAL,2017,5,3,,10,,43,,26,,34,,,-,0,,2,,4,,,-,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2017,5,10,,17,,39,,38,,40,,,-,1,,4,,,-,2,,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,5,7,,15,,122,,47,,50,,,-,0,,4,,,-,3,,,-,0,,1,,,-,,-,,
PACIFIC,2017,5,3,,13,,47,,31,,52,,,-,3,,14,,1,,77,,,-,0,,1,,,-,,-,,
AMER. SAMOA,2017,5,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
WASHINGTON,2017,5,,-,0,,34,,,-,,-,,-,0,,2,,,-,5,,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
DIST. OF COL.,2017,5,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
VIRGIN ISL.,2017,5,,-,0,,0,,,-,,-,,-,1,,6,,1,,9,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
TENNESSEE,2017,5,2,,3,,9,,10,,11,,,-,0,,1,,2,,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
CONNECTICUT,2017,5,,-,1,,5,,2,,3,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
SOUTH DAKOTA,2017,5,,-,3,,7,,,-,12,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MISSOURI,2017,5,,-,6,,22,,6,,16,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
DELAWARE,2017,5,,-,0,,2,,,-,3,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
VIRGINIA,2017,5,1,,4,,12,,8,,8,,,-,0,,3,,,-,6,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
NEW HAMPSHIRE,2017,5,,-,1,,7,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
GEORGIA,2017,5,,-,6,,26,,18,,32,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
ARKANSAS,2017,5,2,,1,,4,,4,,6,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
FLORIDA,2017,5,6,,11,,31,,29,,55,,,-,0,,3,,,-,14,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
CALIFORNIA,2017,5,2,,7,,15,,22,,30,,,-,3,,14,,1,,29,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
MASSACHUSETTS,2017,5,,-,3,,14,,7,,11,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW YORK,2017,5,,-,5,,25,,6,,13,,,-,1,,3,,,-,3,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
WISCONSIN,2017,5,2,,12,,62,,22,,34,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
C.N.M.I.,2017,5,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
ARIZONA,2017,5,1,,3,,82,,12,,7,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
MONTANA,2017,5,,-,1,,5,,1,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
IOWA,2017,5,,-,9,,65,,6,,21,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
NEBRASKA,2017,5,1,,3,,16,,9,,13,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
WYOMING,2017,5,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MAINE,2017,5,,-,1,,4,,3,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEVADA,2017,5,,-,0,,2,,1,,3,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
OHIO,2017,5,7,,9,,207,,26,,42,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
NEW JERSEY,2017,5,,-,1,,18,,,-,8,,,-,0,,6,,,-,11,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
NORTH DAKOTA,2017,5,,-,0,,5,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MICHIGAN,2017,5,,-,6,,19,,6,,17,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
ILLINOIS,2017,5,,-,5,,50,,4,,18,,,-,0,,3,,,-,6,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
OKLAHOMA,2017,5,1,,3,,9,,5,,5,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
COLORADO,2017,5,4,,4,,14,,20,,11,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
INDIANA,2017,5,,-,3,,9,,7,,21,,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
TEXAS,2017,5,3,,12,,33,,20,,22,,,-,1,,4,,,-,,-,,-,0,,1,,,-,,-,"TEXAS
(31.827233, -99.423022)",
NEW MEXICO,2017,5,1,,1,,7,,4,,4,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
IDAHO,2017,5,1,,2,,10,,4,,10,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
MINNESOTA,2017,5,,-,0,,0,,,-,,-,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
SOUTH CAROLINA,2017,5,,-,1,,8,,4,,13,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
NORTH CAROLINA,2017,5,,-,3,,17,,6,,16,,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
KENTUCKY,2017,5,1,,2,,7,,4,,8,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
VERMONT,2017,5,,-,1,,10,,3,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
HAWAII,2017,5,,-,0,,3,,,-,,-,,-,0,,4,,,-,43,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
GUAM,2017,5,,-,0,,0,,,-,,-,,-,1,,1,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MARYLAND,2017,5,1,,1,,10,,2,,8,,,-,0,,1,,,-,5,,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
KANSAS,2017,5,,-,2,,7,,3,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
LOUISIANA,2017,5,4,,1,,5,,9,,7,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
RHODE ISLAND,2017,5,,-,0,,2,,,-,,-,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
