Reporting Area,MMWR Year,MMWR Week,"Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Current week","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Current week, flag","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Med","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Med, flag","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Max","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Max, flag","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Cum 2017","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Cum 2017, flag","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Cum 2016","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Cum 2016, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Current week","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Current week, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Med","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Med, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Max","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Max, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Cum 2017","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Cum 2017, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Cum 2016","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Cum 2016, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Current week","Ehrlichiosis and Anaplasmosis§, Undetermined, Current week, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Previous 52 weeks Med","Ehrlichiosis and Anaplasmosis§, Undetermined, Previous 52 weeks Med, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Previous 52 weeks Max","Ehrlichiosis and Anaplasmosis§, Undetermined, Previous 52 weeks Max, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Cum 2017","Ehrlichiosis and Anaplasmosis§, Undetermined, Cum 2017, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Cum 2016","Ehrlichiosis and Anaplasmosis§, Undetermined, Cum 2016, flag",Location 1,Location 2
UNITED STATES,2017,1,,-,13,,90,,,-,3,,4,,42,,198,,4,,9,,1,,2,,9,,1,,,-,,
NEW ENGLAND,2017,1,,-,0,,8,,,-,,-,,-,19,,100,,,-,7,,,-,0,,2,,,-,,-,,
MID. ATLANTIC,2017,1,,-,3,,17,,,-,,-,4,,13,,60,,4,,1,,1,,0,,3,,1,,,-,,
NEW YORK CITY,2017,1,,-,0,,3,,,-,,-,4,,1,,5,,4,,,-,1,,0,,1,,1,,,-,,
E.N. CENTRAL,2017,1,,-,1,,8,,,-,,-,,-,6,,41,,,-,,-,,-,1,,5,,,-,,-,,
W.N. CENTRAL,2017,1,,-,2,,25,,,-,1,,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,,
S. ATLANTIC,2017,1,,-,2,,18,,,-,2,,,-,1,,4,,,-,1,,,-,0,,2,,,-,,-,,
E.S. CENTRAL,2017,1,,-,1,,12,,,-,,-,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,
W.S. CENTRAL,2017,1,,-,2,,18,,,-,,-,,-,0,,5,,,-,,-,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,
PACIFIC,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,
AMER. SAMOA,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
TEXAS,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"TEXAS
(31.827233, -99.423022)",
TENNESSEE,2017,1,,-,1,,10,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
KENTUCKY,2017,1,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
RHODE ISLAND,2017,1,,-,0,,6,,,-,,-,,-,0,,18,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
CONNECTICUT,2017,1,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
MARYLAND,2017,1,,-,0,,9,,,-,1,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
DIST. OF COL.,2017,1,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MICHIGAN,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
GEORGIA,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
IDAHO,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
VIRGIN ISL.,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
LOUISIANA,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
WEST VIRGINIA,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
PUERTO RICO,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
MINNESOTA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
HAWAII,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
DELAWARE,2017,1,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEW MEXICO,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW MEXICO
(34.520396, -106.244402)",
SOUTH CAROLINA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
ALASKA,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
WYOMING,2017,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
ALABAMA,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
GUAM,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"GUAM
(13.3532, 144.653198)",
NEW HAMPSHIRE,2017,1,,-,0,,1,,,-,,-,,-,0,,6,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
CALIFORNIA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
OREGON,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
MISSISSIPPI,2017,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MAINE,2017,1,,-,0,,1,,,-,,-,,-,3,,31,,,-,1,,,-,0,,1,,,-,,-,"MAINE
(45.252223, -68.986647)",
FLORIDA,2017,1,,-,0,,6,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
OKLAHOMA,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
NEW JERSEY,2017,1,,-,0,,7,,,-,,-,,-,1,,13,,,-,1,,,-,0,,2,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
PENNSYLVANIA,2017,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
MASSACHUSETTS,2017,1,,-,0,,2,,,-,,-,,-,8,,68,,,-,6,,,-,0,,1,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
VERMONT,2017,1,,-,0,,1,,,-,,-,,-,2,,22,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NORTH DAKOTA,2017,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
WASHINGTON,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
KANSAS,2017,1,,-,0,,5,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KANSAS
(38.345528, -98.201847)",
NEBRASKA,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
SOUTH DAKOTA,2017,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
ILLINOIS,2017,1,,-,0,,5,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
NEVADA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NEW YORK,2017,1,,-,2,,13,,,-,,-,,-,11,,54,,,-,,-,,-,0,,2,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
OHIO,2017,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
MONTANA,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
INDIANA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
UTAH,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
ARKANSAS,2017,1,,-,2,,16,,,-,,-,,-,0,,5,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
C.N.M.I.,2017,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
IOWA,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"IOWA
(42.46942, -93.815856)",
NORTH CAROLINA,2017,1,,-,1,,5,,,-,1,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
COLORADO,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
ARIZONA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
MISSOURI,2017,1,,-,2,,20,,,-,1,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
VIRGINIA,2017,1,,-,1,,10,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
WISCONSIN,2017,1,,-,0,,3,,,-,,-,,-,6,,41,,,-,,-,,-,0,,3,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
UNITED STATES,2017,2,1,,13,,90,,1,,5,,1,,42,,198,,6,,15,,,-,2,,9,,1,,,-,,
NEW ENGLAND,2017,2,,-,0,,8,,,-,,-,1,,19,,100,,1,,11,,,-,0,,2,,,-,,-,,
MID. ATLANTIC,2017,2,1,,3,,17,,1,,1,,,-,13,,60,,4,,3,,,-,0,,3,,1,,,-,,
NEW YORK CITY,2017,2,1,,0,,3,,1,,,-,,-,1,,5,,4,,,-,,-,0,,1,,1,,,-,,
E.N. CENTRAL,2017,2,,-,1,,8,,,-,,-,,-,6,,41,,1,,,-,,-,1,,5,,,-,,-,,
W.N. CENTRAL,2017,2,,-,2,,25,,,-,1,,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,,
S. ATLANTIC,2017,2,,-,2,,18,,,-,2,,,-,1,,4,,,-,1,,,-,0,,2,,,-,,-,,
E.S. CENTRAL,2017,2,,-,1,,12,,,-,1,,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,
W.S. CENTRAL,2017,2,,-,2,,18,,,-,,-,,-,0,,5,,,-,,-,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,
PACIFIC,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,
AMER. SAMOA,2017,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
TENNESSEE,2017,2,,-,1,,10,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
VIRGINIA,2017,2,,-,1,,10,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
ILLINOIS,2017,2,,-,0,,5,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
WYOMING,2017,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
ARKANSAS,2017,2,,-,2,,16,,,-,,-,,-,0,,5,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
PENNSYLVANIA,2017,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
NORTH CAROLINA,2017,2,,-,1,,5,,,-,1,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
NEBRASKA,2017,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NORTH DAKOTA,2017,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
PUERTO RICO,2017,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
MISSISSIPPI,2017,2,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MASSACHUSETTS,2017,2,,-,0,,2,,,-,,-,,-,8,,68,,,-,9,,,-,0,,1,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
COLORADO,2017,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
SOUTH DAKOTA,2017,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
ALABAMA,2017,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
NEW MEXICO,2017,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW MEXICO
(34.520396, -106.244402)",
CONNECTICUT,2017,2,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
NEVADA,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
GUAM,2017,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"GUAM
(13.3532, 144.653198)",
NEW JERSEY,2017,2,,-,0,,7,,,-,,-,,-,1,,13,,,-,1,,,-,0,,2,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
MINNESOTA,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
OREGON,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
IOWA,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"IOWA
(42.46942, -93.815856)",
DIST. OF COL.,2017,2,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MARYLAND,2017,2,,-,0,,9,,,-,1,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
DELAWARE,2017,2,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MICHIGAN,2017,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
VIRGIN ISL.,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW YORK,2017,2,,-,2,,13,,,-,1,,,-,11,,54,,,-,2,,,-,0,,2,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
KANSAS,2017,2,,-,0,,5,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KANSAS
(38.345528, -98.201847)",
WEST VIRGINIA,2017,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
UTAH,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
CALIFORNIA,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
OKLAHOMA,2017,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
ARIZONA,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
KENTUCKY,2017,2,,-,0,,4,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
WISCONSIN,2017,2,,-,0,,3,,,-,,-,,-,6,,41,,1,,,-,,-,0,,3,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
GEORGIA,2017,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
TEXAS,2017,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"TEXAS
(31.827233, -99.423022)",
INDIANA,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
RHODE ISLAND,2017,2,,-,0,,6,,,-,,-,,-,0,,18,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
OHIO,2017,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
C.N.M.I.,2017,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MISSOURI,2017,2,,-,2,,20,,,-,1,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
VERMONT,2017,2,,-,0,,1,,,-,,-,,-,2,,22,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
HAWAII,2017,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
ALASKA,2017,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
WASHINGTON,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
MONTANA,2017,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
SOUTH CAROLINA,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
IDAHO,2017,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
MAINE,2017,2,,-,0,,1,,,-,,-,1,,3,,31,,1,,2,,,-,0,,1,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEW HAMPSHIRE,2017,2,,-,0,,1,,,-,,-,,-,0,,6,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
FLORIDA,2017,2,,-,0,,6,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
LOUISIANA,2017,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
UNITED STATES,2017,3,,-,13,,91,,3,,13,,1,,43,,200,,7,,22,,,-,2,,9,,1,,,-,,
NEW ENGLAND,2017,3,,-,0,,8,,1,,3,,1,,19,,100,,2,,13,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2017,3,,-,3,,17,,1,,4,,,-,14,,61,,4,,7,,,-,0,,3,,1,,,-,,
NEW YORK CITY,2017,3,,-,0,,3,,1,,,-,,-,1,,5,,4,,1,,,-,0,,1,,1,,,-,,
E.N. CENTRAL,2017,3,,-,1,,8,,1,,,-,,-,6,,42,,1,,,-,,-,1,,5,,,-,,-,,
W.N. CENTRAL,2017,3,,-,2,,25,,,-,2,,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,,
S. ATLANTIC,2017,3,,-,2,,18,,,-,3,,,-,1,,4,,,-,2,,,-,0,,2,,,-,,-,,
E.S. CENTRAL,2017,3,,-,1,,12,,,-,1,,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,
W.S. CENTRAL,2017,3,,-,2,,18,,,-,,-,,-,0,,5,,,-,,-,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,
PACIFIC,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,
AMER. SAMOA,2017,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
DELAWARE,2017,3,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEBRASKA,2017,3,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
FLORIDA,2017,3,,-,0,,6,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
IOWA,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"IOWA
(42.46942, -93.815856)",
SOUTH CAROLINA,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
