Reporting Area,MMWR Year,MMWR Week,"Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Current week","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Current week, flag","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Med","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Med, flag","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Max","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Max, flag","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Cum 2017","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Cum 2017, flag","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Cum 2016","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Cum 2016, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Current week","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Current week, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Med","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Med, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Max","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Max, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Cum 2017","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Cum 2017, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Cum 2016","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Cum 2016, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Current week","Ehrlichiosis and Anaplasmosis§, Undetermined, Current week, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Previous 52 weeks Med","Ehrlichiosis and Anaplasmosis§, Undetermined, Previous 52 weeks Med, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Previous 52 weeks Max","Ehrlichiosis and Anaplasmosis§, Undetermined, Previous 52 weeks Max, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Cum 2017","Ehrlichiosis and Anaplasmosis§, Undetermined, Cum 2017, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Cum 2016","Ehrlichiosis and Anaplasmosis§, Undetermined, Cum 2016, flag",Location 1,Location 2
LOUISIANA,2017,10,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
NEW JERSEY,2017,10,,-,0,,7,,1,,1,,,-,1,,13,,1,,2,,,-,0,,2,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
CONNECTICUT,2017,10,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
WISCONSIN,2017,10,,-,0,,3,,,-,,-,,-,7,,41,,2,,1,,,-,0,,4,,,-,1,,"WISCONSIN
(44.395526, -89.834513)",
KENTUCKY,2017,10,,-,0,,4,,1,,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
ALASKA,2017,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
MISSISSIPPI,2017,10,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
UNITED STATES,2017,11,1,,13,,92,,20,,30,,,-,45,,203,,32,,69,,,-,2,,10,,3,,5,,,
NEW ENGLAND,2017,11,,-,1,,8,,5,,4,,,-,19,,102,,14,,39,,,-,0,,1,,,-,1,,,
MID. ATLANTIC,2017,11,,-,3,,17,,5,,12,,,-,14,,61,,14,,18,,,-,0,,3,,2,,2,,,
NEW JERSEY,2017,11,,-,0,,7,,1,,1,,,-,1,,13,,2,,2,,,-,0,,2,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
NEW YORK CITY,2017,11,,-,0,,3,,3,,,-,,-,1,,5,,6,,3,,,-,0,,1,,1,,2,,,
E.N. CENTRAL,2017,11,,-,1,,8,,2,,,-,,-,7,,43,,2,,5,,,-,1,,6,,,-,2,,,
W.N. CENTRAL,2017,11,,-,2,,25,,1,,3,,,-,0,,4,,1,,1,,,-,0,,2,,,-,,-,,
S. ATLANTIC,2017,11,1,,3,,19,,3,,4,,,-,1,,4,,1,,5,,,-,0,,2,,,-,,-,,
E.S. CENTRAL,2017,11,,-,1,,13,,1,,2,,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,
INDIANA,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
SOUTH DAKOTA,2017,11,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
FLORIDA,2017,11,1,,0,,6,,2,,,-,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
NORTH DAKOTA,2017,11,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
KENTUCKY,2017,11,,-,0,,4,,1,,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
MINNESOTA,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MISSOURI,2017,11,,-,2,,20,,1,,1,,,-,0,,2,,1,,1,,,-,0,,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
WISCONSIN,2017,11,,-,0,,3,,,-,,-,,-,7,,42,,2,,4,,,-,0,,4,,,-,2,,"WISCONSIN
(44.395526, -89.834513)",
MICHIGAN,2017,11,,-,0,,2,,1,,,-,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
GEORGIA,2017,11,,-,0,,2,,,-,,-,,-,0,,0,,,-,1,,,-,0,,1,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
KANSAS,2017,11,,-,0,,5,,,-,2,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KANSAS
(38.345528, -98.201847)",
OHIO,2017,11,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
W.S. CENTRAL,2017,11,,-,2,,18,,3,,5,,,-,0,,5,,,-,1,,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,11,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,,
PACIFIC,2017,11,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,
AMER. SAMOA,2017,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
ILLINOIS,2017,11,,-,0,,5,,1,,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
UTAH,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
WYOMING,2017,11,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MASSACHUSETTS,2017,11,,-,0,,2,,,-,,-,,-,11,,69,,8,,27,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
VIRGINIA,2017,11,,-,1,,11,,,-,1,,,-,0,,2,,1,,,-,,-,0,,2,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
IOWA,2017,11,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"IOWA
(42.46942, -93.815856)",
VERMONT,2017,11,,-,0,,1,,1,,1,,,-,2,,26,,,-,3,,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MISSISSIPPI,2017,11,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
LOUISIANA,2017,11,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
ARKANSAS,2017,11,,-,2,,16,,3,,3,,,-,0,,5,,,-,1,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
OKLAHOMA,2017,11,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
ARIZONA,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,"ARIZONA
(34.869712, -111.760902)",
OREGON,2017,11,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
MONTANA,2017,11,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NEVADA,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NEW MEXICO,2017,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW MEXICO
(34.520396, -106.244402)",
ALASKA,2017,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
WASHINGTON,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
GUAM,2017,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"GUAM
(13.3532, 144.653198)",
TENNESSEE,2017,11,,-,1,,10,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
WEST VIRGINIA,2017,11,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
TEXAS,2017,11,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"TEXAS
(31.827233, -99.423022)",
NEBRASKA,2017,11,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
PENNSYLVANIA,2017,11,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
DIST. OF COL.,2017,11,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
IDAHO,2017,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
MARYLAND,2017,11,,-,0,,7,,1,,1,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
RHODE ISLAND,2017,11,,-,0,,6,,2,,1,,,-,0,,18,,2,,4,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEW HAMPSHIRE,2017,11,,-,0,,1,,1,,2,,,-,0,,6,,,-,2,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
PUERTO RICO,2017,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
CALIFORNIA,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
COLORADO,2017,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
ALABAMA,2017,11,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
SOUTH CAROLINA,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
HAWAII,2017,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
MAINE,2017,11,,-,0,,1,,1,,,-,,-,3,,31,,4,,3,,,-,0,,1,,,-,1,,"MAINE
(45.252223, -68.986647)",
VIRGIN ISL.,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
DELAWARE,2017,11,,-,0,,3,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
C.N.M.I.,2017,11,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NORTH CAROLINA,2017,11,,-,0,,5,,,-,2,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
CONNECTICUT,2017,11,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
NEW YORK,2017,11,,-,2,,13,,1,,11,,,-,12,,55,,6,,13,,,-,0,,2,,1,,,-,"NEW YORK
(42.826892, -75.544286)",
UNITED STATES,2017,12,,-,13,,91,,27,,33,,1,,45,,203,,37,,79,,,-,2,,10,,4,,5,,,
NEW ENGLAND,2017,12,,-,1,,8,,5,,6,,1,,19,,102,,15,,48,,,-,0,,1,,,-,1,,,
MID. ATLANTIC,2017,12,,-,3,,17,,8,,12,,,-,14,,61,,18,,19,,,-,0,,3,,3,,2,,,
NEW YORK CITY,2017,12,,-,0,,3,,3,,,-,,-,1,,5,,6,,3,,,-,0,,1,,1,,2,,,
E.N. CENTRAL,2017,12,,-,1,,8,,2,,1,,,-,7,,43,,2,,5,,,-,1,,6,,,-,2,,,
W.N. CENTRAL,2017,12,,-,2,,25,,1,,3,,,-,0,,4,,1,,1,,,-,0,,2,,,-,,-,,
S. ATLANTIC,2017,12,,-,3,,18,,3,,4,,,-,0,,4,,1,,5,,,-,0,,2,,,-,,-,,
E.S. CENTRAL,2017,12,,-,1,,13,,3,,2,,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,
W.S. CENTRAL,2017,12,,-,2,,18,,5,,5,,,-,0,,5,,,-,1,,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,12,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,,
PACIFIC,2017,12,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,
AMER. SAMOA,2017,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
RHODE ISLAND,2017,12,,-,0,,6,,2,,3,,,-,0,,18,,2,,4,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NORTH CAROLINA,2017,12,,-,0,,5,,,-,2,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
NEVADA,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
TENNESSEE,2017,12,,-,1,,10,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
VIRGIN ISL.,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW YORK,2017,12,,-,2,,13,,2,,11,,,-,12,,55,,9,,13,,,-,0,,2,,2,,,-,"NEW YORK
(42.826892, -75.544286)",
MINNESOTA,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
OREGON,2017,12,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
INDIANA,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
MISSOURI,2017,12,,-,2,,20,,1,,1,,,-,0,,2,,1,,1,,,-,0,,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
FLORIDA,2017,12,,-,0,,6,,2,,,-,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
DELAWARE,2017,12,,-,0,,3,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
SOUTH DAKOTA,2017,12,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MONTANA,2017,12,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
PENNSYLVANIA,2017,12,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
MAINE,2017,12,,-,0,,1,,1,,,-,1,,3,,31,,5,,3,,,-,0,,1,,,-,1,,"MAINE
(45.252223, -68.986647)",
HAWAII,2017,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
IOWA,2017,12,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"IOWA
(42.46942, -93.815856)",
KENTUCKY,2017,12,,-,0,,4,,3,,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
KANSAS,2017,12,,-,0,,5,,,-,2,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KANSAS
(38.345528, -98.201847)",
PUERTO RICO,2017,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
VIRGINIA,2017,12,,-,1,,11,,,-,1,,,-,0,,2,,1,,,-,,-,0,,2,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
ILLINOIS,2017,12,,-,0,,5,,1,,1,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
NEW MEXICO,2017,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW MEXICO
(34.520396, -106.244402)",
ALASKA,2017,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
LOUISIANA,2017,12,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
GUAM,2017,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"GUAM
(13.3532, 144.653198)",
VERMONT,2017,12,,-,0,,1,,1,,1,,,-,2,,26,,,-,3,,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MARYLAND,2017,12,,-,0,,7,,1,,1,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
ARIZONA,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,"ARIZONA
(34.869712, -111.760902)",
COLORADO,2017,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
ARKANSAS,2017,12,,-,2,,16,,5,,3,,,-,0,,5,,,-,1,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MASSACHUSETTS,2017,12,,-,0,,2,,,-,,-,,-,11,,69,,8,,30,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
WYOMING,2017,12,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NORTH DAKOTA,2017,12,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
CALIFORNIA,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
TEXAS,2017,12,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"TEXAS
(31.827233, -99.423022)",
ALABAMA,2017,12,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
WEST VIRGINIA,2017,12,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NEBRASKA,2017,12,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
WASHINGTON,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
WISCONSIN,2017,12,,-,0,,3,,,-,,-,,-,7,,42,,2,,4,,,-,0,,4,,,-,2,,"WISCONSIN
(44.395526, -89.834513)",
MISSISSIPPI,2017,12,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
OHIO,2017,12,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
OKLAHOMA,2017,12,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
IDAHO,2017,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
SOUTH CAROLINA,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
DIST. OF COL.,2017,12,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
CONNECTICUT,2017,12,,-,0,,0,,,-,,-,,-,0,,4,,,-,4,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
NEW HAMPSHIRE,2017,12,,-,0,,1,,1,,2,,,-,0,,6,,,-,4,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
GEORGIA,2017,12,,-,0,,2,,,-,,-,,-,0,,0,,,-,1,,,-,0,,1,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
NEW JERSEY,2017,12,,-,1,,7,,3,,1,,,-,1,,13,,3,,3,,,-,0,,2,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
MICHIGAN,2017,12,,-,0,,2,,1,,,-,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
C.N.M.I.,2017,12,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
UTAH,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
UNITED STATES,2017,13,4,,13,,86,,29,,45,,14,,45,,203,,52,,101,,,-,2,,10,,3,,7,,,
NEW ENGLAND,2017,13,,-,1,,8,,5,,8,,12,,20,,105,,27,,65,,,-,0,,1,,,-,2,,,
MID. ATLANTIC,2017,13,1,,3,,13,,8,,14,,1,,12,,56,,17,,21,,,-,0,,2,,2,,2,,,
NEW YORK CITY,2017,13,,-,0,,3,,3,,,-,,-,1,,5,,6,,3,,,-,0,,1,,1,,2,,,
E.N. CENTRAL,2017,13,,-,1,,8,,2,,1,,,-,7,,43,,4,,6,,,-,1,,6,,,-,2,,,
W.N. CENTRAL,2017,13,,-,2,,25,,1,,4,,,-,0,,4,,1,,2,,,-,0,,2,,,-,1,,,
S. ATLANTIC,2017,13,,-,2,,18,,2,,5,,1,,0,,4,,2,,5,,,-,0,,2,,,-,,-,,
E.S. CENTRAL,2017,13,1,,1,,13,,4,,4,,,-,0,,3,,1,,1,,,-,0,,2,,,-,,-,,
W.S. CENTRAL,2017,13,2,,2,,18,,7,,9,,,-,0,,5,,,-,1,,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,13,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,,
PACIFIC,2017,13,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,
AMER. SAMOA,2017,13,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
MINNESOTA,2017,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NEVADA,2017,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MASSACHUSETTS,2017,13,,-,0,,2,,,-,,-,,-,11,,69,,8,,43,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
CALIFORNIA,2017,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
NEW HAMPSHIRE,2017,13,,-,0,,1,,1,,3,,,-,0,,6,,,-,5,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ARIZONA,2017,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,"ARIZONA
(34.869712, -111.760902)",
MISSISSIPPI,2017,13,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MONTANA,2017,13,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
LOUISIANA,2017,13,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
KANSAS,2017,13,,-,0,,5,,,-,2,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KANSAS
(38.345528, -98.201847)",
ALABAMA,2017,13,,-,0,,2,,,-,1,,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
C.N.M.I.,2017,13,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
VIRGINIA,2017,13,,-,1,,11,,,-,1,,,-,0,,2,,1,,,-,,-,0,,2,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
WISCONSIN,2017,13,,-,0,,3,,,-,,-,,-,7,,42,,4,,5,,,-,0,,4,,,-,2,,"WISCONSIN
(44.395526, -89.834513)",
SOUTH CAROLINA,2017,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
VIRGIN ISL.,2017,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
DIST. OF COL.,2017,13,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
OHIO,2017,13,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
NEW JERSEY,2017,13,,-,0,,1,,3,,1,,,-,0,,2,,4,,1,,,-,0,,1,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
