Reporting Area,MMWR Year,MMWR Week,"Invasive Pneumococcal Disease§, Age LT 5, Confirmed, Current week","Invasive Pneumococcal Disease§, Age LT 5, Confirmed, Current week, flag","Invasive Pneumococcal Disease§, Age LT 5, Confirmed, Previous 52 weeks Med","Invasive Pneumococcal Disease§, Age LT 5, Confirmed, Previous 52 weeks Med, flag","Invasive Pneumococcal Disease§, Age LT 5, Confirmed, Previous 52 weeks Max","Invasive Pneumococcal Disease§, Age LT 5, Confirmed, Previous 52 weeks Max, flag","Invasive Pneumococcal Disease§, Age LT 5, Confirmed, Cum 2017","Invasive Pneumococcal Disease§, Age LT 5, Confirmed, Cum 2017, flag","Invasive Pneumococcal Disease§, Age LT 5, Confirmed, Cum 2016","Invasive Pneumococcal Disease§, Age LT 5, Confirmed, Cum 2016, flag","Invasive Pneumococcal Disease§, Age LT 5, Probable, Current week","Invasive Pneumococcal Disease§, Age LT 5, Probable, Current week, flag","Invasive Pneumococcal Disease§, Age LT 5, Probable, Previous 52 weeks Med","Invasive Pneumococcal Disease§, Age LT 5, Probable, Previous 52 weeks Med, flag","Invasive Pneumococcal Disease§, Age LT 5, Probable, Previous 52 weeks Max","Invasive Pneumococcal Disease§, Age LT 5, Probable, Previous 52 weeks Max, flag","Invasive Pneumococcal Disease§, Age LT 5, Probable, Cum 2017","Invasive Pneumococcal Disease§, Age LT 5, Probable, Cum 2017, flag","Invasive Pneumococcal Disease§, Age LT 5, Probable, Cum 2016","Invasive Pneumococcal Disease§, Age LT 5, Probable, Cum 2016, flag",Location 1,Location 2
UNITED STATES,2017,1,8,,18,,35,,8,,23,,,-,0,,2,,,-,,-,,
NEW ENGLAND,2017,1,,-,1,,4,,,-,1,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,1,1,,1,,7,,1,,,-,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,1,2,,2,,6,,2,,6,,,-,0,,1,,,-,,-,,
W.N. CENTRAL,2017,1,,-,1,,4,,,-,1,,,-,0,,1,,,-,,-,,
S. ATLANTIC,2017,1,1,,5,,9,,1,,6,,,-,0,,0,,,-,,-,,
E.S. CENTRAL,2017,1,,-,2,,7,,,-,5,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2017,1,2,,4,,13,,2,,,-,,-,0,,0,,,-,,-,,
MOUNTAIN,2017,1,2,,2,,6,,2,,4,,,-,0,,1,,,-,,-,,
PACIFIC,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MONTANA,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
MASSACHUSETTS,2017,1,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
DELAWARE,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MICHIGAN,2017,1,,-,0,,4,,,-,2,,,-,0,,1,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
OHIO,2017,1,2,,1,,5,,2,,3,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
PUERTO RICO,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
WEST VIRGINIA,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
DIST. OF COL.,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
OKLAHOMA,2017,1,1,,0,,3,,1,,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
NEW YORK,2017,1,1,,1,,4,,1,,,-,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
UTAH,2017,1,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
NORTH CAROLINA,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
NEBRASKA,2017,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MINNESOTA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
KENTUCKY,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
GUAM,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
IDAHO,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"IDAHO
(43.680635, -114.364237)",
MISSOURI,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
WISCONSIN,2017,1,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
TEXAS,2017,1,,-,3,,8,,,-,,-,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
WYOMING,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
KANSAS,2017,1,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
HAWAII,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
ARIZONA,2017,1,,-,1,,4,,,-,2,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
CALIFORNIA,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
MISSISSIPPI,2017,1,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
ARKANSAS,2017,1,1,,0,,3,,1,,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
RHODE ISLAND,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEW JERSEY,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
INDIANA,2017,1,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NEVADA,2017,1,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NEW MEXICO,2017,1,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
MAINE,2017,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
FLORIDA,2017,1,1,,1,,5,,1,,3,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
MARYLAND,2017,1,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
TENNESSEE,2017,1,,-,1,,6,,,-,2,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
SOUTH DAKOTA,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
COLORADO,2017,1,2,,0,,0,,2,,,-,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
GEORGIA,2017,1,,-,1,,5,,,-,1,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
ALABAMA,2017,1,,-,0,,5,,,-,2,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
VERMONT,2017,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
LOUISIANA,2017,1,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
VIRGINIA,2017,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
PENNSYLVANIA,2017,1,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
NORTH DAKOTA,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
WASHINGTON,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
SOUTH CAROLINA,2017,1,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
ILLINOIS,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
IOWA,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
C.N.M.I.,2017,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
VIRGIN ISL.,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ALASKA,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
CONNECTICUT,2017,1,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
OREGON,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
NEW HAMPSHIRE,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
UNITED STATES,2017,2,11,,19,,35,,20,,38,,,-,0,,2,,,-,,-,,
NEW ENGLAND,2017,2,,-,1,,4,,,-,2,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,2,,-,1,,7,,1,,,-,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,2,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,2,5,,2,,6,,7,,7,,,-,0,,1,,,-,,-,,
W.N. CENTRAL,2017,2,,-,1,,4,,,-,1,,,-,0,,1,,,-,,-,,
S. ATLANTIC,2017,2,1,,4,,9,,2,,10,,,-,0,,0,,,-,,-,,
E.S. CENTRAL,2017,2,2,,2,,8,,2,,5,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2017,2,2,,4,,13,,5,,3,,,-,0,,0,,,-,,-,,
MOUNTAIN,2017,2,1,,2,,6,,3,,9,,,-,0,,1,,,-,,-,,
PACIFIC,2017,2,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
IDAHO,2017,2,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"IDAHO
(43.680635, -114.364237)",
LOUISIANA,2017,2,1,,0,,3,,2,,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
DELAWARE,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
PENNSYLVANIA,2017,2,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW YORK,2017,2,,-,1,,4,,1,,,-,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
CALIFORNIA,2017,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
NEBRASKA,2017,2,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
WYOMING,2017,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MASSACHUSETTS,2017,2,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
VERMONT,2017,2,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
GEORGIA,2017,2,,-,1,,5,,,-,1,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MONTANA,2017,2,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
WASHINGTON,2017,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
SOUTH DAKOTA,2017,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
ALABAMA,2017,2,,-,0,,5,,,-,2,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
MISSOURI,2017,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
CONNECTICUT,2017,2,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
TEXAS,2017,2,1,,3,,8,,1,,2,,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
MARYLAND,2017,2,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
DIST. OF COL.,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MINNESOTA,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
WEST VIRGINIA,2017,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
ARIZONA,2017,2,,-,1,,4,,,-,4,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
GUAM,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
TENNESSEE,2017,2,1,,0,,7,,1,,2,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
RHODE ISLAND,2017,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
WISCONSIN,2017,2,1,,0,,2,,1,,1,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
KENTUCKY,2017,2,1,,0,,2,,1,,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
NEW HAMPSHIRE,2017,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NORTH DAKOTA,2017,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
UTAH,2017,2,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
INDIANA,2017,2,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
FLORIDA,2017,2,1,,1,,5,,2,,6,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
NEVADA,2017,2,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NEW MEXICO,2017,2,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
KANSAS,2017,2,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
VIRGINIA,2017,2,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
ILLINOIS,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
COLORADO,2017,2,1,,0,,3,,3,,,-,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
MISSISSIPPI,2017,2,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
OHIO,2017,2,4,,1,,5,,6,,3,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
OREGON,2017,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
PUERTO RICO,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
IOWA,2017,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
HAWAII,2017,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
OKLAHOMA,2017,2,,-,0,,3,,1,,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
VIRGIN ISL.,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW JERSEY,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
SOUTH CAROLINA,2017,2,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
ARKANSAS,2017,2,,-,0,,3,,1,,1,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
C.N.M.I.,2017,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MICHIGAN,2017,2,,-,0,,4,,,-,3,,,-,0,,1,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
MAINE,2017,2,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
ALASKA,2017,2,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NORTH CAROLINA,2017,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
UNITED STATES,2017,3,9,,19,,35,,34,,50,,,-,0,,2,,,-,,-,,
NEW ENGLAND,2017,3,,-,1,,4,,,-,2,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,3,1,,1,,7,,2,,3,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,3,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,3,2,,2,,6,,10,,12,,,-,0,,1,,,-,,-,,
W.N. CENTRAL,2017,3,,-,1,,4,,3,,1,,,-,0,,1,,,-,,-,,
S. ATLANTIC,2017,3,4,,4,,9,,6,,12,,,-,0,,0,,,-,,-,,
E.S. CENTRAL,2017,3,2,,2,,8,,4,,6,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2017,3,,-,4,,13,,6,,3,,,-,0,,0,,,-,,-,,
MOUNTAIN,2017,3,,-,2,,6,,3,,10,,,-,0,,1,,,-,,-,,
PACIFIC,2017,3,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
NEW MEXICO,2017,3,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
ILLINOIS,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
MISSISSIPPI,2017,3,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NEVADA,2017,3,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MONTANA,2017,3,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
MAINE,2017,3,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
CALIFORNIA,2017,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
ARKANSAS,2017,3,,-,0,,3,,1,,1,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
SOUTH DAKOTA,2017,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
WYOMING,2017,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
VIRGIN ISL.,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MASSACHUSETTS,2017,3,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
GUAM,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
RHODE ISLAND,2017,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
DIST. OF COL.,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
INDIANA,2017,3,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
C.N.M.I.,2017,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NORTH CAROLINA,2017,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
TEXAS,2017,3,,-,3,,8,,2,,2,,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
KENTUCKY,2017,3,,-,0,,2,,1,,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
DELAWARE,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
VIRGINIA,2017,3,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
IOWA,2017,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
MARYLAND,2017,3,1,,0,,3,,1,,2,,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
MISSOURI,2017,3,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
KANSAS,2017,3,,-,0,,2,,1,,1,,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
ARIZONA,2017,3,,-,1,,4,,,-,4,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
PUERTO RICO,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
SOUTH CAROLINA,2017,3,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
OKLAHOMA,2017,3,,-,0,,3,,1,,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
OHIO,2017,3,2,,1,,5,,8,,7,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
NEW JERSEY,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
GEORGIA,2017,3,1,,1,,5,,1,,1,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
OREGON,2017,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
PENNSYLVANIA,2017,3,1,,0,,3,,1,,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
LOUISIANA,2017,3,,-,0,,3,,2,,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
COLORADO,2017,3,,-,0,,3,,3,,,-,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
ALABAMA,2017,3,1,,0,,5,,1,,2,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
NEW HAMPSHIRE,2017,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
TENNESSEE,2017,3,1,,1,,7,,2,,2,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
WEST VIRGINIA,2017,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
FLORIDA,2017,3,2,,1,,5,,4,,7,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
