Reporting Area,MMWR Year,MMWR Week,"Invasive Pneumococcal Disease§, All ages, Confirmed, Current week","Invasive Pneumococcal Disease§, All ages, Confirmed, Current week, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Med","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Med, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Max","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Max, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2017","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2017, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2016","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2016, flag","Invasive Pneumococcal Disease§, All ages, Probable, Current week","Invasive Pneumococcal Disease§, All ages, Probable, Current week, flag","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Med","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Med, flag","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Max","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Max, flag","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2017","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2017, flag","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2016","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2016, flag",Location 1,Location 2
MONTANA,2017,12,,-,1,,7,,17,,27,,,-,0,,1,,2,,1,,"MONTANA
(47.062617, -109.430168)",
ALABAMA,2017,12,2,,6,,25,,107,,108,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
UNITED STATES,2017,13,242,,306,,645,,5373,,5816,,5,,0,,8,,49,,11,,,
NEW ENGLAND,2017,13,2,,21,,50,,362,,368,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,13,40,,50,,98,,788,,824,,2,,0,,6,,17,,6,,,
NEW YORK CITY,2017,13,18,,13,,29,,232,,218,,2,,0,,0,,2,,,-,,
E.N. CENTRAL,2017,13,41,,51,,103,,837,,1038,,,-,0,,2,,4,,2,,,
W.N. CENTRAL,2017,13,18,,17,,45,,411,,263,,3,,0,,3,,16,,1,,,
S. ATLANTIC,2017,13,39,,54,,120,,1000,,1023,,,-,0,,3,,5,,1,,,
E.S. CENTRAL,2017,13,28,,34,,69,,604,,587,,,-,0,,1,,1,,,-,,
W.S. CENTRAL,2017,13,43,,37,,191,,656,,772,,,-,0,,2,,4,,,-,,
MOUNTAIN,2017,13,27,,35,,68,,662,,874,,,-,0,,1,,2,,1,,,
PACIFIC,2017,13,4,,4,,10,,53,,67,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,13,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
PUERTO RICO,2017,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
RHODE ISLAND,2017,13,,-,1,,10,,16,,9,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
WASHINGTON,2017,13,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
VERMONT,2017,13,1,,1,,5,,11,,31,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
PENNSYLVANIA,2017,13,,-,16,,39,,243,,330,,,-,0,,4,,12,,6,,"PENNSYLVANIA
(40.789676, -77.858055)",
OHIO,2017,13,31,,17,,53,,370,,378,,,-,0,,2,,2,,,-,"OHIO
(40.056807, -82.405897)",
NEW HAMPSHIRE,2017,13,,-,2,,6,,34,,38,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MICHIGAN,2017,13,2,,16,,28,,182,,289,,,-,0,,2,,2,,2,,"MICHIGAN
(44.66399, -84.711206)",
CALIFORNIA,2017,13,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
MONTANA,2017,13,2,,1,,7,,20,,29,,,-,0,,1,,2,,1,,"MONTANA
(47.062617, -109.430168)",
ALASKA,2017,13,4,,2,,8,,25,,36,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NEW JERSEY,2017,13,2,,0,,8,,60,,3,,,-,0,,2,,3,,,-,"NEW JERSEY
(40.104655, -74.386686)",
TEXAS,2017,13,26,,27,,154,,457,,555,,,-,0,,2,,4,,,-,"TEXAS
(31.827233, -99.423022)",
NEBRASKA,2017,13,3,,3,,9,,65,,71,,1,,0,,1,,2,,1,,"NEBRASKA
(41.640503, -99.367122)",
TENNESSEE,2017,13,23,,16,,38,,306,,283,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
MASSACHUSETTS,2017,13,,-,11,,27,,194,,173,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
OKLAHOMA,2017,13,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
MAINE,2017,13,1,,2,,9,,36,,39,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
DELAWARE,2017,13,1,,1,,6,,28,,22,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
ARIZONA,2017,13,11,,11,,27,,250,,351,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
UTAH,2017,13,1,,4,,9,,43,,88,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
ARKANSAS,2017,13,12,,4,,27,,103,,81,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MINNESOTA,2017,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
ALABAMA,2017,13,,-,7,,25,,115,,119,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
GEORGIA,2017,13,4,,18,,40,,268,,361,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
CONNECTICUT,2017,13,,-,4,,15,,71,,78,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
FLORIDA,2017,13,17,,10,,59,,202,,228,,,-,0,,2,,3,,,-,"FLORIDA
(28.915325, -81.922409)",
WEST VIRGINIA,2017,13,,-,4,,14,,69,,95,,,-,0,,0,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
COLORADO,2017,13,12,,9,,19,,156,,176,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
GUAM,2017,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
VIRGINIA,2017,13,1,,0,,2,,6,,9,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
INDIANA,2017,13,,-,9,,32,,128,,224,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
WISCONSIN,2017,13,8,,7,,22,,157,,147,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
IOWA,2017,13,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
NEW MEXICO,2017,13,1,,5,,14,,106,,124,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
MARYLAND,2017,13,16,,8,,20,,163,,155,,,-,0,,1,,2,,,-,"MARYLAND
(39.290443, -76.612333)",
ILLINOIS,2017,13,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
OREGON,2017,13,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
LOUISIANA,2017,13,5,,5,,15,,96,,136,,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
VIRGIN ISL.,2017,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW YORK,2017,13,20,,17,,58,,253,,273,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
HAWAII,2017,13,,-,1,,7,,28,,31,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MISSISSIPPI,2017,13,,-,4,,11,,61,,101,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
KENTUCKY,2017,13,5,,4,,17,,122,,84,,,-,0,,1,,1,,,-,"KENTUCKY
(37.64591, -84.774043)",
NORTH CAROLINA,2017,13,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
NEVADA,2017,13,,-,3,,15,,83,,92,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NORTH DAKOTA,2017,13,,-,1,,5,,20,,22,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
SOUTH DAKOTA,2017,13,6,,2,,9,,44,,46,,1,,0,,0,,1,,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
SOUTH CAROLINA,2017,13,,-,11,,42,,262,,132,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
KANSAS,2017,13,,-,4,,14,,80,,69,,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
C.N.M.I.,2017,13,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MISSOURI,2017,13,9,,6,,23,,202,,55,,1,,0,,3,,13,,,-,"MISSOURI
(38.636168, -92.566292)",
WYOMING,2017,13,,-,0,,3,,4,,14,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
DIST. OF COL.,2017,13,,-,1,,4,,2,,21,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
UNITED STATES,2017,14,234,,314,,657,,5871,,6245,,3,,0,,8,,54,,12,,,
NEW ENGLAND,2017,14,12,,22,,50,,415,,403,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,14,48,,49,,98,,848,,897,,1,,0,,6,,20,,6,,,
NEW YORK CITY,2017,14,19,,13,,29,,252,,232,,,-,0,,2,,2,,,-,,
E.N. CENTRAL,2017,14,40,,54,,104,,948,,1120,,,-,0,,2,,4,,3,,,
W.N. CENTRAL,2017,14,10,,17,,45,,443,,283,,2,,0,,3,,18,,1,,,
S. ATLANTIC,2017,14,48,,55,,120,,1117,,1090,,,-,0,,3,,5,,1,,,
E.S. CENTRAL,2017,14,17,,34,,69,,641,,634,,,-,0,,1,,1,,,-,,
W.S. CENTRAL,2017,14,31,,37,,198,,694,,824,,,-,0,,2,,4,,,-,,
MOUNTAIN,2017,14,25,,34,,68,,699,,924,,,-,0,,1,,2,,1,,,
PACIFIC,2017,14,3,,4,,8,,66,,70,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,14,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
GUAM,2017,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEW YORK,2017,14,21,,17,,58,,275,,297,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
KANSAS,2017,14,,-,5,,14,,89,,77,,,-,0,,1,,,-,,-,"KANSAS
(38.345528, -98.201847)",
C.N.M.I.,2017,14,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEW JERSEY,2017,14,2,,0,,8,,66,,3,,,-,0,,2,,5,,,-,"NEW JERSEY
(40.104655, -74.386686)",
WYOMING,2017,14,,-,0,,3,,4,,14,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEW MEXICO,2017,14,,-,5,,13,,110,,131,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
MONTANA,2017,14,1,,1,,7,,21,,33,,,-,0,,1,,2,,1,,"MONTANA
(47.062617, -109.430168)",
INDIANA,2017,14,3,,10,,32,,160,,242,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
PUERTO RICO,2017,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
RHODE ISLAND,2017,14,,-,1,,11,,16,,11,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
ILLINOIS,2017,14,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
TEXAS,2017,14,19,,28,,161,,482,,596,,,-,0,,2,,4,,,-,"TEXAS
(31.827233, -99.423022)",
GEORGIA,2017,14,10,,18,,40,,294,,388,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
PENNSYLVANIA,2017,14,6,,16,,39,,255,,365,,1,,0,,4,,13,,6,,"PENNSYLVANIA
(40.789676, -77.858055)",
VIRGIN ISL.,2017,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
DELAWARE,2017,14,,-,1,,6,,28,,23,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
HAWAII,2017,14,,-,1,,7,,37,,32,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MISSISSIPPI,2017,14,,-,4,,11,,67,,103,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
ARKANSAS,2017,14,12,,4,,27,,116,,88,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NEVADA,2017,14,2,,3,,16,,89,,96,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
KENTUCKY,2017,14,,-,4,,17,,122,,90,,,-,0,,1,,1,,,-,"KENTUCKY
(37.64591, -84.774043)",
MASSACHUSETTS,2017,14,6,,11,,28,,239,,184,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
NEBRASKA,2017,14,,-,3,,10,,69,,77,,,-,0,,1,,2,,1,,"NEBRASKA
(41.640503, -99.367122)",
OKLAHOMA,2017,14,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
WASHINGTON,2017,14,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
WEST VIRGINIA,2017,14,6,,4,,14,,87,,103,,,-,0,,0,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
NORTH CAROLINA,2017,14,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
NEW HAMPSHIRE,2017,14,,-,1,,6,,34,,44,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
IDAHO,2017,14,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
MARYLAND,2017,14,5,,8,,18,,169,,166,,,-,0,,1,,2,,,-,"MARYLAND
(39.290443, -76.612333)",
CALIFORNIA,2017,14,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
MINNESOTA,2017,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
TENNESSEE,2017,14,17,,16,,38,,334,,310,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
FLORIDA,2017,14,19,,10,,59,,221,,236,,,-,0,,2,,3,,,-,"FLORIDA
(28.915325, -81.922409)",
CONNECTICUT,2017,14,,-,4,,15,,73,,84,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
SOUTH CAROLINA,2017,14,8,,11,,42,,310,,144,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
ARIZONA,2017,14,7,,11,,27,,259,,368,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
VIRGINIA,2017,14,,-,0,,2,,6,,9,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
NORTH DAKOTA,2017,14,1,,1,,5,,25,,23,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
SOUTH DAKOTA,2017,14,,-,2,,6,,44,,49,,,-,0,,1,,1,,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
OREGON,2017,14,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
VERMONT,2017,14,1,,1,,5,,12,,32,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MISSOURI,2017,14,9,,6,,24,,216,,57,,2,,0,,3,,15,,,-,"MISSOURI
(38.636168, -92.566292)",
COLORADO,2017,14,14,,9,,19,,170,,189,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
LOUISIANA,2017,14,,-,5,,15,,96,,140,,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
OHIO,2017,14,27,,17,,53,,419,,405,,,-,0,,2,,2,,,-,"OHIO
(40.056807, -82.405897)",
ALABAMA,2017,14,,-,6,,25,,118,,131,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
DIST. OF COL.,2017,14,,-,1,,4,,2,,21,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
WISCONSIN,2017,14,10,,7,,22,,170,,156,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
ALASKA,2017,14,3,,2,,6,,29,,38,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MAINE,2017,14,5,,2,,9,,41,,48,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
MICHIGAN,2017,14,,-,16,,28,,199,,317,,,-,0,,2,,2,,3,,"MICHIGAN
(44.66399, -84.711206)",
IOWA,2017,14,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
UTAH,2017,14,1,,4,,9,,46,,93,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
UNITED STATES,2017,15,177,,313,,668,,6226,,6754,,1,,1,,11,,57,,14,,,
NEW ENGLAND,2017,15,,-,21,,50,,423,,429,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,15,19,,49,,99,,885,,971,,1,,0,,8,,26,,8,,,
NEW YORK CITY,2017,15,10,,13,,29,,263,,251,,,-,0,,2,,2,,,-,,
E.N. CENTRAL,2017,15,37,,54,,104,,1019,,1216,,,-,0,,2,,4,,3,,,
W.N. CENTRAL,2017,15,17,,17,,46,,487,,298,,,-,0,,3,,16,,1,,,
S. ATLANTIC,2017,15,21,,55,,120,,1166,,1210,,,-,0,,3,,4,,1,,,
E.S. CENTRAL,2017,15,21,,34,,69,,683,,672,,,-,0,,1,,1,,,-,,
W.S. CENTRAL,2017,15,25,,36,,202,,746,,904,,,-,0,,2,,4,,,-,,
MOUNTAIN,2017,15,35,,33,,68,,744,,983,,,-,0,,1,,2,,1,,,
PACIFIC,2017,15,2,,4,,10,,73,,71,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,15,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
WYOMING,2017,15,,-,0,,3,,4,,14,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEW YORK,2017,15,,-,17,,58,,275,,321,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
OREGON,2017,15,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
MASSACHUSETTS,2017,15,,-,10,,28,,239,,197,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
WEST VIRGINIA,2017,15,,-,4,,14,,87,,111,,,-,0,,0,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
NEVADA,2017,15,3,,3,,16,,96,,98,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
GUAM,2017,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
ARKANSAS,2017,15,5,,4,,31,,126,,104,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
OKLAHOMA,2017,15,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
DELAWARE,2017,15,,-,1,,6,,33,,26,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
VIRGIN ISL.,2017,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
OHIO,2017,15,36,,17,,53,,455,,429,,,-,0,,2,,2,,,-,"OHIO
(40.056807, -82.405897)",
WASHINGTON,2017,15,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
CONNECTICUT,2017,15,,-,4,,17,,81,,88,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
FLORIDA,2017,15,7,,10,,59,,228,,295,,,-,0,,2,,3,,,-,"FLORIDA
(28.915325, -81.922409)",
IOWA,2017,15,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
DIST. OF COL.,2017,15,,-,1,,4,,2,,23,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NEW JERSEY,2017,15,3,,0,,8,,73,,3,,,-,0,,2,,5,,,-,"NEW JERSEY
(40.104655, -74.386686)",
ILLINOIS,2017,15,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
UTAH,2017,15,,-,4,,9,,47,,101,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
RHODE ISLAND,2017,15,,-,1,,11,,16,,17,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MARYLAND,2017,15,12,,8,,18,,182,,181,,,-,0,,1,,1,,,-,"MARYLAND
(39.290443, -76.612333)",
KANSAS,2017,15,,-,5,,14,,99,,81,,,-,0,,1,,,-,,-,"KANSAS
(38.345528, -98.201847)",
GEORGIA,2017,15,,-,17,,40,,294,,416,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
TEXAS,2017,15,19,,28,,161,,517,,645,,,-,0,,2,,4,,,-,"TEXAS
(31.827233, -99.423022)",
ALASKA,2017,15,1,,2,,6,,32,,39,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MAINE,2017,15,,-,2,,8,,41,,51,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
INDIANA,2017,15,,-,11,,33,,176,,279,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
SOUTH DAKOTA,2017,15,1,,2,,7,,49,,52,,,-,0,,1,,1,,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEBRASKA,2017,15,2,,3,,10,,72,,81,,,-,0,,1,,2,,1,,"NEBRASKA
(41.640503, -99.367122)",
ALABAMA,2017,15,,-,6,,25,,118,,135,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
ARIZONA,2017,15,18,,10,,27,,279,,389,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
KENTUCKY,2017,15,2,,4,,17,,136,,101,,,-,0,,1,,1,,,-,"KENTUCKY
(37.64591, -84.774043)",
NORTH CAROLINA,2017,15,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
PUERTO RICO,2017,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEW HAMPSHIRE,2017,15,,-,1,,6,,34,,44,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
SOUTH CAROLINA,2017,15,2,,11,,42,,334,,149,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
PENNSYLVANIA,2017,15,6,,16,,39,,274,,396,,1,,0,,4,,19,,8,,"PENNSYLVANIA
(40.789676, -77.858055)",
MISSOURI,2017,15,12,,6,,24,,240,,60,,,-,0,,3,,13,,,-,"MISSOURI
(38.636168, -92.566292)",
IDAHO,2017,15,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
MINNESOTA,2017,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
CALIFORNIA,2017,15,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
MICHIGAN,2017,15,1,,14,,28,,218,,335,,,-,0,,2,,2,,3,,"MICHIGAN
(44.66399, -84.711206)",
NEW MEXICO,2017,15,1,,5,,13,,113,,142,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
LOUISIANA,2017,15,1,,5,,15,,103,,155,,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
TENNESSEE,2017,15,19,,16,,38,,357,,330,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
MONTANA,2017,15,,-,1,,7,,22,,36,,,-,0,,1,,2,,1,,"MONTANA
(47.062617, -109.430168)",
MISSISSIPPI,2017,15,,-,4,,11,,72,,106,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
VERMONT,2017,15,,-,1,,5,,12,,32,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NORTH DAKOTA,2017,15,2,,2,,5,,27,,24,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
COLORADO,2017,15,13,,9,,19,,183,,203,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
VIRGINIA,2017,15,,-,0,,2,,6,,9,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
HAWAII,2017,15,1,,1,,7,,41,,32,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
WISCONSIN,2017,15,,-,7,,22,,170,,173,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
C.N.M.I.,2017,15,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
