 Reporting Area,MMWR Year,MMWR Week,"Meningococcal disease, invasive (Neisseria meningitidis)§, All serogroups, Current week","Meningococcal disease, invasive (Neisseria meningitidis)§, All serogroups, Current week, flag","Meningococcal disease, invasive (Neisseria meningitidis)§, All serogroups, Previous 52 weeks Med","Meningococcal disease, invasive (Neisseria meningitidis)§, All serogroups, Previous 52 weeks Med, flag","Meningococcal disease, invasive (Neisseria meningitidis)§, All serogroups, Previous 52 weeks Max","Meningococcal disease, invasive (Neisseria meningitidis)§, All serogroups, Previous 52 weeks Max, flag","Meningococcal disease, invasive (Neisseria meningitidis)§, All serogroups, Cum 2017","Meningococcal disease, invasive (Neisseria meningitidis)§, All serogroups, Cum 2017, flag","Meningococcal disease, invasive (Neisseria meningitidis)§, All serogroups, Cum 2016","Meningococcal disease, invasive (Neisseria meningitidis)§, All serogroups, Cum 2016, flag","Mumps, Current week","Mumps, Current week, flag","Mumps, Previous 52 weeks Med","Mumps, Previous 52 weeks Med, flag","Mumps, Previous 52 weeks Max","Mumps, Previous 52 weeks Max, flag","Mumps, Cum 2017","Mumps, Cum 2017, flag","Mumps, Cum 2016","Mumps, Cum 2016, flag","Pertussis, Current week","Pertussis, Current week, flag","Pertussis, Previous 52 weeks Med","Pertussis, Previous 52 weeks Med, flag","Pertussis, Previous 52 weeks Max","Pertussis, Previous 52 weeks Max, flag","Pertussis, Cum 2017","Pertussis, Cum 2017, flag","Pertussis, Cum 2016","Pertussis, Cum 2016, flag",Location 1,Location 2
KENTUCKY,2017,3,,-,0,,1,,,-,,-,,-,0,,15,,,-,,-,1,,7,,27,,3,,52,,"KENTUCKY
(37.64591, -84.774043)",
NEW HAMPSHIRE,2017,3,,-,0,,0,,,-,,-,,-,0,,5,,1,,,-,,-,1,,4,,,-,3,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
OHIO,2017,3,3,,0,,1,,3,,1,,,-,1,,20,,,-,3,,24,,18,,38,,54,,71,,"OHIO
(40.056807, -82.405897)",
OREGON,2017,3,1,,0,,3,,4,,3,,,-,0,,6,,3,,,-,1,,3,,13,,2,,10,,"OREGON
(44.567912, -120.156945)",
OKLAHOMA,2017,3,,-,0,,1,,,-,1,,1,,0,,81,,18,,,-,,-,0,,54,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
MAINE,2017,3,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,4,,4,,14,,13,,22,,"MAINE
(45.252223, -68.986647)",
MISSOURI,2017,3,,-,0,,1,,,-,,-,,-,0,,29,,,-,,-,,-,3,,27,,,-,11,,"MISSOURI
(38.636168, -92.566292)",
NEW JERSEY,2017,3,,-,0,,2,,,-,,-,,-,0,,3,,,-,1,,,-,8,,24,,,-,57,,"NEW JERSEY
(40.104655, -74.386686)",
DIST. OF COL.,2017,3,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
TENNESSEE,2017,3,,-,0,,1,,1,,,-,,-,0,,1,,1,,,-,2,,3,,5,,6,,7,,"TENNESSEE
(35.681402, -85.774444)",
ALABAMA,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,1,,3,,7,,1,,18,,"ALABAMA
(32.839182, -86.631125)",
CALIFORNIA,2017,3,1,,1,,6,,1,,6,,,-,1,,9,,4,,,-,6,,24,,36,,13,,52,,"CALIFORNIA
(37.640735, -121.002435)",
WASHINGTON,2017,3,,-,0,,1,,,-,,-,,-,0,,49,,6,,,-,,-,9,,35,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
MINNESOTA,2017,3,,-,0,,1,,,-,,-,,-,0,,4,,,-,7,,,-,14,,34,,,-,40,,"MINNESOTA
(46.357661, -94.793397)",
VERMONT,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,3,,45,,18,,13,,"VERMONT
(43.622479, -72.51927)",
KANSAS,2017,3,,-,0,,1,,,-,,-,,-,0,,2,,,-,2,,,-,2,,8,,,-,5,,"KANSAS
(38.345528, -98.201847)",
WISCONSIN,2017,3,,-,0,,1,,,-,1,,,-,0,,12,,6,,2,,,-,23,,99,,15,,68,,"WISCONSIN
(44.395526, -89.834513)",
LOUISIANA,2017,3,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,,-,1,,5,,2,,4,,"LOUISIANA
(31.2931, -92.463284)",
WEST VIRGINIA,2017,3,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
UTAH,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,4,,10,,1,,15,,"UTAH
(39.359772, -111.584173)",
SOUTH DAKOTA,2017,3,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
NORTH DAKOTA,2017,3,,-,0,,0,,,-,,-,1,,0,,3,,1,,,-,,-,0,,5,,1,,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MASSACHUSETTS,2017,3,,-,0,,2,,,-,,-,,-,2,,28,,,-,1,,,-,4,,9,,,-,9,,"MASSACHUSETTS
(42.268546, -72.085064)",
ARKANSAS,2017,3,,-,0,,1,,,-,1,,39,,0,,248,,145,,,-,,-,1,,4,,,-,5,,"ARKANSAS
(34.748745, -92.275105)",
ALASKA,2017,3,,-,0,,2,,,-,,-,,-,0,,2,,1,,,-,,-,2,,10,,1,,8,,"ALASKA
(64.836661, -147.738891)",
NEW YORK,2017,3,,-,0,,1,,,-,,-,2,,1,,24,,7,,1,,5,,13,,32,,17,,28,,"NEW YORK
(42.826892, -75.544286)",
MICHIGAN,2017,3,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,-,7,,29,,,-,28,,"MICHIGAN
(44.66399, -84.711206)",
INDIANA,2017,3,,-,0,,2,,,-,,-,,-,2,,23,,2,,1,,,-,2,,9,,,-,13,,"INDIANA
(39.76845, -86.156212)",
NEVADA,2017,3,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,-,0,,3,,,-,2,,"NEVADA
(39.491833, -117.070159)",
NEW MEXICO,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,3,,8,,3,,8,,"NEW MEXICO
(34.520396, -106.244402)",
MISSISSIPPI,2017,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
ILLINOIS,2017,3,,-,0,,2,,,-,1,,,-,3,,25,,4,,25,,,-,18,,37,,2,,52,,"ILLINOIS
(40.477092, -88.993221)",
IOWA,2017,3,,-,0,,1,,,-,,-,1,,10,,40,,8,,94,,,-,2,,11,,,-,8,,"IOWA
(42.46942, -93.815856)",
VIRGIN ISL.,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
SOUTH CAROLINA,2017,3,,-,0,,2,,2,,1,,,-,0,,2,,,-,,-,5,,2,,15,,15,,11,,"SOUTH CAROLINA
(34.009286, -81.037094)",
VIRGINIA,2017,3,,-,0,,2,,1,,,-,,-,0,,2,,,-,1,,,-,3,,10,,,-,8,,"VIRGINIA
(37.542699, -78.45822)",
MONTANA,2017,3,,-,0,,1,,,-,,-,,-,0,,6,,,-,,-,,-,0,,3,,,-,1,,"MONTANA
(47.062617, -109.430168)",
PENNSYLVANIA,2017,3,1,,0,,2,,1,,,-,,-,0,,2,,,-,,-,10,,25,,77,,52,,87,,"PENNSYLVANIA
(40.789676, -77.858055)",
C.N.M.I.,2017,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
PUERTO RICO,2017,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEBRASKA,2017,3,,-,0,,1,,,-,,-,,-,0,,10,,,-,,-,1,,2,,9,,4,,23,,"NEBRASKA
(41.640503, -99.367122)",
GUAM,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
UNITED STATES,2017,4,4,,6,,20,,26,,28,,108,,83,,403,,495,,198,,98,,318,,468,,531,,1299,,,
NEW ENGLAND,2017,4,,-,0,,2,,,-,2,,,-,3,,38,,3,,2,,10,,15,,69,,63,,61,,,
MID. ATLANTIC,2017,4,,-,0,,4,,1,,,-,3,,6,,32,,28,,5,,16,,54,,90,,95,,257,,,
NEW YORK CITY,2017,4,,-,0,,2,,,-,,-,,-,2,,19,,18,,3,,,-,5,,14,,,-,33,,,
E.N. CENTRAL,2017,4,1,,0,,6,,4,,5,,5,,9,,55,,24,,49,,24,,70,,156,,120,,311,,,
W.N. CENTRAL,2017,4,,-,0,,1,,,-,1,,15,,15,,45,,81,,126,,8,,29,,55,,31,,113,,,
S. ATLANTIC,2017,4,1,,1,,4,,9,,4,,1,,2,,8,,4,,11,,9,,25,,43,,48,,130,,,
E.S. CENTRAL,2017,4,,-,0,,2,,1,,1,,,-,1,,15,,2,,1,,3,,13,,33,,22,,95,,,
W.S. CENTRAL,2017,4,,-,0,,3,,1,,4,,70,,2,,333,,322,,1,,6,,27,,105,,20,,51,,,
MOUNTAIN,2017,4,2,,0,,3,,4,,2,,10,,1,,6,,13,,2,,13,,30,,49,,95,,179,,,
PACIFIC,2017,4,,-,2,,7,,6,,9,,4,,2,,70,,18,,1,,9,,42,,73,,37,,102,,,
AMER. SAMOA,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
IOWA,2017,4,,-,0,,1,,,-,,-,,-,9,,40,,8,,117,,,-,2,,11,,,-,8,,"IOWA
(42.46942, -93.815856)",
WEST VIRGINIA,2017,4,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,1,,0,,3,,1,,3,,"WEST VIRGINIA
(38.668501, -80.709421)",
WASHINGTON,2017,4,,-,0,,1,,,-,,-,3,,0,,65,,7,,,-,5,,9,,57,,5,,7,,"WASHINGTON
(47.517368, -120.467672)",
C.N.M.I.,2017,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
ARKANSAS,2017,4,,-,0,,1,,,-,1,,42,,0,,248,,260,,,-,,-,1,,5,,5,,6,,"ARKANSAS
(34.748745, -92.275105)",
TENNESSEE,2017,4,,-,0,,1,,1,,,-,,-,0,,1,,1,,,-,2,,3,,5,,9,,8,,"TENNESSEE
(35.681402, -85.774444)",
PENNSYLVANIA,2017,4,,-,0,,2,,1,,,-,1,,0,,2,,1,,,-,7,,24,,77,,68,,120,,"PENNSYLVANIA
(40.789676, -77.858055)",
VERMONT,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,6,,3,,45,,28,,16,,"VERMONT
(43.622479, -72.51927)",
ALABAMA,2017,4,,-,0,,1,,,-,1,,,-,0,,1,,,-,1,,,-,3,,7,,4,,21,,"ALABAMA
(32.839182, -86.631125)",
MISSISSIPPI,2017,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,1,,1,,"MISSISSIPPI
(32.738663, -89.537312)",
KENTUCKY,2017,4,,-,0,,1,,,-,,-,,-,0,,15,,1,,,-,1,,7,,27,,8,,65,,"KENTUCKY
(37.64591, -84.774043)",
SOUTH CAROLINA,2017,4,,-,0,,2,,2,,2,,,-,0,,2,,,-,,-,3,,2,,15,,25,,16,,"SOUTH CAROLINA
(34.009286, -81.037094)",
LOUISIANA,2017,4,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,,-,1,,5,,2,,6,,"LOUISIANA
(31.2931, -92.463284)",
MONTANA,2017,4,,-,0,,1,,,-,,-,,-,0,,6,,,-,,-,,-,0,,3,,,-,2,,"MONTANA
(47.062617, -109.430168)",
CALIFORNIA,2017,4,,-,1,,6,,1,,6,,,-,1,,9,,5,,1,,3,,24,,38,,22,,68,,"CALIFORNIA
(37.640735, -121.002435)",
ILLINOIS,2017,4,,-,0,,2,,,-,2,,,-,3,,25,,5,,38,,,-,18,,37,,7,,67,,"ILLINOIS
(40.477092, -88.993221)",
MICHIGAN,2017,4,,-,0,,1,,,-,,-,1,,0,,2,,1,,3,,1,,7,,29,,15,,34,,"MICHIGAN
(44.66399, -84.711206)",
RHODE ISLAND,2017,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,16,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
OHIO,2017,4,1,,0,,3,,4,,1,,3,,1,,20,,3,,3,,23,,18,,38,,77,,98,,"OHIO
(40.056807, -82.405897)",
NEW YORK,2017,4,,-,0,,1,,,-,,-,2,,2,,23,,9,,1,,9,,13,,34,,26,,38,,"NEW YORK
(42.826892, -75.544286)",
TEXAS,2017,4,,-,0,,3,,,-,1,,15,,1,,54,,30,,1,,6,,21,,97,,13,,39,,"TEXAS
(31.827233, -99.423022)",
MINNESOTA,2017,4,,-,0,,1,,,-,,-,,-,0,,3,,,-,7,,,-,14,,34,,,-,49,,"MINNESOTA
(46.357661, -94.793397)",
ALASKA,2017,4,,-,0,,2,,,-,,-,,-,0,,2,,1,,,-,,-,2,,10,,1,,9,,"ALASKA
(64.836661, -147.738891)",
INDIANA,2017,4,,-,0,,2,,,-,1,,,-,2,,23,,3,,2,,,-,2,,9,,,-,19,,"INDIANA
(39.76845, -86.156212)",
UTAH,2017,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,4,,10,,1,,21,,"UTAH
(39.359772, -111.584173)",
COLORADO,2017,4,2,,0,,1,,2,,,-,10,,0,,3,,12,,,-,9,,15,,28,,59,,69,,"COLORADO
(38.841772, -106.132562)",
MASSACHUSETTS,2017,4,,-,0,,2,,,-,2,,,-,2,,28,,2,,2,,,-,4,,9,,4,,13,,"MASSACHUSETTS
(42.268546, -72.085064)",
MARYLAND,2017,4,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,1,,2,,9,,6,,6,,"MARYLAND
(39.290443, -76.612333)",
GEORGIA,2017,4,,-,0,,3,,,-,1,,,-,0,,2,,,-,,-,,-,2,,18,,,-,20,,"GEORGIA
(32.836038, -83.631709)",
NEVADA,2017,4,,-,0,,2,,,-,1,,,-,0,,1,,1,,,-,,-,0,,3,,,-,3,,"NEVADA
(39.491833, -117.070159)",
WISCONSIN,2017,4,,-,0,,1,,,-,1,,1,,0,,13,,12,,3,,,-,23,,99,,21,,93,,"WISCONSIN
(44.395526, -89.834513)",
DELAWARE,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,4,,"DELAWARE
(39.008676, -75.574561)",
VIRGINIA,2017,4,1,,0,,2,,2,,,-,,-,0,,2,,1,,1,,,-,3,,10,,1,,13,,"VIRGINIA
(37.542699, -78.45822)",
NORTH DAKOTA,2017,4,,-,0,,0,,,-,,-,,-,0,,3,,1,,,-,,-,0,,5,,3,,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
SOUTH DAKOTA,2017,4,,-,0,,1,,,-,1,,,-,0,,2,,,-,,-,,-,0,,2,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW JERSEY,2017,4,,-,0,,2,,,-,,-,,-,0,,3,,,-,1,,,-,7,,24,,1,,66,,"NEW JERSEY
(40.104655, -74.386686)",
CONNECTICUT,2017,4,,-,0,,1,,,-,,-,,-,0,,12,,,-,,-,,-,1,,6,,5,,4,,"CONNECTICUT
(41.544654, -72.651713)",
VIRGIN ISL.,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW MEXICO,2017,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,2,,9,,3,,9,,"NEW MEXICO
(34.520396, -106.244402)",
MAINE,2017,4,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,4,,4,,14,,26,,24,,"MAINE
(45.252223, -68.986647)",
MISSOURI,2017,4,,-,0,,1,,,-,,-,15,,0,,29,,71,,,-,7,,4,,27,,20,,20,,"MISSOURI
(38.636168, -92.566292)",
ARIZONA,2017,4,,-,0,,1,,2,,1,,,-,0,,2,,,-,2,,3,,4,,20,,30,,67,,"ARIZONA
(34.869712, -111.760902)",
IDAHO,2017,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,1,,1,,8,,2,,5,,"IDAHO
(43.680635, -114.364237)",
WYOMING,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,,-,3,,"WYOMING
(43.23558, -108.110518)",
GUAM,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
HAWAII,2017,4,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,1,,5,,3,,7,,"HAWAII
(21.30992, -157.858158)",
FLORIDA,2017,4,,-,0,,3,,5,,1,,1,,0,,2,,2,,,-,3,,6,,16,,12,,34,,"FLORIDA
(28.915325, -81.922409)",
NEW HAMPSHIRE,2017,4,,-,0,,0,,,-,,-,,-,0,,5,,1,,,-,,-,1,,4,,,-,4,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NORTH CAROLINA,2017,4,,-,0,,1,,,-,,-,,-,0,,8,,1,,10,,,-,4,,11,,2,,34,,"NORTH CAROLINA
(35.47995, -79.180571)",
NEBRASKA,2017,4,,-,0,,1,,,-,,-,,-,0,,10,,,-,,-,1,,2,,7,,8,,30,,"NEBRASKA
(41.640503, -99.367122)",
KANSAS,2017,4,,-,0,,1,,,-,,-,,-,0,,2,,1,,2,,,-,2,,8,,,-,5,,"KANSAS
(38.345528, -98.201847)",
OKLAHOMA,2017,4,,-,0,,1,,,-,1,,13,,0,,81,,32,,,-,,-,0,,54,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
OREGON,2017,4,,-,0,,3,,5,,3,,1,,0,,6,,5,,,-,1,,3,,13,,6,,11,,"OREGON
(44.567912, -120.156945)",
PUERTO RICO,2017,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
DIST. OF COL.,2017,4,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,1,,0,,2,,1,,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
UNITED STATES,2017,5,2,,6,,20,,32,,37,,75,,85,,403,,611,,245,,84,,317,,469,,713,,1634,,,
NEW ENGLAND,2017,5,,-,0,,2,,,-,2,,,-,3,,38,,3,,3,,8,,15,,69,,81,,75,,,
MID. ATLANTIC,2017,5,,-,0,,4,,1,,,-,4,,6,,32,,39,,6,,12,,54,,90,,117,,323,,,
NEW YORK CITY,2017,5,,-,0,,2,,,-,,-,,-,2,,19,,22,,4,,,-,5,,14,,4,,40,,,
E.N. CENTRAL,2017,5,,-,0,,6,,4,,8,,1,,8,,55,,27,,65,,28,,70,,156,,176,,385,,,
W.N. CENTRAL,2017,5,,-,0,,1,,,-,1,,,-,15,,45,,89,,149,,1,,29,,55,,40,,142,,,
WISCONSIN,2017,5,,-,0,,1,,,-,2,,,-,0,,13,,12,,3,,2,,23,,99,,29,,110,,"WISCONSIN
(44.395526, -89.834513)",
CONNECTICUT,2017,5,,-,0,,1,,,-,,-,,-,0,,12,,,-,1,,,-,1,,6,,5,,4,,"CONNECTICUT
(41.544654, -72.651713)",
MICHIGAN,2017,5,,-,0,,1,,,-,1,,,-,0,,2,,1,,3,,,-,7,,29,,25,,41,,"MICHIGAN
(44.66399, -84.711206)",
PENNSYLVANIA,2017,5,,-,0,,2,,1,,,-,,-,0,,2,,1,,,-,4,,23,,77,,77,,158,,"PENNSYLVANIA
(40.789676, -77.858055)",
MINNESOTA,2017,5,,-,0,,1,,,-,,-,,-,0,,3,,,-,9,,,-,14,,34,,,-,58,,"MINNESOTA
(46.357661, -94.793397)",
S. ATLANTIC,2017,5,,-,1,,4,,10,,5,,1,,2,,6,,12,,11,,8,,25,,43,,68,,173,,,
E.S. CENTRAL,2017,5,,-,0,,2,,1,,1,,,-,1,,15,,2,,1,,1,,12,,33,,25,,110,,,
W.S. CENTRAL,2017,5,1,,0,,3,,2,,4,,59,,2,,333,,390,,2,,9,,27,,113,,40,,67,,,
MOUNTAIN,2017,5,1,,0,,3,,5,,2,,9,,1,,10,,22,,4,,17,,30,,49,,122,,224,,,
PACIFIC,2017,5,,-,2,,7,,9,,14,,1,,3,,71,,27,,4,,,-,43,,76,,44,,135,,,
AMER. SAMOA,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
GEORGIA,2017,5,,-,0,,3,,1,,1,,,-,0,,3,,5,,,-,,-,2,,18,,,-,38,,"GEORGIA
(32.836038, -83.631709)",
KENTUCKY,2017,5,,-,0,,1,,,-,,-,,-,0,,15,,1,,,-,,-,7,,27,,8,,73,,"KENTUCKY
(37.64591, -84.774043)",
WASHINGTON,2017,5,,-,0,,1,,,-,,-,,-,0,,65,,7,,,-,,-,9,,57,,5,,8,,"WASHINGTON
(47.517368, -120.467672)",
WEST VIRGINIA,2017,5,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,1,,3,,"WEST VIRGINIA
(38.668501, -80.709421)",
RHODE ISLAND,2017,5,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,1,,0,,16,,1,,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NORTH CAROLINA,2017,5,,-,0,,1,,,-,,-,,-,0,,3,,2,,10,,,-,4,,11,,9,,41,,"NORTH CAROLINA
(35.47995, -79.180571)",
UTAH,2017,5,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,4,,10,,2,,30,,"UTAH
(39.359772, -111.584173)",
NEW JERSEY,2017,5,,-,0,,2,,,-,,-,,-,0,,3,,2,,1,,,-,7,,24,,2,,78,,"NEW JERSEY
(40.104655, -74.386686)",
TENNESSEE,2017,5,,-,0,,1,,1,,,-,,-,0,,1,,1,,,-,1,,3,,5,,11,,11,,"TENNESSEE
(35.681402, -85.774444)",
MONTANA,2017,5,,-,0,,1,,,-,,-,,-,0,,6,,,-,,-,,-,0,,3,,,-,2,,"MONTANA
(47.062617, -109.430168)",
CALIFORNIA,2017,5,,-,1,,6,,4,,11,,,-,1,,9,,8,,4,,,-,24,,37,,29,,92,,"CALIFORNIA
(37.640735, -121.002435)",
KANSAS,2017,5,,-,0,,1,,,-,,-,,-,0,,2,,1,,2,,,-,2,,8,,,-,5,,"KANSAS
(38.345528, -98.201847)",
SOUTH CAROLINA,2017,5,,-,0,,2,,2,,2,,,-,0,,2,,,-,,-,,-,2,,15,,26,,17,,"SOUTH CAROLINA
(34.009286, -81.037094)",
OKLAHOMA,2017,5,,-,0,,1,,,-,1,,10,,0,,81,,42,,,-,,-,0,,54,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
VIRGINIA,2017,5,,-,0,,2,,2,,,-,1,,0,,2,,3,,1,,,-,3,,11,,2,,16,,"VIRGINIA
(37.542699, -78.45822)",
IDAHO,2017,5,1,,0,,1,,1,,,-,1,,0,,1,,1,,,-,,-,1,,8,,2,,5,,"IDAHO
(43.680635, -114.364237)",
WYOMING,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,,-,3,,"WYOMING
(43.23558, -108.110518)",
NEW HAMPSHIRE,2017,5,,-,0,,0,,,-,,-,,-,0,,5,,1,,,-,,-,1,,4,,,-,4,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ARKANSAS,2017,5,,-,0,,1,,,-,1,,37,,0,,248,,306,,,-,1,,1,,5,,8,,7,,"ARKANSAS
(34.748745, -92.275105)",
TEXAS,2017,5,1,,0,,3,,1,,1,,12,,1,,55,,42,,2,,8,,21,,105,,30,,54,,"TEXAS
(31.827233, -99.423022)",
FLORIDA,2017,5,,-,0,,3,,5,,2,,,-,0,,2,,2,,,-,7,,6,,16,,19,,44,,"FLORIDA
(28.915325, -81.922409)",
VERMONT,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,3,,45,,36,,18,,"VERMONT
(43.622479, -72.51927)",
DIST. OF COL.,2017,5,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,2,,2,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
OREGON,2017,5,,-,0,,3,,5,,3,,1,,0,,6,,11,,,-,,-,3,,13,,6,,16,,"OREGON
(44.567912, -120.156945)",
HAWAII,2017,5,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,1,,5,,3,,8,,"HAWAII
(21.30992, -157.858158)",
ALASKA,2017,5,,-,0,,2,,,-,,-,,-,0,,2,,1,,,-,,-,2,,10,,1,,11,,"ALASKA
(64.836661, -147.738891)",
NEW YORK,2017,5,,-,0,,1,,,-,,-,4,,2,,23,,14,,1,,8,,13,,35,,34,,47,,"NEW YORK
(42.826892, -75.544286)",
NEW MEXICO,2017,5,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,1,,3,,9,,9,,12,,"NEW MEXICO
(34.520396, -106.244402)",
ALABAMA,2017,5,,-,0,,1,,,-,1,,,-,0,,1,,,-,1,,,-,3,,7,,4,,25,,"ALABAMA
(32.839182, -86.631125)",
SOUTH DAKOTA,2017,5,,-,0,,0,,,-,1,,,-,0,,2,,,-,,-,,-,0,,2,,,-,2,,"SOUTH DAKOTA
(44.35371, -100.373709)",
INDIANA,2017,5,,-,0,,2,,,-,1,,,-,2,,23,,4,,3,,,-,2,,9,,3,,23,,"INDIANA
(39.76845, -86.156212)",
NEBRASKA,2017,5,,-,0,,1,,,-,,-,,-,0,,10,,,-,1,,1,,2,,6,,9,,36,,"NEBRASKA
(41.640503, -99.367122)",
MISSISSIPPI,2017,5,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,2,,1,,"MISSISSIPPI
(32.738663, -89.537312)",
ARIZONA,2017,5,,-,0,,1,,2,,1,,,-,0,,2,,,-,3,,2,,4,,20,,36,,71,,"ARIZONA
(34.869712, -111.760902)",
OHIO,2017,5,,-,0,,3,,4,,2,,1,,1,,20,,4,,4,,26,,18,,38,,103,,120,,"OHIO
(40.056807, -82.405897)",
PUERTO RICO,2017,5,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,0,,4,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
COLORADO,2017,5,,-,0,,2,,2,,,-,7,,0,,10,,19,,1,,14,,15,,28,,73,,96,,"COLORADO
(38.841772, -106.132562)",
MASSACHUSETTS,2017,5,,-,0,,1,,,-,2,,,-,2,,28,,2,,2,,,-,3,,9,,4,,15,,"MASSACHUSETTS
(42.268546, -72.085064)",
MISSOURI,2017,5,,-,0,,1,,,-,,-,,-,0,,29,,71,,,-,,-,4,,27,,20,,29,,"MISSOURI
(38.636168, -92.566292)",
NORTH DAKOTA,2017,5,,-,0,,0,,,-,,-,,-,0,,3,,1,,,-,,-,0,,5,,9,,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MAINE,2017,5,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,6,,4,,14,,35,,34,,"MAINE
(45.252223, -68.986647)",
GUAM,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
DELAWARE,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,4,,"DELAWARE
(39.008676, -75.574561)",
C.N.M.I.,2017,5,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
