 Reporting Area,MMWR Year,MMWR Week,"Rabies, animal, Current week","Rabies, animal, Current week, flag","Rabies, animal, Previous 52 weeks Med","Rabies, animal, Previous 52 weeks Med, flag","Rabies, animal, Previous 52 weeks Max","Rabies, animal, Previous 52 weeks Max, flag","Rabies, animal, Cum 2017","Rabies, animal, Cum 2017, flag","Rabies, animal, Cum 2016","Rabies, animal, Cum 2016, flag","Rubella, Current week","Rubella, Current week, flag","Rubella, Previous 52 weeks Med","Rubella, Previous 52 weeks Med, flag","Rubella, Previous 52 weeks Max","Rubella, Previous 52 weeks Max, flag","Rubella, Cum 2017","Rubella, Cum 2017, flag","Rubella, Cum 2016","Rubella, Cum 2016, flag","Rubella, congenital syndrome, Current week","Rubella, congenital syndrome, Current week, flag","Rubella, congenital syndrome, Previous 52 weeks Med","Rubella, congenital syndrome, Previous 52 weeks Med, flag","Rubella, congenital syndrome, Previous 52 weeks Max","Rubella, congenital syndrome, Previous 52 weeks Max, flag","Rubella, congenital syndrome, Cum 2017","Rubella, congenital syndrome, Cum 2017, flag","Rubella, congenital syndrome, Cum 2016","Rubella, congenital syndrome, Cum 2016, flag",Location 1,Location 2
UNITED STATES,2017,1,11,,52,,112,,11,,34,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,
NEW ENGLAND,2017,1,,-,4,,13,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,1,7,,8,,33,,7,,5,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,1,,-,2,,11,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
W.N. CENTRAL,2017,1,,-,2,,8,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
S. ATLANTIC,2017,1,1,,13,,27,,1,,21,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,
E.S. CENTRAL,2017,1,1,,1,,7,,1,,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2017,1,1,,13,,41,,1,,6,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MOUNTAIN,2017,1,,-,0,,6,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
PACIFIC,2017,1,1,,1,,11,,1,,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,1,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
WYOMING,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
CALIFORNIA,2017,1,,-,0,,8,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
KANSAS,2017,1,,-,1,,8,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
C.N.M.I.,2017,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MISSOURI,2017,1,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
IDAHO,2017,1,,-,0,,5,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
LOUISIANA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
MISSISSIPPI,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
UTAH,2017,1,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
GEORGIA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
NEW MEXICO,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
NEW JERSEY,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
DELAWARE,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
ALABAMA,2017,1,1,,1,,7,,1,,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
VIRGIN ISL.,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
DIST. OF COL.,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
ARKANSAS,2017,1,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
ILLINOIS,2017,1,,-,0,,7,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
WASHINGTON,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
SOUTH CAROLINA,2017,1,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEW YORK,2017,1,7,,8,,33,,7,,5,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
NORTH DAKOTA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
ARIZONA,2017,1,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
MONTANA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
VIRGINIA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
MINNESOTA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MARYLAND,2017,1,,-,5,,21,,,-,4,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
TENNESSEE,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
MAINE,2017,1,,-,1,,6,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
VERMONT,2017,1,,-,1,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
KENTUCKY,2017,1,,-,0,,5,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
HAWAII,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
PENNSYLVANIA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
MICHIGAN,2017,1,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
CONNECTICUT,2017,1,,-,1,,6,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
PUERTO RICO,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
RHODE ISLAND,2017,1,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
COLORADO,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
OKLAHOMA,2017,1,,-,0,,23,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
NEVADA,2017,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NEBRASKA,2017,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
INDIANA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
ALASKA,2017,1,1,,0,,3,,1,,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
OREGON,2017,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
MASSACHUSETTS,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
SOUTH DAKOTA,2017,1,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
FLORIDA,2017,1,1,,0,,21,,1,,15,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
NEW HAMPSHIRE,2017,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
WEST VIRGINIA,2017,1,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
IOWA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
NORTH CAROLINA,2017,1,,-,5,,10,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
TEXAS,2017,1,1,,12,,41,,1,,6,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
GUAM,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
OHIO,2017,1,,-,0,,8,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
WISCONSIN,2017,1,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
UNITED STATES,2017,2,14,,52,,113,,26,,82,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,
NEW ENGLAND,2017,2,1,,4,,13,,1,,6,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,2,4,,8,,33,,11,,12,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,2,1,,2,,11,,1,,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
W.N. CENTRAL,2017,2,,-,2,,8,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
S. ATLANTIC,2017,2,7,,12,,27,,9,,48,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,
E.S. CENTRAL,2017,2,,-,2,,7,,1,,3,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2017,2,1,,13,,41,,2,,12,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MOUNTAIN,2017,2,,-,0,,6,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
PACIFIC,2017,2,,-,1,,11,,1,,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,2,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
ARIZONA,2017,2,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
TEXAS,2017,2,1,,12,,41,,2,,12,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
SOUTH CAROLINA,2017,2,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
IOWA,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
GEORGIA,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MARYLAND,2017,2,,-,5,,21,,,-,8,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
KANSAS,2017,2,,-,1,,8,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
OHIO,2017,2,1,,0,,8,,1,,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
DIST. OF COL.,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
OKLAHOMA,2017,2,,-,0,,23,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
WASHINGTON,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
COLORADO,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
KENTUCKY,2017,2,,-,0,,5,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
MINNESOTA,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
UTAH,2017,2,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
DELAWARE,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
VIRGINIA,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
INDIANA,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
MASSACHUSETTS,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
MONTANA,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NORTH DAKOTA,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NEVADA,2017,2,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
WISCONSIN,2017,2,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
NEW MEXICO,2017,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
ARKANSAS,2017,2,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
PUERTO RICO,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
ALABAMA,2017,2,,-,1,,7,,1,,3,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
OREGON,2017,2,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
FLORIDA,2017,2,3,,0,,21,,4,,33,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
NEBRASKA,2017,2,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
LOUISIANA,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
VERMONT,2017,2,,-,1,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
SOUTH DAKOTA,2017,2,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MICHIGAN,2017,2,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
PENNSYLVANIA,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW YORK,2017,2,4,,8,,33,,11,,12,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
CALIFORNIA,2017,2,,-,0,,8,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
NEW HAMPSHIRE,2017,2,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MISSISSIPPI,2017,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MAINE,2017,2,1,,1,,6,,1,,3,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NORTH CAROLINA,2017,2,4,,5,,10,,5,,5,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
MISSOURI,2017,2,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
VIRGIN ISL.,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
TENNESSEE,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
NEW JERSEY,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
C.N.M.I.,2017,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
ILLINOIS,2017,2,,-,0,,7,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
WYOMING,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
RHODE ISLAND,2017,2,,-,0,,4,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
HAWAII,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
IDAHO,2017,2,,-,0,,5,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
ALASKA,2017,2,,-,0,,3,,1,,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
GUAM,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
CONNECTICUT,2017,2,,-,1,,6,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
WEST VIRGINIA,2017,2,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
UNITED STATES,2017,3,12,,52,,113,,38,,115,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,
NEW ENGLAND,2017,3,1,,4,,13,,2,,7,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,3,8,,8,,33,,19,,16,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,3,,-,2,,11,,1,,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,
W.N. CENTRAL,2017,3,,-,2,,8,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
S. ATLANTIC,2017,3,2,,12,,24,,11,,68,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,
E.S. CENTRAL,2017,3,1,,2,,7,,2,,4,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2017,3,,-,13,,41,,2,,16,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MOUNTAIN,2017,3,,-,0,,6,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
PACIFIC,2017,3,,-,1,,11,,1,,3,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,3,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
WASHINGTON,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
IDAHO,2017,3,,-,0,,5,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
TENNESSEE,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
NORTH DAKOTA,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
PUERTO RICO,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
GUAM,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
CALIFORNIA,2017,3,,-,0,,8,,,-,3,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
CONNECTICUT,2017,3,1,,1,,6,,1,,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
ALABAMA,2017,3,1,,1,,7,,2,,4,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
ARIZONA,2017,3,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
LOUISIANA,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
DELAWARE,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
KANSAS,2017,3,,-,0,,8,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
WISCONSIN,2017,3,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
