 Reporting Area,MMWR Year,MMWR Week,"Rabies, animal, Current week","Rabies, animal, Current week, flag","Rabies, animal, Previous 52 weeks Med","Rabies, animal, Previous 52 weeks Med, flag","Rabies, animal, Previous 52 weeks Max","Rabies, animal, Previous 52 weeks Max, flag","Rabies, animal, Cum 2017","Rabies, animal, Cum 2017, flag","Rabies, animal, Cum 2016","Rabies, animal, Cum 2016, flag","Rubella, Current week","Rubella, Current week, flag","Rubella, Previous 52 weeks Med","Rubella, Previous 52 weeks Med, flag","Rubella, Previous 52 weeks Max","Rubella, Previous 52 weeks Max, flag","Rubella, Cum 2017","Rubella, Cum 2017, flag","Rubella, Cum 2016","Rubella, Cum 2016, flag","Rubella, congenital syndrome, Current week","Rubella, congenital syndrome, Current week, flag","Rubella, congenital syndrome, Previous 52 weeks Med","Rubella, congenital syndrome, Previous 52 weeks Med, flag","Rubella, congenital syndrome, Previous 52 weeks Max","Rubella, congenital syndrome, Previous 52 weeks Max, flag","Rubella, congenital syndrome, Cum 2017","Rubella, congenital syndrome, Cum 2017, flag","Rubella, congenital syndrome, Cum 2016","Rubella, congenital syndrome, Cum 2016, flag",Location 1,Location 2
UTAH,2017,3,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
COLORADO,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
ARKANSAS,2017,3,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
WEST VIRGINIA,2017,3,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NORTH CAROLINA,2017,3,1,,5,,10,,6,,7,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
C.N.M.I.,2017,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEBRASKA,2017,3,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
FLORIDA,2017,3,1,,0,,21,,5,,47,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
NEW HAMPSHIRE,2017,3,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MISSOURI,2017,3,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
SOUTH CAROLINA,2017,3,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
OKLAHOMA,2017,3,,-,0,,23,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
VERMONT,2017,3,,-,1,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
INDIANA,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
TEXAS,2017,3,,-,12,,41,,2,,16,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
MASSACHUSETTS,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
MISSISSIPPI,2017,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MICHIGAN,2017,3,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
PENNSYLVANIA,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
NEVADA,2017,3,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
OREGON,2017,3,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
OHIO,2017,3,,-,0,,8,,1,,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
GEORGIA,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
HAWAII,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
KENTUCKY,2017,3,,-,0,,5,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
VIRGINIA,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
WYOMING,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
VIRGIN ISL.,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MONTANA,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
RHODE ISLAND,2017,3,,-,0,,4,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
ALASKA,2017,3,,-,0,,3,,1,,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MAINE,2017,3,,-,1,,6,,1,,3,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEW JERSEY,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
MINNESOTA,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
DIST. OF COL.,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
IOWA,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
MARYLAND,2017,3,,-,5,,21,,,-,12,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
NEW MEXICO,2017,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
ILLINOIS,2017,3,,-,0,,7,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
SOUTH DAKOTA,2017,3,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW YORK,2017,3,8,,8,,33,,19,,16,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
UNITED STATES,2017,4,16,,52,,113,,62,,164,,,-,0,,2,,,-,2,,,-,0,,1,,,-,,-,,
NEW ENGLAND,2017,4,1,,4,,13,,3,,12,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,4,1,,8,,33,,20,,24,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,4,,-,2,,11,,1,,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,
W.N. CENTRAL,2017,4,,-,2,,8,,,-,5,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
S. ATLANTIC,2017,4,12,,12,,24,,30,,92,,,-,0,,2,,,-,2,,,-,0,,1,,,-,,-,,
E.S. CENTRAL,2017,4,,-,2,,7,,2,,6,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2017,4,1,,13,,41,,4,,21,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MOUNTAIN,2017,4,,-,0,,6,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
PACIFIC,2017,4,1,,1,,11,,2,,4,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,4,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
GEORGIA,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
TEXAS,2017,4,,-,12,,41,,2,,20,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
ARKANSAS,2017,4,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
CALIFORNIA,2017,4,,-,0,,8,,,-,3,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
VIRGIN ISL.,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NORTH DAKOTA,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
UTAH,2017,4,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
DIST. OF COL.,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
ALASKA,2017,4,1,,0,,3,,2,,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
RHODE ISLAND,2017,4,,-,0,,4,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEW MEXICO,2017,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
SOUTH CAROLINA,2017,4,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
C.N.M.I.,2017,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MONTANA,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
KANSAS,2017,4,,-,0,,8,,,-,4,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
LOUISIANA,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
FLORIDA,2017,4,9,,0,,21,,14,,68,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
WEST VIRGINIA,2017,4,1,,0,,3,,1,,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
WYOMING,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
PUERTO RICO,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEBRASKA,2017,4,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
ILLINOIS,2017,4,,-,0,,7,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
NEW JERSEY,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
OREGON,2017,4,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
MAINE,2017,4,1,,1,,6,,2,,3,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEW HAMPSHIRE,2017,4,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
VERMONT,2017,4,,-,1,,3,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
HAWAII,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MISSISSIPPI,2017,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
TENNESSEE,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
OHIO,2017,4,,-,0,,8,,1,,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
MISSOURI,2017,4,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
MICHIGAN,2017,4,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
MASSACHUSETTS,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
ARIZONA,2017,4,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
IOWA,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
INDIANA,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
MARYLAND,2017,4,1,,5,,21,,8,,14,,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
OKLAHOMA,2017,4,1,,0,,23,,2,,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
SOUTH DAKOTA,2017,4,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW YORK,2017,4,1,,8,,33,,20,,24,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
KENTUCKY,2017,4,,-,0,,5,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
WISCONSIN,2017,4,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
VIRGINIA,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
CONNECTICUT,2017,4,,-,1,,6,,1,,6,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
NEVADA,2017,4,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
COLORADO,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
MINNESOTA,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
GUAM,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NORTH CAROLINA,2017,4,1,,5,,10,,7,,8,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
DELAWARE,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
ALABAMA,2017,4,,-,1,,7,,2,,6,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
PENNSYLVANIA,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
WASHINGTON,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
IDAHO,2017,4,,-,0,,5,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
UNITED STATES,2017,5,16,,52,,113,,90,,215,,,-,0,,2,,,-,2,,,-,0,,1,,,-,,-,,
NEW ENGLAND,2017,5,,-,4,,13,,3,,20,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,5,7,,8,,33,,27,,32,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,5,,-,2,,11,,1,,1,,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,
W.N. CENTRAL,2017,5,2,,2,,8,,3,,8,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
S. ATLANTIC,2017,5,3,,12,,24,,33,,111,,,-,0,,2,,,-,2,,,-,0,,1,,,-,,-,,
E.S. CENTRAL,2017,5,2,,1,,7,,4,,10,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2017,5,2,,13,,41,,17,,26,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MOUNTAIN,2017,5,,-,1,,8,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
PACIFIC,2017,5,,-,1,,11,,2,,6,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,5,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
INDIANA,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
RHODE ISLAND,2017,5,,-,0,,4,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
WYOMING,2017,5,,-,0,,5,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
WEST VIRGINIA,2017,5,,-,0,,3,,1,,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
OKLAHOMA,2017,5,,-,0,,23,,2,,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
NEW YORK,2017,5,7,,8,,33,,27,,32,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
SOUTH DAKOTA,2017,5,2,,0,,3,,2,,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MISSOURI,2017,5,,-,0,,4,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
MAINE,2017,5,,-,1,,6,,2,,5,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
LOUISIANA,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
WASHINGTON,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
MARYLAND,2017,5,,-,5,,21,,8,,19,,,-,0,,0,,,-,1,,,-,0,,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
ALABAMA,2017,5,2,,1,,7,,4,,10,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
UTAH,2017,5,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
MISSISSIPPI,2017,5,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
TENNESSEE,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
WISCONSIN,2017,5,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
MASSACHUSETTS,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
IOWA,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
CALIFORNIA,2017,5,,-,0,,8,,,-,4,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
KENTUCKY,2017,5,,-,0,,5,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
VIRGINIA,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
ARIZONA,2017,5,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
MINNESOTA,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
FLORIDA,2017,5,1,,0,,11,,15,,79,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
DELAWARE,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
GEORGIA,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
DIST. OF COL.,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
ILLINOIS,2017,5,,-,0,,7,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
TEXAS,2017,5,2,,12,,41,,15,,24,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
MICHIGAN,2017,5,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
OREGON,2017,5,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
ARKANSAS,2017,5,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
PUERTO RICO,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
CONNECTICUT,2017,5,,-,1,,6,,1,,11,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
IDAHO,2017,5,,-,0,,5,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
NEW MEXICO,2017,5,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
NEBRASKA,2017,5,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
COLORADO,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
NEW HAMPSHIRE,2017,5,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NORTH DAKOTA,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
PENNSYLVANIA,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
KANSAS,2017,5,,-,0,,8,,1,,4,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
NEW JERSEY,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
GUAM,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
C.N.M.I.,2017,5,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
OHIO,2017,5,,-,0,,8,,1,,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
VERMONT,2017,5,,-,1,,3,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
