Reporting Area,MMWR Year,MMWR Week,"Tetanus, Current week","Tetanus, Current week, flag","Tetanus, Previous 52 weeks Med","Tetanus, Previous 52 weeks Med, flag","Tetanus, Previous 52 weeks Max","Tetanus, Previous 52 weeks Max, flag","Tetanus, Cum 2017","Tetanus, Cum 2017, flag","Tetanus, Cum 2016","Tetanus, Cum 2016, flag","Varicella (chickenpox), Current week","Varicella (chickenpox), Current week, flag","Varicella (chickenpox), Previous 52 weeks Med","Varicella (chickenpox), Previous 52 weeks Med, flag","Varicella (chickenpox), Previous 52 weeks Max","Varicella (chickenpox), Previous 52 weeks Max, flag","Varicella (chickenpox), Cum 2017","Varicella (chickenpox), Cum 2017, flag","Varicella (chickenpox), Cum 2016","Varicella (chickenpox), Cum 2016, flag",Location 1,Location 2
WEST VIRGINIA,2017,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,3,,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW MEXICO,2017,3,,-,0,,0,,,-,,-,,-,0,,5,,,-,3,,"NEW MEXICO
(34.520396, -106.244402)",
NEW JERSEY,2017,3,,-,0,,0,,,-,,-,,-,5,,15,,,-,29,,"NEW JERSEY
(40.104655, -74.386686)",
LOUISIANA,2017,3,,-,0,,0,,,-,,-,,-,0,,5,,1,,,-,"LOUISIANA
(31.2931, -92.463284)",
MARYLAND,2017,3,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"MARYLAND
(39.290443, -76.612333)",
UNITED STATES,2017,4,,-,1,,3,,2,,1,,75,,149,,205,,359,,664,,,
NEW ENGLAND,2017,4,,-,0,,1,,,-,,-,8,,14,,27,,39,,58,,,
MID. ATLANTIC,2017,4,,-,0,,2,,,-,,-,9,,16,,39,,40,,82,,,
NEW YORK CITY,2017,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,4,,-,0,,1,,,-,1,,19,,33,,56,,108,,197,,,
W.N. CENTRAL,2017,4,,-,0,,1,,,-,,-,3,,11,,29,,23,,49,,,
S. ATLANTIC,2017,4,,-,0,,1,,1,,,-,23,,23,,54,,53,,106,,,
E.S. CENTRAL,2017,4,,-,0,,1,,,-,,-,3,,2,,6,,11,,14,,,
W.S. CENTRAL,2017,4,,-,0,,1,,,-,,-,6,,26,,56,,47,,80,,,
MOUNTAIN,2017,4,,-,0,,1,,1,,,-,4,,11,,34,,36,,75,,,
PACIFIC,2017,4,,-,0,,1,,,-,,-,,-,1,,4,,2,,3,,,
AMER. SAMOA,2017,4,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
COLORADO,2017,4,,-,0,,0,,,-,,-,,-,0,,18,,12,,,-,"COLORADO
(38.841772, -106.132562)",
TEXAS,2017,4,,-,0,,1,,,-,,-,6,,23,,53,,43,,65,,"TEXAS
(31.827233, -99.423022)",
VIRGIN ISL.,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
FLORIDA,2017,4,,-,0,,1,,1,,,-,21,,13,,39,,45,,73,,"FLORIDA
(28.915325, -81.922409)",
WISCONSIN,2017,4,,-,0,,0,,,-,,-,5,,2,,20,,15,,4,,"WISCONSIN
(44.395526, -89.834513)",
KENTUCKY,2017,4,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"KENTUCKY
(37.64591, -84.774043)",
CALIFORNIA,2017,4,,-,0,,1,,,-,,-,,-,0,,4,,1,,2,,"CALIFORNIA
(37.640735, -121.002435)",
ARIZONA,2017,4,,-,0,,1,,,-,,-,4,,5,,13,,14,,31,,"ARIZONA
(34.869712, -111.760902)",
IOWA,2017,4,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
GUAM,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEW YORK,2017,4,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
MASSACHUSETTS,2017,4,,-,0,,0,,,-,,-,,-,4,,16,,10,,23,,"MASSACHUSETTS
(42.268546, -72.085064)",
PUERTO RICO,2017,4,,-,0,,0,,,-,,-,,-,1,,6,,,-,3,,"PUERTO RICO
(18.215692, -66.414655)",
MICHIGAN,2017,4,,-,0,,1,,,-,,-,1,,10,,19,,27,,86,,"MICHIGAN
(44.66399, -84.711206)",
NEVADA,2017,4,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"NEVADA
(39.491833, -117.070159)",
DIST. OF COL.,2017,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
HAWAII,2017,4,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MARYLAND,2017,4,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"MARYLAND
(39.290443, -76.612333)",
OREGON,2017,4,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
KANSAS,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
SOUTH CAROLINA,2017,4,,-,0,,0,,,-,,-,2,,1,,6,,4,,7,,"SOUTH CAROLINA
(34.009286, -81.037094)",
IDAHO,2017,4,,-,0,,1,,1,,,-,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
MINNESOTA,2017,4,,-,0,,0,,,-,,-,,-,6,,15,,13,,19,,"MINNESOTA
(46.357661, -94.793397)",
MONTANA,2017,4,,-,0,,0,,,-,,-,,-,1,,6,,1,,6,,"MONTANA
(47.062617, -109.430168)",
MAINE,2017,4,,-,0,,1,,,-,,-,3,,4,,8,,14,,10,,"MAINE
(45.252223, -68.986647)",
ARKANSAS,2017,4,,-,0,,0,,,-,,-,,-,2,,12,,3,,10,,"ARKANSAS
(34.748745, -92.275105)",
NEW JERSEY,2017,4,,-,0,,0,,,-,,-,,-,5,,15,,,-,32,,"NEW JERSEY
(40.104655, -74.386686)",
NEW HAMPSHIRE,2017,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ILLINOIS,2017,4,,-,0,,0,,,-,1,,,-,7,,20,,9,,48,,"ILLINOIS
(40.477092, -88.993221)",
VIRGINIA,2017,4,,-,0,,1,,,-,,-,,-,4,,12,,1,,14,,"VIRGINIA
(37.542699, -78.45822)",
NEW MEXICO,2017,4,,-,0,,0,,,-,,-,,-,0,,5,,2,,3,,"NEW MEXICO
(34.520396, -106.244402)",
SOUTH DAKOTA,2017,4,,-,0,,0,,,-,,-,,-,0,,4,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
WASHINGTON,2017,4,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
MISSOURI,2017,4,,-,0,,0,,,-,,-,3,,3,,8,,9,,17,,"MISSOURI
(38.636168, -92.566292)",
NORTH DAKOTA,2017,4,,-,0,,0,,,-,,-,,-,0,,21,,1,,8,,"NORTH DAKOTA
(47.475879, -100.121011)",
LOUISIANA,2017,4,,-,0,,0,,,-,,-,,-,0,,5,,1,,5,,"LOUISIANA
(31.2931, -92.463284)",
TENNESSEE,2017,4,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
INDIANA,2017,4,,-,0,,1,,,-,,-,,-,3,,9,,11,,17,,"INDIANA
(39.76845, -86.156212)",
WEST VIRGINIA,2017,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,3,,"WEST VIRGINIA
(38.668501, -80.709421)",
NEBRASKA,2017,4,,-,0,,0,,,-,,-,,-,0,,2,,,-,4,,"NEBRASKA
(41.640503, -99.367122)",
CONNECTICUT,2017,4,,-,0,,0,,,-,,-,,-,2,,6,,7,,17,,"CONNECTICUT
(41.544654, -72.651713)",
UTAH,2017,4,,-,0,,0,,,-,,-,,-,3,,18,,7,,34,,"UTAH
(39.359772, -111.584173)",
PENNSYLVANIA,2017,4,,-,0,,1,,,-,,-,9,,12,,29,,40,,50,,"PENNSYLVANIA
(40.789676, -77.858055)",
ALABAMA,2017,4,,-,0,,1,,,-,,-,3,,1,,5,,10,,13,,"ALABAMA
(32.839182, -86.631125)",
DELAWARE,2017,4,,-,0,,0,,,-,,-,,-,0,,3,,,-,2,,"DELAWARE
(39.008676, -75.574561)",
GEORGIA,2017,4,,-,0,,0,,,-,,-,,-,3,,7,,3,,7,,"GEORGIA
(32.836038, -83.631709)",
RHODE ISLAND,2017,4,,-,0,,0,,,-,,-,2,,0,,6,,2,,3,,"RHODE ISLAND
(41.707447, -71.522488)",
OHIO,2017,4,,-,0,,1,,,-,,-,13,,8,,23,,46,,42,,"OHIO
(40.056807, -82.405897)",
VERMONT,2017,4,,-,0,,0,,,-,,-,3,,0,,6,,6,,5,,"VERMONT
(43.622479, -72.51927)",
OKLAHOMA,2017,4,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
WYOMING,2017,4,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,"WYOMING
(43.23558, -108.110518)",
NORTH CAROLINA,2017,4,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
ALASKA,2017,4,,-,0,,1,,,-,,-,,-,0,,2,,1,,1,,"ALASKA
(64.836661, -147.738891)",
C.N.M.I.,2017,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MISSISSIPPI,2017,4,,-,0,,1,,,-,,-,,-,0,,2,,1,,1,,"MISSISSIPPI
(32.738663, -89.537312)",
UNITED STATES,2017,5,,-,1,,3,,3,,2,,73,,145,,205,,483,,815,,,
NEW ENGLAND,2017,5,,-,0,,1,,,-,,-,5,,14,,27,,45,,73,,,
MID. ATLANTIC,2017,5,,-,0,,2,,,-,,-,4,,16,,39,,51,,97,,,
NEW YORK CITY,2017,5,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,5,,-,0,,1,,,-,1,,11,,33,,56,,127,,237,,,
W.N. CENTRAL,2017,5,,-,0,,1,,1,,,-,3,,11,,29,,36,,53,,,
S. ATLANTIC,2017,5,,-,0,,1,,1,,,-,3,,23,,54,,60,,132,,,
E.S. CENTRAL,2017,5,,-,0,,1,,,-,,-,1,,2,,6,,13,,17,,,
W.S. CENTRAL,2017,5,,-,0,,1,,,-,,-,28,,25,,61,,86,,99,,,
MOUNTAIN,2017,5,,-,0,,1,,1,,1,,18,,11,,34,,57,,103,,,
ARKANSAS,2017,5,,-,0,,0,,,-,,-,1,,2,,12,,5,,12,,"ARKANSAS
(34.748745, -92.275105)",
PACIFIC,2017,5,,-,0,,1,,,-,,-,,-,1,,4,,8,,4,,,
AMER. SAMOA,2017,5,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
KANSAS,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
MAINE,2017,5,,-,0,,1,,,-,,-,2,,4,,9,,17,,13,,"MAINE
(45.252223, -68.986647)",
ILLINOIS,2017,5,,-,0,,0,,,-,1,,,-,7,,20,,10,,58,,"ILLINOIS
(40.477092, -88.993221)",
OREGON,2017,5,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
WISCONSIN,2017,5,,-,0,,0,,,-,,-,2,,2,,20,,17,,4,,"WISCONSIN
(44.395526, -89.834513)",
IDAHO,2017,5,,-,0,,1,,1,,,-,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
OKLAHOMA,2017,5,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
COLORADO,2017,5,,-,0,,0,,,-,,-,13,,0,,18,,25,,,-,"COLORADO
(38.841772, -106.132562)",
ALASKA,2017,5,,-,0,,1,,,-,,-,,-,0,,2,,2,,1,,"ALASKA
(64.836661, -147.738891)",
DELAWARE,2017,5,,-,0,,0,,,-,,-,,-,0,,3,,1,,2,,"DELAWARE
(39.008676, -75.574561)",
PENNSYLVANIA,2017,5,,-,0,,1,,,-,,-,4,,12,,29,,50,,59,,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW MEXICO,2017,5,,-,0,,0,,,-,,-,,-,1,,5,,3,,3,,"NEW MEXICO
(34.520396, -106.244402)",
WASHINGTON,2017,5,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
CONNECTICUT,2017,5,,-,0,,0,,,-,,-,2,,2,,6,,9,,19,,"CONNECTICUT
(41.544654, -72.651713)",
MASSACHUSETTS,2017,5,,-,0,,0,,,-,,-,,-,4,,16,,10,,30,,"MASSACHUSETTS
(42.268546, -72.085064)",
VERMONT,2017,5,,-,0,,0,,,-,,-,,-,0,,6,,6,,8,,"VERMONT
(43.622479, -72.51927)",
UTAH,2017,5,,-,0,,0,,,-,,-,,-,3,,18,,7,,52,,"UTAH
(39.359772, -111.584173)",
PUERTO RICO,2017,5,,-,0,,0,,,-,,-,,-,1,,6,,2,,5,,"PUERTO RICO
(18.215692, -66.414655)",
RHODE ISLAND,2017,5,,-,0,,0,,,-,,-,1,,0,,6,,3,,3,,"RHODE ISLAND
(41.707447, -71.522488)",
NEW JERSEY,2017,5,,-,0,,0,,,-,,-,,-,5,,15,,1,,38,,"NEW JERSEY
(40.104655, -74.386686)",
KENTUCKY,2017,5,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"KENTUCKY
(37.64591, -84.774043)",
MICHIGAN,2017,5,,-,0,,1,,,-,,-,2,,10,,19,,32,,104,,"MICHIGAN
(44.66399, -84.711206)",
VIRGIN ISL.,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
TENNESSEE,2017,5,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
NORTH CAROLINA,2017,5,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
NEW HAMPSHIRE,2017,5,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
TEXAS,2017,5,,-,0,,1,,,-,,-,27,,22,,58,,80,,81,,"TEXAS
(31.827233, -99.423022)",
LOUISIANA,2017,5,,-,0,,0,,,-,,-,,-,0,,4,,1,,6,,"LOUISIANA
(31.2931, -92.463284)",
OHIO,2017,5,,-,0,,1,,,-,,-,7,,8,,23,,53,,49,,"OHIO
(40.056807, -82.405897)",
HAWAII,2017,5,,-,0,,0,,,-,,-,,-,0,,3,,2,,1,,"HAWAII
(21.30992, -157.858158)",
MARYLAND,2017,5,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"MARYLAND
(39.290443, -76.612333)",
INDIANA,2017,5,,-,0,,1,,,-,,-,,-,4,,9,,15,,22,,"INDIANA
(39.76845, -86.156212)",
VIRGINIA,2017,5,,-,0,,1,,,-,,-,,-,4,,12,,1,,16,,"VIRGINIA
(37.542699, -78.45822)",
IOWA,2017,5,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
WYOMING,2017,5,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,"WYOMING
(43.23558, -108.110518)",
FLORIDA,2017,5,,-,0,,1,,1,,,-,,-,13,,39,,45,,93,,"FLORIDA
(28.915325, -81.922409)",
C.N.M.I.,2017,5,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MONTANA,2017,5,,-,0,,0,,,-,,-,,-,1,,6,,2,,10,,"MONTANA
(47.062617, -109.430168)",
NEW YORK,2017,5,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
CALIFORNIA,2017,5,,-,0,,1,,,-,,-,,-,0,,4,,4,,2,,"CALIFORNIA
(37.640735, -121.002435)",
SOUTH CAROLINA,2017,5,,-,0,,0,,,-,,-,3,,1,,6,,8,,8,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MISSOURI,2017,5,,-,0,,0,,,-,,-,1,,3,,8,,12,,18,,"MISSOURI
(38.636168, -92.566292)",
DIST. OF COL.,2017,5,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
GEORGIA,2017,5,,-,0,,0,,,-,,-,,-,3,,7,,5,,10,,"GEORGIA
(32.836038, -83.631709)",
SOUTH DAKOTA,2017,5,,-,0,,0,,,-,,-,,-,0,,4,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
NORTH DAKOTA,2017,5,,-,0,,0,,,-,,-,,-,0,,21,,1,,8,,"NORTH DAKOTA
(47.475879, -100.121011)",
ALABAMA,2017,5,,-,0,,1,,,-,,-,1,,1,,5,,12,,16,,"ALABAMA
(32.839182, -86.631125)",
NEVADA,2017,5,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"NEVADA
(39.491833, -117.070159)",
WEST VIRGINIA,2017,5,,-,0,,0,,,-,,-,,-,0,,1,,,-,3,,"WEST VIRGINIA
(38.668501, -80.709421)",
GUAM,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MISSISSIPPI,2017,5,,-,0,,1,,,-,,-,,-,0,,2,,1,,1,,"MISSISSIPPI
(32.738663, -89.537312)",
ARIZONA,2017,5,,-,0,,1,,,-,1,,5,,5,,13,,20,,37,,"ARIZONA
(34.869712, -111.760902)",
NEBRASKA,2017,5,,-,0,,1,,1,,,-,,-,0,,2,,,-,4,,"NEBRASKA
(41.640503, -99.367122)",
MINNESOTA,2017,5,,-,0,,0,,,-,,-,2,,6,,15,,23,,22,,"MINNESOTA
(46.357661, -94.793397)",
UNITED STATES,2017,6,,-,1,,3,,4,,2,,57,,142,,206,,608,,986,,,
NEW ENGLAND,2017,6,,-,0,,1,,,-,,-,8,,14,,27,,53,,95,,,
MID. ATLANTIC,2017,6,,-,0,,2,,,-,,-,3,,17,,39,,68,,107,,,
NEW YORK CITY,2017,6,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,6,,-,0,,1,,,-,1,,6,,34,,56,,154,,266,,,
W.N. CENTRAL,2017,6,,-,0,,1,,1,,,-,4,,11,,29,,50,,65,,,
S. ATLANTIC,2017,6,,-,0,,1,,1,,,-,15,,23,,54,,83,,186,,,
E.S. CENTRAL,2017,6,,-,0,,1,,,-,,-,,-,2,,6,,14,,22,,,
W.S. CENTRAL,2017,6,,-,0,,1,,,-,,-,18,,26,,61,,111,,128,,,
MOUNTAIN,2017,6,,-,0,,1,,2,,1,,3,,11,,34,,66,,110,,,
PACIFIC,2017,6,,-,0,,1,,,-,,-,,-,1,,4,,9,,7,,,
AMER. SAMOA,2017,6,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
WASHINGTON,2017,6,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
NEW HAMPSHIRE,2017,6,,-,0,,0,,,-,,-,,-,0,,4,,,-,7,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
VERMONT,2017,6,,-,0,,0,,,-,,-,,-,0,,6,,6,,14,,"VERMONT
(43.622479, -72.51927)",
MAINE,2017,6,,-,0,,1,,,-,,-,2,,4,,9,,19,,19,,"MAINE
(45.252223, -68.986647)",
SOUTH CAROLINA,2017,6,,-,0,,0,,,-,,-,1,,1,,8,,14,,9,,"SOUTH CAROLINA
(34.009286, -81.037094)",
WEST VIRGINIA,2017,6,,-,0,,0,,,-,,-,,-,0,,1,,,-,3,,"WEST VIRGINIA
(38.668501, -80.709421)",
KANSAS,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
NEBRASKA,2017,6,,-,0,,1,,1,,,-,,-,0,,2,,,-,5,,"NEBRASKA
(41.640503, -99.367122)",
RHODE ISLAND,2017,6,,-,0,,0,,,-,,-,5,,0,,6,,8,,3,,"RHODE ISLAND
(41.707447, -71.522488)",
ARIZONA,2017,6,,-,0,,0,,,-,1,,2,,5,,13,,27,,41,,"ARIZONA
(34.869712, -111.760902)",
NORTH CAROLINA,2017,6,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
CALIFORNIA,2017,6,,-,0,,1,,,-,,-,,-,0,,4,,4,,3,,"CALIFORNIA
(37.640735, -121.002435)",
SOUTH DAKOTA,2017,6,,-,0,,0,,,-,,-,,-,0,,4,,2,,4,,"SOUTH DAKOTA
(44.35371, -100.373709)",
VIRGINIA,2017,6,,-,0,,1,,,-,,-,,-,4,,12,,1,,23,,"VIRGINIA
(37.542699, -78.45822)",
NORTH DAKOTA,2017,6,,-,0,,0,,,-,,-,,-,0,,21,,1,,8,,"NORTH DAKOTA
(47.475879, -100.121011)",
COLORADO,2017,6,,-,0,,0,,,-,,-,1,,0,,18,,26,,,-,"COLORADO
(38.841772, -106.132562)",
ALABAMA,2017,6,,-,0,,1,,,-,,-,,-,1,,5,,13,,21,,"ALABAMA
(32.839182, -86.631125)",
C.N.M.I.,2017,6,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
UTAH,2017,6,,-,0,,0,,,-,,-,,-,3,,10,,8,,55,,"UTAH
(39.359772, -111.584173)",
OREGON,2017,6,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
WYOMING,2017,6,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,"WYOMING
(43.23558, -108.110518)",
MASSACHUSETTS,2017,6,,-,0,,0,,,-,,-,,-,4,,16,,10,,32,,"MASSACHUSETTS
(42.268546, -72.085064)",
ALASKA,2017,6,,-,0,,1,,,-,,-,,-,0,,2,,3,,1,,"ALASKA
(64.836661, -147.738891)",
MISSISSIPPI,2017,6,,-,0,,1,,,-,,-,,-,0,,2,,1,,1,,"MISSISSIPPI
(32.738663, -89.537312)",
TENNESSEE,2017,6,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
DIST. OF COL.,2017,6,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
FLORIDA,2017,6,,-,0,,1,,1,,,-,14,,12,,39,,62,,132,,"FLORIDA
(28.915325, -81.922409)",
MARYLAND,2017,6,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"MARYLAND
(39.290443, -76.612333)",
GUAM,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
HAWAII,2017,6,,-,0,,0,,,-,,-,,-,0,,3,,2,,3,,"HAWAII
(21.30992, -157.858158)",
GEORGIA,2017,6,,-,0,,0,,,-,,-,,-,3,,7,,5,,17,,"GEORGIA
(32.836038, -83.631709)",
IDAHO,2017,6,,-,0,,1,,1,,,-,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
PUERTO RICO,2017,6,,-,0,,0,,,-,,-,,-,1,,6,,2,,6,,"PUERTO RICO
(18.215692, -66.414655)",
KENTUCKY,2017,6,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"KENTUCKY
(37.64591, -84.774043)",
NEW YORK,2017,6,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
OKLAHOMA,2017,6,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
TEXAS,2017,6,,-,0,,1,,,-,,-,17,,23,,58,,103,,106,,"TEXAS
(31.827233, -99.423022)",
IOWA,2017,6,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
VIRGIN ISL.,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ILLINOIS,2017,6,,-,0,,0,,,-,1,,2,,7,,20,,21,,66,,"ILLINOIS
(40.477092, -88.993221)",
LOUISIANA,2017,6,,-,0,,0,,,-,,-,,-,0,,4,,1,,7,,"LOUISIANA
(31.2931, -92.463284)",
MONTANA,2017,6,,-,0,,0,,,-,,-,,-,0,,6,,2,,10,,"MONTANA
(47.062617, -109.430168)",
WISCONSIN,2017,6,,-,0,,0,,,-,,-,2,,3,,20,,22,,4,,"WISCONSIN
(44.395526, -89.834513)",
DELAWARE,2017,6,,-,0,,0,,,-,,-,,-,0,,3,,1,,2,,"DELAWARE
(39.008676, -75.574561)",
CONNECTICUT,2017,6,,-,0,,0,,,-,,-,1,,2,,6,,10,,20,,"CONNECTICUT
(41.544654, -72.651713)",
NEVADA,2017,6,,-,0,,1,,1,,,-,,N,0,,0,,,N,,N,"NEVADA
(39.491833, -117.070159)",
NEW JERSEY,2017,6,,-,0,,0,,,-,,-,,-,5,,15,,13,,38,,"NEW JERSEY
(40.104655, -74.386686)",
NEW MEXICO,2017,6,,-,0,,0,,,-,,-,,-,1,,5,,3,,3,,"NEW MEXICO
(34.520396, -106.244402)",
INDIANA,2017,6,,-,0,,1,,,-,,-,,-,3,,9,,17,,25,,"INDIANA
(39.76845, -86.156212)",
MISSOURI,2017,6,,-,0,,0,,,-,,-,3,,3,,8,,22,,20,,"MISSOURI
(38.636168, -92.566292)",
MINNESOTA,2017,6,,-,0,,0,,,-,,-,1,,6,,16,,25,,28,,"MINNESOTA
(46.357661, -94.793397)",
PENNSYLVANIA,2017,6,,-,0,,1,,,-,,-,3,,12,,29,,55,,69,,"PENNSYLVANIA
(40.789676, -77.858055)",
OHIO,2017,6,,-,0,,1,,,-,,-,,-,8,,23,,53,,54,,"OHIO
(40.056807, -82.405897)",
