Reporting Area,MMWR Year,MMWR Week,"Tetanus, Current week","Tetanus, Current week, flag","Tetanus, Previous 52 weeks Med","Tetanus, Previous 52 weeks Med, flag","Tetanus, Previous 52 weeks Max","Tetanus, Previous 52 weeks Max, flag","Tetanus, Cum 2017","Tetanus, Cum 2017, flag","Tetanus, Cum 2016","Tetanus, Cum 2016, flag","Varicella (chickenpox), Current week","Varicella (chickenpox), Current week, flag","Varicella (chickenpox), Previous 52 weeks Med","Varicella (chickenpox), Previous 52 weeks Med, flag","Varicella (chickenpox), Previous 52 weeks Max","Varicella (chickenpox), Previous 52 weeks Max, flag","Varicella (chickenpox), Cum 2017","Varicella (chickenpox), Cum 2017, flag","Varicella (chickenpox), Cum 2016","Varicella (chickenpox), Cum 2016, flag",Location 1,Location 2
MICHIGAN,2017,6,,-,0,,1,,,-,,-,2,,9,,19,,41,,117,,"MICHIGAN
(44.66399, -84.711206)",
ARKANSAS,2017,6,,-,0,,0,,,-,,-,1,,2,,12,,7,,15,,"ARKANSAS
(34.748745, -92.275105)",
UNITED STATES,2017,7,1,,1,,3,,5,,2,,76,,140,,206,,742,,1147,,,
NEW ENGLAND,2017,7,,-,0,,1,,,-,,-,4,,13,,27,,61,,111,,,
MID. ATLANTIC,2017,7,,-,0,,2,,,-,,-,9,,17,,39,,81,,126,,,
NEW YORK CITY,2017,7,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,7,,-,0,,1,,,-,1,,14,,33,,56,,179,,294,,,
W.N. CENTRAL,2017,7,,-,0,,1,,1,,,-,4,,11,,29,,63,,78,,,
S. ATLANTIC,2017,7,1,,0,,1,,2,,,-,30,,22,,40,,120,,217,,,
E.S. CENTRAL,2017,7,,-,0,,1,,,-,,-,,-,1,,6,,14,,23,,,
W.S. CENTRAL,2017,7,,-,0,,1,,,-,,-,11,,25,,61,,131,,161,,,
MOUNTAIN,2017,7,,-,0,,1,,2,,1,,4,,11,,34,,81,,127,,,
PACIFIC,2017,7,,-,0,,1,,,-,,-,,-,1,,4,,12,,10,,,
AMER. SAMOA,2017,7,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
IDAHO,2017,7,,-,0,,1,,1,,,-,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
VERMONT,2017,7,,-,0,,0,,,-,,-,,-,0,,4,,6,,14,,"VERMONT
(43.622479, -72.51927)",
ALASKA,2017,7,,-,0,,1,,,-,,-,,-,0,,2,,3,,2,,"ALASKA
(64.836661, -147.738891)",
MAINE,2017,7,,-,0,,1,,,-,,-,2,,4,,9,,22,,20,,"MAINE
(45.252223, -68.986647)",
VIRGINIA,2017,7,,-,0,,1,,,-,,-,,-,4,,12,,1,,27,,"VIRGINIA
(37.542699, -78.45822)",
LOUISIANA,2017,7,,-,0,,0,,,-,,-,,-,0,,4,,1,,8,,"LOUISIANA
(31.2931, -92.463284)",
VIRGIN ISL.,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
SOUTH CAROLINA,2017,7,,-,0,,0,,,-,,-,1,,1,,9,,17,,11,,"SOUTH CAROLINA
(34.009286, -81.037094)",
FLORIDA,2017,7,,-,0,,1,,1,,,-,29,,12,,25,,91,,154,,"FLORIDA
(28.915325, -81.922409)",
GUAM,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MASSACHUSETTS,2017,7,,-,0,,0,,,-,,-,,-,4,,16,,10,,42,,"MASSACHUSETTS
(42.268546, -72.085064)",
ARIZONA,2017,7,,-,0,,0,,,-,1,,2,,5,,13,,31,,46,,"ARIZONA
(34.869712, -111.760902)",
MISSISSIPPI,2017,7,,-,0,,1,,,-,,-,,-,0,,2,,1,,1,,"MISSISSIPPI
(32.738663, -89.537312)",
MISSOURI,2017,7,,-,0,,0,,,-,,-,3,,3,,8,,25,,21,,"MISSOURI
(38.636168, -92.566292)",
NEW MEXICO,2017,7,,-,0,,0,,,-,,-,1,,1,,5,,6,,4,,"NEW MEXICO
(34.520396, -106.244402)",
MICHIGAN,2017,7,,-,0,,1,,,-,,-,,-,9,,21,,48,,127,,"MICHIGAN
(44.66399, -84.711206)",
HAWAII,2017,7,,-,0,,0,,,-,,-,,-,0,,3,,5,,5,,"HAWAII
(21.30992, -157.858158)",
WEST VIRGINIA,2017,7,,-,0,,0,,,-,,-,,-,0,,1,,,-,4,,"WEST VIRGINIA
(38.668501, -80.709421)",
UTAH,2017,7,,-,0,,0,,,-,,-,1,,3,,10,,16,,62,,"UTAH
(39.359772, -111.584173)",
CALIFORNIA,2017,7,,-,0,,1,,,-,,-,,-,0,,4,,4,,3,,"CALIFORNIA
(37.640735, -121.002435)",
OREGON,2017,7,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
NORTH CAROLINA,2017,7,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
WISCONSIN,2017,7,,-,0,,0,,,-,,-,3,,3,,21,,27,,4,,"WISCONSIN
(44.395526, -89.834513)",
COLORADO,2017,7,,-,0,,0,,,-,,-,,-,0,,18,,26,,,-,"COLORADO
(38.841772, -106.132562)",
MARYLAND,2017,7,1,,0,,1,,1,,,-,,N,0,,0,,,N,,N,"MARYLAND
(39.290443, -76.612333)",
DIST. OF COL.,2017,7,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NORTH DAKOTA,2017,7,,-,0,,0,,,-,,-,,-,0,,21,,1,,8,,"NORTH DAKOTA
(47.475879, -100.121011)",
ALABAMA,2017,7,,-,0,,1,,,-,,-,,-,1,,5,,13,,22,,"ALABAMA
(32.839182, -86.631125)",
OHIO,2017,7,,-,0,,1,,,-,,-,8,,8,,23,,62,,61,,"OHIO
(40.056807, -82.405897)",
CONNECTICUT,2017,7,,-,0,,0,,,-,,-,1,,2,,6,,14,,25,,"CONNECTICUT
(41.544654, -72.651713)",
IOWA,2017,7,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
SOUTH DAKOTA,2017,7,,-,0,,0,,,-,,-,,-,0,,4,,2,,7,,"SOUTH DAKOTA
(44.35371, -100.373709)",
MINNESOTA,2017,7,,-,0,,0,,,-,,-,,-,6,,16,,34,,35,,"MINNESOTA
(46.357661, -94.793397)",
NEW JERSEY,2017,7,,-,0,,0,,,-,,-,,-,5,,15,,16,,45,,"NEW JERSEY
(40.104655, -74.386686)",
PENNSYLVANIA,2017,7,,-,0,,1,,,-,,-,9,,12,,29,,65,,81,,"PENNSYLVANIA
(40.789676, -77.858055)",
KANSAS,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
WASHINGTON,2017,7,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
RHODE ISLAND,2017,7,,-,0,,0,,,-,,-,1,,0,,6,,9,,3,,"RHODE ISLAND
(41.707447, -71.522488)",
KENTUCKY,2017,7,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"KENTUCKY
(37.64591, -84.774043)",
GEORGIA,2017,7,,-,0,,0,,,-,,-,,-,3,,7,,10,,19,,"GEORGIA
(32.836038, -83.631709)",
INDIANA,2017,7,,-,0,,1,,,-,,-,,-,3,,9,,18,,30,,"INDIANA
(39.76845, -86.156212)",
WYOMING,2017,7,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,"WYOMING
(43.23558, -108.110518)",
NEVADA,2017,7,,-,0,,1,,1,,,-,,N,0,,0,,,N,,N,"NEVADA
(39.491833, -117.070159)",
MONTANA,2017,7,,-,0,,0,,,-,,-,,-,1,,6,,2,,14,,"MONTANA
(47.062617, -109.430168)",
TEXAS,2017,7,,-,0,,1,,,-,,-,11,,22,,58,,122,,126,,"TEXAS
(31.827233, -99.423022)",
ARKANSAS,2017,7,,-,0,,0,,,-,,-,,-,2,,12,,8,,27,,"ARKANSAS
(34.748745, -92.275105)",
C.N.M.I.,2017,7,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
PUERTO RICO,2017,7,,-,0,,0,,,-,,-,,-,1,,6,,2,,6,,"PUERTO RICO
(18.215692, -66.414655)",
DELAWARE,2017,7,,-,0,,0,,,-,,-,,-,0,,3,,1,,2,,"DELAWARE
(39.008676, -75.574561)",
NEW HAMPSHIRE,2017,7,,-,0,,0,,,-,,-,,-,0,,4,,,-,7,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEBRASKA,2017,7,,-,0,,1,,1,,,-,1,,0,,2,,1,,7,,"NEBRASKA
(41.640503, -99.367122)",
OKLAHOMA,2017,7,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
ILLINOIS,2017,7,,-,0,,0,,,-,1,,3,,7,,20,,24,,72,,"ILLINOIS
(40.477092, -88.993221)",
TENNESSEE,2017,7,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
NEW YORK,2017,7,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
UNITED STATES,2017,8,,-,1,,3,,5,,2,,81,,139,,206,,873,,1330,,,
NEW ENGLAND,2017,8,,-,0,,1,,,-,,-,7,,12,,27,,75,,129,,,
MID. ATLANTIC,2017,8,,-,0,,2,,,-,,-,5,,16,,39,,88,,150,,,
NEW YORK CITY,2017,8,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,8,,-,0,,1,,,-,1,,16,,33,,56,,204,,338,,,
W.N. CENTRAL,2017,8,,-,0,,1,,1,,,-,2,,11,,29,,72,,93,,,
S. ATLANTIC,2017,8,,-,0,,1,,2,,,-,17,,22,,40,,140,,257,,,
E.S. CENTRAL,2017,8,,-,0,,1,,,-,,-,,-,2,,6,,16,,24,,,
W.S. CENTRAL,2017,8,,-,0,,1,,,-,,-,25,,24,,65,,165,,188,,,
MOUNTAIN,2017,8,,-,0,,1,,2,,1,,9,,11,,34,,97,,138,,,
PACIFIC,2017,8,,-,0,,1,,,-,,-,,-,2,,6,,16,,13,,,
AMER. SAMOA,2017,8,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
MISSOURI,2017,8,,-,0,,0,,,-,,-,1,,3,,8,,27,,25,,"MISSOURI
(38.636168, -92.566292)",
VERMONT,2017,8,,-,0,,0,,,-,,-,,-,0,,4,,6,,15,,"VERMONT
(43.622479, -72.51927)",
WEST VIRGINIA,2017,8,,-,0,,0,,,-,,-,,-,0,,1,,,-,4,,"WEST VIRGINIA
(38.668501, -80.709421)",
COLORADO,2017,8,,-,0,,0,,,-,,-,6,,0,,18,,32,,,-,"COLORADO
(38.841772, -106.132562)",
NORTH CAROLINA,2017,8,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
ARIZONA,2017,8,,-,0,,0,,,-,1,,2,,4,,13,,33,,52,,"ARIZONA
(34.869712, -111.760902)",
PUERTO RICO,2017,8,,-,0,,0,,,-,,-,,-,1,,6,,2,,9,,"PUERTO RICO
(18.215692, -66.414655)",
ARKANSAS,2017,8,,-,0,,0,,,-,,-,3,,2,,10,,11,,31,,"ARKANSAS
(34.748745, -92.275105)",
SOUTH DAKOTA,2017,8,,-,0,,0,,,-,,-,,-,0,,4,,2,,9,,"SOUTH DAKOTA
(44.35371, -100.373709)",
OKLAHOMA,2017,8,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
ALASKA,2017,8,,-,0,,1,,,-,,-,,-,0,,2,,5,,2,,"ALASKA
(64.836661, -147.738891)",
MINNESOTA,2017,8,,-,0,,0,,,-,,-,,-,6,,16,,39,,42,,"MINNESOTA
(46.357661, -94.793397)",
OREGON,2017,8,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
NEW JERSEY,2017,8,,-,0,,0,,,-,,-,,-,5,,15,,16,,57,,"NEW JERSEY
(40.104655, -74.386686)",
GUAM,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
DELAWARE,2017,8,,-,0,,0,,,-,,-,,-,0,,3,,2,,3,,"DELAWARE
(39.008676, -75.574561)",
KANSAS,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
NEBRASKA,2017,8,,-,0,,1,,1,,,-,1,,0,,2,,2,,7,,"NEBRASKA
(41.640503, -99.367122)",
NEW YORK,2017,8,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
HAWAII,2017,8,,-,0,,0,,,-,,-,,-,0,,5,,7,,7,,"HAWAII
(21.30992, -157.858158)",
DIST. OF COL.,2017,8,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
C.N.M.I.,2017,8,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
ALABAMA,2017,8,,-,0,,1,,,-,,-,,-,1,,5,,15,,23,,"ALABAMA
(32.839182, -86.631125)",
FLORIDA,2017,8,,-,0,,1,,1,,,-,17,,12,,29,,109,,179,,"FLORIDA
(28.915325, -81.922409)",
INDIANA,2017,8,,-,0,,1,,,-,,-,,-,3,,9,,19,,38,,"INDIANA
(39.76845, -86.156212)",
MICHIGAN,2017,8,,-,0,,1,,,-,,-,2,,9,,21,,56,,138,,"MICHIGAN
(44.66399, -84.711206)",
SOUTH CAROLINA,2017,8,,-,0,,0,,,-,,-,,-,1,,9,,17,,16,,"SOUTH CAROLINA
(34.009286, -81.037094)",
NORTH DAKOTA,2017,8,,-,0,,0,,,-,,-,,-,0,,21,,2,,10,,"NORTH DAKOTA
(47.475879, -100.121011)",
WYOMING,2017,8,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,"WYOMING
(43.23558, -108.110518)",
GEORGIA,2017,8,,-,0,,0,,,-,,-,,-,3,,7,,11,,20,,"GEORGIA
(32.836038, -83.631709)",
ILLINOIS,2017,8,,-,0,,0,,,-,1,,2,,7,,20,,29,,78,,"ILLINOIS
(40.477092, -88.993221)",
MISSISSIPPI,2017,8,,-,0,,1,,,-,,-,,-,0,,2,,1,,1,,"MISSISSIPPI
(32.738663, -89.537312)",
NEW HAMPSHIRE,2017,8,,-,0,,0,,,-,,-,,-,0,,4,,,-,7,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
UTAH,2017,8,,-,0,,0,,,-,,-,1,,3,,10,,22,,63,,"UTAH
(39.359772, -111.584173)",
CALIFORNIA,2017,8,,-,0,,1,,,-,,-,,-,0,,4,,4,,4,,"CALIFORNIA
(37.640735, -121.002435)",
VIRGIN ISL.,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
WASHINGTON,2017,8,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
MASSACHUSETTS,2017,8,,-,0,,0,,,-,,-,,-,4,,16,,17,,50,,"MASSACHUSETTS
(42.268546, -72.085064)",
IDAHO,2017,8,,-,0,,1,,1,,,-,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
PENNSYLVANIA,2017,8,,-,0,,1,,,-,,-,5,,12,,29,,72,,93,,"PENNSYLVANIA
(40.789676, -77.858055)",
VIRGINIA,2017,8,,-,0,,1,,,-,,-,,-,4,,12,,1,,35,,"VIRGINIA
(37.542699, -78.45822)",
OHIO,2017,8,,-,0,,1,,,-,,-,11,,8,,23,,74,,80,,"OHIO
(40.056807, -82.405897)",
MAINE,2017,8,,-,0,,1,,,-,,-,6,,4,,9,,28,,26,,"MAINE
(45.252223, -68.986647)",
RHODE ISLAND,2017,8,,-,0,,0,,,-,,-,1,,1,,6,,10,,3,,"RHODE ISLAND
(41.707447, -71.522488)",
MONTANA,2017,8,,-,0,,0,,,-,,-,,-,1,,6,,3,,16,,"MONTANA
(47.062617, -109.430168)",
LOUISIANA,2017,8,,-,0,,0,,,-,,-,,-,0,,4,,1,,11,,"LOUISIANA
(31.2931, -92.463284)",
IOWA,2017,8,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
MARYLAND,2017,8,,-,0,,1,,1,,,-,,N,0,,0,,,N,,N,"MARYLAND
(39.290443, -76.612333)",
TENNESSEE,2017,8,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
WISCONSIN,2017,8,,-,0,,0,,,-,,-,1,,3,,21,,26,,4,,"WISCONSIN
(44.395526, -89.834513)",
NEVADA,2017,8,,-,0,,1,,1,,,-,,N,0,,0,,,N,,N,"NEVADA
(39.491833, -117.070159)",
NEW MEXICO,2017,8,,-,0,,0,,,-,,-,,-,1,,5,,7,,6,,"NEW MEXICO
(34.520396, -106.244402)",
TEXAS,2017,8,,-,0,,1,,,-,,-,22,,23,,62,,153,,146,,"TEXAS
(31.827233, -99.423022)",
CONNECTICUT,2017,8,,-,0,,0,,,-,,-,,-,2,,6,,14,,28,,"CONNECTICUT
(41.544654, -72.651713)",
KENTUCKY,2017,8,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"KENTUCKY
(37.64591, -84.774043)",
UNITED STATES,2017,9,,-,1,,3,,6,,3,,81,,137,,206,,1025,,1492,,,
NEW ENGLAND,2017,9,,-,0,,1,,,-,,-,5,,13,,27,,102,,140,,,
MID. ATLANTIC,2017,9,,-,0,,2,,,-,,-,10,,16,,39,,101,,173,,,
NEW YORK CITY,2017,9,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,9,,-,0,,1,,1,,1,,20,,33,,56,,243,,373,,,
W.N. CENTRAL,2017,9,,-,0,,1,,1,,,-,3,,11,,29,,80,,108,,,
S. ATLANTIC,2017,9,,-,0,,1,,2,,,-,17,,22,,35,,162,,279,,,
E.S. CENTRAL,2017,9,,-,0,,1,,,-,,-,,-,2,,6,,16,,25,,,
MISSISSIPPI,2017,9,,-,0,,1,,,-,,-,,-,0,,2,,1,,1,,"MISSISSIPPI
(32.738663, -89.537312)",
W.S. CENTRAL,2017,9,,-,0,,1,,,-,,-,17,,24,,66,,195,,225,,,
MOUNTAIN,2017,9,,-,0,,1,,2,,1,,9,,11,,34,,110,,154,,,
PACIFIC,2017,9,,-,0,,1,,,-,1,,,-,1,,6,,16,,15,,,
AMER. SAMOA,2017,9,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
WYOMING,2017,9,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,"WYOMING
(43.23558, -108.110518)",
WEST VIRGINIA,2017,9,,-,0,,0,,,-,,-,,-,0,,1,,,-,4,,"WEST VIRGINIA
(38.668501, -80.709421)",
C.N.M.I.,2017,9,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
TEXAS,2017,9,,-,0,,1,,,-,,-,17,,23,,63,,183,,176,,"TEXAS
(31.827233, -99.423022)",
IOWA,2017,9,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
MARYLAND,2017,9,,-,0,,1,,1,,,-,,N,0,,0,,,N,,N,"MARYLAND
(39.290443, -76.612333)",
KENTUCKY,2017,9,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"KENTUCKY
(37.64591, -84.774043)",
FLORIDA,2017,9,,-,0,,1,,1,,,-,17,,12,,29,,126,,191,,"FLORIDA
(28.915325, -81.922409)",
ARKANSAS,2017,9,,-,0,,0,,,-,,-,,-,2,,10,,11,,36,,"ARKANSAS
(34.748745, -92.275105)",
VERMONT,2017,9,,-,0,,0,,,-,,-,,-,0,,4,,6,,17,,"VERMONT
(43.622479, -72.51927)",
NORTH CAROLINA,2017,9,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
CALIFORNIA,2017,9,,-,0,,1,,,-,,-,,-,0,,4,,4,,4,,"CALIFORNIA
(37.640735, -121.002435)",
PENNSYLVANIA,2017,9,,-,0,,1,,,-,,-,10,,12,,29,,85,,109,,"PENNSYLVANIA
(40.789676, -77.858055)",
MONTANA,2017,9,,-,0,,0,,,-,,-,,-,0,,6,,3,,20,,"MONTANA
(47.062617, -109.430168)",
MISSOURI,2017,9,,-,0,,0,,,-,,-,1,,3,,8,,29,,28,,"MISSOURI
(38.636168, -92.566292)",
VIRGINIA,2017,9,,-,0,,1,,,-,,-,,-,4,,12,,1,,43,,"VIRGINIA
(37.542699, -78.45822)",
NEW YORK,2017,9,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
DELAWARE,2017,9,,-,0,,0,,,-,,-,,-,0,,3,,3,,4,,"DELAWARE
(39.008676, -75.574561)",
COLORADO,2017,9,,-,0,,0,,,-,,-,5,,0,,18,,37,,,-,"COLORADO
(38.841772, -106.132562)",
ARIZONA,2017,9,,-,0,,0,,,-,1,,4,,4,,13,,39,,58,,"ARIZONA
(34.869712, -111.760902)",
GEORGIA,2017,9,,-,0,,0,,,-,,-,,-,3,,7,,15,,20,,"GEORGIA
(32.836038, -83.631709)",
SOUTH DAKOTA,2017,9,,-,0,,0,,,-,,-,,-,0,,4,,2,,10,,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW HAMPSHIRE,2017,9,,-,0,,0,,,-,,-,,-,0,,4,,,-,8,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
KANSAS,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
MAINE,2017,9,,-,0,,1,,,-,,-,3,,4,,9,,33,,29,,"MAINE
(45.252223, -68.986647)",
OREGON,2017,9,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
ALABAMA,2017,9,,-,0,,1,,,-,,-,,-,1,,5,,15,,24,,"ALABAMA
(32.839182, -86.631125)",
PUERTO RICO,2017,9,,-,0,,0,,,-,,-,,-,1,,6,,2,,9,,"PUERTO RICO
(18.215692, -66.414655)",
MINNESOTA,2017,9,,-,0,,0,,,-,,-,1,,6,,16,,44,,47,,"MINNESOTA
(46.357661, -94.793397)",
DIST. OF COL.,2017,9,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
TENNESSEE,2017,9,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
ILLINOIS,2017,9,,-,0,,0,,,-,1,,1,,7,,20,,40,,91,,"ILLINOIS
(40.477092, -88.993221)",
NEVADA,2017,9,,-,0,,1,,1,,,-,,N,0,,0,,,N,,N,"NEVADA
(39.491833, -117.070159)",
INDIANA,2017,9,,-,0,,1,,,-,,-,1,,3,,9,,20,,38,,"INDIANA
(39.76845, -86.156212)",
UTAH,2017,9,,-,0,,0,,,-,,-,,-,3,,10,,22,,68,,"UTAH
(39.359772, -111.584173)",
ALASKA,2017,9,,-,0,,1,,,-,1,,,-,0,,2,,5,,3,,"ALASKA
(64.836661, -147.738891)",
VIRGIN ISL.,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
GUAM,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WISCONSIN,2017,9,,-,0,,0,,,-,,-,5,,3,,21,,34,,4,,"WISCONSIN
(44.395526, -89.834513)",
OKLAHOMA,2017,9,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
OHIO,2017,9,,-,0,,1,,,-,,-,10,,8,,23,,84,,90,,"OHIO
(40.056807, -82.405897)",
NORTH DAKOTA,2017,9,,-,0,,0,,,-,,-,,-,0,,21,,2,,15,,"NORTH DAKOTA
(47.475879, -100.121011)",
HAWAII,2017,9,,-,0,,0,,,-,,-,,-,0,,5,,7,,8,,"HAWAII
(21.30992, -157.858158)",
NEBRASKA,2017,9,,-,0,,1,,1,,,-,1,,0,,2,,3,,8,,"NEBRASKA
(41.640503, -99.367122)",
MICHIGAN,2017,9,,-,0,,1,,1,,,-,3,,9,,21,,65,,150,,"MICHIGAN
(44.66399, -84.711206)",
NEW MEXICO,2017,9,,-,0,,0,,,-,,-,,-,1,,5,,9,,7,,"NEW MEXICO
(34.520396, -106.244402)",
RHODE ISLAND,2017,9,,-,0,,0,,,-,,-,,-,1,,6,,11,,3,,"RHODE ISLAND
(41.707447, -71.522488)",
WASHINGTON,2017,9,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
IDAHO,2017,9,,-,0,,1,,1,,,-,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
LOUISIANA,2017,9,,-,0,,0,,,-,,-,,-,0,,4,,1,,13,,"LOUISIANA
(31.2931, -92.463284)",
NEW JERSEY,2017,9,,-,0,,0,,,-,,-,,-,5,,15,,16,,64,,"NEW JERSEY
(40.104655, -74.386686)",
CONNECTICUT,2017,9,,-,0,,0,,,-,,-,,-,2,,6,,14,,33,,"CONNECTICUT
(41.544654, -72.651713)",
MASSACHUSETTS,2017,9,,-,0,,0,,,-,,-,2,,4,,16,,38,,50,,"MASSACHUSETTS
(42.268546, -72.085064)",
SOUTH CAROLINA,2017,9,,-,0,,0,,,-,,-,,-,1,,9,,17,,17,,"SOUTH CAROLINA
(34.009286, -81.037094)",
UNITED STATES,2017,10,,-,1,,3,,7,,3,,87,,138,,206,,1206,,1636,,,
