Reporting Area,MMWR Year,MMWR Week,"Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Current week","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Current week, flag ","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Previous 52 weeks Med","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Previous 52 weeks Med, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Previous 52 weeks Max","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Previous 52 weeks Max, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Cum 2017","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Cum 2017, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Cum 2016","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Cum 2016, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Current week","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Current week, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Previous 52 weeks Med","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Previous 52 weeks Med, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Previous 52 weeks Max","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Previous 52 weeks Max, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Cum 2017","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Cum 2017, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Cum 2016","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Cum 2016, flag",Location 1,Location 2
NEW JERSEY,2017,9,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
NEW HAMPSHIRE,2017,9,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
OHIO,2017,9,,-,0,,2,,2,,,-,,-,0,,1,,1,,,-,"OHIO
(40.056807, -82.405897)",
MASSACHUSETTS,2017,9,,-,0,,7,,1,,4,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
MISSOURI,2017,9,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,"MISSOURI
(38.636168, -92.566292)",
ALASKA,2017,9,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
WASHINGTON,2017,9,,-,0,,16,,,-,,-,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
MISSISSIPPI,2017,9,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
LOUISIANA,2017,9,,-,0,,3,,3,,4,,,-,0,,1,,1,,,-,"LOUISIANA
(31.2931, -92.463284)",
MONTANA,2017,9,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
KANSAS,2017,9,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
UNITED STATES,2017,10,5,,16,,72,,68,,81,,3,,0,,3,,20,,5,,,
NEW ENGLAND,2017,10,,-,1,,14,,3,,8,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2017,10,,-,1,,10,,8,,2,,,-,0,,1,,1,,4,,,
NEW YORK CITY,2017,10,,-,0,,3,,2,,1,,,-,0,,1,,,-,,-,,
E.N. CENTRAL,2017,10,,-,1,,5,,2,,7,,1,,0,,1,,4,,,-,,
W.N. CENTRAL,2017,10,,-,0,,2,,,-,3,,,-,0,,1,,1,,,-,,
S. ATLANTIC,2017,10,4,,7,,21,,32,,21,,,-,0,,2,,5,,1,,,
E.S. CENTRAL,2017,10,,-,1,,5,,1,,9,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2017,10,1,,2,,11,,5,,8,,1,,0,,1,,3,,,-,,
MOUNTAIN,2017,10,,-,1,,4,,3,,3,,1,,0,,2,,6,,,-,,
PACIFIC,2017,10,,-,3,,22,,14,,20,,,-,0,,1,,,-,,-,,
AMER. SAMOA,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
NEVADA,2017,10,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
DIST. OF COL.,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
WEST VIRGINIA,2017,10,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
HAWAII,2017,10,,-,0,,3,,4,,4,,,-,0,,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MINNESOTA,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
SOUTH CAROLINA,2017,10,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
TENNESSEE,2017,10,,-,0,,1,,,-,3,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
OREGON,2017,10,,-,0,,3,,3,,3,,,-,0,,1,,,-,,-,"OREGON
(44.567912, -120.156945)",
ILLINOIS,2017,10,,-,0,,3,,,-,3,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
LOUISIANA,2017,10,,-,0,,3,,3,,4,,,-,0,,1,,1,,,-,"LOUISIANA
(31.2931, -92.463284)",
VIRGINIA,2017,10,,-,0,,6,,1,,,-,,-,0,,1,,1,,,-,"VIRGINIA
(37.542699, -78.45822)",
IDAHO,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
ALABAMA,2017,10,,-,0,,4,,1,,3,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
TEXAS,2017,10,1,,1,,9,,2,,4,,1,,0,,1,,2,,,-,"TEXAS
(31.827233, -99.423022)",
MISSISSIPPI,2017,10,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
VIRGIN ISL.,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NORTH DAKOTA,2017,10,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
UTAH,2017,10,,-,0,,1,,1,,1,,,-,0,,1,,1,,,-,"UTAH
(39.359772, -111.584173)",
WASHINGTON,2017,10,,-,0,,16,,,-,,-,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
KENTUCKY,2017,10,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
OHIO,2017,10,,-,0,,2,,2,,,-,1,,0,,1,,2,,,-,"OHIO
(40.056807, -82.405897)",
COLORADO,2017,10,,-,0,,2,,1,,2,,,-,0,,1,,3,,,-,"COLORADO
(38.841772, -106.132562)",
MICHIGAN,2017,10,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,"MICHIGAN
(44.66399, -84.711206)",
PUERTO RICO,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
FLORIDA,2017,10,4,,3,,10,,27,,14,,,-,0,,1,,1,,,-,"FLORIDA
(28.915325, -81.922409)",
KANSAS,2017,10,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
MARYLAND,2017,10,,-,1,,7,,3,,,-,,-,0,,1,,1,,1,,"MARYLAND
(39.290443, -76.612333)",
INDIANA,2017,10,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
GEORGIA,2017,10,,-,0,,3,,1,,4,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
WYOMING,2017,10,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
IOWA,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
NEW YORK,2017,10,,-,1,,5,,5,,1,,,-,0,,0,,,-,4,,"NEW YORK
(42.826892, -75.544286)",
PENNSYLVANIA,2017,10,,-,0,,4,,1,,,-,,-,0,,1,,1,,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
C.N.M.I.,2017,10,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
CONNECTICUT,2017,10,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
MASSACHUSETTS,2017,10,,-,0,,7,,1,,5,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
CALIFORNIA,2017,10,,-,1,,11,,7,,13,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
DELAWARE,2017,10,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MAINE,2017,10,,-,0,,2,,2,,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
ALASKA,2017,10,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
VERMONT,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NEW MEXICO,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
NEBRASKA,2017,10,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
RHODE ISLAND,2017,10,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEW JERSEY,2017,10,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
OKLAHOMA,2017,10,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
SOUTH DAKOTA,2017,10,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
ARKANSAS,2017,10,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MONTANA,2017,10,,-,0,,1,,1,,,-,1,,0,,0,,1,,,-,"MONTANA
(47.062617, -109.430168)",
NEW HAMPSHIRE,2017,10,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NORTH CAROLINA,2017,10,,-,0,,3,,,-,1,,,-,0,,2,,2,,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
ARIZONA,2017,10,,-,0,,3,,,-,,-,,-,0,,1,,1,,,-,"ARIZONA
(34.869712, -111.760902)",
GUAM,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MISSOURI,2017,10,,-,0,,1,,,-,2,,,-,0,,1,,1,,,-,"MISSOURI
(38.636168, -92.566292)",
WISCONSIN,2017,10,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,"WISCONSIN
(44.395526, -89.834513)",
UNITED STATES,2017,11,5,,17,,74,,77,,88,,,-,0,,4,,22,,5,,,
NEW ENGLAND,2017,11,,-,1,,14,,3,,9,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2017,11,,-,2,,11,,9,,2,,,-,0,,2,,2,,4,,,
NEW YORK CITY,2017,11,,-,0,,3,,2,,1,,,-,0,,1,,,-,,-,,
E.N. CENTRAL,2017,11,,-,1,,5,,3,,8,,,-,0,,1,,3,,,-,,
W.N. CENTRAL,2017,11,,-,0,,2,,,-,4,,,-,0,,1,,1,,,-,,
S. ATLANTIC,2017,11,4,,7,,20,,36,,22,,,-,0,,2,,5,,1,,,
E.S. CENTRAL,2017,11,,-,1,,5,,1,,9,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2017,11,1,,2,,13,,7,,9,,,-,0,,3,,5,,,-,,
MOUNTAIN,2017,11,,-,1,,4,,4,,4,,,-,0,,2,,6,,,-,,
PACIFIC,2017,11,,-,3,,22,,14,,21,,,-,0,,1,,,-,,-,,
AMER. SAMOA,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
ALASKA,2017,11,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
WISCONSIN,2017,11,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,"WISCONSIN
(44.395526, -89.834513)",
KENTUCKY,2017,11,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
ARKANSAS,2017,11,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
COLORADO,2017,11,,-,0,,2,,1,,2,,,-,0,,1,,3,,,-,"COLORADO
(38.841772, -106.132562)",
CALIFORNIA,2017,11,,-,1,,11,,7,,14,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
PENNSYLVANIA,2017,11,,-,0,,7,,2,,,-,,-,0,,2,,2,,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
LOUISIANA,2017,11,,-,0,,4,,3,,5,,,-,0,,1,,1,,,-,"LOUISIANA
(31.2931, -92.463284)",
MAINE,2017,11,,-,0,,2,,2,,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
INDIANA,2017,11,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
OKLAHOMA,2017,11,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
GEORGIA,2017,11,,-,0,,3,,1,,4,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
RHODE ISLAND,2017,11,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
ALABAMA,2017,11,,-,0,,4,,1,,3,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
MARYLAND,2017,11,,-,1,,7,,3,,,-,,-,0,,1,,1,,1,,"MARYLAND
(39.290443, -76.612333)",
NORTH DAKOTA,2017,11,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
VIRGIN ISL.,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
WYOMING,2017,11,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
OREGON,2017,11,,-,0,,3,,3,,3,,,-,0,,1,,,-,,-,"OREGON
(44.567912, -120.156945)",
NEBRASKA,2017,11,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NEW HAMPSHIRE,2017,11,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
C.N.M.I.,2017,11,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MONTANA,2017,11,,-,0,,1,,2,,,-,,-,0,,1,,1,,,-,"MONTANA
(47.062617, -109.430168)",
DELAWARE,2017,11,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEVADA,2017,11,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
IDAHO,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
WEST VIRGINIA,2017,11,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
SOUTH DAKOTA,2017,11,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MISSISSIPPI,2017,11,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NORTH CAROLINA,2017,11,,-,0,,3,,1,,2,,,-,0,,2,,2,,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
OHIO,2017,11,,-,0,,2,,3,,,-,,-,0,,1,,1,,,-,"OHIO
(40.056807, -82.405897)",
PUERTO RICO,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEW JERSEY,2017,11,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
NEW YORK,2017,11,,-,1,,5,,5,,1,,,-,0,,0,,,-,4,,"NEW YORK
(42.826892, -75.544286)",
GUAM,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
VERMONT,2017,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
ARIZONA,2017,11,,-,0,,3,,,-,1,,,-,0,,1,,1,,,-,"ARIZONA
(34.869712, -111.760902)",
MICHIGAN,2017,11,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,"MICHIGAN
(44.66399, -84.711206)",
SOUTH CAROLINA,2017,11,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
TEXAS,2017,11,1,,1,,9,,4,,4,,,-,0,,3,,4,,,-,"TEXAS
(31.827233, -99.423022)",
NEW MEXICO,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
KANSAS,2017,11,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
WASHINGTON,2017,11,,-,0,,16,,,-,,-,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
HAWAII,2017,11,,-,0,,3,,4,,4,,,-,0,,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
ILLINOIS,2017,11,,-,0,,3,,,-,4,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
CONNECTICUT,2017,11,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
FLORIDA,2017,11,4,,4,,10,,30,,14,,,-,0,,1,,1,,,-,"FLORIDA
(28.915325, -81.922409)",
MASSACHUSETTS,2017,11,,-,0,,7,,1,,6,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
DIST. OF COL.,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
IOWA,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
TENNESSEE,2017,11,,-,0,,1,,,-,3,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
UTAH,2017,11,,-,0,,1,,1,,1,,,-,0,,1,,1,,,-,"UTAH
(39.359772, -111.584173)",
VIRGINIA,2017,11,,-,0,,6,,1,,,-,,-,0,,1,,1,,,-,"VIRGINIA
(37.542699, -78.45822)",
MINNESOTA,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MISSOURI,2017,11,,-,0,,1,,,-,2,,,-,0,,1,,1,,,-,"MISSOURI
(38.636168, -92.566292)",
VERMONT,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
UNITED STATES,2017,12,8,,17,,74,,93,,98,,1,,0,,5,,25,,5,,,
NEW ENGLAND,2017,12,,-,1,,14,,3,,10,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2017,12,,-,2,,11,,11,,3,,,-,0,,2,,2,,4,,,
NEW YORK CITY,2017,12,,-,0,,3,,2,,1,,,-,0,,1,,,-,,-,,
E.N. CENTRAL,2017,12,,-,1,,5,,3,,9,,1,,0,,1,,5,,,-,,
W.N. CENTRAL,2017,12,,-,0,,2,,,-,4,,,-,0,,2,,2,,,-,,
S. ATLANTIC,2017,12,8,,7,,20,,44,,26,,,-,0,,2,,5,,1,,,
E.S. CENTRAL,2017,12,,-,1,,5,,1,,9,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2017,12,,-,2,,14,,7,,10,,,-,0,,3,,5,,,-,,
MOUNTAIN,2017,12,,-,1,,4,,5,,4,,,-,0,,2,,6,,,-,,
PACIFIC,2017,12,,-,3,,22,,19,,23,,,-,0,,1,,,-,,-,,
AMER. SAMOA,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
GUAM,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
GEORGIA,2017,12,,-,0,,3,,1,,4,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
WISCONSIN,2017,12,,-,0,,1,,,-,2,,,-,0,,1,,2,,,-,"WISCONSIN
(44.395526, -89.834513)",
DELAWARE,2017,12,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
ILLINOIS,2017,12,,-,0,,3,,,-,4,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
ALABAMA,2017,12,,-,0,,4,,1,,3,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
MONTANA,2017,12,,-,0,,1,,2,,,-,,-,0,,1,,1,,,-,"MONTANA
(47.062617, -109.430168)",
KANSAS,2017,12,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
UTAH,2017,12,,-,0,,1,,1,,1,,,-,0,,1,,1,,,-,"UTAH
(39.359772, -111.584173)",
NORTH DAKOTA,2017,12,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NEW MEXICO,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
IDAHO,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
TENNESSEE,2017,12,,-,0,,1,,,-,3,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
MASSACHUSETTS,2017,12,,-,0,,7,,1,,7,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
HAWAII,2017,12,,-,0,,3,,6,,4,,,-,0,,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
LOUISIANA,2017,12,,-,0,,4,,3,,5,,,-,0,,1,,1,,,-,"LOUISIANA
(31.2931, -92.463284)",
SOUTH CAROLINA,2017,12,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
PUERTO RICO,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
CONNECTICUT,2017,12,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
KENTUCKY,2017,12,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
NEVADA,2017,12,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
OKLAHOMA,2017,12,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
COLORADO,2017,12,,-,0,,2,,2,,2,,,-,0,,1,,3,,,-,"COLORADO
(38.841772, -106.132562)",
OREGON,2017,12,,-,0,,3,,3,,3,,,-,0,,1,,,-,,-,"OREGON
(44.567912, -120.156945)",
WEST VIRGINIA,2017,12,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
FLORIDA,2017,12,8,,4,,10,,38,,17,,,-,0,,1,,1,,,-,"FLORIDA
(28.915325, -81.922409)",
MARYLAND,2017,12,,-,1,,7,,3,,,-,,-,0,,1,,1,,1,,"MARYLAND
(39.290443, -76.612333)",
C.N.M.I.,2017,12,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
VERMONT,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
OHIO,2017,12,,-,0,,2,,3,,,-,1,,0,,1,,2,,,-,"OHIO
(40.056807, -82.405897)",
DIST. OF COL.,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
CALIFORNIA,2017,12,,-,1,,11,,10,,16,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
MISSISSIPPI,2017,12,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MICHIGAN,2017,12,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,"MICHIGAN
(44.66399, -84.711206)",
PENNSYLVANIA,2017,12,,-,0,,7,,3,,,-,,-,0,,2,,2,,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
VIRGIN ISL.,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW YORK,2017,12,,-,1,,5,,6,,1,,,-,0,,0,,,-,4,,"NEW YORK
(42.826892, -75.544286)",
WASHINGTON,2017,12,,-,0,,16,,,-,,-,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
MINNESOTA,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
TEXAS,2017,12,,-,1,,10,,4,,5,,,-,0,,3,,4,,,-,"TEXAS
(31.827233, -99.423022)",
INDIANA,2017,12,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
ARIZONA,2017,12,,-,0,,3,,,-,1,,,-,0,,1,,1,,,-,"ARIZONA
(34.869712, -111.760902)",
SOUTH DAKOTA,2017,12,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MAINE,2017,12,,-,0,,2,,2,,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
VIRGINIA,2017,12,,-,0,,5,,1,,1,,,-,0,,1,,1,,,-,"VIRGINIA
(37.542699, -78.45822)",
NEW HAMPSHIRE,2017,12,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ALASKA,2017,12,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NORTH CAROLINA,2017,12,,-,0,,3,,1,,2,,,-,0,,2,,2,,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
