Reporting Area,MMWR Year,MMWR Week,"West Nile virus disease§, Neuroinvasive Current week","West Nile virus disease§, Neuroinvasive Current week, flag ","West Nile virus disease§, Neuroinvasive Previous 52 weeks Med","West Nile virus disease§, Neuroinvasive Previous 52 weeks Med, flag","West Nile virus disease§, Neuroinvasive Previous 52 weeks Max","West Nile virus disease§, Neuroinvasive Previous 52 weeks Max, flag","West Nile virus disease§, Neuroinvasive Cum 2017","West Nile virus disease§, Neuroinvasive Cum 2017, flag","West Nile virus disease§, Neuroinvasive Cum 2016","West Nile virus disease§, Neuroinvasive Cum 2016, flag","West Nile virus disease§, Nonneuroinvasive Current week","West Nile virus disease§, Nonneuroinvasiveś Current week, flag","West Nile virus disease§, Nonneuroinvasiveś Previous 52 weeks Med","West Nile virus disease§, Nonneuroinvasiveś Previous 52 weeks Med, flag","West Nile virus disease§, Nonneuroinvasiveś Previous 52 weeks Max","West Nile virus disease§, Nonneuroinvasiveś Previous 52 weeks Max, flag","West Nile virus disease§, Nonneuroinvasiveś Cum 2017","West Nile virus disease§, Nonneuroinvasiveś Cum 2017, flag","West Nile virus disease§, Nonneuroinvasiveś Cum 2016","West Nile virus disease§, Nonneuroinvasiveś Cum 2016, flag",Location 1,Location 2
LOUISIANA,2017,6,,-,0,,6,,,-,,-,,-,0,,3,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
NEW YORK,2017,6,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
VIRGINIA,2017,6,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
NEBRASKA,2017,6,,-,0,,7,,,-,,-,,-,0,,7,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
PUERTO RICO,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEVADA,2017,6,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
SOUTH CAROLINA,2017,6,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
MARYLAND,2017,6,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
UNITED STATES,2017,7,,-,9,,105,,,-,,-,,-,5,,112,,1,,1,,,
NEW ENGLAND,2017,7,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,,
MID. ATLANTIC,2017,7,,-,0,,6,,,-,,-,,-,0,,4,,,-,,-,,
NEW YORK CITY,2017,7,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,7,,-,0,,17,,,-,,-,,-,0,,29,,1,,,-,,
W.N. CENTRAL,2017,7,,-,0,,17,,,-,,-,,-,0,,48,,,-,,-,,
S. ATLANTIC,2017,7,,-,0,,6,,,-,,-,,-,0,,2,,,-,,-,,
E.S. CENTRAL,2017,7,,-,0,,4,,,-,,-,,-,0,,4,,,-,,-,,
W.S. CENTRAL,2017,7,,-,2,,20,,,-,,-,,-,1,,12,,,-,,-,,
MOUNTAIN,2017,7,,-,0,,17,,,-,,-,,-,0,,23,,,-,1,,,
PACIFIC,2017,7,,-,1,,43,,,-,,-,,-,0,,24,,,-,,-,,
AMER. SAMOA,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
OKLAHOMA,2017,7,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
KENTUCKY,2017,7,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
ILLINOIS,2017,7,,-,0,,0,,,-,,-,,-,0,,27,,1,,,-,"ILLINOIS
(40.477092, -88.993221)",
SOUTH DAKOTA,2017,7,,-,0,,8,,,-,,-,,-,0,,16,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MONTANA,2017,7,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MONTANA
(47.062617, -109.430168)",
C.N.M.I.,2017,7,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
WEST VIRGINIA,2017,7,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
ALASKA,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
ALABAMA,2017,7,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
RHODE ISLAND,2017,7,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
GEORGIA,2017,7,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
NEW HAMPSHIRE,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
DELAWARE,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
HAWAII,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
IDAHO,2017,7,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"IDAHO
(43.680635, -114.364237)",
VERMONT,2017,7,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MARYLAND,2017,7,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
NEW JERSEY,2017,7,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
TENNESSEE,2017,7,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
LOUISIANA,2017,7,,-,0,,6,,,-,,-,,-,0,,3,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
GUAM,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
ARIZONA,2017,7,,-,0,,6,,,-,,-,,-,0,,3,,,-,1,,"ARIZONA
(34.869712, -111.760902)",
VIRGINIA,2017,7,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
DIST. OF COL.,2017,7,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NEBRASKA,2017,7,,-,0,,7,,,-,,-,,-,0,,7,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
TEXAS,2017,7,,-,1,,18,,,-,,-,,-,0,,10,,,-,,-,"TEXAS
(31.827233, -99.423022)",
MISSOURI,2017,7,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
FLORIDA,2017,7,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
COLORADO,2017,7,,-,0,,9,,,-,,-,,-,0,,16,,,-,,-,"COLORADO
(38.841772, -106.132562)",
MICHIGAN,2017,7,,-,0,,10,,,-,,-,,-,0,,1,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
PUERTO RICO,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEW MEXICO,2017,7,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
MINNESOTA,2017,7,,-,0,,3,,,-,,-,,-,0,,13,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NORTH DAKOTA,2017,7,,-,0,,6,,,-,,-,,-,0,,11,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
OREGON,2017,7,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"OREGON
(44.567912, -120.156945)",
WASHINGTON,2017,7,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
NEW YORK,2017,7,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
WISCONSIN,2017,7,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
UTAH,2017,7,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"UTAH
(39.359772, -111.584173)",
INDIANA,2017,7,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
KANSAS,2017,7,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"KANSAS
(38.345528, -98.201847)",
VIRGIN ISL.,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NORTH CAROLINA,2017,7,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
MAINE,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
SOUTH CAROLINA,2017,7,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
MISSISSIPPI,2017,7,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
CONNECTICUT,2017,7,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
IOWA,2017,7,,-,0,,3,,,-,,-,,-,0,,5,,,-,,-,"IOWA
(42.46942, -93.815856)",
PENNSYLVANIA,2017,7,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
OHIO,2017,7,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"OHIO
(40.056807, -82.405897)",
CALIFORNIA,2017,7,,-,1,,42,,,-,,-,,-,0,,23,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
WYOMING,2017,7,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
ARKANSAS,2017,7,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MASSACHUSETTS,2017,7,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
NEVADA,2017,7,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
UNITED STATES,2017,8,,-,9,,105,,,-,,-,,-,5,,112,,1,,1,,,
NEW ENGLAND,2017,8,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,,
MID. ATLANTIC,2017,8,,-,0,,6,,,-,,-,,-,0,,4,,,-,,-,,
NEW YORK CITY,2017,8,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,8,,-,0,,17,,,-,,-,,-,0,,29,,1,,,-,,
W.N. CENTRAL,2017,8,,-,0,,17,,,-,,-,,-,0,,48,,,-,,-,,
S. ATLANTIC,2017,8,,-,0,,6,,,-,,-,,-,0,,2,,,-,,-,,
E.S. CENTRAL,2017,8,,-,0,,4,,,-,,-,,-,0,,4,,,-,,-,,
W.S. CENTRAL,2017,8,,-,2,,20,,,-,,-,,-,1,,12,,,-,,-,,
MOUNTAIN,2017,8,,-,0,,17,,,-,,-,,-,0,,23,,,-,1,,,
PACIFIC,2017,8,,-,1,,43,,,-,,-,,-,0,,24,,,-,,-,,
AMER. SAMOA,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
SOUTH CAROLINA,2017,8,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
PUERTO RICO,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
CALIFORNIA,2017,8,,-,1,,42,,,-,,-,,-,0,,23,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
DELAWARE,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
HAWAII,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
TENNESSEE,2017,8,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
NORTH DAKOTA,2017,8,,-,0,,6,,,-,,-,,-,0,,11,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NORTH CAROLINA,2017,8,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
ALABAMA,2017,8,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
PENNSYLVANIA,2017,8,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
OREGON,2017,8,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"OREGON
(44.567912, -120.156945)",
NEW YORK,2017,8,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
MISSISSIPPI,2017,8,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MINNESOTA,2017,8,,-,0,,3,,,-,,-,,-,0,,13,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
OKLAHOMA,2017,8,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
VIRGIN ISL.,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW MEXICO,2017,8,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
CONNECTICUT,2017,8,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
ILLINOIS,2017,8,,-,0,,0,,,-,,-,,-,0,,27,,1,,,-,"ILLINOIS
(40.477092, -88.993221)",
SOUTH DAKOTA,2017,8,,-,0,,8,,,-,,-,,-,0,,16,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
LOUISIANA,2017,8,,-,0,,6,,,-,,-,,-,0,,3,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
UTAH,2017,8,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"UTAH
(39.359772, -111.584173)",
WYOMING,2017,8,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
OHIO,2017,8,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"OHIO
(40.056807, -82.405897)",
GEORGIA,2017,8,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
C.N.M.I.,2017,8,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MARYLAND,2017,8,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
WISCONSIN,2017,8,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
MASSACHUSETTS,2017,8,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
COLORADO,2017,8,,-,0,,9,,,-,,-,,-,0,,16,,,-,,-,"COLORADO
(38.841772, -106.132562)",
MAINE,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
ALASKA,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
ARKANSAS,2017,8,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
ARIZONA,2017,8,,-,0,,6,,,-,,-,,-,0,,3,,,-,1,,"ARIZONA
(34.869712, -111.760902)",
KENTUCKY,2017,8,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
MICHIGAN,2017,8,,-,0,,10,,,-,,-,,-,0,,1,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
MISSOURI,2017,8,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
INDIANA,2017,8,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NEVADA,2017,8,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
DIST. OF COL.,2017,8,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
WEST VIRGINIA,2017,8,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
FLORIDA,2017,8,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
IOWA,2017,8,,-,0,,3,,,-,,-,,-,0,,5,,,-,,-,"IOWA
(42.46942, -93.815856)",
WASHINGTON,2017,8,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
NEW JERSEY,2017,8,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
NEW HAMPSHIRE,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
TEXAS,2017,8,,-,1,,18,,,-,,-,,-,0,,10,,,-,,-,"TEXAS
(31.827233, -99.423022)",
GUAM,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
VERMONT,2017,8,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
RHODE ISLAND,2017,8,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
KANSAS,2017,8,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"KANSAS
(38.345528, -98.201847)",
NEBRASKA,2017,8,,-,0,,7,,,-,,-,,-,0,,7,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
IDAHO,2017,8,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"IDAHO
(43.680635, -114.364237)",
VIRGINIA,2017,8,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
MONTANA,2017,8,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MONTANA
(47.062617, -109.430168)",
UNITED STATES,2017,9,,-,8,,104,,1,,,-,,-,5,,118,,1,,1,,,
NEW ENGLAND,2017,9,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,,
MID. ATLANTIC,2017,9,,-,0,,6,,,-,,-,,-,0,,4,,,-,,-,,
NEW YORK CITY,2017,9,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,9,,-,0,,17,,,-,,-,,-,0,,29,,1,,,-,,
W.N. CENTRAL,2017,9,,-,0,,17,,,-,,-,,-,0,,48,,,-,,-,,
S. ATLANTIC,2017,9,,-,0,,6,,1,,,-,,-,0,,2,,,-,,-,,
E.S. CENTRAL,2017,9,,-,0,,4,,,-,,-,,-,0,,4,,,-,,-,,
W.S. CENTRAL,2017,9,,-,2,,20,,,-,,-,,-,1,,12,,,-,,-,,
MOUNTAIN,2017,9,,-,0,,17,,,-,,-,,-,0,,23,,,-,1,,,
PACIFIC,2017,9,,-,1,,39,,,-,,-,,-,0,,29,,,-,,-,,
AMER. SAMOA,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
SOUTH DAKOTA,2017,9,,-,0,,8,,,-,,-,,-,0,,16,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NORTH DAKOTA,2017,9,,-,0,,6,,,-,,-,,-,0,,11,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
DELAWARE,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
OKLAHOMA,2017,9,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
WASHINGTON,2017,9,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
NEW MEXICO,2017,9,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
ILLINOIS,2017,9,,-,0,,0,,,-,,-,,-,0,,27,,1,,,-,"ILLINOIS
(40.477092, -88.993221)",
HAWAII,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
ARIZONA,2017,9,,-,0,,6,,,-,,-,,-,0,,3,,,-,1,,"ARIZONA
(34.869712, -111.760902)",
SOUTH CAROLINA,2017,9,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
MAINE,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
LOUISIANA,2017,9,,-,0,,6,,,-,,-,,-,0,,3,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
MONTANA,2017,9,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MONTANA
(47.062617, -109.430168)",
VIRGIN ISL.,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEBRASKA,2017,9,,-,0,,7,,,-,,-,,-,0,,7,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
IDAHO,2017,9,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"IDAHO
(43.680635, -114.364237)",
KANSAS,2017,9,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"KANSAS
(38.345528, -98.201847)",
TENNESSEE,2017,9,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
WISCONSIN,2017,9,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
OREGON,2017,9,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"OREGON
(44.567912, -120.156945)",
WEST VIRGINIA,2017,9,,-,0,,1,,1,,,-,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MASSACHUSETTS,2017,9,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
IOWA,2017,9,,-,0,,3,,,-,,-,,-,0,,5,,,-,,-,"IOWA
(42.46942, -93.815856)",
VIRGINIA,2017,9,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
NEW YORK,2017,9,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
VERMONT,2017,9,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NORTH CAROLINA,2017,9,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
CONNECTICUT,2017,9,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
ALABAMA,2017,9,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
NEW JERSEY,2017,9,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
OHIO,2017,9,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"OHIO
(40.056807, -82.405897)",
NEW HAMPSHIRE,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ALASKA,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
UTAH,2017,9,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"UTAH
(39.359772, -111.584173)",
MISSOURI,2017,9,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
PUERTO RICO,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
PENNSYLVANIA,2017,9,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
CALIFORNIA,2017,9,,-,1,,38,,,-,,-,,-,0,,29,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
GEORGIA,2017,9,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
C.N.M.I.,2017,9,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MICHIGAN,2017,9,,-,0,,10,,,-,,-,,-,0,,1,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
DIST. OF COL.,2017,9,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MISSISSIPPI,2017,9,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
RHODE ISLAND,2017,9,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MINNESOTA,2017,9,,-,0,,3,,,-,,-,,-,0,,13,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
FLORIDA,2017,9,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
NEVADA,2017,9,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MARYLAND,2017,9,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
INDIANA,2017,9,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
ARKANSAS,2017,9,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
GUAM,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
