Year,Week,Counts,Cumulative_Week,Cumulative Counts
2015,1,0,54,0
2015,2,2,55,2
2015,3,1,56,3
2015,4,1,57,4
2015,5,2,58,6
2015,6,4,59,10
2015,7,1,60,11
2015,8,3,61,14
2015,9,1,62,15
2015,10,1,63,16
2015,11,1,64,17
2015,12,2,65,19
2015,13,3,66,22
2015,14,1,67,23
2015,15,3,68,26
2015,16,1,69,27
2015,17,1,70,28
2015,18,1,71,29
2015,19,5,72,34
2015,20,2,73,36
2015,21,10,74,46
2015,22,5,75,51
2015,23,5,76,56
2015,24,4,77,60
2015,25,8,78,68
2015,26,0,79,68
2015,27,4,80,72
2015,28,4,81,76
2015,29,6,82,82
2015,30,9,83,91
2015,31,1,84,92
2015,32,5,85,97
2015,33,9,86,106
2015,34,0,87,106
2015,35,2,88,108
2015,36,3,89,111
2015,37,2,90,113
2015,38,4,91,117
2015,39,3,92,120
2015,40,2,93,122
2015,41,4,94,126
2015,42,0,95,126
2015,43,3,96,129
2015,44,6,97,135
2015,45,0,98,135
2015,46,5,99,140
2015,47,1,100,141
2015,48,1,101,142
2015,49,7,102,149
2015,50,0,103,149
2015,51,1,104,150
2015,52,0,105,150
2016,1,10,106,160
2016,2,3,107,163
2016,3,2,108,165
2016,4,6,109,171
2016,5,6,110,177
2016,6,9,111,186
2016,7,6,112,192
2016,8,6,113,198
2016,9,4,114,202
2016,10,5,115,207
2016,11,0,116,207
2016,12,9,117,216
2016,13,3,118,219
2016,14,4,119,223
2016,15,6,120,229
2016,16,5,121,234
2016,17,8,122,242
2016,18,5,123,247
2016,19,11,124,258
2016,20,10,125,268
2016,21,3,126,271
2016,22,1,127,272
2016,23,6,128,278
2016,24,15,129,293
2016,25,11,130,304
2016,26,25,131,329
2016,27,17,132,346
2016,28,12,133,358
2016,29,10,134,368
2016,30,13,135,381
2016,31,8,136,389
2016,32,21,137,410
2016,33,0,138,410
2016,34,13,139,423
2016,35,11,140,434
2016,36,6,141,440
2016,37,12,142,452
2016,38,13,143,465
2016,39,8,144,473
2016,40,10,145,483
2016,41,12,146,495
2016,42,16,147,511
2016,43,8,148,519
2016,44,5,149,524
2016,45,9,150,533
2016,46,11,151,544
2016,47,3,152,547
2016,48,7,153,554
2016,49,0,154,554
2016,50,10,155,564
2016,51,5,156,569
2016,52,0,157,569
2017,1,5,158,574
2017,2,3,159,577
2017,3,9,160,586
2017,4,0,161,586
2017,5,9,162,595
2017,6,7,163,602
2017,7,0,164,602
2017,8,11,165,613
2017,9,4,166,617
2017,10,0,167,617
2017,11,4,168,621
2017,12,5,169,626
2017,13,11,170,637
2017,14,16,171,653
2017,15,0,172,653
