Year,Week,Counts,Cumulative_Week,Cumulative Counts
2015,1,0,54,0
2015,2,9,55,9
2015,3,8,56,17
2015,4,20,57,37
2015,5,3,58,40
2015,6,11,59,51
2015,7,9,60,60
2015,8,5,61,65
2015,9,5,62,70
2015,10,5,63,75
2015,11,9,64,84
2015,12,9,65,93
2015,13,6,66,99
2015,14,4,67,103
2015,15,21,68,124
2015,16,9,69,133
2015,17,7,70,140
2015,18,12,71,152
2015,19,16,72,168
2015,20,10,73,178
2015,21,4,74,182
2015,22,13,75,195
2015,23,20,76,215
2015,24,15,77,230
2015,25,30,78,260
2015,26,25,79,285
2015,27,29,80,314
2015,28,21,81,335
2015,29,19,82,354
2015,30,14,83,368
2015,31,18,84,386
2015,32,15,85,401
2015,33,22,86,423
2015,34,19,87,442
2015,35,18,88,460
2015,36,18,89,478
2015,37,21,90,499
2015,38,5,91,504
2015,39,10,92,514
2015,40,7,93,521
2015,41,9,94,530
2015,42,11,95,541
2015,43,11,96,552
2015,44,12,97,564
2015,45,5,98,569
2015,46,7,99,576
2015,47,5,100,581
2015,48,9,101,590
2015,49,7,102,597
2015,50,13,103,610
2015,51,10,104,620
2015,52,6,105,626
2016,1,8,106,634
2016,2,12,107,646
2016,3,14,108,660
2016,4,7,109,667
2016,5,13,110,680
2016,6,19,111,699
2016,7,9,112,708
2016,8,11,113,719
2016,9,13,114,732
2016,10,8,115,740
2016,11,10,116,750
2016,12,4,117,754
2016,13,13,118,767
2016,14,6,119,773
2016,15,8,120,781
2016,16,8,121,789
2016,17,6,122,795
2016,18,15,123,810
2016,19,9,124,819
2016,20,13,125,832
2016,21,12,126,844
2016,22,1,127,845
2016,23,0,128,845
2016,24,5,129,850
2016,25,8,130,858
2016,26,8,131,866
2016,27,20,132,886
2016,28,15,133,901
2016,29,14,134,915
2016,30,11,135,926
2016,31,14,136,940
2016,32,24,137,964
2016,33,10,138,974
2016,34,11,139,985
2016,35,15,140,1000
2016,36,4,141,1004
2016,37,6,142,1010
2016,38,12,143,1022
2016,39,18,144,1040
2016,40,2,145,1042
2016,41,20,146,1062
2016,42,8,147,1070
2016,43,14,148,1084
2016,44,12,149,1096
2016,45,7,150,1103
2016,46,17,151,1120
2016,47,9,152,1129
2016,48,6,153,1135
2016,49,9,154,1144
2016,50,9,155,1153
2016,51,2,156,1155
2016,52,1,157,1156
2017,1,0,158,1156
2017,2,13,159,1169
2017,3,9,160,1178
2017,4,9,161,1187
2017,5,8,162,1195
2017,6,10,163,1205
2017,7,5,164,1210
2017,8,7,165,1217
2017,9,8,166,1225
2017,10,8,167,1233
2017,11,4,168,1237
2017,12,5,169,1242
2017,13,6,170,1248
2017,14,13,171,1261
2017,15,9,172,1270
