Year,Week,Counts,Cumulative_Week,Cumulative Counts
2015,1,0,54,0
2015,2,1,55,1
2015,3,3,56,4
2015,4,4,57,8
2015,5,10,58,18
2015,6,2,59,20
2015,7,2,60,22
2015,8,11,61,33
2015,9,8,62,41
2015,10,4,63,45
2015,11,7,64,52
2015,12,12,65,64
2015,13,8,66,72
2015,14,16,67,88
2015,15,6,68,94
2015,16,9,69,103
2015,17,9,70,112
2015,18,11,71,123
2015,19,14,72,137
2015,20,24,73,161
2015,21,26,74,187
2015,22,59,75,246
2015,23,0,76,246
2015,24,26,77,272
2015,25,20,78,292
2015,26,24,79,316
2015,27,24,80,340
2015,28,30,81,370
2015,29,32,82,402
2015,30,32,83,434
2015,31,28,84,462
2015,32,27,85,489
2015,33,14,86,503
2015,34,16,87,519
2015,35,26,88,545
2015,36,20,89,565
2015,37,20,90,585
2015,38,21,91,606
2015,39,22,92,628
2015,40,25,93,653
2015,41,18,94,671
2015,42,25,95,696
2015,43,19,96,715
2015,44,10,97,725
2015,45,12,98,737
2015,46,22,99,759
2015,47,5,100,764
2015,48,15,101,779
2015,49,8,102,787
2015,50,15,103,802
2015,51,7,104,809
2015,52,11,105,820
2016,1,0,106,820
2016,2,12,107,832
2016,3,4,108,836
2016,4,18,109,854
2016,5,21,110,875
2016,6,19,111,894
2016,7,8,112,902
2016,8,13,113,915
2016,9,11,114,926
2016,10,20,115,946
2016,11,14,116,960
2016,12,11,117,971
2016,13,16,118,987
2016,14,0,119,987
2016,15,0,120,987
2016,16,13,121,1000
2016,17,9,122,1009
2016,18,11,123,1020
2016,19,13,124,1033
2016,20,21,125,1054
2016,21,15,126,1069
2016,22,29,127,1098
2016,23,28,128,1126
2016,24,30,129,1156
2016,25,33,130,1189
2016,26,33,131,1222
2016,27,32,132,1254
2016,28,33,133,1287
2016,29,38,134,1325
2016,30,43,135,1368
2016,31,0,136,1368
2016,32,45,137,1413
2016,33,34,138,1447
2016,34,36,139,1483
2016,35,26,140,1509
2016,36,32,141,1541
2016,37,28,142,1569
2016,38,31,143,1600
2016,39,25,144,1625
2016,40,29,145,1654
2016,41,39,146,1693
2016,42,28,147,1721
2016,43,22,148,1743
2016,44,22,149,1765
2016,45,18,150,1783
2016,46,36,151,1819
2016,47,19,152,1838
2016,48,20,153,1858
2016,49,18,154,1876
2016,50,15,155,1891
2016,51,0,156,1891
2016,52,0,157,1891
2017,1,5,158,1896
2017,2,8,159,1904
2017,3,12,160,1916
2017,4,6,161,1922
2017,5,3,162,1925
2017,6,6,163,1931
2017,7,0,164,1931
2017,8,0,165,1931
2017,9,6,166,1937
2017,10,3,167,1940
2017,11,32,168,1972
2017,12,5,169,1977
2017,13,2,170,1979
2017,14,4,171,1983
2017,15,3,172,1986
