Year,Week,Counts,Cumulative_Week,Cumulative Counts
2015,1,0,54,0
2015,2,4,55,4
2015,3,8,56,12
2015,4,4,57,16
2015,5,3,58,19
2015,6,7,59,26
2015,7,7,60,33
2015,8,7,61,40
2015,9,12,62,52
2015,10,2,63,54
2015,11,0,64,54
2015,12,0,65,54
2015,13,4,66,58
2015,14,6,67,64
2015,15,9,68,73
2015,16,10,69,83
2015,17,5,70,88
2015,18,6,71,94
2015,19,5,72,99
2015,20,5,73,104
2015,21,9,74,113
2015,22,7,75,120
2015,23,13,76,133
2015,24,0,77,133
2015,25,7,78,140
2015,26,8,79,148
2015,27,13,80,161
2015,28,18,81,179
2015,29,13,82,192
2015,30,0,83,192
2015,31,13,84,205
2015,32,10,85,215
2015,33,10,86,225
2015,34,8,87,233
2015,35,9,88,242
2015,36,5,89,247
2015,37,13,90,260
2015,38,5,91,265
2015,39,14,92,279
2015,40,9,93,288
2015,41,5,94,293
2015,42,5,95,298
2015,43,6,96,304
2015,44,6,97,310
2015,45,7,98,317
2015,46,7,99,324
2015,47,2,100,326
2015,48,11,101,337
2015,49,9,102,346
2015,50,0,103,346
2015,51,5,104,351
2015,52,3,105,354
2016,1,4,106,358
2016,2,0,107,358
2016,3,2,108,360
2016,4,6,109,366
2016,5,7,110,373
2016,6,3,111,376
2016,7,8,112,384
2016,8,11,113,395
2016,9,7,114,402
2016,10,9,115,411
2016,11,8,116,419
2016,12,6,117,425
2016,13,5,118,430
2016,14,7,119,437
2016,15,19,120,456
2016,16,7,121,463
2016,17,7,122,470
2016,18,7,123,477
2016,19,9,124,486
2016,20,10,125,496
2016,21,11,126,507
2016,22,8,127,515
2016,23,6,128,521
2016,24,14,129,535
2016,25,10,130,545
2016,26,22,131,567
2016,27,12,132,579
2016,28,12,133,591
2016,29,7,134,598
2016,30,0,135,598
2016,31,28,136,626
2016,32,10,137,636
2016,33,4,138,640
2016,34,11,139,651
2016,35,9,140,660
2016,36,6,141,666
2016,37,8,142,674
2016,38,10,143,684
2016,39,14,144,698
2016,40,13,145,711
2016,41,7,146,718
2016,42,10,147,728
2016,43,10,148,738
2016,44,3,149,741
2016,45,2,150,743
2016,46,0,151,743
2016,47,6,152,749
2016,48,8,153,757
2016,49,6,154,763
2016,50,6,155,769
2016,51,4,156,773
2016,52,0,157,773
2017,1,3,158,776
2017,2,9,159,785
2017,3,6,160,791
2017,4,4,161,795
2017,5,8,162,803
2017,6,1,163,804
2017,7,6,164,810
2017,8,3,165,813
2017,9,0,166,813
2017,10,9,167,822
2017,11,0,168,822
2017,12,3,169,825
2017,13,10,170,835
2017,14,5,171,840
2017,15,0,172,840
