Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,342,1,342
2014,2,970,2,1312
2014,3,1010,3,2322
2014,4,397,4,2719
2014,5,348,5,3067
2014,6,999,6,4066
2014,7,741,7,4807
2014,8,246,8,5053
2014,9,1485,9,6538
2014,10,1116,10,7654
2014,11,764,11,8418
2014,12,1141,12,9559
2014,13,915,13,10474
2014,14,961,14,11435
2014,15,974,15,12409
2014,16,998,16,13407
2014,17,997,17,14404
2014,18,980,18,15384
2014,19,971,19,16355
2014,20,991,20,17346
2014,21,936,21,18282
2014,22,735,22,19017
2014,23,895,23,19912
2014,24,1056,24,20968
2014,25,408,25,21376
2014,26,165,26,21541
2014,27,125,27,21666
2014,28,469,28,22135
2014,29,1269,29,23404
2014,30,1066,30,24470
2014,31,0,31,24470
2014,32,1087,32,25557
2014,33,1020,33,26577
2014,34,1133,34,27710
2014,35,964,35,28674
2014,36,783,36,29457
2014,37,1174,37,30631
2014,38,891,38,31522
2014,39,1050,39,32572
2014,40,917,40,33489
2014,41,630,41,34119
2014,42,611,42,34730
2014,43,455,43,35185
2014,44,400,44,35585
2014,45,505,45,36090
2014,46,317,46,36407
2014,47,371,47,36778
2014,48,282,48,37060
2014,49,410,49,37470
2014,50,423,50,37893
2014,51,362,51,38255
2014,52,193,52,38448
2014,53,171,53,38619
2015,1,388,54,39007
2015,2,371,55,39378
2015,3,337,56,39715
2015,4,457,57,40172
2015,5,524,58,40696
2015,6,460,59,41156
2015,7,0,60,41156
2015,8,315,61,41471
2015,9,0,62,41471
2015,10,387,63,41858
2015,11,493,64,42351
2015,12,429,65,42780
2015,13,260,66,43040
2015,14,365,67,43405
2015,15,426,68,43831
2015,16,384,69,44215
2015,17,451,70,44666
2015,18,520,71,45186
2015,19,481,72,45667
2015,20,509,73,46176
2015,21,449,74,46625
2015,22,510,75,47135
2015,23,524,76,47659
2015,24,536,77,48195
2015,25,303,78,48498
2015,26,341,79,48839
2015,27,463,80,49302
2015,28,508,81,49810
2015,29,690,82,50500
2015,30,497,83,50997
2015,31,533,84,51530
2015,32,512,85,52042
2015,33,565,86,52607
2015,34,502,87,53109
2015,35,549,88,53658
2015,36,329,89,53987
2015,37,581,90,54568
2015,38,365,91,54933
2015,39,608,92,55541
2015,40,526,93,56067
2015,41,384,94,56451
2015,42,566,95,57017
2015,43,659,96,57676
2015,44,561,97,58237
2015,45,516,98,58753
2015,46,447,99,59200
2015,47,242,100,59442
2015,48,501,101,59943
2015,49,387,102,60330
2015,50,0,103,60330
2015,51,302,104,60632
2015,52,305,105,60937
2016,1,0,106,60937
2016,2,0,107,60937
2016,3,309,108,61246
2016,4,428,109,61674
2016,5,390,110,62064
2016,6,352,111,62416
2016,7,350,112,62766
2016,8,398,113,63164
2016,9,452,114,63616
2016,10,448,115,64064
2016,11,332,116,64396
2016,12,273,117,64669
2016,13,350,118,65019
2016,14,349,119,65368
2016,15,335,120,65703
2016,16,0,121,65703
2016,17,390,122,66093
2016,18,308,123,66401
2016,19,335,124,66736
2016,20,398,125,67134
2016,21,418,126,67552
2016,22,249,127,67801
2016,23,393,128,68194
2016,24,337,129,68531
2016,25,433,130,68964
2016,26,330,131,69294
2016,27,250,132,69544
2016,28,290,133,69834
2016,29,389,134,70223
2016,30,367,135,70590
2016,31,382,136,70972
2016,32,345,137,71317
2016,33,361,138,71678
2016,34,328,139,72006
2016,35,390,140,72396
2016,36,206,141,72602
2016,37,429,142,73031
2016,38,376,143,73407
2016,39,288,144,73695
2016,40,366,145,74061
2016,41,298,146,74359
2016,42,408,147,74767
2016,43,337,148,75104
2016,44,372,149,75476
2016,45,319,150,75795
2016,46,405,151,76200
2016,47,225,152,76425
2016,48,352,153,76777
2016,49,359,154,77136
2016,50,401,155,77537
2016,51,0,156,77537
2016,52,0,157,77537
2017,1,0,158,77537
2017,2,0,159,77537
2017,3,0,160,77537
2017,4,0,161,77537
2017,5,0,162,77537
2017,6,0,163,77537
2017,7,0,164,77537
2017,8,0,165,77537
2017,9,0,166,77537
2017,10,0,167,77537
2017,11,0,168,77537
2017,12,0,169,77537
2017,13,395,170,77932
2017,14,451,171,78383
2017,15,411,172,78794
