Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,157,1,157
2014,2,80,2,237
2014,3,165,3,402
2014,4,118,4,520
2014,5,216,5,736
2014,6,254,6,990
2014,7,236,7,1226
2014,8,179,8,1405
2014,9,277,9,1682
2014,10,156,10,1838
2014,11,265,11,2103
2014,12,175,12,2278
2014,13,126,13,2404
2014,14,235,14,2639
2014,15,186,15,2825
2014,16,202,16,3027
2014,17,261,17,3288
2014,18,259,18,3547
2014,19,162,19,3709
2014,20,133,20,3842
2014,21,130,21,3972
2014,22,123,22,4095
2014,23,260,23,4355
2014,24,256,24,4611
2014,25,132,25,4743
2014,26,277,26,5020
2014,27,228,27,5248
2014,28,290,28,5538
2014,29,154,29,5692
2014,30,217,30,5909
2014,31,206,31,6115
2014,32,297,32,6412
2014,33,317,33,6729
2014,34,288,34,7017
2014,35,143,35,7160
2014,36,251,36,7411
2014,37,246,37,7657
2014,38,235,38,7892
2014,39,264,39,8156
2014,40,240,40,8396
2014,41,260,41,8656
2014,42,259,42,8915
2014,43,266,43,9181
2014,44,277,44,9458
2014,45,267,45,9725
2014,46,298,46,10023
2014,47,0,47,10023
2014,48,151,48,10174
2014,49,274,49,10448
2014,50,296,50,10744
2014,51,345,51,11089
2014,52,408,52,11497
2014,53,411,53,11908
2015,1,291,54,12199
2015,2,128,55,12327
2015,3,264,56,12591
2015,4,258,57,12849
2015,5,272,58,13121
2015,6,254,59,13375
2015,7,309,60,13684
2015,8,339,61,14023
2015,9,361,62,14384
2015,10,250,63,14634
2015,11,282,64,14916
2015,12,358,65,15274
2015,13,259,66,15533
2015,14,238,67,15771
2015,15,276,68,16047
2015,16,284,69,16331
2015,17,330,70,16661
2015,18,228,71,16889
2015,19,213,72,17102
2015,20,191,73,17293
2015,21,321,74,17614
2015,22,336,75,17950
2015,23,303,76,18253
2015,24,323,77,18576
2015,25,241,78,18817
2015,26,206,79,19023
2015,27,275,80,19298
2015,28,287,81,19585
2015,29,244,82,19829
2015,30,287,83,20116
2015,31,312,84,20428
2015,32,197,85,20625
2015,33,333,86,20958
2015,34,377,87,21335
2015,35,154,88,21489
2015,36,261,89,21750
2015,37,343,90,22093
2015,38,332,91,22425
2015,39,326,92,22751
2015,40,336,93,23087
2015,41,248,94,23335
2015,42,290,95,23625
2015,43,826,96,24451
2015,44,218,97,24669
2015,45,407,98,25076
2015,46,326,99,25402
2015,47,273,100,25675
2015,48,307,101,25982
2015,49,390,102,26372
2015,50,442,103,26814
2015,51,318,104,27132
2015,52,293,105,27425
2016,1,411,106,27836
2016,2,236,107,28072
2016,3,409,108,28481
2016,4,350,109,28831
2016,5,414,110,29245
2016,6,372,111,29617
2016,7,333,112,29950
2016,8,330,113,30280
2016,9,297,114,30577
2016,10,367,115,30944
2016,11,339,116,31283
2016,12,319,117,31602
2016,13,255,118,31857
2016,14,338,119,32195
2016,15,335,120,32530
2016,16,333,121,32863
2016,17,332,122,33195
2016,18,242,123,33437
2016,19,281,124,33718
2016,20,245,125,33963
2016,21,156,126,34119
2016,22,226,127,34345
2016,23,293,128,34638
2016,24,267,129,34905
2016,25,248,130,35153
2016,26,222,131,35375
2016,27,241,132,35616
2016,28,335,133,35951
2016,29,307,134,36258
2016,30,259,135,36517
2016,31,287,136,36804
2016,32,321,137,37125
2016,33,285,138,37410
2016,34,214,139,37624
2016,35,207,140,37831
2016,36,289,141,38120
2016,37,238,142,38358
2016,38,297,143,38655
2016,39,297,144,38952
2016,40,276,145,39228
2016,41,304,146,39532
2016,42,225,147,39757
2016,43,349,148,40106
2016,44,309,149,40415
2016,45,234,150,40649
2016,46,232,151,40881
2016,47,133,152,41014
2016,48,209,153,41223
2016,49,211,154,41434
2016,50,333,155,41767
2016,51,91,156,41858
2016,52,0,157,41858
2017,1,229,158,42087
2017,2,177,159,42264
2017,3,304,160,42568
2017,4,367,161,42935
2017,5,318,162,43253
2017,6,390,163,43643
2017,7,204,164,43847
2017,8,292,165,44139
2017,9,236,166,44375
2017,10,327,167,44702
2017,11,308,168,45010
2017,12,298,169,45308
2017,13,331,170,45639
2017,14,339,171,45978
2017,15,280,172,46258
