Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,41,1,41
2014,2,72,2,113
2014,3,46,3,159
2014,4,68,4,227
2014,5,80,5,307
2014,6,0,6,307
2014,7,56,7,363
2014,8,35,8,398
2014,9,52,9,450
2014,10,78,10,528
2014,11,79,11,607
2014,12,69,12,676
2014,13,73,13,749
2014,14,1,14,750
2014,15,53,15,803
2014,16,52,16,855
2014,17,0,17,855
2014,18,80,18,935
2014,19,59,19,994
2014,20,1,20,995
2014,21,56,21,1051
2014,22,0,22,1051
2014,23,0,23,1051
2014,24,63,24,1114
2014,25,47,25,1161
2014,26,47,26,1208
2014,27,41,27,1249
2014,28,2,28,1251
2014,29,55,29,1306
2014,30,71,30,1377
2014,31,56,31,1433
2014,32,2,32,1435
2014,33,1,33,1436
2014,34,19,34,1455
2014,35,33,35,1488
2014,36,43,36,1531
2014,37,109,37,1640
2014,38,63,38,1703
2014,39,102,39,1805
2014,40,71,40,1876
2014,41,40,41,1916
2014,42,57,42,1973
2014,43,73,43,2046
2014,44,2,44,2048
2014,45,58,45,2106
2014,46,42,46,2148
2014,47,0,47,2148
2014,48,61,48,2209
2014,49,56,49,2265
2014,50,61,50,2326
2014,51,70,51,2396
2014,52,1,52,2397
2014,53,26,53,2423
2015,1,52,54,2475
2015,2,42,55,2517
2015,3,71,56,2588
2015,4,70,57,2658
2015,5,1,58,2659
2015,6,64,59,2723
2015,7,58,60,2781
2015,8,67,61,2848
2015,9,1,62,2849
2015,10,42,63,2891
2015,11,59,64,2950
2015,12,68,65,3018
2015,13,58,66,3076
2015,14,50,67,3126
2015,15,1,68,3127
2015,16,65,69,3192
2015,17,0,70,3192
2015,18,36,71,3228
2015,19,54,72,3282
2015,20,57,73,3339
2015,21,47,74,3386
2015,22,35,75,3421
2015,23,57,76,3478
2015,24,52,77,3530
2015,25,50,78,3580
2015,26,0,79,3580
2015,27,59,80,3639
2015,28,58,81,3697
2015,29,44,82,3741
2015,30,70,83,3811
2015,31,0,84,3811
2015,32,52,85,3863
2015,33,55,86,3918
2015,34,56,87,3974
2015,35,45,88,4019
2015,36,0,89,4019
2015,37,72,90,4091
2015,38,2,91,4093
2015,39,62,92,4155
2015,40,52,93,4207
2015,41,57,94,4264
2015,42,68,95,4332
2015,43,0,96,4332
2015,44,34,97,4366
2015,45,63,98,4429
2015,46,3,99,4432
2015,47,60,100,4492
2015,48,62,101,4554
2015,49,1,102,4555
2015,50,44,103,4599
2015,51,52,104,4651
2015,52,41,105,4692
2016,1,67,106,4759
2016,2,69,107,4828
2016,3,87,108,4915
2016,4,66,109,4981
2016,5,75,110,5056
2016,6,74,111,5130
2016,7,61,112,5191
2016,8,95,113,5286
2016,9,92,114,5378
2016,10,82,115,5460
2016,11,0,116,5460
2016,12,92,117,5552
2016,13,84,118,5636
2016,14,73,119,5709
2016,15,68,120,5777
2016,16,71,121,5848
2016,17,65,122,5913
2016,18,73,123,5986
2016,19,66,124,6052
2016,20,78,125,6130
2016,21,0,126,6130
2016,22,45,127,6175
2016,23,49,128,6224
2016,24,55,129,6279
2016,25,2,130,6281
2016,26,53,131,6334
2016,27,42,132,6376
2016,28,68,133,6444
2016,29,78,134,6522
2016,30,61,135,6583
2016,31,66,136,6649
2016,32,44,137,6693
2016,33,74,138,6767
2016,34,84,139,6851
2016,35,80,140,6931
2016,36,67,141,6998
2016,37,85,142,7083
2016,38,95,143,7178
2016,39,64,144,7242
2016,40,43,145,7285
2016,41,83,146,7368
2016,42,87,147,7455
2016,43,93,148,7548
2016,44,3,149,7551
2016,45,71,150,7622
2016,46,0,151,7622
2016,47,76,152,7698
2016,48,2,153,7700
2016,49,68,154,7768
2016,50,80,155,7848
2016,51,34,156,7882
2016,52,37,157,7919
2017,1,0,158,7919
2017,2,0,159,7919
2017,3,0,160,7919
2017,4,0,161,7919
2017,5,0,162,7919
2017,6,0,163,7919
2017,7,0,164,7919
2017,8,0,165,7919
2017,9,0,166,7919
2017,10,0,167,7919
2017,11,0,168,7919
2017,12,11,169,7930
2017,13,0,170,7930
2017,14,0,171,7930
2017,15,0,172,7930
