Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,124,1,124
2014,2,255,2,379
2014,3,202,3,581
2014,4,237,4,818
2014,5,207,5,1025
2014,6,302,6,1327
2014,7,196,7,1523
2014,8,162,8,1685
2014,9,195,9,1880
2014,10,123,10,2003
2014,11,171,11,2174
2014,12,196,12,2370
2014,13,262,13,2632
2014,14,185,14,2817
2014,15,278,15,3095
2014,16,144,16,3239
2014,17,277,17,3516
2014,18,267,18,3783
2014,19,160,19,3943
2014,20,173,20,4116
2014,21,150,21,4266
2014,22,130,22,4396
2014,23,204,23,4600
2014,24,160,24,4760
2014,25,215,25,4975
2014,26,218,26,5193
2014,27,115,27,5308
2014,28,152,28,5460
2014,29,186,29,5646
2014,30,248,30,5894
2014,31,215,31,6109
2014,32,205,32,6314
2014,33,190,33,6504
2014,34,214,34,6718
2014,35,198,35,6916
2014,36,139,36,7055
2014,37,218,37,7273
2014,38,251,38,7524
2014,39,209,39,7733
2014,40,294,40,8027
2014,41,212,41,8239
2014,42,166,42,8405
2014,43,253,43,8658
2014,44,176,44,8834
2014,45,168,45,9002
2014,46,187,46,9189
2014,47,226,47,9415
2014,48,99,48,9514
2014,49,278,49,9792
2014,50,179,50,9971
2014,51,179,51,10150
2014,52,55,52,10205
2014,53,123,53,10328
2015,1,245,54,10573
2015,2,250,55,10823
2015,3,130,56,10953
2015,4,330,57,11283
2015,5,176,58,11459
2015,6,183,59,11642
2015,7,59,60,11701
2015,8,276,61,11977
2015,9,149,62,12126
2015,10,174,63,12300
2015,11,164,64,12464
2015,12,233,65,12697
2015,13,161,66,12858
2015,14,201,67,13059
2015,15,204,68,13263
2015,16,185,69,13448
2015,17,170,70,13618
2015,18,207,71,13825
2015,19,197,72,14022
2015,20,165,73,14187
2015,21,112,74,14299
2015,22,125,75,14424
2015,23,165,76,14589
2015,24,154,77,14743
2015,25,145,78,14888
2015,26,131,79,15019
2015,27,183,80,15202
2015,28,241,81,15443
2015,29,246,82,15689
2015,30,277,83,15966
2015,31,274,84,16240
2015,32,215,85,16455
2015,33,231,86,16686
2015,34,223,87,16909
2015,35,236,88,17145
2015,36,121,89,17266
2015,37,185,90,17451
2015,38,158,91,17609
2015,39,306,92,17915
2015,40,196,93,18111
2015,41,207,94,18318
2015,42,199,95,18517
2015,43,310,96,18827
2015,44,214,97,19041
2015,45,168,98,19209
2015,46,204,99,19413
2015,47,103,100,19516
2015,48,214,101,19730
2015,49,184,102,19914
2015,50,190,103,20104
2015,51,69,104,20173
2015,52,100,105,20273
2016,1,161,106,20434
2016,2,272,107,20706
2016,3,77,108,20783
2016,4,249,109,21032
2016,5,273,110,21305
2016,6,175,111,21480
2016,7,215,112,21695
2016,8,178,113,21873
2016,9,137,114,22010
2016,10,210,115,22220
2016,11,174,116,22394
2016,12,150,117,22544
2016,13,0,118,22544
2016,14,195,119,22739
2016,15,0,120,22739
2016,16,175,121,22914
2016,17,193,122,23107
2016,18,40,123,23147
2016,19,0,124,23147
2016,20,185,125,23332
2016,21,0,126,23332
2016,22,0,127,23332
2016,23,45,128,23377
2016,24,0,129,23377
2016,25,109,130,23486
2016,26,152,131,23638
2016,27,81,132,23719
2016,28,125,133,23844
2016,29,122,134,23966
2016,30,155,135,24121
2016,31,220,136,24341
2016,32,190,137,24531
2016,33,214,138,24745
2016,34,277,139,25022
2016,35,245,140,25267
2016,36,183,141,25450
2016,37,235,142,25685
2016,38,260,143,25945
2016,39,254,144,26199
2016,40,171,145,26370
2016,41,227,146,26597
2016,42,207,147,26804
2016,43,214,148,27018
2016,44,263,149,27281
2016,45,178,150,27459
2016,46,194,151,27653
2016,47,64,152,27717
2016,48,124,153,27841
2016,49,0,154,27841
2016,50,0,155,27841
2016,51,88,156,27929
2016,52,0,157,27929
2017,1,0,158,27929
2017,2,110,159,28039
2017,3,146,160,28185
2017,4,240,161,28425
2017,5,261,162,28686
2017,6,233,163,28919
2017,7,221,164,29140
2017,8,178,165,29318
2017,9,188,166,29506
2017,10,208,167,29714
2017,11,165,168,29879
2017,12,0,169,29879
2017,13,130,170,30009
2017,14,227,171,30236
2017,15,197,172,30433
