Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,594,1,594
2014,2,56,2,650
2014,3,259,3,909
2014,4,158,4,1067
2014,5,717,5,1784
2014,6,688,6,2472
2014,7,628,7,3100
2014,8,752,8,3852
2014,9,1265,9,5117
2014,10,695,10,5812
2014,11,948,11,6760
2014,12,714,12,7474
2014,13,1146,13,8620
2014,14,777,14,9397
2014,15,0,15,9397
2014,16,721,16,10118
2014,17,0,17,10118
2014,18,792,18,10910
2014,19,517,19,11427
2014,20,657,20,12084
2014,21,949,21,13033
2014,22,768,22,13801
2014,23,751,23,14552
2014,24,688,24,15240
2014,25,690,25,15930
2014,26,684,26,16614
2014,27,554,27,17168
2014,28,706,28,17874
2014,29,646,29,18520
2014,30,768,30,19288
2014,31,642,31,19930
2014,32,803,32,20733
2014,33,437,33,21170
2014,34,942,34,22112
2014,35,547,35,22659
2014,36,593,36,23252
2014,37,682,37,23934
2014,38,696,38,24630
2014,39,737,39,25367
2014,40,727,40,26094
2014,41,672,41,26766
2014,42,611,42,27377
2014,43,698,43,28075
2014,44,621,44,28696
2014,45,703,45,29399
2014,46,601,46,30000
2014,47,733,47,30733
2014,48,661,48,31394
2014,49,754,49,32148
2014,50,791,50,32939
2014,51,693,51,33632
2014,52,432,52,34064
2014,53,352,53,34416
2015,1,0,54,34416
2015,2,4,55,34420
2015,3,635,56,35055
2015,4,841,57,35896
2015,5,635,58,36531
2015,6,0,59,36531
2015,7,568,60,37099
2015,8,505,61,37604
2015,9,702,62,38306
2015,10,701,63,39007
2015,11,821,64,39828
2015,12,757,65,40585
2015,13,854,66,41439
2015,14,528,67,41967
2015,15,1065,68,43032
2015,16,736,69,43768
2015,17,578,70,44346
2015,18,818,71,45164
2015,19,691,72,45855
2015,20,722,73,46577
2015,21,624,74,47201
2015,22,494,75,47695
2015,23,739,76,48434
2015,24,811,77,49245
2015,25,632,78,49877
2015,26,502,79,50379
2015,27,718,80,51097
2015,28,699,81,51796
2015,29,693,82,52489
2015,30,821,83,53310
2015,31,600,84,53910
2015,32,732,85,54642
2015,33,641,86,55283
2015,34,767,87,56050
2015,35,974,88,57024
2015,36,585,89,57609
2015,37,778,90,58387
2015,38,621,91,59008
2015,39,834,92,59842
2015,40,560,93,60402
2015,41,554,94,60956
2015,42,1058,95,62014
2015,43,565,96,62579
2015,44,544,97,63123
2015,45,736,98,63859
2015,46,707,99,64566
2015,47,46,100,64612
2015,48,446,101,65058
2015,49,586,102,65644
2015,50,843,103,66487
2015,51,254,104,66741
2015,52,685,105,67426
2016,1,531,106,67957
2016,2,641,107,68598
2016,3,378,108,68976
2016,4,845,109,69821
2016,5,1359,110,71180
2016,6,1063,111,72243
2016,7,458,112,72701
2016,8,836,113,73537
2016,9,417,114,73954
2016,10,137,115,74091
2016,11,722,116,74813
2016,12,545,117,75358
2016,13,438,118,75796
2016,14,823,119,76619
2016,15,889,120,77508
2016,16,940,121,78448
2016,17,1160,122,79608
2016,18,898,123,80506
2016,19,444,124,80950
2016,20,1241,125,82191
2016,21,1053,126,83244
2016,22,919,127,84163
2016,23,1319,128,85482
2016,24,557,129,86039
2016,25,606,130,86645
2016,26,1011,131,87656
2016,27,610,132,88266
2016,28,777,133,89043
2016,29,856,134,89899
2016,30,603,135,90502
2016,31,864,136,91366
2016,32,1152,137,92518
2016,33,802,138,93320
2016,34,784,139,94104
2016,35,682,140,94786
2016,36,668,141,95454
2016,37,869,142,96323
2016,38,942,143,97265
2016,39,0,144,97265
2016,40,93,145,97358
2016,41,0,146,97358
2016,42,0,147,97358
2016,43,0,148,97358
2016,44,0,149,97358
2016,45,0,150,97358
2016,46,0,151,97358
2016,47,0,152,97358
2016,48,0,153,97358
2016,49,0,154,97358
2016,50,0,155,97358
2016,51,0,156,97358
2016,52,0,157,97358
2017,1,0,158,97358
2017,2,0,159,97358
2017,3,0,160,97358
2017,4,0,161,97358
2017,5,0,162,97358
2017,6,0,163,97358
2017,7,0,164,97358
2017,8,0,165,97358
2017,9,0,166,97358
2017,10,0,167,97358
2017,11,0,168,97358
2017,12,0,169,97358
2017,13,0,170,97358
2017,14,0,171,97358
2017,15,0,172,97358
