Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,42,1,42
2014,2,74,2,116
2014,3,0,3,116
2014,4,9,4,125
2014,5,37,5,162
2014,6,102,6,264
2014,7,49,7,313
2014,8,87,8,400
2014,9,51,9,451
2014,10,35,10,486
2014,11,100,11,586
2014,12,0,12,586
2014,13,37,13,623
2014,14,77,14,700
2014,15,0,15,700
2014,16,42,16,742
2014,17,107,17,849
2014,18,78,18,927
2014,19,0,19,927
2014,20,0,20,927
2014,21,30,21,957
2014,22,51,22,1008
2014,23,93,23,1101
2014,24,72,24,1173
2014,25,67,25,1240
2014,26,62,26,1302
2014,27,0,27,1302
2014,28,74,28,1376
2014,29,86,29,1462
2014,30,79,30,1541
2014,31,76,31,1617
2014,32,102,32,1719
2014,33,64,33,1783
2014,34,78,34,1861
2014,35,72,35,1933
2014,36,28,36,1961
2014,37,78,37,2039
2014,38,62,38,2101
2014,39,47,39,2148
2014,40,65,40,2213
2014,41,28,41,2241
2014,42,58,42,2299
2014,43,46,43,2345
2014,44,20,44,2365
2014,45,0,45,2365
2014,46,51,46,2416
2014,47,0,47,2416
2014,48,33,48,2449
2014,49,32,49,2481
2014,50,83,50,2564
2014,51,0,51,2564
2014,52,0,52,2564
2014,53,39,53,2603
2015,1,18,54,2621
2015,2,45,55,2666
2015,3,46,56,2712
2015,4,23,57,2735
2015,5,38,58,2773
2015,6,0,59,2773
2015,7,77,60,2850
2015,8,78,61,2928
2015,9,42,62,2970
2015,10,84,63,3054
2015,11,31,64,3085
2015,12,44,65,3129
2015,13,54,66,3183
2015,14,68,67,3251
2015,15,102,68,3353
2015,16,54,69,3407
2015,17,35,70,3442
2015,18,0,71,3442
2015,19,50,72,3492
2015,20,24,73,3516
2015,21,56,74,3572
2015,22,1,75,3573
2015,23,48,76,3621
2015,24,41,77,3662
2015,25,6,78,3668
2015,26,30,79,3698
2015,27,26,80,3724
2015,28,38,81,3762
2015,29,16,82,3778
2015,30,55,83,3833
2015,31,0,84,3833
2015,32,64,85,3897
2015,33,25,86,3922
2015,34,56,87,3978
2015,35,0,88,3978
2015,36,87,89,4065
2015,37,58,90,4123
2015,38,88,91,4211
2015,39,0,92,4211
2015,40,27,93,4238
2015,41,23,94,4261
2015,42,0,95,4261
2015,43,0,96,4261
2015,44,0,97,4261
2015,45,73,98,4334
2015,46,0,99,4334
2015,47,3,100,4337
2015,48,0,101,4337
2015,49,16,102,4353
2015,50,4,103,4357
2015,51,18,104,4375
2015,52,2,105,4377
2016,1,0,106,4377
2016,2,0,107,4377
2016,3,0,108,4377
2016,4,0,109,4377
2016,5,0,110,4377
2016,6,0,111,4377
2016,7,0,112,4377
2016,8,0,113,4377
2016,9,0,114,4377
2016,10,0,115,4377
2016,11,0,116,4377
2016,12,0,117,4377
2016,13,23,118,4400
2016,14,21,119,4421
2016,15,0,120,4421
2016,16,0,121,4421
2016,17,19,122,4440
2016,18,0,123,4440
2016,19,14,124,4454
2016,20,30,125,4484
2016,21,82,126,4566
2016,22,67,127,4633
2016,23,107,128,4740
2016,24,0,129,4740
2016,25,76,130,4816
2016,26,53,131,4869
2016,27,92,132,4961
2016,28,0,133,4961
2016,29,84,134,5045
2016,30,83,135,5128
2016,31,54,136,5182
2016,32,0,137,5182
2016,33,71,138,5253
2016,34,67,139,5320
2016,35,52,140,5372
2016,36,73,141,5445
2016,37,0,142,5445
2016,38,101,143,5546
2016,39,91,144,5637
2016,40,98,145,5735
2016,41,0,146,5735
2016,42,67,147,5802
2016,43,92,148,5894
2016,44,0,149,5894
2016,45,3,150,5897
2016,46,0,151,5897
2016,47,8,152,5905
2016,48,118,153,6023
2016,49,86,154,6109
2016,50,68,155,6177
2016,51,63,156,6240
2016,52,0,157,6240
2017,1,56,158,6296
2017,2,63,159,6359
2017,3,97,160,6456
2017,4,116,161,6572
2017,5,104,162,6676
2017,6,0,163,6676
2017,7,55,164,6731
2017,8,78,165,6809
2017,9,31,166,6840
2017,10,41,167,6881
2017,11,0,168,6881
2017,12,6,169,6887
2017,13,36,170,6923
2017,14,0,171,6923
2017,15,38,172,6961
