Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,2,1,2
2014,2,3,2,5
2014,3,0,3,5
2014,4,1,4,6
2014,5,1,5,7
2014,6,3,6,10
2014,7,3,7,13
2014,8,0,8,13
2014,9,0,9,13
2014,10,1,10,14
2014,11,2,11,16
2014,12,2,12,18
2014,13,0,13,18
2014,14,1,14,19
2014,15,2,15,21
2014,16,1,16,22
2014,17,0,17,22
2014,18,2,18,24
2014,19,0,19,24
2014,20,1,20,25
2014,21,2,21,27
2014,22,0,22,27
2014,23,1,23,28
2014,24,4,24,32
2014,25,0,25,32
2014,26,0,26,32
2014,27,0,27,32
2014,28,1,28,33
2014,29,2,29,35
2014,30,2,30,37
2014,31,3,31,40
2014,32,4,32,44
2014,33,1,33,45
2014,34,4,34,49
2014,35,1,35,50
2014,36,2,36,52
2014,37,1,37,53
2014,38,5,38,58
2014,39,2,39,60
2014,40,0,40,60
2014,41,0,41,60
2014,42,0,42,60
2014,43,0,43,60
2014,44,0,44,60
2014,45,2,45,62
2014,46,3,46,65
2014,47,0,47,65
2014,48,0,48,65
2014,49,0,49,65
2014,50,1,50,66
2014,51,1,51,67
2014,52,0,52,67
2014,53,0,53,67
2015,1,0,54,67
2015,2,0,55,67
2015,3,0,56,67
2015,4,2,57,69
2015,5,1,58,70
2015,6,1,59,71
2015,7,0,60,71
2015,8,0,61,71
2015,9,0,62,71
2015,10,0,63,71
2015,11,4,64,75
2015,12,0,65,75
2015,13,2,66,77
2015,14,4,67,81
2015,15,1,68,82
2015,16,0,69,82
2015,17,3,70,85
2015,18,1,71,86
2015,19,1,72,87
2015,20,0,73,87
2015,21,0,74,87
2015,22,0,75,87
2015,23,0,76,87
2015,24,2,77,89
2015,25,0,78,89
2015,26,1,79,90
2015,27,2,80,92
2015,28,1,81,93
2015,29,6,82,99
2015,30,0,83,99
2015,31,3,84,102
2015,32,4,85,106
2015,33,6,86,112
2015,34,9,87,121
2015,35,1,88,122
2015,36,3,89,125
2015,37,10,90,135
2015,38,0,91,135
2015,39,2,92,137
2015,40,2,93,139
2015,41,1,94,140
2015,42,0,95,140
2015,43,3,96,143
2015,44,1,97,144
2015,45,2,98,146
2015,46,1,99,147
2015,47,0,100,147
2015,48,1,101,148
2015,49,4,102,152
2015,50,4,103,156
2015,51,1,104,157
2015,52,3,105,160
2016,1,0,106,160
2016,2,3,107,163
2016,2,3,107,166
2016,3,0,108,166
2016,4,1,109,167
2016,5,3,110,170
2016,6,1,111,171
2016,7,1,112,172
2016,8,0,113,172
2016,9,0,114,172
2016,10,2,115,174
2016,11,3,116,177
2016,12,2,117,179
2016,13,1,118,180
2016,14,4,119,184
2016,15,1,120,185
2016,16,1,121,186
2016,17,2,122,188
2016,18,3,123,191
2016,19,2,124,193
2016,20,0,125,193
2016,21,1,126,194
2016,22,1,127,195
2016,23,2,128,197
2016,24,4,129,201
2016,25,0,130,201
2016,26,0,131,201
2016,27,2,132,203
2016,28,0,133,203
2016,29,4,134,207
2016,30,5,135,212
2016,31,2,136,214
2016,32,3,137,217
2016,33,3,138,220
2016,34,5,139,225
2016,35,3,140,228
2016,36,2,141,230
2016,37,2,142,232
2016,38,5,143,237
2016,39,2,144,239
2016,40,2,145,241
2016,41,2,146,243
2016,42,0,147,243
2016,43,4,148,247
2016,44,3,149,250
2016,45,0,150,250
2016,46,0,151,250
2016,47,0,152,250
2016,48,5,153,255
2016,49,1,154,256
2016,50,2,155,258
2016,51,0,156,258
2016,52,1,157,259
2017,1,0,158,259
2017,2,0,159,259
2017,3,1,160,260
2017,4,3,161,263
2017,5,1,162,264
2017,6,0,163,264
2017,7,0,164,264
2017,8,0,165,264
2017,9,0,166,264
2017,10,0,167,264
2017,11,2,168,266
2017,12,0,169,266
2017,13,1,170,267
2017,14,2,171,269
2017,15,1,172,270
