Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,2,2,2
2014,3,2,3,4
2014,4,0,4,4
2014,5,1,5,5
2014,6,2,6,7
2014,7,1,7,8
2014,8,0,8,8
2014,9,1,9,9
2014,10,4,10,13
2014,11,2,11,15
2014,12,2,12,17
2014,13,1,13,18
2014,14,2,14,20
2014,15,2,15,22
2014,16,1,16,23
2014,17,0,17,23
2014,18,0,18,23
2014,19,0,19,23
2014,20,4,20,27
2014,21,0,21,27
2014,22,1,22,28
2014,23,1,23,29
2014,24,1,24,30
2014,25,3,25,33
2014,26,1,26,34
2014,27,2,27,36
2014,28,2,28,38
2014,29,2,29,40
2014,30,5,30,45
2014,31,4,31,49
2014,32,2,32,51
2014,33,4,33,55
2014,34,2,34,57
2014,35,2,35,59
2014,36,1,36,60
2014,37,2,37,62
2014,38,3,38,65
2014,39,4,39,69
2014,40,2,40,71
2014,41,0,41,71
2014,42,0,42,71
2014,43,2,43,73
2014,44,6,44,79
2014,45,3,45,82
2014,46,2,46,84
2014,47,3,47,87
2014,48,1,48,88
2014,49,3,49,91
2014,50,4,50,95
2014,51,3,51,98
2014,52,0,52,98
2014,53,1,53,99
2014,53,1,53,100
2015,1,1,54,101
2015,2,1,55,102
2015,3,0,56,102
2015,4,4,57,106
2015,5,1,58,107
2015,6,0,59,107
2015,7,0,60,107
2015,8,2,61,109
2015,9,1,62,110
2015,10,4,63,114
2015,11,2,64,116
2015,12,1,65,117
2015,13,1,66,118
2015,14,1,67,119
2015,15,0,68,119
2015,16,0,69,119
2015,17,3,70,122
2015,18,5,71,127
2015,19,0,72,127
2015,20,0,73,127
2015,21,2,74,129
2015,22,0,75,129
2015,23,0,76,129
2015,24,3,77,132
2015,25,1,78,133
2015,26,2,79,135
2015,27,3,80,138
2015,28,2,81,140
2015,29,4,82,144
2015,30,3,83,147
2015,31,2,84,149
2015,32,4,85,153
2015,33,1,86,154
2015,34,5,87,159
2015,35,2,88,161
2015,36,2,89,163
2015,37,0,90,163
2015,38,2,91,165
2015,39,2,92,167
2015,40,3,93,170
2015,41,1,94,171
2015,42,6,95,177
2015,43,4,96,181
2015,44,2,97,183
2015,45,3,98,186
2015,46,2,99,188
2015,47,1,100,189
2015,48,5,101,194
2015,49,2,102,196
2015,50,0,103,196
2015,51,3,104,199
2015,52,6,105,205
2016,1,1,106,206
2016,2,4,107,210
2016,3,1,108,211
2016,4,4,109,215
2016,5,4,110,219
2016,6,1,111,220
2016,7,0,112,220
2016,8,1,113,221
2016,9,2,114,223
2016,10,6,115,229
2016,11,1,116,230
2016,12,3,117,233
2016,13,0,118,233
2016,14,5,119,238
2016,15,1,120,239
2016,16,2,121,241
2016,17,4,122,245
2016,18,1,123,246
2016,19,3,124,249
2016,20,1,125,250
2016,21,1,126,251
2016,22,0,127,251
2016,23,2,128,253
2016,24,4,129,257
2016,25,2,130,259
2016,26,3,131,262
2016,27,1,132,263
2016,28,2,133,265
2016,29,4,134,269
2016,30,5,135,274
2016,31,8,136,282
2016,32,2,137,284
2016,33,5,138,289
2016,34,3,139,292
2016,35,3,140,295
2016,36,3,141,298
2016,37,4,142,302
2016,38,6,143,308
2016,39,3,144,311
2016,40,0,145,311
2016,41,3,146,314
2016,42,2,147,316
2016,43,2,148,318
2016,44,0,149,318
2016,45,0,150,318
2016,46,1,151,319
2016,47,3,152,322
2016,48,1,153,323
2016,49,5,154,328
2016,50,1,155,329
2016,51,1,156,330
2016,52,1,157,331
2017,1,0,158,331
2017,2,2,159,333
2017,3,1,160,334
2017,4,0,161,334
2017,5,1,162,335
2017,6,0,163,335
2017,7,0,164,335
2017,8,3,165,338
2017,9,1,166,339
2017,10,2,167,341
2017,11,1,168,342
2017,12,2,169,344
2017,13,4,170,348
2017,14,0,171,348
2017,15,2,172,350
