Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,5,1,5
2014,2,13,2,18
2014,3,17,3,35
2014,4,13,4,48
2014,5,19,5,67
2014,6,57,6,124
2014,7,25,7,149
2014,8,0,8,149
2014,9,20,9,169
2014,10,18,10,187
2014,11,22,11,209
2014,12,25,12,234
2014,13,14,13,248
2014,14,20,14,268
2014,15,33,15,301
2014,16,21,16,322
2014,17,0,17,322
2014,18,42,18,364
2014,19,21,19,385
2014,20,32,20,417
2014,21,28,21,445
2014,22,17,22,462
2014,23,24,23,486
2014,24,6,24,492
2014,25,22,25,514
2014,26,25,26,539
2014,27,8,27,547
2014,28,20,28,567
2014,29,33,29,600
2014,30,0,30,600
2014,31,15,31,615
2014,32,22,32,637
2014,33,33,33,670
2014,34,10,34,680
2014,35,30,35,710
2014,36,0,36,710
2014,37,33,37,743
2014,38,30,38,773
2014,39,49,39,822
2014,40,26,40,848
2014,41,18,41,866
2014,42,59,42,925
2014,43,0,43,925
2014,44,37,44,962
2014,45,20,45,982
2014,46,21,46,1003
2014,47,0,47,1003
2014,48,22,48,1025
2014,49,32,49,1057
2014,50,29,50,1086
2014,51,22,51,1108
2014,52,37,52,1145
2014,53,2,53,1147
2014,53,2,53,1149
2015,1,20,54,1169
2015,2,23,55,1192
2015,3,3,56,1195
2015,4,8,57,1203
2015,5,21,58,1224
2015,6,14,59,1238
2015,7,0,60,1238
2015,8,10,61,1248
2015,9,22,62,1270
2015,10,3,63,1273
2015,11,8,64,1281
2015,12,9,65,1290
2015,13,8,66,1298
2015,14,7,67,1305
2015,15,17,68,1322
2015,16,11,69,1333
2015,17,11,70,1344
2015,18,12,71,1356
2015,19,10,72,1366
2015,20,2,73,1368
2015,21,8,74,1376
2015,22,53,75,1429
2015,23,1,76,1430
2015,24,9,77,1439
2015,25,5,78,1444
2015,26,1,79,1445
2015,27,17,80,1462
2015,28,5,81,1467
2015,29,44,82,1511
2015,30,0,83,1511
2015,31,17,84,1528
2015,32,10,85,1538
2015,33,18,86,1556
2015,34,7,87,1563
2015,35,19,88,1582
2015,36,7,89,1589
2015,37,9,90,1598
2015,38,8,91,1606
2015,39,11,92,1617
2015,40,21,93,1638
2015,41,8,94,1646
2015,42,43,95,1689
2015,43,42,96,1731
2015,44,89,97,1820
2015,45,61,98,1881
2015,46,24,99,1905
2015,47,12,100,1917
2015,48,8,101,1925
2015,49,15,102,1940
2015,50,14,103,1954
2015,51,8,104,1962
2015,52,11,105,1973
2016,1,7,106,1980
2016,2,8,107,1988
2016,3,14,108,2002
2016,4,12,109,2014
2016,5,10,110,2024
2016,6,6,111,2030
2016,7,14,112,2044
2016,8,14,113,2058
2016,9,10,114,2068
2016,10,13,115,2081
2016,11,7,116,2088
2016,12,19,117,2107
2016,13,11,118,2118
2016,14,14,119,2132
2016,15,9,120,2141
2016,16,20,121,2161
2016,17,8,122,2169
2016,18,14,123,2183
2016,19,10,124,2193
2016,20,7,125,2200
2016,21,6,126,2206
2016,22,8,127,2214
2016,23,17,128,2231
2016,24,8,129,2239
2016,25,8,130,2247
2016,26,7,131,2254
2016,27,8,132,2262
2016,28,20,133,2282
2016,29,5,134,2287
2016,30,14,135,2301
2016,31,13,136,2314
2016,32,7,137,2321
2016,33,9,138,2330
2016,34,17,139,2347
2016,35,13,140,2360
2016,36,9,141,2369
2016,37,15,142,2384
2016,38,9,143,2393
2016,39,25,144,2418
2016,40,10,145,2428
2016,41,10,146,2438
2016,42,11,147,2449
2016,43,13,148,2462
2016,44,8,149,2470
2016,45,8,150,2478
2016,46,31,151,2509
2016,47,1,152,2510
2016,48,13,153,2523
2016,49,13,154,2536
2016,50,8,155,2544
2016,51,3,156,2547
2016,52,0,157,2547
2017,1,2,158,2549
2017,2,5,159,2554
2017,3,5,160,2559
2017,4,10,161,2569
2017,5,12,162,2581
2017,6,4,163,2585
2017,7,4,164,2589
2017,8,6,165,2595
2017,9,13,166,2608
2017,10,7,167,2615
2017,11,0,168,2615
2017,12,7,169,2622
2017,13,5,170,2627
2017,14,10,171,2637
2017,15,10,172,2647
