Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,12,2,12
2014,3,2,3,14
2014,4,6,4,20
2014,5,15,5,35
2014,6,12,6,47
2014,7,6,7,53
2014,8,7,8,60
2014,9,5,9,65
2014,10,6,10,71
2014,11,0,11,71
2014,12,0,12,71
2014,13,8,13,79
2014,14,0,14,79
2014,15,12,15,91
2014,16,4,16,95
2014,17,3,17,98
2014,18,2,18,100
2014,19,19,19,119
2014,20,1,20,120
2014,21,6,21,126
2014,22,4,22,130
2014,23,0,23,130
2014,24,7,24,137
2014,25,7,25,144
2014,26,4,26,148
2014,27,6,27,154
2014,28,0,28,154
2014,29,3,29,157
2014,30,7,30,164
2014,31,8,31,172
2014,32,0,32,172
2014,33,20,33,192
2014,34,0,34,192
2014,35,3,35,195
2014,36,3,36,198
2014,37,0,37,198
2014,38,0,38,198
2014,39,1,39,199
2014,40,0,40,199
2014,41,9,41,208
2014,42,0,42,208
2014,43,2,43,210
2014,44,6,44,216
2014,45,5,45,221
2014,46,0,46,221
2014,47,0,47,221
2014,48,0,48,221
2014,49,4,49,225
2014,50,0,50,225
2014,51,0,51,225
2014,52,0,52,225
2014,53,0,53,225
2014,53,0,53,225
2015,1,0,54,225
2015,2,0,55,225
2015,3,0,56,225
2015,4,28,57,253
2015,5,13,58,266
2015,6,10,59,276
2015,7,0,60,276
2015,8,13,61,289
2015,9,14,62,303
2015,10,8,63,311
2015,11,9,64,320
2015,12,3,65,323
2015,13,0,66,323
2015,14,11,67,334
2015,15,5,68,339
2015,16,11,69,350
2015,17,8,70,358
2015,18,1,71,359
2015,19,0,72,359
2015,20,0,73,359
2015,21,0,74,359
2015,22,0,75,359
2015,23,0,76,359
2015,24,0,77,359
2015,25,0,78,359
2015,26,0,79,359
2015,27,0,80,359
2015,28,0,81,359
2015,29,0,82,359
2015,30,0,83,359
2015,31,0,84,359
2015,32,0,85,359
2015,33,0,86,359
2015,34,0,87,359
2015,35,0,88,359
2015,36,0,89,359
2015,37,0,90,359
2015,38,0,91,359
2015,39,0,92,359
2015,40,0,93,359
2015,41,0,94,359
2015,42,0,95,359
2015,43,0,96,359
2015,44,0,97,359
2015,45,0,98,359
2015,46,0,99,359
2015,47,0,100,359
2015,48,0,101,359
2015,49,0,102,359
2015,50,0,103,359
2015,51,0,104,359
2015,52,0,105,359
2016,1,0,106,359
2016,2,0,107,359
2016,3,0,108,359
2016,4,0,109,359
2016,5,3,110,362
2016,6,10,111,372
2016,7,9,112,381
2016,8,4,113,385
2016,9,1,114,386
2016,10,9,115,395
2016,11,1,116,396
2016,12,7,117,403
2016,13,11,118,414
2016,14,9,119,423
2016,15,20,120,443
2016,16,1,121,444
2016,17,7,122,451
2016,18,3,123,454
2016,19,2,124,456
2016,20,9,125,465
2016,21,3,126,468
2016,22,3,127,471
2016,23,10,128,481
2016,24,2,129,483
2016,25,1,130,484
2016,26,11,131,495
2016,27,5,132,500
2016,28,3,133,503
2016,29,2,134,505
2016,30,0,135,505
2016,31,0,136,505
2016,32,0,137,505
2016,33,10,138,515
2016,34,0,139,515
2016,35,0,140,515
2016,36,0,141,515
2016,37,0,142,515
2016,38,0,143,515
2016,39,0,144,515
2016,40,0,145,515
2016,41,0,146,515
2016,42,0,147,515
2016,43,7,148,522
2016,44,0,149,522
2016,45,5,150,527
2016,46,6,151,533
2016,47,0,152,533
2016,48,0,153,533
2016,49,0,154,533
2016,50,0,155,533
2016,51,4,156,537
2016,52,0,157,537
2017,1,0,158,537
2017,2,0,159,537
2017,3,0,160,537
2017,4,0,161,537
2017,5,0,162,537
2017,6,0,163,537
2017,7,0,164,537
2017,8,0,165,537
2017,9,0,166,537
2017,10,0,167,537
2017,11,0,168,537
2017,12,0,169,537
2017,13,0,170,537
2017,14,0,171,537
2017,15,0,172,537
