Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,1,2,1
2014,3,0,3,1
2014,4,0,4,1
2014,5,0,5,1
2014,6,0,6,1
2014,7,3,7,4
2014,8,1,8,5
2014,9,5,9,10
2014,10,1,10,11
2014,11,1,11,12
2014,12,1,12,13
2014,13,0,13,13
2014,14,4,14,17
2014,15,0,15,17
2014,16,1,16,18
2014,17,2,17,20
2014,18,0,18,20
2014,19,2,19,22
2014,20,1,20,23
2014,21,1,21,24
2014,22,0,22,24
2014,23,1,23,25
2014,24,0,24,25
2014,25,2,25,27
2014,26,6,26,33
2014,27,2,27,35
2014,28,1,28,36
2014,29,2,29,38
2014,30,0,30,38
2014,31,2,31,40
2014,32,4,32,44
2014,33,6,33,50
2014,34,3,34,53
2014,35,4,35,57
2014,36,2,36,59
2014,37,4,37,63
2014,38,3,38,66
2014,39,4,39,70
2014,40,0,40,70
2014,41,2,41,72
2014,42,2,42,74
2014,43,0,43,74
2014,44,4,44,78
2014,45,2,45,80
2014,46,3,46,83
2014,47,2,47,85
2014,48,0,48,85
2014,49,2,49,87
2014,50,4,50,91
2014,51,4,51,95
2014,52,1,52,96
2014,53,2,53,98
2014,53,2,53,100
2015,1,2,54,102
2015,2,0,55,102
2015,3,0,56,102
2015,4,5,57,107
2015,5,1,58,108
2015,6,0,59,108
2015,7,0,60,108
2015,8,0,61,108
2015,9,2,62,110
2015,10,3,63,113
2015,11,1,64,114
2015,12,0,65,114
2015,13,1,66,115
2015,14,0,67,115
2015,15,3,68,118
2015,16,3,69,121
2015,17,4,70,125
2015,18,1,71,126
2015,19,1,72,127
2015,20,3,73,130
2015,21,1,74,131
2015,22,2,75,133
2015,23,2,76,135
2015,24,1,77,136
2015,25,0,78,136
2015,26,0,79,136
2015,27,0,80,136
2015,28,2,81,138
2015,29,1,82,139
2015,30,0,83,139
2015,31,0,84,139
2015,32,4,85,143
2015,33,4,86,147
2015,34,2,87,149
2015,35,4,88,153
2015,36,3,89,156
2015,37,6,90,162
2015,38,2,91,164
2015,39,4,92,168
2015,40,0,93,168
2015,41,1,94,169
2015,42,3,95,172
2015,43,3,96,175
2015,44,1,97,176
2015,45,2,98,178
2015,46,5,99,183
2015,47,0,100,183
2015,48,2,101,185
2015,49,1,102,186
2015,50,2,103,188
2015,51,4,104,192
2015,52,0,105,192
2016,1,2,106,194
2016,2,2,107,196
2016,3,2,108,198
2016,4,1,109,199
2016,5,0,110,199
2016,6,0,111,199
2016,7,2,112,201
2016,8,2,113,203
2016,9,0,114,203
2016,10,2,115,205
2016,11,1,116,206
2016,12,1,117,207
2016,13,0,118,207
2016,14,4,119,211
2016,15,0,120,211
2016,16,3,121,214
2016,17,4,122,218
2016,18,1,123,219
2016,19,1,124,220
2016,20,0,125,220
2016,21,1,126,221
2016,22,0,127,221
2016,23,1,128,222
2016,24,3,129,225
2016,25,4,130,229
2016,26,0,131,229
2016,27,1,132,230
2016,28,2,133,232
2016,29,2,134,234
2016,30,2,135,236
2016,31,0,136,236
2016,32,1,137,237
2016,33,6,138,243
2016,34,6,139,249
2016,35,4,140,253
2016,36,0,141,253
2016,37,3,142,256
2016,38,4,143,260
2016,39,2,144,262
2016,40,5,145,267
2016,41,4,146,271
2016,42,6,147,277
2016,43,0,148,277
2016,44,1,149,278
2016,45,1,150,279
2016,46,4,151,283
2016,47,2,152,285
2016,48,5,153,290
2016,49,3,154,293
2016,50,6,155,299
2016,51,0,156,299
2016,52,0,157,299
2017,1,0,158,299
2017,2,0,159,299
2017,3,0,160,299
2017,4,0,161,299
2017,5,0,162,299
2017,6,0,163,299
2017,7,0,164,299
2017,8,0,165,299
2017,9,1,166,300
2017,10,0,167,300
2017,11,0,168,300
2017,12,0,169,300
2017,13,1,170,301
2017,14,1,171,302
2017,15,0,172,302
