Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,4,1,4
2014,2,1,2,5
2014,3,1,3,6
2014,4,7,4,13
2014,5,2,5,15
2014,6,2,6,17
2014,7,2,7,19
2014,8,2,8,21
2014,9,3,9,24
2014,10,1,10,25
2014,11,3,11,28
2014,12,7,12,35
2014,13,1,13,36
2014,14,2,14,38
2014,15,2,15,40
2014,16,1,16,41
2014,17,0,17,41
2014,18,6,18,47
2014,19,4,19,51
2014,20,6,20,57
2014,21,1,21,58
2014,22,5,22,63
2014,23,1,23,64
2014,24,5,24,69
2014,25,1,25,70
2014,26,3,26,73
2014,27,0,27,73
2014,28,3,28,76
2014,29,5,29,81
2014,30,4,30,85
2014,31,9,31,94
2014,32,3,32,97
2014,33,3,33,100
2014,34,6,34,106
2014,35,3,35,109
2014,36,4,36,113
2014,37,5,37,118
2014,38,1,38,119
2014,39,2,39,121
2014,40,0,40,121
2014,41,2,41,123
2014,42,3,42,126
2014,43,3,43,129
2014,44,1,44,130
2014,45,7,45,137
2014,46,7,46,144
2014,47,0,47,144
2014,48,1,48,145
2014,49,2,49,147
2014,50,1,50,148
2014,51,2,51,150
2014,52,0,52,150
2014,53,3,53,153
2014,53,3,53,156
2015,1,2,54,158
2015,2,5,55,163
2015,3,2,56,165
2015,4,5,57,170
2015,5,1,58,171
2015,6,6,59,177
2015,7,5,60,182
2015,8,4,61,186
2015,9,2,62,188
2015,10,4,63,192
2015,11,7,64,199
2015,12,3,65,202
2015,13,1,66,203
2015,14,2,67,205
2015,15,3,68,208
2015,16,3,69,211
2015,17,2,70,213
2015,18,2,71,215
2015,19,2,72,217
2015,20,2,73,219
2015,21,3,74,222
2015,22,0,75,222
2015,23,2,76,224
2015,24,1,77,225
2015,25,2,78,227
2015,26,5,79,232
2015,27,2,80,234
2015,28,2,81,236
2015,29,0,82,236
2015,30,2,83,238
2015,31,3,84,241
2015,32,5,85,246
2015,33,3,86,249
2015,34,3,87,252
2015,35,6,88,258
2015,36,1,89,259
2015,37,6,90,265
2015,38,5,91,270
2015,39,6,92,276
2015,40,4,93,280
2015,41,2,94,282
2015,42,5,95,287
2015,43,3,96,290
2015,44,1,97,291
2015,45,4,98,295
2015,46,2,99,297
2015,47,3,100,300
2015,48,3,101,303
2015,49,6,102,309
2015,50,3,103,312
2015,51,3,104,315
2015,52,8,105,323
2016,1,5,106,328
2016,2,1,107,329
2016,3,1,108,330
2016,4,3,109,333
2016,5,5,110,338
2016,6,2,111,340
2016,7,2,112,342
2016,8,4,113,346
2016,9,2,114,348
2016,10,6,115,354
2016,11,5,116,359
2016,12,6,117,365
2016,13,3,118,368
2016,14,1,119,369
2016,15,8,120,377
2016,16,3,121,380
2016,17,2,122,382
2016,18,2,123,384
2016,19,5,124,389
2016,20,3,125,392
2016,21,0,126,392
2016,22,1,127,393
2016,23,7,128,400
2016,24,5,129,405
2016,25,6,130,411
2016,26,4,131,415
2016,27,4,132,419
2016,28,3,133,422
2016,29,0,134,422
2016,30,4,135,426
2016,31,6,136,432
2016,32,5,137,437
2016,33,7,138,444
2016,34,5,139,449
2016,35,5,140,454
2016,36,3,141,457
2016,37,5,142,462
2016,38,6,143,468
2016,39,12,144,480
2016,40,4,145,484
2016,41,1,146,485
2016,42,3,147,488
2016,43,2,148,490
2016,44,4,149,494
2016,45,2,150,496
2016,46,0,151,496
2016,47,0,152,496
2016,48,4,153,500
2016,49,2,154,502
2016,50,6,155,508
2016,51,2,156,510
2016,52,3,157,513
2017,1,3,158,516
2017,2,0,159,516
2017,3,1,160,517
2017,4,1,161,518
2017,5,0,162,518
2017,6,1,163,519
2017,7,3,164,522
2017,8,3,165,525
2017,9,3,166,528
2017,10,0,167,528
2017,11,0,168,528
2017,12,0,169,528
2017,13,3,170,531
2017,14,4,171,535
2017,15,7,172,542
