Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,11,1,11
2014,2,8,2,19
2014,3,9,3,28
2014,4,6,4,34
2014,5,8,5,42
2014,6,4,6,46
2014,7,9,7,55
2014,8,10,8,65
2014,9,4,9,69
2014,10,10,10,79
2014,11,7,11,86
2014,12,5,12,91
2014,13,9,13,100
2014,14,8,14,108
2014,15,0,15,108
2014,16,12,16,120
2014,17,0,17,120
2014,18,13,18,133
2014,19,10,19,143
2014,20,15,20,158
2014,21,10,21,168
2014,22,11,22,179
2014,23,14,23,193
2014,24,9,24,202
2014,25,10,25,212
2014,26,13,26,225
2014,27,10,27,235
2014,28,21,28,256
2014,29,10,29,266
2014,30,15,30,281
2014,31,10,31,291
2014,32,14,32,305
2014,33,15,33,320
2014,34,18,34,338
2014,35,12,35,350
2014,36,15,36,365
2014,37,14,37,379
2014,38,19,38,398
2014,39,18,39,416
2014,40,15,40,431
2014,41,18,41,449
2014,42,15,42,464
2014,43,20,43,484
2014,44,14,44,498
2014,45,16,45,514
2014,46,9,46,523
2014,47,16,47,539
2014,48,12,48,551
2014,49,13,49,564
2014,50,13,50,577
2014,51,17,51,594
2014,52,11,52,605
2014,53,2,53,607
2014,53,2,53,609
2015,1,5,54,614
2015,2,11,55,625
2015,3,5,56,630
2015,4,6,57,636
2015,5,4,58,640
2015,6,2,59,642
2015,7,6,60,648
2015,8,9,61,657
2015,9,4,62,661
2015,10,3,63,664
2015,11,6,64,670
2015,12,10,65,680
2015,13,7,66,687
2015,14,7,67,694
2015,15,2,68,696
2015,16,7,69,703
2015,17,6,70,709
2015,18,7,71,716
2015,19,8,72,724
2015,20,3,73,727
2015,21,5,74,732
2015,22,5,75,737
2015,23,5,76,742
2015,24,5,77,747
2015,25,9,78,756
2015,26,7,79,763
2015,27,7,80,770
2015,28,12,81,782
2015,29,5,82,787
2015,30,13,83,800
2015,31,10,84,810
2015,32,10,85,820
2015,33,10,86,830
2015,34,9,87,839
2015,35,13,88,852
2015,36,4,89,856
2015,37,7,90,863
2015,38,8,91,871
2015,39,7,92,878
2015,40,7,93,885
2015,41,7,94,892
2015,42,3,95,895
2015,43,6,96,901
2015,44,7,97,908
2015,45,6,98,914
2015,46,7,99,921
2015,47,3,100,924
2015,48,3,101,927
2015,49,5,102,932
2015,50,13,103,945
2015,51,5,104,950
2015,52,2,105,952
2016,1,4,106,956
2016,2,9,107,965
2016,3,9,108,974
2016,4,4,109,978
2016,5,3,110,981
2016,6,4,111,985
2016,7,6,112,991
2016,8,5,113,996
2016,9,6,114,1002
2016,10,7,115,1009
2016,11,4,116,1013
2016,12,3,117,1016
2016,13,2,118,1018
2016,14,6,119,1024
2016,15,8,120,1032
2016,16,4,121,1036
2016,17,3,122,1039
2016,18,6,123,1045
2016,19,0,124,1045
2016,20,8,125,1053
2016,21,11,126,1064
2016,22,3,127,1067
2016,23,2,128,1069
2016,24,8,129,1077
2016,25,3,130,1080
2016,26,10,131,1090
2016,27,6,132,1096
2016,28,4,133,1100
2016,29,6,134,1106
2016,30,13,135,1119
2016,31,11,136,1130
2016,32,10,137,1140
2016,33,10,138,1150
2016,34,9,139,1159
2016,35,16,140,1175
2016,36,4,141,1179
2016,37,10,142,1189
2016,38,5,143,1194
2016,39,9,144,1203
2016,40,10,145,1213
2016,41,9,146,1222
2016,42,4,147,1226
2016,43,8,148,1234
2016,44,6,149,1240
2016,45,3,150,1243
2016,46,9,151,1252
2016,47,4,152,1256
2016,48,7,153,1263
2016,49,6,154,1269
2016,50,3,155,1272
2016,51,2,156,1274
2016,52,1,157,1275
2017,1,4,158,1279
2017,2,4,159,1283
2017,3,5,160,1288
2017,4,1,161,1289
2017,5,7,162,1296
2017,6,7,163,1303
2017,7,3,164,1306
2017,8,1,165,1307
2017,9,1,166,1308
2017,10,0,167,1308
2017,11,4,168,1312
2017,12,2,169,1314
2017,13,1,170,1315
2017,14,5,171,1320
2017,15,6,172,1326
