Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,2,1,2
2014,2,1,2,3
2014,3,1,3,4
2014,4,0,4,4
2014,5,2,5,6
2014,6,1,6,7
2014,7,0,7,7
2014,8,0,8,7
2014,9,0,9,7
2014,10,3,10,10
2014,11,2,11,12
2014,12,1,12,13
2014,13,1,13,14
2014,14,0,14,14
2014,15,0,15,14
2014,16,1,16,15
2014,17,4,17,19
2014,18,0,18,19
2014,19,0,19,19
2014,20,0,20,19
2014,21,2,21,21
2014,22,1,22,22
2014,23,2,23,24
2014,24,0,24,24
2014,25,4,25,28
2014,26,0,26,28
2014,27,1,27,29
2014,28,0,28,29
2014,29,2,29,31
2014,30,2,30,33
2014,31,8,31,41
2014,32,1,32,42
2014,33,1,33,43
2014,34,1,34,44
2014,35,2,35,46
2014,36,1,36,47
2014,37,2,37,49
2014,38,0,38,49
2014,39,2,39,51
2014,40,0,40,51
2014,41,2,41,53
2014,42,6,42,59
2014,43,5,43,64
2014,44,2,44,66
2014,45,1,45,67
2014,46,1,46,68
2014,47,2,47,70
2014,48,1,48,71
2014,49,3,49,74
2014,50,3,50,77
2014,51,0,51,77
2014,52,0,52,77
2014,53,0,53,77
2014,53,0,53,77
2015,1,2,54,79
2015,2,0,55,79
2015,3,3,56,82
2015,4,3,57,85
2015,5,1,58,86
2015,6,0,59,86
2015,7,0,60,86
2015,8,2,61,88
2015,9,0,62,88
2015,10,2,63,90
2015,11,0,64,90
2015,12,2,65,92
2015,13,1,66,93
2015,14,1,67,94
2015,15,0,68,94
2015,16,3,69,97
2015,17,1,70,98
2015,18,0,71,98
2015,19,2,72,100
2015,20,0,73,100
2015,21,0,74,100
2015,22,1,75,101
2015,23,0,76,101
2015,24,2,77,103
2015,25,0,78,103
2015,26,0,79,103
2015,27,0,80,103
2015,28,1,81,104
2015,29,2,82,106
2015,30,0,83,106
2015,31,1,84,107
2015,32,3,85,110
2015,33,0,86,110
2015,34,2,87,112
2015,35,2,88,114
2015,36,0,89,114
2015,37,2,90,116
2015,38,0,91,116
2015,39,1,92,117
2015,40,2,93,119
2015,41,2,94,121
2015,42,3,95,124
2015,43,0,96,124
2015,44,2,97,126
2015,45,0,98,126
2015,46,1,99,127
2015,47,1,100,128
2015,48,2,101,130
2015,49,4,102,134
2015,50,3,103,137
2015,51,0,104,137
2015,52,2,105,139
2016,1,2,106,141
2016,2,1,107,142
2016,3,1,108,143
2016,4,2,109,145
2016,5,2,110,147
2016,6,1,111,148
2016,7,1,112,149
2016,8,2,113,151
2016,9,0,114,151
2016,10,0,115,151
2016,11,3,116,154
2016,12,1,117,155
2016,13,3,118,158
2016,14,2,119,160
2016,15,4,120,164
2016,16,0,121,164
2016,17,0,122,164
2016,18,2,123,166
2016,19,2,124,168
2016,20,1,125,169
2016,21,0,126,169
2016,22,5,127,174
2016,23,0,128,174
2016,24,0,129,174
2016,25,0,130,174
2016,26,0,131,174
2016,27,0,132,174
2016,28,0,133,174
2016,29,0,134,174
2016,30,0,135,174
2016,31,0,136,174
2016,32,0,137,174
2016,33,1,138,175
2016,34,0,139,175
2016,35,0,140,175
2016,36,0,141,175
2016,37,0,142,175
2016,38,1,143,176
2016,39,0,144,176
2016,40,0,145,176
2016,41,0,146,176
2016,42,1,147,177
2016,43,3,148,180
2016,44,0,149,180
2016,45,1,150,181
2016,46,3,151,184
2016,47,2,152,186
2016,48,0,153,186
2016,49,0,154,186
2016,50,1,155,187
2016,51,0,156,187
2016,52,0,157,187
2017,1,1,158,188
2017,2,3,159,191
2017,3,0,160,191
2017,4,2,161,193
2017,5,1,162,194
2017,6,1,163,195
2017,7,1,164,196
2017,8,0,165,196
2017,9,0,166,196
2017,10,0,167,196
2017,11,0,168,196
2017,12,1,169,197
2017,13,0,170,197
2017,14,0,171,197
2017,15,0,172,197
