Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,2,2,2
2014,3,2,3,4
2014,4,0,4,4
2014,5,0,5,4
2014,6,0,6,4
2014,7,2,7,6
2014,8,2,8,8
2014,9,3,9,11
2014,10,2,10,13
2014,11,2,11,15
2014,12,1,12,16
2014,13,5,13,21
2014,14,4,14,25
2014,15,3,15,28
2014,16,1,16,29
2014,17,4,17,33
2014,18,0,18,33
2014,19,0,19,33
2014,20,0,20,33
2014,21,1,21,34
2014,22,1,22,35
2014,23,1,23,36
2014,24,7,24,43
2014,25,6,25,49
2014,26,4,26,53
2014,27,0,27,53
2014,28,2,28,55
2014,29,1,29,56
2014,30,2,30,58
2014,31,1,31,59
2014,32,3,32,62
2014,33,4,33,66
2014,34,3,34,69
2014,35,1,35,70
2014,36,2,36,72
2014,37,5,37,77
2014,38,3,38,80
2014,39,5,39,85
2014,40,1,40,86
2014,41,0,41,86
2014,42,2,42,88
2014,43,1,43,89
2014,44,0,44,89
2014,45,7,45,96
2014,46,2,46,98
2014,47,0,47,98
2014,48,0,48,98
2014,49,0,49,98
2014,50,1,50,99
2014,51,3,51,102
2014,52,0,52,102
2014,53,0,53,102
2014,53,0,53,102
2015,1,2,54,104
2015,2,1,55,105
2015,3,1,56,106
2015,4,0,57,106
2015,5,2,58,108
2015,6,1,59,109
2015,7,0,60,109
2015,8,1,61,110
2015,9,3,62,113
2015,10,2,63,115
2015,11,2,64,117
2015,12,1,65,118
2015,13,2,66,120
2015,14,1,67,121
2015,15,0,68,121
2015,16,2,69,123
2015,17,1,70,124
2015,18,3,71,127
2015,19,3,72,130
2015,20,0,73,130
2015,21,3,74,133
2015,22,4,75,137
2015,23,2,76,139
2015,24,3,77,142
2015,25,1,78,143
2015,26,0,79,143
2015,27,3,80,146
2015,28,0,81,146
2015,29,3,82,149
2015,30,2,83,151
2015,31,5,84,156
2015,32,4,85,160
2015,33,2,86,162
2015,34,0,87,162
2015,35,5,88,167
2015,36,6,89,173
2015,37,6,90,179
2015,38,2,91,181
2015,39,4,92,185
2015,40,0,93,185
2015,41,3,94,188
2015,42,6,95,194
2015,43,0,96,194
2015,44,1,97,195
2015,45,6,98,201
2015,46,3,99,204
2015,47,2,100,206
2015,48,2,101,208
2015,49,4,102,212
2015,50,6,103,218
2015,51,1,104,219
2015,52,5,105,224
2016,1,1,106,225
2016,2,1,107,226
2016,3,4,108,230
2016,4,4,109,234
2016,5,2,110,236
2016,6,2,111,238
2016,7,2,112,240
2016,8,2,113,242
2016,9,1,114,243
2016,10,2,115,245
2016,11,3,116,248
2016,12,2,117,250
2016,13,1,118,251
2016,14,3,119,254
2016,15,4,120,258
2016,16,3,121,261
2016,17,1,122,262
2016,18,2,123,264
2016,19,7,124,271
2016,20,2,125,273
2016,21,4,126,277
2016,22,4,127,281
2016,23,4,128,285
2016,24,3,129,288
2016,25,4,130,292
2016,26,1,131,293
2016,27,2,132,295
2016,28,0,133,295
2016,29,1,134,296
2016,30,2,135,298
2016,31,3,136,301
2016,32,2,137,303
2016,33,1,138,304
2016,34,1,139,305
2016,35,3,140,308
2016,36,6,141,314
2016,37,4,142,318
2016,38,6,143,324
2016,39,3,144,327
2016,40,0,145,327
2016,41,5,146,332
2016,42,4,147,336
2016,43,1,148,337
2016,44,1,149,338
2016,45,4,150,342
2016,46,5,151,347
2016,47,0,152,347
2016,48,3,153,350
2016,49,3,154,353
2016,50,3,155,356
2016,51,0,156,356
2016,52,1,157,357
2017,1,0,158,357
2017,2,1,159,358
2017,3,1,160,359
2017,4,4,161,363
2017,5,1,162,364
2017,6,0,163,364
2017,7,3,164,367
2017,8,2,165,369
2017,9,1,166,370
2017,10,2,167,372
2017,11,0,168,372
2017,12,1,169,373
2017,13,3,170,376
2017,14,1,171,377
2017,15,2,172,379
