Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,151,1,151
2014,2,340,2,491
2014,3,277,3,768
2014,4,330,4,1098
2014,5,381,5,1479
2014,6,315,6,1794
2014,7,446,7,2240
2014,8,0,8,2240
2014,9,405,9,2645
2014,10,328,10,2973
2014,11,331,11,3304
2014,12,404,12,3708
2014,13,251,13,3959
2014,14,430,14,4389
2014,15,332,15,4721
2014,16,420,16,5141
2014,17,0,17,5141
2014,18,389,18,5530
2014,19,382,19,5912
2014,20,321,20,6233
2014,21,330,21,6563
2014,22,285,22,6848
2014,23,424,23,7272
2014,24,456,24,7728
2014,25,406,25,8134
2014,26,458,26,8592
2014,27,220,27,8812
2014,28,419,28,9231
2014,29,399,29,9630
2014,30,0,30,9630
2014,31,494,31,10124
2014,32,518,32,10642
2014,33,490,33,11132
2014,34,468,34,11600
2014,35,418,35,12018
2014,36,0,36,12018
2014,37,445,37,12463
2014,38,455,38,12918
2014,39,389,39,13307
2014,40,523,40,13830
2014,41,469,41,14299
2014,42,448,42,14747
2014,43,0,43,14747
2014,44,418,44,15165
2014,45,503,45,15668
2014,46,485,46,16153
2014,47,0,47,16153
2014,48,259,48,16412
2014,49,550,49,16962
2014,50,298,50,17260
2014,51,260,51,17520
2014,52,180,52,17700
2014,53,210,53,17910
2014,53,210,53,18120
2015,1,169,54,18289
2015,2,108,55,18397
2015,3,124,56,18521
2015,4,273,57,18794
2015,5,263,58,19057
2015,6,244,59,19301
2015,7,197,60,19498
2015,8,269,61,19767
2015,9,245,62,20012
2015,10,230,63,20242
2015,11,218,64,20460
2015,12,233,65,20693
2015,13,219,66,20912
2015,14,297,67,21209
2015,15,270,68,21479
2015,16,231,69,21710
2015,17,349,70,22059
2015,18,285,71,22344
2015,19,369,72,22713
2015,20,263,73,22976
2015,21,180,74,23156
2015,22,278,75,23434
2015,23,206,76,23640
2015,24,243,77,23883
2015,25,250,78,24133
2015,26,188,79,24321
2015,27,241,80,24562
2015,28,219,81,24781
2015,29,230,82,25011
2015,30,267,83,25278
2015,31,273,84,25551
2015,32,218,85,25769
2015,33,447,86,26216
2015,34,451,87,26667
2015,35,383,88,27050
2015,36,393,89,27443
2015,37,458,90,27901
2015,38,348,91,28249
2015,39,475,92,28724
2015,40,464,93,29188
2015,41,527,94,29715
2015,42,503,95,30218
2015,43,513,96,30731
2015,44,361,97,31092
2015,45,432,98,31524
2015,46,264,99,31788
2015,47,245,100,32033
2015,48,529,101,32562
2015,49,565,102,33127
2015,50,472,103,33599
2015,51,312,104,33911
2015,52,477,105,34388
2016,1,585,106,34973
2016,2,467,107,35440
2016,3,409,108,35849
2016,4,533,109,36382
2016,5,470,110,36852
2016,6,382,111,37234
2016,7,424,112,37658
2016,8,524,113,38182
2016,9,322,114,38504
2016,10,467,115,38971
2016,11,439,116,39410
2016,12,477,117,39887
2016,13,496,118,40383
2016,14,531,119,40914
2016,15,493,120,41407
2016,16,508,121,41915
2016,17,588,122,42503
2016,18,274,123,42777
2016,19,405,124,43182
2016,20,458,125,43640
2016,21,302,126,43942
2016,22,442,127,44384
2016,23,430,128,44814
2016,24,522,129,45336
2016,25,532,130,45868
2016,26,507,131,46375
2016,27,356,132,46731
2016,28,471,133,47202
2016,29,597,134,47799
2016,30,585,135,48384
2016,31,576,136,48960
2016,32,539,137,49499
2016,33,584,138,50083
2016,34,577,139,50660
2016,35,548,140,51208
2016,36,498,141,51706
2016,37,598,142,52304
2016,38,444,143,52748
2016,39,481,144,53229
2016,40,618,145,53847
2016,41,634,146,54481
2016,42,641,147,55122
2016,43,657,148,55779
2016,44,500,149,56279
2016,45,518,150,56797
2016,46,481,151,57278
2016,47,314,152,57592
2016,48,677,153,58269
2016,49,667,154,58936
2016,50,669,155,59605
2016,51,118,156,59723
2016,52,54,157,59777
2017,1,252,158,60029
2017,2,631,159,60660
2017,3,401,160,61061
2017,4,420,161,61481
2017,5,583,162,62064
2017,6,456,163,62520
2017,7,413,164,62933
2017,8,527,165,63460
2017,9,591,166,64051
2017,10,489,167,64540
2017,11,0,168,64540
2017,12,620,169,65160
2017,13,583,170,65743
2017,14,633,171,66376
2017,15,655,172,67031
