Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,6,1,6
2014,2,0,2,6
2014,3,0,3,6
2014,4,0,4,6
2014,5,12,5,18
2014,6,10,6,28
2014,7,9,7,37
2014,8,13,8,50
2014,9,13,9,63
2014,10,3,10,66
2014,11,6,11,72
2014,12,11,12,83
2014,13,15,13,98
2014,14,7,14,105
2014,15,9,15,114
2014,16,4,16,118
2014,17,7,17,125
2014,18,8,18,133
2014,19,5,19,138
2014,20,9,20,147
2014,21,12,21,159
2014,22,13,22,172
2014,23,9,23,181
2014,24,9,24,190
2014,25,13,25,203
2014,26,6,26,209
2014,27,2,27,211
2014,28,0,28,211
2014,29,8,29,219
2014,30,11,30,230
2014,31,6,31,236
2014,32,7,32,243
2014,33,16,33,259
2014,34,16,34,275
2014,35,6,35,281
2014,36,7,36,288
2014,37,18,37,306
2014,38,11,38,317
2014,39,13,39,330
2014,40,0,40,330
2014,41,7,41,337
2014,42,10,42,347
2014,43,6,43,353
2014,44,8,44,361
2014,45,9,45,370
2014,46,0,46,370
2014,47,5,47,375
2014,48,7,48,382
2014,49,6,49,388
2014,50,7,50,395
2014,51,17,51,412
2014,52,0,52,412
2014,53,5,53,417
2014,53,5,53,422
2015,1,16,54,438
2015,2,7,55,445
2015,3,9,56,454
2015,4,8,57,462
2015,5,6,58,468
2015,6,8,59,476
2015,7,11,60,487
2015,8,13,61,500
2015,9,4,62,504
2015,10,5,63,509
2015,11,12,64,521
2015,12,10,65,531
2015,13,13,66,544
2015,14,13,67,557
2015,15,14,68,571
2015,16,6,69,577
2015,17,10,70,587
2015,18,10,71,597
2015,19,9,72,606
2015,20,12,73,618
2015,21,4,74,622
2015,22,12,75,634
2015,23,8,76,642
2015,24,6,77,648
2015,25,7,78,655
2015,26,4,79,659
2015,27,11,80,670
2015,28,10,81,680
2015,29,11,82,691
2015,30,13,83,704
2015,31,19,84,723
2015,32,2,85,725
2015,33,9,86,734
2015,34,12,87,746
2015,35,15,88,761
2015,36,12,89,773
2015,37,6,90,779
2015,38,7,91,786
2015,39,7,92,793
2015,40,14,93,807
2015,41,10,94,817
2015,42,17,95,834
2015,43,8,96,842
2015,44,9,97,851
2015,45,10,98,861
2015,46,10,99,871
2015,47,1,100,872
2015,48,10,101,882
2015,49,8,102,890
2015,50,12,103,902
2015,51,3,104,905
2015,52,0,105,905
2016,1,13,106,918
2016,2,24,107,942
2016,3,16,108,958
2016,4,16,109,974
2016,5,12,110,986
2016,6,10,111,996
2016,7,5,112,1001
2016,8,13,113,1014
2016,9,12,114,1026
2016,10,11,115,1037
2016,11,8,116,1045
2016,12,6,117,1051
2016,13,0,118,1051
2016,14,0,119,1051
2016,15,9,120,1060
2016,16,4,121,1064
2016,17,9,122,1073
2016,18,8,123,1081
2016,19,14,124,1095
2016,20,8,125,1103
2016,21,7,126,1110
2016,22,10,127,1120
2016,23,11,128,1131
2016,24,11,129,1142
2016,25,15,130,1157
2016,26,0,131,1157
2016,27,7,132,1164
2016,28,19,133,1183
2016,29,12,134,1195
2016,30,15,135,1210
2016,31,14,136,1224
2016,32,16,137,1240
2016,33,21,138,1261
2016,34,10,139,1271
2016,35,29,140,1300
2016,36,18,141,1318
2016,37,16,142,1334
2016,38,15,143,1349
2016,39,0,144,1349
2016,40,12,145,1361
2016,41,14,146,1375
2016,42,21,147,1396
2016,43,16,148,1412
2016,44,19,149,1431
2016,45,6,150,1437
2016,46,17,151,1454
2016,47,1,152,1455
2016,48,17,153,1472
2016,49,20,154,1492
2016,50,12,155,1504
2016,51,0,156,1504
2016,52,0,157,1504
2017,1,0,158,1504
2017,2,14,159,1518
2017,3,13,160,1531
2017,4,13,161,1544
2017,5,19,162,1563
2017,6,16,163,1579
2017,7,20,164,1599
2017,8,21,165,1620
2017,9,13,166,1633
2017,10,11,167,1644
2017,11,27,168,1671
2017,12,24,169,1695
2017,13,20,170,1715
2017,14,18,171,1733
2017,15,17,172,1750
