Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,3,2,3
2014,3,0,3,3
2014,4,11,4,14
2014,5,8,5,22
2014,6,5,6,27
2014,7,0,7,27
2014,8,0,8,27
2014,9,3,9,30
2014,10,0,10,30
2014,11,21,11,51
2014,12,0,12,51
2014,13,0,13,51
2014,14,21,14,72
2014,15,0,15,72
2014,16,0,16,72
2014,17,11,17,83
2014,18,0,18,83
2014,19,0,19,83
2014,20,0,20,83
2014,21,7,21,90
2014,22,19,22,109
2014,23,13,23,122
2014,24,10,24,132
2014,25,0,25,132
2014,26,12,26,144
2014,27,14,27,158
2014,28,0,28,158
2014,29,15,29,173
2014,30,10,30,183
2014,31,18,31,201
2014,32,4,32,205
2014,33,18,33,223
2014,34,25,34,248
2014,35,0,35,248
2014,36,0,36,248
2014,37,30,37,278
2014,38,20,38,298
2014,39,20,39,318
2014,40,8,40,326
2014,41,25,41,351
2014,42,21,42,372
2014,43,14,43,386
2014,44,13,44,399
2014,45,11,45,410
2014,46,6,46,416
2014,47,12,47,428
2014,48,1,48,429
2014,49,28,49,457
2014,50,15,50,472
2014,51,18,51,490
2014,52,3,52,493
2014,53,0,53,493
2014,53,0,53,493
2015,1,48,54,541
2015,2,11,55,552
2015,3,12,56,564
2015,4,14,57,578
2015,5,5,58,583
2015,6,17,59,600
2015,7,16,60,616
2015,8,7,61,623
2015,9,21,62,644
2015,10,12,63,656
2015,11,12,64,668
2015,12,11,65,679
2015,13,10,66,689
2015,14,15,67,704
2015,15,10,68,714
2015,16,22,69,736
2015,17,17,70,753
2015,18,11,71,764
2015,19,18,72,782
2015,20,19,73,801
2015,21,8,74,809
2015,22,13,75,822
2015,23,21,76,843
2015,24,9,77,852
2015,25,15,78,867
2015,26,10,79,877
2015,27,19,80,896
2015,28,20,81,916
2015,29,14,82,930
2015,30,11,83,941
2015,31,5,84,946
2015,32,1,85,947
2015,33,14,86,961
2015,34,17,87,978
2015,35,8,88,986
2015,36,7,89,993
2015,37,10,90,1003
2015,38,8,91,1011
2015,39,6,92,1017
2015,40,11,93,1028
2015,41,13,94,1041
2015,42,11,95,1052
2015,43,13,96,1065
2015,44,6,97,1071
2015,45,4,98,1075
2015,46,8,99,1083
2015,47,6,100,1089
2015,48,7,101,1096
2015,49,8,102,1104
2015,50,7,103,1111
2015,51,3,104,1114
2015,52,7,105,1121
2016,1,13,106,1134
2016,2,5,107,1139
2016,3,6,108,1145
2016,4,0,109,1145
2016,5,12,110,1157
2016,6,9,111,1166
2016,7,16,112,1182
2016,8,15,113,1197
2016,9,7,114,1204
2016,10,8,115,1212
2016,11,5,116,1217
2016,12,4,117,1221
2016,13,7,118,1228
2016,14,9,119,1237
2016,15,3,120,1240
2016,16,9,121,1249
2016,17,9,122,1258
2016,18,0,123,1258
2016,19,17,124,1275
2016,20,5,125,1280
2016,21,18,126,1298
2016,22,17,127,1315
2016,23,11,128,1326
2016,24,2,129,1328
2016,25,0,130,1328
2016,26,16,131,1344
2016,27,2,132,1346
2016,28,5,133,1351
2016,29,16,134,1367
2016,30,37,135,1404
2016,31,23,136,1427
2016,32,15,137,1442
2016,33,0,138,1442
2016,34,2,139,1444
2016,35,2,140,1446
2016,36,23,141,1469
2016,37,0,142,1469
2016,38,28,143,1497
2016,39,26,144,1523
2016,40,27,145,1550
2016,41,17,146,1567
2016,42,25,147,1592
2016,43,26,148,1618
2016,44,30,149,1648
2016,45,19,150,1667
2016,46,0,151,1667
2016,47,6,152,1673
2016,48,24,153,1697
2016,49,23,154,1720
2016,50,15,155,1735
2016,51,18,156,1753
2016,52,20,157,1773
2017,1,18,158,1791
2017,2,8,159,1799
2017,3,12,160,1811
2017,4,45,161,1856
2017,5,35,162,1891
2017,6,25,163,1916
2017,7,21,164,1937
2017,8,36,165,1973
2017,9,11,166,1984
2017,10,20,167,2004
2017,11,27,168,2031
2017,12,4,169,2035
2017,13,32,170,2067
2017,14,31,171,2098
2017,15,19,172,2117
