Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,8,1,8
2014,2,22,2,30
2014,3,0,3,30
2014,4,12,4,42
2014,5,11,5,53
2014,6,8,6,61
2014,7,9,7,70
2014,8,8,8,78
2014,9,4,9,82
2014,10,0,10,82
2014,11,0,11,82
2014,12,0,12,82
2014,13,0,13,82
2014,14,0,14,82
2014,15,0,15,82
2014,16,0,16,82
2014,17,0,17,82
2014,18,0,18,82
2014,19,0,19,82
2014,20,15,20,97
2014,21,13,21,110
2014,22,8,22,118
2014,23,10,23,128
2014,24,14,24,142
2014,25,7,25,149
2014,26,14,26,163
2014,27,10,27,173
2014,28,15,28,188
2014,29,22,29,210
2014,30,14,30,224
2014,31,15,31,239
2014,32,4,32,243
2014,33,25,33,268
2014,34,17,34,285
2014,35,12,35,297
2014,36,10,36,307
2014,37,15,37,322
2014,38,19,38,341
2014,39,11,39,352
2014,40,22,40,374
2014,41,21,41,395
2014,42,17,42,412
2014,43,17,43,429
2014,44,15,44,444
2014,45,16,45,460
2014,46,16,46,476
2014,47,12,47,488
2014,48,3,48,491
2014,49,13,49,504
2014,50,13,50,517
2014,51,6,51,523
2014,52,6,52,529
2014,53,17,53,546
2014,53,17,53,563
2015,1,14,54,577
2015,2,19,55,596
2015,3,18,56,614
2015,4,24,57,638
2015,5,30,58,668
2015,6,31,59,699
2015,7,15,60,714
2015,8,9,61,723
2015,9,22,62,745
2015,10,15,63,760
2015,11,9,64,769
2015,12,17,65,786
2015,13,7,66,793
2015,14,17,67,810
2015,15,17,68,827
2015,16,16,69,843
2015,17,15,70,858
2015,18,20,71,878
2015,19,17,72,895
2015,20,17,73,912
2015,21,15,74,927
2015,22,11,75,938
2015,23,0,76,938
2015,24,11,77,949
2015,25,18,78,967
2015,26,4,79,971
2015,27,18,80,989
2015,28,18,81,1007
2015,29,16,82,1023
2015,30,13,83,1036
2015,31,23,84,1059
2015,32,19,85,1078
2015,33,20,86,1098
2015,34,26,87,1124
2015,35,21,88,1145
2015,36,10,89,1155
2015,37,22,90,1177
2015,38,25,91,1202
2015,39,23,92,1225
2015,40,31,93,1256
2015,41,8,94,1264
2015,42,22,95,1286
2015,43,27,96,1313
2015,44,29,97,1342
2015,45,10,98,1352
2015,46,25,99,1377
2015,47,7,100,1384
2015,48,15,101,1399
2015,49,10,102,1409
2015,50,23,103,1432
2015,51,15,104,1447
2015,52,20,105,1467
2016,1,0,106,1467
2016,2,22,107,1489
2016,3,19,108,1508
2016,4,15,109,1523
2016,5,21,110,1544
2016,6,22,111,1566
2016,7,14,112,1580
2016,8,22,113,1602
2016,9,15,114,1617
2016,10,25,115,1642
2016,11,15,116,1657
2016,12,15,117,1672
2016,13,26,118,1698
2016,14,0,119,1698
2016,15,0,120,1698
2016,16,15,121,1713
2016,17,17,122,1730
2016,18,23,123,1753
2016,19,32,124,1785
2016,20,16,125,1801
2016,21,22,126,1823
2016,22,21,127,1844
2016,23,30,128,1874
2016,24,25,129,1899
2016,25,29,130,1928
2016,26,24,131,1952
2016,27,10,132,1962
2016,28,23,133,1985
2016,29,19,134,2004
2016,30,17,135,2021
2016,31,0,136,2021
2016,32,31,137,2052
2016,33,17,138,2069
2016,34,24,139,2093
2016,35,14,140,2107
2016,36,15,141,2122
2016,37,20,142,2142
2016,38,18,143,2160
2016,39,24,144,2184
2016,40,24,145,2208
2016,41,13,146,2221
2016,42,15,147,2236
2016,43,20,148,2256
2016,44,24,149,2280
2016,45,9,150,2289
2016,46,23,151,2312
2016,47,8,152,2320
2016,48,31,153,2351
2016,49,21,154,2372
2016,50,13,155,2385
2016,51,0,156,2385
2016,52,0,157,2385
2017,1,16,158,2401
2017,2,21,159,2422
2017,3,18,160,2440
2017,4,24,161,2464
2017,5,31,162,2495
2017,6,23,163,2518
2017,7,27,164,2545
2017,8,12,165,2557
2017,9,25,166,2582
2017,10,23,167,2605
2017,11,27,168,2632
2017,12,19,169,2651
2017,13,33,170,2684
2017,14,23,171,2707
2017,15,19,172,2726
