Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,280,1,280
2014,2,0,2,280
2014,3,136,3,416
2014,4,0,4,416
2014,5,114,5,530
2014,6,0,6,530
2014,7,46,7,576
2014,8,161,8,737
2014,9,140,9,877
2014,10,164,10,1041
2014,11,157,11,1198
2014,12,131,12,1329
2014,13,0,13,1329
2014,14,0,14,1329
2014,15,118,15,1447
2014,16,146,16,1593
2014,17,152,17,1745
2014,18,128,18,1873
2014,19,0,19,1873
2014,20,175,20,2048
2014,21,0,21,2048
2014,22,185,22,2233
2014,23,151,23,2384
2014,24,176,24,2560
2014,25,166,25,2726
2014,26,148,26,2874
2014,27,167,27,3041
2014,28,189,28,3230
2014,29,146,29,3376
2014,30,0,30,3376
2014,31,231,31,3607
2014,32,174,32,3781
2014,33,169,33,3950
2014,34,158,34,4108
2014,35,186,35,4294
2014,36,152,36,4446
2014,37,152,37,4598
2014,38,230,38,4828
2014,39,0,39,4828
2014,40,155,40,4983
2014,41,117,41,5100
2014,42,0,42,5100
2014,43,0,43,5100
2014,44,200,44,5300
2014,45,0,45,5300
2014,46,145,46,5445
2014,47,116,47,5561
2014,48,87,48,5648
2014,49,212,49,5860
2014,50,173,50,6033
2014,51,176,51,6209
2014,52,40,52,6249
2014,53,184,53,6433
2014,53,184,53,6617
2015,1,128,54,6745
2015,2,169,55,6914
2015,3,150,56,7064
2015,4,0,57,7064
2015,5,122,58,7186
2015,6,182,59,7368
2015,7,130,60,7498
2015,8,145,61,7643
2015,9,114,62,7757
2015,10,223,63,7980
2015,11,114,64,8094
2015,12,137,65,8231
2015,13,150,66,8381
2015,14,133,67,8514
2015,15,167,68,8681
2015,16,145,69,8826
2015,17,101,70,8927
2015,18,164,71,9091
2015,19,164,72,9255
2015,20,139,73,9394
2015,21,203,74,9597
2015,22,149,75,9746
2015,23,163,76,9909
2015,24,121,77,10030
2015,25,164,78,10194
2015,26,148,79,10342
2015,27,163,80,10505
2015,28,137,81,10642
2015,29,142,82,10784
2015,30,132,83,10916
2015,31,166,84,11082
2015,32,186,85,11268
2015,33,156,86,11424
2015,34,154,87,11578
2015,35,181,88,11759
2015,36,141,89,11900
2015,37,178,90,12078
2015,38,172,91,12250
2015,39,159,92,12409
2015,40,81,93,12490
2015,41,133,94,12623
2015,42,145,95,12768
2015,43,203,96,12971
2015,44,114,97,13085
2015,45,180,98,13265
2015,46,227,99,13492
2015,47,58,100,13550
2015,48,271,101,13821
2015,49,167,102,13988
2015,50,225,103,14213
2015,51,161,104,14374
2015,52,109,105,14483
2016,1,168,106,14651
2016,2,208,107,14859
2016,3,156,108,15015
2016,4,227,109,15242
2016,5,197,110,15439
2016,6,188,111,15627
2016,7,171,112,15798
2016,8,150,113,15948
2016,9,171,114,16119
2016,10,185,115,16304
2016,11,180,116,16484
2016,12,166,117,16650
2016,13,205,118,16855
2016,14,161,119,17016
2016,15,197,120,17213
2016,16,192,121,17405
2016,17,141,122,17546
2016,18,141,123,17687
2016,19,181,124,17868
2016,20,199,125,18067
2016,21,0,126,18067
2016,22,116,127,18183
2016,23,162,128,18345
2016,24,175,129,18520
2016,25,165,130,18685
2016,26,152,131,18837
2016,27,187,132,19024
2016,28,171,133,19195
2016,29,202,134,19397
2016,30,211,135,19608
2016,31,1,136,19609
2016,32,233,137,19842
2016,33,180,138,20022
2016,34,193,139,20215
2016,35,140,140,20355
2016,36,153,141,20508
2016,37,154,142,20662
2016,38,169,143,20831
2016,39,267,144,21098
2016,40,56,145,21154
2016,41,235,146,21389
2016,42,143,147,21532
2016,43,204,148,21736
2016,44,210,149,21946
2016,45,143,150,22089
2016,46,0,151,22089
2016,47,46,152,22135
2016,48,224,153,22359
2016,49,279,154,22638
2016,50,234,155,22872
2016,51,0,156,22872
2016,52,121,157,22993
2017,1,223,158,23216
2017,2,218,159,23434
2017,3,179,160,23613
2017,4,193,161,23806
2017,5,195,162,24001
2017,6,167,163,24168
2017,7,131,164,24299
2017,8,188,165,24487
2017,9,179,166,24666
2017,10,160,167,24826
2017,11,202,168,25028
2017,12,170,169,25198
2017,13,228,170,25426
2017,14,191,171,25617
2017,15,167,172,25784
