Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,32,1,32
2014,2,48,2,80
2014,3,40,3,120
2014,4,60,4,180
2014,5,60,5,240
2014,6,65,6,305
2014,7,57,7,362
2014,8,41,8,403
2014,9,32,9,435
2014,10,20,10,455
2014,11,28,11,483
2014,12,41,12,524
2014,13,68,13,592
2014,14,42,14,634
2014,15,63,15,697
2014,16,36,16,733
2014,17,72,17,805
2014,18,52,18,857
2014,19,34,19,891
2014,20,38,20,929
2014,21,32,21,961
2014,22,23,22,984
2014,23,58,23,1042
2014,24,33,24,1075
2014,25,53,25,1128
2014,26,42,26,1170
2014,27,32,27,1202
2014,28,26,28,1228
2014,29,51,29,1279
2014,30,50,30,1329
2014,31,48,31,1377
2014,32,42,32,1419
2014,33,36,33,1455
2014,34,73,34,1528
2014,35,46,35,1574
2014,36,35,36,1609
2014,37,57,37,1666
2014,38,60,38,1726
2014,39,76,39,1802
2014,40,62,40,1864
2014,41,37,41,1901
2014,42,37,42,1938
2014,43,72,43,2010
2014,44,58,44,2068
2014,45,35,45,2103
2014,46,49,46,2152
2014,47,45,47,2197
2014,48,19,48,2216
2014,49,76,49,2292
2014,50,47,50,2339
2014,51,57,51,2396
2014,52,16,52,2412
2014,53,50,53,2462
2014,53,50,53,2512
2015,1,70,54,2582
2015,2,97,55,2679
2015,3,24,56,2703
2015,4,81,57,2784
2015,5,48,58,2832
2015,6,45,59,2877
2015,7,19,60,2896
2015,8,60,61,2956
2015,9,44,62,3000
2015,10,32,63,3032
2015,11,33,64,3065
2015,12,77,65,3142
2015,13,44,66,3186
2015,14,40,67,3226
2015,15,37,68,3263
2015,16,35,69,3298
2015,17,39,70,3337
2015,18,33,71,3370
2015,19,41,72,3411
2015,20,41,73,3452
2015,21,29,74,3481
2015,22,25,75,3506
2015,23,41,76,3547
2015,24,44,77,3591
2015,25,50,78,3641
2015,26,35,79,3676
2015,27,48,80,3724
2015,28,50,81,3774
2015,29,68,82,3842
2015,30,70,83,3912
2015,31,80,84,3992
2015,32,78,85,4070
2015,33,87,86,4157
2015,34,55,87,4212
2015,35,59,88,4271
2015,36,41,89,4312
2015,37,57,90,4369
2015,38,51,91,4420
2015,39,96,92,4516
2015,40,48,93,4564
2015,41,61,94,4625
2015,42,60,95,4685
2015,43,99,96,4784
2015,44,65,97,4849
2015,45,50,98,4899
2015,46,61,99,4960
2015,47,29,100,4989
2015,48,56,101,5045
2015,49,78,102,5123
2015,50,54,103,5177
2015,51,20,104,5197
2015,52,49,105,5246
2016,1,52,106,5298
2016,2,88,107,5386
2016,3,28,108,5414
2016,4,85,109,5499
2016,5,84,110,5583
2016,6,54,111,5637
2016,7,54,112,5691
2016,8,49,113,5740
2016,9,38,114,5778
2016,10,59,115,5837
2016,11,44,116,5881
2016,12,37,117,5918
2016,13,0,118,5918
2016,14,66,119,5984
2016,15,0,120,5984
2016,16,49,121,6033
2016,17,68,122,6101
2016,18,14,123,6115
2016,19,0,124,6115
2016,20,47,125,6162
2016,21,0,126,6162
2016,22,0,127,6162
2016,23,17,128,6179
2016,24,0,129,6179
2016,25,29,130,6208
2016,26,54,131,6262
2016,27,26,132,6288
2016,28,41,133,6329
2016,29,40,134,6369
2016,30,49,135,6418
2016,31,74,136,6492
2016,32,51,137,6543
2016,33,65,138,6608
2016,34,105,139,6713
2016,35,81,140,6794
2016,36,82,141,6876
2016,37,94,142,6970
2016,38,62,143,7032
2016,39,90,144,7122
2016,40,61,145,7183
2016,41,75,146,7258
2016,42,71,147,7329
2016,43,61,148,7390
2016,44,85,149,7475
2016,45,52,150,7527
2016,46,68,151,7595
2016,47,30,152,7625
2016,48,43,153,7668
2016,49,0,154,7668
2016,50,0,155,7668
2016,51,20,156,7688
2016,52,0,157,7688
2017,1,0,158,7688
2017,2,48,159,7736
2017,3,37,160,7773
2017,4,100,161,7873
2017,5,80,162,7953
2017,6,61,163,8014
2017,7,91,164,8105
2017,8,61,165,8166
2017,9,68,166,8234
2017,10,76,167,8310
2017,11,66,168,8376
2017,12,0,169,8376
2017,13,49,170,8425
2017,14,76,171,8501
2017,15,79,172,8580
