Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,2,1,2
2014,2,2,2,4
2014,3,1,3,5
2014,4,11,4,16
2014,5,5,5,21
2014,6,8,6,29
2014,7,8,7,37
2014,8,1,8,38
2014,9,1,9,39
2014,10,7,10,46
2014,11,2,11,48
2014,12,2,12,50
2014,13,7,13,57
2014,14,1,14,58
2014,15,10,15,68
2014,16,6,16,74
2014,17,7,17,81
2014,18,5,18,86
2014,19,2,19,88
2014,20,1,20,89
2014,21,2,21,91
2014,22,1,22,92
2014,23,4,23,96
2014,24,0,24,96
2014,25,1,25,97
2014,26,2,26,99
2014,27,4,27,103
2014,28,3,28,106
2014,29,1,29,107
2014,30,4,30,111
2014,31,3,31,114
2014,32,0,32,114
2014,33,4,33,118
2014,34,2,34,120
2014,35,4,35,124
2014,36,0,36,124
2014,37,2,37,126
2014,38,2,38,128
2014,39,0,39,128
2014,40,2,40,130
2014,41,3,41,133
2014,42,3,42,136
2014,43,1,43,137
2014,44,1,44,138
2014,45,1,45,139
2014,46,3,46,142
2014,47,2,47,144
2014,48,2,48,146
2014,49,1,49,147
2014,50,0,50,147
2014,51,2,51,149
2014,52,2,52,151
2014,53,1,53,152
2015,1,3,54,155
2015,2,5,55,160
2015,3,7,56,167
2015,4,2,57,169
2015,5,10,58,179
2015,6,7,59,186
2015,7,5,60,191
2015,8,85,61,276
2015,9,9,62,285
2015,10,9,63,294
2015,11,8,64,302
2015,12,10,65,312
2015,13,8,66,320
2015,14,3,67,323
2015,15,5,68,328
2015,16,5,69,333
2015,17,6,70,339
2015,18,3,71,342
2015,19,7,72,349
2015,20,7,73,356
2015,21,4,74,360
2015,22,3,75,363
2015,23,5,76,368
2015,24,5,77,373
2015,25,5,78,378
2015,26,2,79,380
2015,27,4,80,384
2015,28,4,81,388
2015,29,4,82,392
2015,30,2,83,394
2015,31,0,84,394
2015,32,6,85,400
2015,33,1,86,401
2015,34,9,87,410
2015,35,3,88,413
2015,36,5,89,418
2015,37,5,90,423
2015,38,8,91,431
2015,39,7,92,438
2015,40,7,93,445
2015,41,3,94,448
2015,42,6,95,454
2015,43,10,96,464
2015,44,6,97,470
2015,45,5,98,475
2015,46,10,99,485
2015,47,8,100,493
2015,48,5,101,498
2015,49,4,102,502
2015,50,6,103,508
2015,51,7,104,515
2015,52,6,105,521
2016,1,5,106,526
2016,2,7,107,533
2016,3,4,108,537
2016,4,4,109,541
2016,5,6,110,547
2016,6,6,111,553
2016,7,4,112,557
2016,8,5,113,562
2016,9,6,114,568
2016,10,5,115,573
2016,11,4,116,577
2016,12,3,117,580
2016,13,8,118,588
2016,14,4,119,592
2016,15,4,120,596
2016,16,4,121,600
2016,17,3,122,603
2016,18,1,123,604
2016,19,4,124,608
2016,20,4,125,612
2016,21,5,126,617
2016,22,3,127,620
2016,23,4,128,624
2016,24,1,129,625
2016,25,6,130,631
2016,26,4,131,635
2016,27,0,132,635
2016,28,4,133,639
2016,29,3,134,642
2016,30,3,135,645
2016,31,0,136,645
2016,32,4,137,649
2016,33,2,138,651
2016,34,2,139,653
2016,35,1,140,654
2016,36,6,141,660
2016,37,1,142,661
2016,38,4,143,665
2016,39,2,144,667
2016,40,3,145,670
2016,41,2,146,672
2016,42,0,147,672
2016,43,2,148,674
2016,44,1,149,675
2016,45,2,150,677
2016,46,8,151,685
2016,47,0,152,685
2016,48,6,153,691
2016,49,2,154,693
2016,50,3,155,696
2016,51,0,156,696
2016,52,0,157,696
2017,1,2,158,698
2017,2,3,159,701
2017,3,1,160,702
2017,4,3,161,705
2017,5,2,162,707
2017,6,0,163,707
2017,7,3,164,710
2017,8,2,165,712
2017,9,2,166,714
2017,10,4,167,718
2017,11,0,168,718
2017,12,1,169,719
2017,13,2,170,721
2017,14,6,171,727
2017,15,0,172,727
