Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,3,2,3
2014,3,0,3,3
2014,4,3,4,6
2014,5,3,5,9
2014,6,10,6,19
2014,7,3,7,22
2014,8,4,8,26
2014,9,2,9,28
2014,10,0,10,28
2014,11,0,11,28
2014,12,0,12,28
2014,13,5,13,33
2014,14,0,14,33
2014,15,2,15,35
2014,16,3,16,38
2014,17,1,17,39
2014,18,3,18,42
2014,19,1,19,43
2014,20,0,20,43
2014,21,0,21,43
2014,22,3,22,46
2014,23,3,23,49
2014,24,0,24,49
2014,25,2,25,51
2014,26,2,26,53
2014,27,0,27,53
2014,28,3,28,56
2014,29,3,29,59
2014,30,2,30,61
2014,31,0,31,61
2014,32,0,32,61
2014,33,2,33,63
2014,34,1,34,64
2014,35,1,35,65
2014,36,0,36,65
2014,37,0,37,65
2014,38,2,38,67
2014,39,0,39,67
2014,40,1,40,68
2014,41,1,41,69
2014,42,1,42,70
2014,43,1,43,71
2014,44,2,44,73
2014,45,3,45,76
2014,46,1,46,77
2014,47,1,47,78
2014,48,0,48,78
2014,49,0,49,78
2014,50,0,50,78
2014,51,1,51,79
2014,52,0,52,79
2014,53,0,53,79
2015,1,0,54,79
2015,2,1,55,80
2015,3,1,56,81
2015,4,2,57,83
2015,5,2,58,85
2015,6,0,59,85
2015,7,3,60,88
2015,8,1,61,89
2015,9,0,62,89
2015,10,2,63,91
2015,11,3,64,94
2015,12,2,65,96
2015,13,2,66,98
2015,14,0,67,98
2015,15,2,68,100
2015,16,1,69,101
2015,17,2,70,103
2015,18,2,71,105
2015,19,3,72,108
2015,20,1,73,109
2015,21,1,74,110
2015,22,1,75,111
2015,23,0,76,111
2015,24,1,77,112
2015,25,1,78,113
2015,26,0,79,113
2015,27,2,80,115
2015,28,1,81,116
2015,29,2,82,118
2015,30,1,83,119
2015,31,3,84,122
2015,32,1,85,123
2015,33,1,86,124
2015,34,3,87,127
2015,35,0,88,127
2015,36,2,89,129
2015,37,3,90,132
2015,38,3,91,135
2015,39,1,92,136
2015,40,2,93,138
2015,41,0,94,138
2015,42,1,95,139
2015,43,1,96,140
2015,44,1,97,141
2015,45,0,98,141
2015,46,0,99,141
2015,47,1,100,142
2015,48,2,101,144
2015,49,1,102,145
2015,50,0,103,145
2015,51,1,104,146
2015,52,4,105,150
2016,1,1,106,151
2016,2,0,107,151
2016,3,1,108,152
2016,4,0,109,152
2016,5,0,110,152
2016,6,0,111,152
2016,7,0,112,152
2016,8,0,113,152
2016,9,0,114,152
2016,10,0,115,152
2016,11,0,116,152
2016,12,1,117,153
2016,13,6,118,159
2016,14,1,119,160
2016,15,1,120,161
2016,16,0,121,161
2016,17,0,122,161
2016,18,0,123,161
2016,19,2,124,163
2016,20,0,125,163
2016,21,1,126,164
2016,22,0,127,164
2016,23,0,128,164
2016,24,0,129,164
2016,25,3,130,167
2016,26,1,131,168
2016,27,0,132,168
2016,28,0,133,168
2016,29,0,134,168
2016,30,2,135,170
2016,31,1,136,171
2016,32,1,137,172
2016,33,0,138,172
2016,34,0,139,172
2016,35,1,140,173
2016,36,2,141,175
2016,37,4,142,179
2016,38,2,143,181
2016,39,3,144,184
2016,40,3,145,187
2016,41,1,146,188
2016,42,0,147,188
2016,43,1,148,189
2016,44,1,149,190
2016,45,0,150,190
2016,46,2,151,192
2016,47,2,152,194
2016,48,0,153,194
2016,49,2,154,196
2016,50,3,155,199
2016,51,0,156,199
2016,52,0,157,199
2017,1,0,158,199
2017,2,0,159,199
2017,3,0,160,199
2017,4,2,161,201
2017,5,2,162,203
2017,6,0,163,203
2017,7,1,164,204
2017,8,3,165,207
2017,9,2,166,209
2017,10,0,167,209
2017,11,0,168,209
2017,12,0,169,209
2017,13,1,170,210
2017,14,1,171,211
2017,15,2,172,213
