Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,17,1,17
2014,2,31,2,48
2014,3,27,3,75
2014,4,27,4,102
2014,5,14,5,116
2014,6,23,6,139
2014,7,23,7,162
2014,8,17,8,179
2014,9,23,9,202
2014,10,20,10,222
2014,11,29,11,251
2014,12,21,12,272
2014,13,24,13,296
2014,14,18,14,314
2014,15,24,15,338
2014,16,20,16,358
2014,17,31,17,389
2014,18,28,18,417
2014,19,27,19,444
2014,20,28,20,472
2014,21,20,21,492
2014,22,20,22,512
2014,23,11,23,523
2014,24,0,24,523
2014,25,18,25,541
2014,26,9,26,550
2014,27,10,27,560
2014,28,7,28,567
2014,29,8,29,575
2014,30,9,30,584
2014,31,8,31,592
2014,32,12,32,604
2014,33,5,33,609
2014,34,9,34,618
2014,35,5,35,623
2014,36,6,36,629
2014,37,4,37,633
2014,38,8,38,641
2014,39,11,39,652
2014,40,10,40,662
2014,41,11,41,673
2014,42,6,42,679
2014,43,15,43,694
2014,44,10,44,704
2014,45,12,45,716
2014,46,26,46,742
2014,47,22,47,764
2014,48,17,48,781
2014,49,27,49,808
2014,50,0,50,808
2014,51,21,51,829
2014,52,16,52,845
2014,53,42,53,887
2015,1,54,54,941
2015,2,33,55,974
2015,3,19,56,993
2015,4,23,57,1016
2015,5,19,58,1035
2015,6,18,59,1053
2015,7,18,60,1071
2015,8,29,61,1100
2015,9,18,62,1118
2015,10,29,63,1147
2015,11,16,64,1163
2015,12,20,65,1183
2015,13,28,66,1211
2015,14,22,67,1233
2015,15,27,68,1260
2015,16,39,69,1299
2015,17,32,70,1331
2015,18,22,71,1353
2015,19,22,72,1375
2015,20,23,73,1398
2015,21,22,74,1420
2015,22,20,75,1440
2015,23,13,76,1453
2015,24,11,77,1464
2015,25,11,78,1475
2015,26,7,79,1482
2015,27,9,80,1491
2015,28,13,81,1504
2015,29,15,82,1519
2015,30,9,83,1528
2015,31,7,84,1535
2015,32,7,85,1542
2015,33,4,86,1546
2015,34,7,87,1553
2015,35,12,88,1565
2015,36,14,89,1579
2015,37,7,90,1586
2015,38,23,91,1609
2015,39,12,92,1621
2015,40,11,93,1632
2015,41,9,94,1641
2015,42,11,95,1652
2015,43,18,96,1670
2015,44,14,97,1684
2015,45,19,98,1703
2015,46,19,99,1722
2015,47,20,100,1742
2015,48,27,101,1769
2015,49,27,102,1796
2015,50,19,103,1815
2015,51,22,104,1837
2015,52,35,105,1872
2016,1,41,106,1913
2016,2,23,107,1936
2016,3,34,108,1970
2016,4,25,109,1995
2016,5,33,110,2028
2016,6,26,111,2054
2016,7,20,112,2074
2016,8,30,113,2104
2016,9,28,114,2132
2016,10,35,115,2167
2016,11,24,116,2191
2016,12,33,117,2224
2016,13,30,118,2254
2016,14,27,119,2281
2016,15,25,120,2306
2016,16,22,121,2328
2016,17,30,122,2358
2016,18,25,123,2383
2016,19,23,124,2406
2016,20,18,125,2424
2016,21,19,126,2443
2016,22,25,127,2468
2016,23,14,128,2482
2016,24,15,129,2497
2016,25,8,130,2505
2016,26,14,131,2519
2016,27,10,132,2529
2016,28,8,133,2537
2016,29,7,134,2544
2016,30,8,135,2552
2016,31,6,136,2558
2016,32,5,137,2563
2016,33,5,138,2568
2016,34,4,139,2572
2016,35,5,140,2577
2016,36,11,141,2588
2016,37,13,142,2601
2016,38,13,143,2614
2016,39,12,144,2626
2016,40,11,145,2637
2016,41,8,146,2645
2016,42,13,147,2658
2016,43,17,148,2675
2016,44,12,149,2687
2016,45,13,150,2700
2016,46,35,151,2735
2016,47,11,152,2746
2016,48,20,153,2766
2016,49,32,154,2798
2016,50,14,155,2812
2016,51,0,156,2812
2016,52,0,157,2812
2017,1,43,158,2855
2017,2,54,159,2909
2017,3,17,160,2926
2017,4,33,161,2959
2017,5,24,162,2983
2017,6,0,163,2983
2017,7,16,164,2999
2017,8,33,165,3032
2017,9,31,166,3063
2017,10,25,167,3088
2017,11,0,168,3088
2017,12,28,169,3116
2017,13,31,170,3147
2017,14,27,171,3174
2017,15,36,172,3210
