Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,9,1,9
2014,2,16,2,25
2014,3,5,3,30
2014,4,18,4,48
2014,5,9,5,57
2014,6,9,6,66
2014,7,13,7,79
2014,8,4,8,83
2014,9,15,9,98
2014,10,11,10,109
2014,11,11,11,120
2014,12,13,12,133
2014,13,14,13,147
2014,14,17,14,164
2014,15,11,15,175
2014,16,7,16,182
2014,17,17,17,199
2014,18,10,18,209
2014,19,4,19,213
2014,20,8,20,221
2014,21,8,21,229
2014,22,2,22,231
2014,23,15,23,246
2014,24,1,24,247
2014,25,7,25,254
2014,26,8,26,262
2014,27,8,27,270
2014,28,8,28,278
2014,29,1,29,279
2014,30,9,30,288
2014,31,3,31,291
2014,32,5,32,296
2014,33,7,33,303
2014,34,6,34,309
2014,35,7,35,316
2014,36,5,36,321
2014,37,9,37,330
2014,38,3,38,333
2014,39,6,39,339
2014,40,5,40,344
2014,41,1,41,345
2014,42,3,42,348
2014,43,2,43,350
2014,44,5,44,355
2014,45,4,45,359
2014,46,3,46,362
2014,47,6,47,368
2014,48,7,48,375
2014,49,12,49,387
2014,50,16,50,403
2014,51,21,51,424
2014,52,7,52,431
2014,53,14,53,445
2015,1,37,54,482
2015,2,26,55,508
2015,3,12,56,520
2015,4,24,57,544
2015,5,10,58,554
2015,6,12,59,566
2015,7,6,60,572
2015,8,26,61,598
2015,9,9,62,607
2015,10,8,63,615
2015,11,12,64,627
2015,12,16,65,643
2015,13,16,66,659
2015,14,9,67,668
2015,15,10,68,678
2015,16,9,69,687
2015,17,15,70,702
2015,18,8,71,710
2015,19,8,72,718
2015,20,8,73,726
2015,21,13,74,739
2015,22,10,75,749
2015,23,8,76,757
2015,24,9,77,766
2015,25,5,78,771
2015,26,4,79,775
2015,27,5,80,780
2015,28,24,81,804
2015,29,8,82,812
2015,30,4,83,816
2015,31,1,84,817
2015,32,4,85,821
2015,33,2,86,823
2015,34,4,87,827
2015,35,5,88,832
2015,36,5,89,837
2015,37,2,90,839
2015,38,3,91,842
2015,39,2,92,844
2015,40,4,93,848
2015,41,9,94,857
2015,42,1,95,858
2015,43,12,96,870
2015,44,9,97,879
2015,45,16,98,895
2015,46,19,99,914
2015,47,7,100,921
2015,48,9,101,930
2015,49,9,102,939
2015,50,27,103,966
2015,51,10,104,976
2015,52,5,105,981
2016,1,25,106,1006
2016,2,10,107,1016
2016,3,10,108,1026
2016,4,17,109,1043
2016,5,16,110,1059
2016,6,15,111,1074
2016,7,14,112,1088
2016,8,9,113,1097
2016,9,15,114,1112
2016,10,12,115,1124
2016,11,8,116,1132
2016,12,17,117,1149
2016,13,19,118,1168
2016,14,17,119,1185
2016,15,18,120,1203
2016,16,12,121,1215
2016,17,10,122,1225
2016,18,8,123,1233
2016,19,12,124,1245
2016,20,15,125,1260
2016,21,9,126,1269
2016,22,11,127,1280
2016,23,3,128,1283
2016,24,5,129,1288
2016,25,5,130,1293
2016,26,11,131,1304
2016,27,5,132,1309
2016,28,6,133,1315
2016,29,3,134,1318
2016,30,5,135,1323
2016,31,8,136,1331
2016,32,9,137,1340
2016,33,1,138,1341
2016,34,6,139,1347
2016,35,8,140,1355
2016,36,6,141,1361
2016,37,5,142,1366
2016,38,4,143,1370
2016,39,9,144,1379
2016,40,0,145,1379
2016,41,4,146,1383
2016,42,7,147,1390
2016,43,10,148,1400
2016,44,8,149,1408
2016,45,2,150,1410
2016,46,19,151,1429
2016,47,13,152,1442
2016,48,18,153,1460
2016,49,25,154,1485
2016,50,23,155,1508
2016,51,11,156,1519
2016,52,9,157,1528
2017,1,18,158,1546
2017,2,23,159,1569
2017,3,12,160,1581
2017,4,17,161,1598
2017,5,11,162,1609
2017,6,11,163,1620
2017,7,16,164,1636
2017,8,21,165,1657
2017,9,18,166,1675
2017,10,19,167,1694
2017,11,5,168,1699
2017,12,13,169,1712
2017,13,23,170,1735
2017,14,17,171,1752
2017,15,19,172,1771
