Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,1,4,1
2014,5,2,5,3
2014,6,2,6,5
2014,7,4,7,9
2014,8,0,8,9
2014,9,0,9,9
2014,10,0,10,9
2014,11,2,11,11
2014,12,0,12,11
2014,13,1,13,12
2014,14,2,14,14
2014,15,2,15,16
2014,16,0,16,16
2014,17,2,17,18
2014,18,2,18,20
2014,19,0,19,20
2014,20,5,20,25
2014,21,4,21,29
2014,22,4,22,33
2014,23,1,23,34
2014,24,4,24,38
2014,25,6,25,44
2014,26,3,26,47
2014,27,8,27,55
2014,28,3,28,58
2014,29,1,29,59
2014,30,10,30,69
2014,31,4,31,73
2014,32,1,32,74
2014,33,0,33,74
2014,34,1,34,75
2014,35,2,35,77
2014,36,0,36,77
2014,37,2,37,79
2014,38,9,38,88
2014,39,4,39,92
2014,40,5,40,97
2014,41,2,41,99
2014,42,1,42,100
2014,43,1,43,101
2014,44,7,44,108
2014,45,2,45,110
2014,46,3,46,113
2014,47,0,47,113
2014,48,2,48,115
2014,49,4,49,119
2014,50,2,50,121
2014,51,0,51,121
2014,52,4,52,125
2014,53,1,53,126
2015,1,0,54,126
2015,2,0,55,126
2015,3,2,56,128
2015,4,1,57,129
2015,5,2,58,131
2015,6,3,59,134
2015,7,5,60,139
2015,8,1,61,140
2015,9,2,62,142
2015,10,2,63,144
2015,11,6,64,150
2015,12,4,65,154
2015,13,3,66,157
2015,14,3,67,160
2015,15,2,68,162
2015,16,1,69,163
2015,17,0,70,163
2015,18,1,71,164
2015,19,6,72,170
2015,20,2,73,172
2015,21,1,74,173
2015,22,7,75,180
2015,23,3,76,183
2015,24,0,77,183
2015,25,2,78,185
2015,26,0,79,185
2015,27,1,80,186
2015,28,5,81,191
2015,29,0,82,191
2015,30,5,83,196
2015,31,4,84,200
2015,32,5,85,205
2015,33,1,86,206
2015,34,2,87,208
2015,35,1,88,209
2015,36,0,89,209
2015,37,4,90,213
2015,38,4,91,217
2015,39,5,92,222
2015,40,2,93,224
2015,41,4,94,228
2015,42,2,95,230
2015,43,3,96,233
2015,44,5,97,238
2015,45,1,98,239
2015,46,0,99,239
2015,47,2,100,241
2015,48,11,101,252
2015,49,2,102,254
2015,50,0,103,254
2015,51,0,104,254
2015,52,0,105,254
2016,1,0,106,254
2016,2,1,107,255
2016,3,2,108,257
2016,4,0,109,257
2016,5,2,110,259
2016,6,0,111,259
2016,7,1,112,260
2016,8,0,113,260
2016,9,0,114,260
2016,10,1,115,261
2016,11,1,116,262
2016,12,0,117,262
2016,13,5,118,267
2016,14,1,119,268
2016,15,4,120,272
2016,16,1,121,273
2016,17,0,122,273
2016,18,2,123,275
2016,19,2,124,277
2016,20,5,125,282
2016,21,7,126,289
2016,22,4,127,293
2016,23,5,128,298
2016,24,3,129,301
2016,25,6,130,307
2016,26,5,131,312
2016,27,3,132,315
2016,28,12,133,327
2016,29,8,134,335
2016,30,4,135,339
2016,31,2,136,341
2016,32,2,137,343
2016,33,1,138,344
2016,34,4,139,348
2016,35,6,140,354
2016,36,3,141,357
2016,37,3,142,360
2016,38,3,143,363
2016,39,3,144,366
2016,40,1,145,367
2016,41,2,146,369
2016,42,3,147,372
2016,43,8,148,380
2016,44,0,149,380
2016,45,4,150,384
2016,46,5,151,389
2016,47,4,152,393
2016,48,11,153,404
2016,49,3,154,407
2016,50,5,155,412
2016,51,5,156,417
2016,52,2,157,419
2017,1,0,158,419
2017,2,3,159,422
2017,3,2,160,424
2017,4,1,161,425
2017,5,2,162,427
2017,6,2,163,429
2017,7,2,164,431
2017,8,2,165,433
2017,9,1,166,434
2017,10,1,167,435
2017,11,4,168,439
2017,12,1,169,440
2017,13,1,170,441
2017,14,6,171,447
2017,15,1,172,448
