Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,1,3,1
2014,4,1,4,2
2014,5,3,5,5
2014,6,0,6,5
2014,7,1,7,6
2014,8,0,8,6
2014,9,3,9,9
2014,10,1,10,10
2014,11,0,11,10
2014,12,3,12,13
2014,13,0,13,13
2014,14,2,14,15
2014,15,2,15,17
2014,16,4,16,21
2014,17,4,17,25
2014,18,1,18,26
2014,19,4,19,30
2014,20,0,20,30
2014,21,3,21,33
2014,22,1,22,34
2014,23,8,23,42
2014,24,14,24,56
2014,25,0,25,56
2014,26,5,26,61
2014,27,3,27,64
2014,28,4,28,68
2014,29,6,29,74
2014,30,6,30,80
2014,31,4,31,84
2014,32,5,32,89
2014,33,2,33,91
2014,34,6,34,97
2014,35,0,35,97
2014,36,3,36,100
2014,37,9,37,109
2014,38,6,38,115
2014,39,5,39,120
2014,40,4,40,124
2014,41,1,41,125
2014,42,2,42,127
2014,43,2,43,129
2014,44,1,44,130
2014,45,3,45,133
2014,46,2,46,135
2014,47,1,47,136
2014,48,3,48,139
2014,49,4,49,143
2014,50,1,50,144
2014,51,2,51,146
2014,52,0,52,146
2014,53,0,53,146
2015,1,0,54,146
2015,2,1,55,147
2015,3,0,56,147
2015,4,2,57,149
2015,5,2,58,151
2015,6,1,59,152
2015,7,2,60,154
2015,8,2,61,156
2015,9,1,62,157
2015,10,1,63,158
2015,11,2,64,160
2015,12,4,65,164
2015,13,2,66,166
2015,14,1,67,167
2015,15,1,68,168
2015,16,0,69,168
2015,17,2,70,170
2015,18,6,71,176
2015,19,1,72,177
2015,20,0,73,177
2015,21,3,74,180
2015,22,5,75,185
2015,23,10,76,195
2015,24,7,77,202
2015,25,6,78,208
2015,26,12,79,220
2015,27,9,80,229
2015,28,11,81,240
2015,29,10,82,250
2015,30,7,83,257
2015,31,8,84,265
2015,32,1,85,266
2015,33,11,86,277
2015,34,3,87,280
2015,35,7,88,287
2015,36,2,89,289
2015,37,8,90,297
2015,38,3,91,300
2015,39,4,92,304
2015,40,4,93,308
2015,41,3,94,311
2015,42,2,95,313
2015,43,3,96,316
2015,44,5,97,321
2015,45,5,98,326
2015,46,6,99,332
2015,47,1,100,333
2015,48,4,101,337
2015,49,0,102,337
2015,50,2,103,339
2015,51,2,104,341
2015,52,0,105,341
2016,1,0,106,341
2016,2,3,107,344
2016,3,1,108,345
2016,4,2,109,347
2016,5,6,110,353
2016,6,4,111,357
2016,7,2,112,359
2016,8,3,113,362
2016,9,3,114,365
2016,10,3,115,368
2016,11,4,116,372
2016,12,6,117,378
2016,13,4,118,382
2016,14,3,119,385
2016,15,6,120,391
2016,16,4,121,395
2016,17,5,122,400
2016,18,3,123,403
2016,19,6,124,409
2016,20,6,125,415
2016,21,10,126,425
2016,22,4,127,429
2016,23,2,128,431
2016,24,0,129,431
2016,25,9,130,440
2016,26,16,131,456
2016,27,9,132,465
2016,28,12,133,477
2016,29,5,134,482
2016,30,9,135,491
2016,31,6,136,497
2016,32,8,137,505
2016,33,14,138,519
2016,34,5,139,524
2016,35,4,140,528
2016,36,3,141,531
2016,37,3,142,534
2016,38,7,143,541
2016,39,5,144,546
2016,40,2,145,548
2016,41,6,146,554
2016,42,5,147,559
2016,43,0,148,559
2016,44,0,149,559
2016,45,6,150,565
2016,46,4,151,569
2016,47,0,152,569
2016,48,3,153,572
2016,49,4,154,576
2016,50,4,155,580
2016,51,1,156,581
2016,52,1,157,582
