Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,5,1,5
2014,2,22,2,27
2014,3,26,3,53
2014,4,13,4,66
2014,5,19,5,85
2014,6,16,6,101
2014,7,6,7,107
2014,8,14,8,121
2014,9,11,9,132
2014,10,16,10,148
2014,11,16,11,164
2014,12,18,12,182
2014,13,18,13,200
2014,14,20,14,220
2014,15,0,15,220
2014,16,11,16,231
2014,17,10,17,241
2014,18,15,18,256
2014,19,12,19,268
2014,20,20,20,288
2014,21,18,21,306
2014,22,10,22,316
2014,23,10,23,326
2014,24,28,24,354
2014,25,18,25,372
2014,26,21,26,393
2014,27,32,27,425
2014,28,30,28,455
2014,29,22,29,477
2014,30,16,30,493
2014,31,29,31,522
2014,32,11,32,533
2014,33,20,33,553
2014,34,17,34,570
2014,35,12,35,582
2014,36,14,36,596
2014,37,12,37,608
2014,38,7,38,615
2014,39,6,39,621
2014,40,10,40,631
2014,41,3,41,634
2014,42,5,42,639
2014,43,11,43,650
2014,44,11,44,661
2014,45,6,45,667
2014,46,8,46,675
2014,47,14,47,689
2014,48,6,48,695
2014,49,4,49,699
2014,50,5,50,704
2014,51,3,51,707
2014,52,4,52,711
2014,53,10,53,721
2015,1,7,54,728
2015,2,2,55,730
2015,3,6,56,736
2015,4,5,57,741
2015,5,10,58,751
2015,6,8,59,759
2015,7,4,60,763
2015,8,11,61,774
2015,9,4,62,778
2015,10,14,63,792
2015,11,7,64,799
2015,12,7,65,806
2015,13,7,66,813
2015,14,3,67,816
2015,15,7,68,823
2015,16,8,69,831
2015,17,6,70,837
2015,18,8,71,845
2015,19,14,72,859
2015,20,7,73,866
2015,21,2,74,868
2015,22,4,75,872
2015,23,2,76,874
2015,24,4,77,878
2015,25,2,78,880
2015,26,3,79,883
2015,27,7,80,890
2015,28,12,81,902
2015,29,4,82,906
2015,30,12,83,918
2015,31,7,84,925
2015,32,11,85,936
2015,33,9,86,945
2015,34,9,87,954
2015,35,12,88,966
2015,36,5,89,971
2015,37,6,90,977
2015,38,5,91,982
2015,39,6,92,988
2015,40,4,93,992
2015,41,7,94,999
2015,42,5,95,1004
2015,43,9,96,1013
2015,44,3,97,1016
2015,45,2,98,1018
2015,46,6,99,1024
2015,47,4,100,1028
2015,48,6,101,1034
2015,49,3,102,1037
2015,50,12,103,1049
2015,51,9,104,1058
2015,52,11,105,1069
2016,1,7,106,1076
2016,2,13,107,1089
2016,3,8,108,1097
2016,4,6,109,1103
2016,5,10,110,1113
2016,6,8,111,1121
2016,7,10,112,1131
2016,8,7,113,1138
2016,9,1,114,1139
2016,10,7,115,1146
2016,11,8,116,1154
2016,12,7,117,1161
2016,13,6,118,1167
2016,14,3,119,1170
2016,15,4,120,1174
2016,16,5,121,1179
2016,17,15,122,1194
2016,18,3,123,1197
2016,19,7,124,1204
2016,20,7,125,1211
2016,21,6,126,1217
2016,22,8,127,1225
2016,23,3,128,1228
2016,24,8,129,1236
2016,25,3,130,1239
2016,26,5,131,1244
2016,27,7,132,1251
2016,28,10,133,1261
2016,29,7,134,1268
2016,30,4,135,1272
2016,31,0,136,1272
2016,32,10,137,1282
2016,33,5,138,1287
2016,34,16,139,1303
2016,35,4,140,1307
2016,36,6,141,1313
2016,37,6,142,1319
2016,38,5,143,1324
2016,39,6,144,1330
2016,40,3,145,1333
2016,41,7,146,1340
2016,42,6,147,1346
2016,43,5,148,1351
2016,44,7,149,1358
2016,45,1,150,1359
2016,46,0,151,1359
2016,47,4,152,1363
2016,48,7,153,1370
2016,49,5,154,1375
2016,50,8,155,1383
2016,51,8,156,1391
2016,52,10,157,1401
2017,1,1,158,1402
2017,2,2,159,1404
2017,3,6,160,1410
2017,4,3,161,1413
2017,5,7,162,1420
2017,6,2,163,1422
2017,7,8,164,1430
2017,8,9,165,1439
2017,9,4,166,1443
2017,10,9,167,1452
2017,11,7,168,1459
2017,12,1,169,1460
2017,13,19,170,1479
2017,14,10,171,1489
2017,15,7,172,1496
