Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,3,1,3
2014,2,2,2,5
2014,3,3,3,8
2014,4,6,4,14
2014,5,1,5,15
2014,6,6,6,21
2014,7,5,7,26
2014,8,9,8,35
2014,9,7,9,42
2014,10,6,10,48
2014,11,11,11,59
2014,12,8,12,67
2014,13,11,13,78
2014,14,3,14,81
2014,15,5,15,86
2014,16,4,16,90
2014,17,10,17,100
2014,18,10,18,110
2014,19,25,19,135
2014,20,5,20,140
2014,21,8,21,148
2014,22,3,22,151
2014,23,6,23,157
2014,24,10,24,167
2014,25,7,25,174
2014,26,5,26,179
2014,27,3,27,182
2014,28,2,28,184
2014,29,14,29,198
2014,30,2,30,200
2014,31,16,31,216
2014,32,7,32,223
2014,33,7,33,230
2014,34,19,34,249
2014,35,4,35,253
2014,36,6,36,259
2014,37,8,37,267
2014,38,2,38,269
2014,39,1,39,270
2014,40,2,40,272
2014,41,2,41,274
2014,42,8,42,282
2014,43,3,43,285
2014,44,7,44,292
2014,45,3,45,295
2014,46,5,46,300
2014,47,3,47,303
2014,48,4,48,307
2014,49,3,49,310
2014,50,7,50,317
2014,51,4,51,321
2014,52,4,52,325
2014,53,7,53,332
2015,1,1,54,333
2015,2,5,55,338
2015,3,3,56,341
2015,4,1,57,342
2015,5,4,58,346
2015,6,1,59,347
2015,7,3,60,350
2015,8,2,61,352
2015,9,7,62,359
2015,10,13,63,372
2015,11,4,64,376
2015,12,3,65,379
2015,13,6,66,385
2015,14,5,67,390
2015,15,2,68,392
2015,16,9,69,401
2015,17,3,70,404
2015,18,4,71,408
2015,19,12,72,420
2015,20,1,73,421
2015,21,4,74,425
2015,22,11,75,436
2015,23,7,76,443
2015,24,2,77,445
2015,25,5,78,450
2015,26,1,79,451
2015,27,10,80,461
2015,28,9,81,470
2015,29,4,82,474
2015,30,2,83,476
2015,31,5,84,481
2015,32,1,85,482
2015,33,1,86,483
2015,34,1,87,484
2015,35,0,88,484
2015,36,1,89,485
2015,37,3,90,488
2015,38,4,91,492
2015,39,2,92,494
2015,40,1,93,495
2015,41,0,94,495
2015,42,0,95,495
2015,43,0,96,495
2015,44,0,97,495
2015,45,0,98,495
2015,46,0,99,495
2015,47,1,100,496
2015,48,7,101,503
2015,49,0,102,503
2015,50,2,103,505
2015,51,0,104,505
2015,52,2,105,507
2016,1,0,106,507
2016,2,3,107,510
2016,3,0,108,510
2016,4,3,109,513
2016,5,0,110,513
2016,6,2,111,515
2016,7,2,112,517
2016,8,1,113,518
2016,9,0,114,518
2016,10,2,115,520
2016,11,3,116,523
2016,12,0,117,523
2016,13,1,118,524
2016,14,4,119,528
2016,15,0,120,528
2016,16,1,121,529
2016,17,4,122,533
2016,18,2,123,535
2016,19,1,124,536
2016,20,0,125,536
2016,21,2,126,538
2016,22,2,127,540
2016,23,1,128,541
2016,24,1,129,542
2016,25,2,130,544
2016,26,3,131,547
2016,27,3,132,550
2016,28,7,133,557
2016,29,0,134,557
2016,30,3,135,560
2016,31,7,136,567
2016,32,0,137,567
2016,33,1,138,568
2016,34,1,139,569
2016,35,1,140,570
2016,36,1,141,571
2016,37,0,142,571
2016,38,4,143,575
2016,39,1,144,576
2016,40,1,145,577
2016,41,1,146,578
2016,42,0,147,578
2016,43,0,148,578
2016,44,0,149,578
2016,45,0,150,578
2016,46,2,151,580
2016,47,0,152,580
2016,48,0,153,580
2016,49,0,154,580
2016,50,1,155,581
2016,51,0,156,581
2016,52,0,157,581
2017,1,0,158,581
2017,2,0,159,581
2017,3,0,160,581
2017,4,1,161,582
2017,5,0,162,582
2017,6,6,163,588
2017,7,0,164,588
2017,8,0,165,588
2017,9,0,166,588
2017,10,0,167,588
2017,11,0,168,588
2017,12,0,169,588
2017,13,1,170,589
2017,14,0,171,589
2017,15,2,172,591
