Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,4,2,4
2014,3,10,3,14
2014,4,14,4,28
2014,5,16,5,44
2014,6,13,6,57
2014,7,9,7,66
2014,8,19,8,85
2014,9,21,9,106
2014,10,16,10,122
2014,11,11,11,133
2014,12,18,12,151
2014,13,9,13,160
2014,14,15,14,175
2014,15,18,15,193
2014,16,15,16,208
2014,17,6,17,214
2014,18,9,18,223
2014,19,6,19,229
2014,20,11,20,240
2014,21,7,21,247
2014,22,10,22,257
2014,23,9,23,266
2014,24,9,24,275
2014,25,15,25,290
2014,26,13,26,303
2014,27,13,27,316
2014,28,19,28,335
2014,29,22,29,357
2014,30,20,30,377
2014,31,31,31,408
2014,32,28,32,436
2014,33,32,33,468
2014,34,25,34,493
2014,35,21,35,514
2014,36,13,36,527
2014,37,18,37,545
2014,38,11,38,556
2014,39,13,39,569
2014,40,14,40,583
2014,41,10,41,593
2014,42,15,42,608
2014,43,27,43,635
2014,44,18,44,653
2014,45,16,45,669
2014,46,18,46,687
2014,47,27,47,714
2014,48,19,48,733
2014,49,32,49,765
2014,50,33,50,798
2014,51,48,51,846
2014,52,19,52,865
2014,53,30,53,895
2015,1,9,54,904
2015,2,15,55,919
2015,3,14,56,933
2015,4,22,57,955
2015,5,14,58,969
2015,6,19,59,988
2015,7,21,60,1009
2015,8,7,61,1016
2015,9,17,62,1033
2015,10,10,63,1043
2015,11,13,64,1056
2015,12,2,65,1058
2015,13,6,66,1064
2015,14,7,67,1071
2015,15,10,68,1081
2015,16,8,69,1089
2015,17,6,70,1095
2015,18,7,71,1102
2015,19,6,72,1108
2015,20,11,73,1119
2015,21,7,74,1126
2015,22,7,75,1133
2015,23,8,76,1141
2015,24,13,77,1154
2015,25,12,78,1166
2015,26,13,79,1179
2015,27,14,80,1193
2015,28,9,81,1202
2015,29,9,82,1211
2015,30,7,83,1218
2015,31,14,84,1232
2015,32,9,85,1241
2015,33,19,86,1260
2015,34,11,87,1271
2015,35,12,88,1283
2015,36,5,89,1288
2015,37,11,90,1299
2015,38,16,91,1315
2015,39,10,92,1325
2015,40,9,93,1334
2015,41,19,94,1353
2015,42,20,95,1373
2015,43,17,96,1390
2015,44,8,97,1398
2015,45,16,98,1414
2015,46,18,99,1432
2015,47,8,100,1440
2015,48,32,101,1472
2015,49,17,102,1489
2015,50,13,103,1502
2015,51,15,104,1517
2015,52,14,105,1531
2016,1,4,106,1535
2016,2,13,107,1548
2016,3,13,108,1561
2016,4,12,109,1573
2016,5,9,110,1582
2016,6,18,111,1600
2016,7,26,112,1626
2016,8,23,113,1649
2016,9,17,114,1666
2016,10,18,115,1684
2016,11,14,116,1698
2016,12,11,117,1709
2016,13,16,118,1725
2016,14,5,119,1730
2016,15,16,120,1746
2016,16,3,121,1749
2016,17,7,122,1756
2016,18,8,123,1764
2016,19,11,124,1775
2016,20,14,125,1789
2016,21,15,126,1804
2016,22,0,127,1804
2016,23,19,128,1823
2016,24,17,129,1840
2016,25,18,130,1858
2016,26,22,131,1880
2016,27,16,132,1896
2016,28,24,133,1920
2016,29,14,134,1934
2016,30,12,135,1946
2016,31,13,136,1959
2016,32,15,137,1974
2016,33,13,138,1987
2016,34,13,139,2000
2016,35,16,140,2016
2016,36,7,141,2023
2016,37,19,142,2042
2016,38,18,143,2060
2016,39,13,144,2073
2016,40,9,145,2082
2016,41,11,146,2093
2016,42,8,147,2101
2016,43,10,148,2111
2016,44,7,149,2118
2016,45,3,150,2121
2016,46,0,151,2121
2016,47,7,152,2128
2016,48,12,153,2140
2016,49,6,154,2146
2016,50,13,155,2159
2016,51,10,156,2169
2016,52,16,157,2185
2017,1,5,158,2190
2017,2,7,159,2197
2017,3,5,160,2202
2017,4,9,161,2211
2017,5,8,162,2219
2017,6,5,163,2224
2017,7,3,164,2227
2017,8,8,165,2235
2017,9,9,166,2244
2017,10,2,167,2246
2017,11,6,168,2252
2017,12,11,169,2263
2017,13,9,170,2272
2017,14,8,171,2280
2017,15,0,172,2280
