Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,18,1,18
2014,2,10,2,28
2014,3,8,3,36
2014,4,12,4,48
2014,5,8,5,56
2014,6,19,6,75
2014,7,6,7,81
2014,8,25,8,106
2014,9,10,9,116
2014,10,4,10,120
2014,11,5,11,125
2014,12,11,12,136
2014,13,13,13,149
2014,14,16,14,165
2014,15,6,15,171
2014,16,5,16,176
2014,17,11,17,187
2014,18,24,18,211
2014,19,3,19,214
2014,20,0,20,214
2014,21,8,21,222
2014,22,12,22,234
2014,23,38,23,272
2014,24,15,24,287
2014,25,10,25,297
2014,26,16,26,313
2014,27,6,27,319
2014,28,6,28,325
2014,29,9,29,334
2014,30,15,30,349
2014,31,23,31,372
2014,32,27,32,399
2014,33,9,33,408
2014,34,0,34,408
2014,35,2,35,410
2014,36,0,36,410
2014,37,0,37,410
2014,38,0,38,410
2014,39,0,39,410
2014,40,3,40,413
2014,41,0,41,413
2014,42,0,42,413
2014,43,0,43,413
2014,44,0,44,413
2014,45,2,45,415
2014,46,19,46,434
2014,47,31,47,465
2014,48,3,48,468
2014,49,9,49,477
2014,50,0,50,477
2014,51,60,51,537
2014,52,5,52,542
2014,53,25,53,567
2015,1,15,54,582
2015,2,19,55,601
2015,3,9,56,610
2015,4,4,57,614
2015,5,38,58,652
2015,6,17,59,669
2015,7,4,60,673
2015,8,14,61,687
2015,9,3,62,690
2015,10,3,63,693
2015,11,0,64,693
2015,12,5,65,698
2015,13,2,66,700
2015,14,0,67,700
2015,15,6,68,706
2015,16,0,69,706
2015,17,2,70,708
2015,18,7,71,715
2015,19,3,72,718
2015,20,2,73,720
2015,21,0,74,720
2015,22,6,75,726
2015,23,8,76,734
2015,24,1,77,735
2015,25,1,78,736
2015,26,0,79,736
2015,27,9,80,745
2015,28,24,81,769
2015,29,5,82,774
2015,30,5,83,779
2015,31,10,84,789
2015,32,2,85,791
2015,33,6,86,797
2015,34,6,87,803
2015,35,11,88,814
2015,36,2,89,816
2015,37,4,90,820
2015,38,9,91,829
2015,39,7,92,836
2015,40,14,93,850
2015,41,8,94,858
2015,42,6,95,864
2015,43,4,96,868
2015,44,11,97,879
2015,45,1,98,880
2015,46,0,99,880
2015,47,2,100,882
2015,48,6,101,888
2015,49,3,102,891
2015,50,0,103,891
2015,51,4,104,895
2015,52,5,105,900
2016,1,0,106,900
2016,2,0,107,900
2016,3,0,108,900
2016,4,0,109,900
2016,5,0,110,900
2016,6,0,111,900
2016,7,0,112,900
2016,8,0,113,900
2016,9,0,114,900
2016,10,0,115,900
2016,11,0,116,900
2016,12,0,117,900
2016,13,0,118,900
2016,14,0,119,900
2016,15,0,120,900
2016,16,0,121,900
2016,17,0,122,900
2016,18,0,123,900
2016,19,0,124,900
2016,20,0,125,900
2016,21,0,126,900
2016,22,0,127,900
2016,23,0,128,900
2016,24,0,129,900
2016,25,0,130,900
2016,26,0,131,900
2016,27,0,132,900
2016,28,0,133,900
2016,29,0,134,900
2016,30,0,135,900
2016,31,0,136,900
2016,32,0,137,900
2016,33,0,138,900
2016,34,0,139,900
2016,35,0,140,900
2016,36,0,141,900
2016,37,0,142,900
2016,38,0,143,900
2016,39,0,144,900
2016,40,0,145,900
2016,41,0,146,900
2016,42,0,147,900
2016,43,0,148,900
2016,44,0,149,900
2016,45,0,150,900
2016,46,0,151,900
2016,47,0,152,900
2016,48,0,153,900
2016,49,0,154,900
2016,50,0,155,900
2016,51,0,156,900
2016,52,0,157,900
2017,1,0,158,900
2017,2,0,159,900
2017,3,0,160,900
2017,4,0,161,900
2017,5,0,162,900
2017,6,0,163,900
2017,7,0,164,900
2017,8,0,165,900
2017,9,0,166,900
2017,10,0,167,900
2017,11,0,168,900
2017,12,0,169,900
2017,13,0,170,900
2017,14,0,171,900
2017,15,0,172,900
