Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,25,1,25
2014,2,81,2,106
2014,3,49,3,155
2014,4,63,4,218
2014,5,61,5,279
2014,6,38,6,317
2014,7,37,7,354
2014,8,29,8,383
2014,9,14,9,397
2014,10,26,10,423
2014,11,23,11,446
2014,12,23,12,469
2014,13,18,13,487
2014,14,25,14,512
2014,15,16,15,528
2014,16,24,16,552
2014,17,14,17,566
2014,18,27,18,593
2014,19,27,19,620
2014,20,23,20,643
2014,21,32,21,675
2014,22,22,22,697
2014,23,25,23,722
2014,24,0,24,722
2014,25,12,25,734
2014,26,22,26,756
2014,27,13,27,769
2014,28,23,28,792
2014,29,29,29,821
2014,30,36,30,857
2014,31,36,31,893
2014,32,24,32,917
2014,33,29,33,946
2014,34,42,34,988
2014,35,19,35,1007
2014,36,21,36,1028
2014,37,23,37,1051
2014,38,23,38,1074
2014,39,22,39,1096
2014,40,14,40,1110
2014,41,19,41,1129
2014,42,10,42,1139
2014,43,26,43,1165
2014,44,19,44,1184
2014,45,23,45,1207
2014,46,33,46,1240
2014,47,25,47,1265
2014,48,14,48,1279
2014,49,43,49,1322
2014,50,0,50,1322
2014,51,29,51,1351
2014,52,26,52,1377
2014,53,16,53,1393
2015,1,37,54,1430
2015,2,24,55,1454
2015,3,18,56,1472
2015,4,53,57,1525
2015,5,35,58,1560
2015,6,18,59,1578
2015,7,11,60,1589
2015,8,16,61,1605
2015,9,10,62,1615
2015,10,12,63,1627
2015,11,8,64,1635
2015,12,4,65,1639
2015,13,13,66,1652
2015,14,12,67,1664
2015,15,10,68,1674
2015,16,17,69,1691
2015,17,12,70,1703
2015,18,6,71,1709
2015,19,15,72,1724
2015,20,9,73,1733
2015,21,8,74,1741
2015,22,11,75,1752
2015,23,7,76,1759
2015,24,7,77,1766
2015,25,5,78,1771
2015,26,6,79,1777
2015,27,6,80,1783
2015,28,22,81,1805
2015,29,16,82,1821
2015,30,19,83,1840
2015,31,13,84,1853
2015,32,7,85,1860
2015,33,7,86,1867
2015,34,20,87,1887
2015,35,7,88,1894
2015,36,7,89,1901
2015,37,18,90,1919
2015,38,13,91,1932
2015,39,12,92,1944
2015,40,11,93,1955
2015,41,12,94,1967
2015,42,14,95,1981
2015,43,17,96,1998
2015,44,18,97,2016
2015,45,24,98,2040
2015,46,19,99,2059
2015,47,14,100,2073
2015,48,34,101,2107
2015,49,32,102,2139
2015,50,32,103,2171
2015,51,21,104,2192
2015,52,32,105,2224
2016,1,25,106,2249
2016,2,25,107,2274
2016,3,21,108,2295
2016,4,27,109,2322
2016,5,22,110,2344
2016,6,26,111,2370
2016,7,14,112,2384
2016,8,24,113,2408
2016,9,20,114,2428
2016,10,10,115,2438
2016,11,18,116,2456
2016,12,13,117,2469
2016,13,9,118,2478
2016,14,6,119,2484
2016,15,18,120,2502
2016,16,12,121,2514
2016,17,16,122,2530
2016,18,18,123,2548
2016,19,16,124,2564
2016,20,12,125,2576
2016,21,15,126,2591
2016,22,8,127,2599
2016,23,15,128,2614
2016,24,23,129,2637
2016,25,21,130,2658
2016,26,41,131,2699
2016,27,23,132,2722
2016,28,30,133,2752
2016,29,26,134,2778
2016,30,20,135,2798
2016,31,16,136,2814
2016,32,9,137,2823
2016,33,18,138,2841
2016,34,17,139,2858
2016,35,16,140,2874
2016,36,19,141,2893
2016,37,14,142,2907
2016,38,12,143,2919
2016,39,3,144,2922
2016,40,27,145,2949
2016,41,14,146,2963
2016,42,18,147,2981
2016,43,22,148,3003
2016,44,20,149,3023
2016,45,8,150,3031
2016,46,33,151,3064
2016,47,24,152,3088
2016,48,22,153,3110
2016,49,28,154,3138
2016,50,29,155,3167
2016,51,0,156,3167
2016,52,0,157,3167
2017,1,18,158,3185
2017,2,12,159,3197
2017,3,24,160,3221
2017,4,23,161,3244
2017,5,26,162,3270
2017,6,0,163,3270
2017,7,15,164,3285
2017,8,4,165,3289
2017,9,34,166,3323
2017,10,14,167,3337
2017,11,0,168,3337
2017,12,13,169,3350
2017,13,18,170,3368
2017,14,11,171,3379
2017,15,17,172,3396
