Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,5,2,5
2014,3,0,3,5
2014,4,1,4,6
2014,5,1,5,7
2014,6,5,6,12
2014,7,2,7,14
2014,8,4,8,18
2014,9,5,9,23
2014,10,3,10,26
2014,11,4,11,30
2014,12,6,12,36
2014,13,3,13,39
2014,14,2,14,41
2014,15,4,15,45
2014,16,1,16,46
2014,17,2,17,48
2014,18,6,18,54
2014,19,6,19,60
2014,20,3,20,63
2014,21,1,21,64
2014,22,0,22,64
2014,23,1,23,65
2014,24,2,24,67
2014,25,4,25,71
2014,26,0,26,71
2014,27,11,27,82
2014,28,5,28,87
2014,29,15,29,102
2014,30,3,30,105
2014,31,11,31,116
2014,32,4,32,120
2014,33,4,33,124
2014,34,7,34,131
2014,35,9,35,140
2014,36,4,36,144
2014,37,7,37,151
2014,38,5,38,156
2014,39,9,39,165
2014,40,3,40,168
2014,41,0,41,168
2014,42,3,42,171
2014,43,4,43,175
2014,44,5,44,180
2014,45,6,45,186
2014,46,8,46,194
2014,47,4,47,198
2014,48,0,48,198
2014,49,1,49,199
2014,50,3,50,202
2014,51,1,51,203
2014,52,0,52,203
2014,53,0,53,203
2015,1,0,54,203
2015,2,0,55,203
2015,3,0,56,203
2015,4,0,57,203
2015,5,0,58,203
2015,6,0,59,203
2015,7,0,60,203
2015,8,0,61,203
2015,9,0,62,203
2015,10,0,63,203
2015,11,0,64,203
2015,12,0,65,203
2015,13,0,66,203
2015,14,0,67,203
2015,15,0,68,203
2015,16,0,69,203
2015,17,0,70,203
2015,18,0,71,203
2015,19,7,72,210
2015,20,1,73,211
2015,21,0,74,211
2015,22,0,75,211
2015,23,1,76,212
2015,24,0,77,212
2015,25,0,78,212
2015,26,0,79,212
2015,27,5,80,217
2015,28,10,81,227
2015,29,7,82,234
2015,30,10,83,244
2015,31,5,84,249
2015,32,13,85,262
2015,33,9,86,271
2015,34,17,87,288
2015,35,15,88,303
2015,36,7,89,310
2015,37,5,90,315
2015,38,1,91,316
2015,39,9,92,325
2015,40,11,93,336
2015,41,6,94,342
2015,42,10,95,352
2015,43,6,96,358
2015,44,2,97,360
2015,45,8,98,368
2015,46,4,99,372
2015,47,4,100,376
2015,48,4,101,380
2015,49,9,102,389
2015,50,1,103,390
2015,51,2,104,392
2015,52,4,105,396
2016,1,8,106,404
2016,2,0,107,404
2016,3,3,108,407
2016,4,2,109,409
2016,5,0,110,409
2016,6,2,111,411
2016,7,2,112,413
2016,8,3,113,416
2016,9,4,114,420
2016,10,1,115,421
2016,11,1,116,422
2016,12,4,117,426
2016,13,3,118,429
2016,14,3,119,432
2016,15,4,120,436
2016,16,11,121,447
2016,17,4,122,451
2016,18,7,123,458
2016,19,6,124,464
2016,20,6,125,470
2016,21,5,126,475
2016,22,8,127,483
2016,23,5,128,488
2016,24,1,129,489
2016,25,0,130,489
2016,26,0,131,489
2016,27,4,132,493
2016,28,1,133,494
2016,29,0,134,494
2016,30,0,135,494
2016,31,0,136,494
2016,32,0,137,494
2016,33,0,138,494
2016,34,0,139,494
2016,35,0,140,494
2016,36,0,141,494
2016,37,0,142,494
2016,38,0,143,494
2016,39,0,144,494
2016,40,0,145,494
2016,41,13,146,507
2016,42,8,147,515
2016,43,14,148,529
2016,44,13,149,542
2016,45,6,150,548
2016,46,11,151,559
2016,47,27,152,586
2016,48,14,153,600
2016,49,30,154,630
2016,50,15,155,645
2016,51,8,156,653
2016,52,4,157,657
2017,1,3,158,660
2017,2,7,159,667
2017,3,21,160,688
2017,4,3,161,691
2017,5,1,162,692
2017,6,7,163,699
2017,7,5,164,704
2017,8,4,165,708
2017,9,2,166,710
2017,10,4,167,714
2017,11,1,168,715
2017,12,3,169,718
2017,13,4,170,722
2017,14,0,171,722
2017,15,0,172,722
