Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,11,1,11
2014,2,17,2,28
2014,3,4,3,32
2014,4,11,4,43
2014,5,8,5,51
2014,6,12,6,63
2014,7,14,7,77
2014,8,11,8,88
2014,9,9,9,97
2014,10,11,10,108
2014,11,6,11,114
2014,12,7,12,121
2014,13,13,13,134
2014,14,3,14,137
2014,15,8,15,145
2014,16,8,16,153
2014,17,7,17,160
2014,18,7,18,167
2014,19,2,19,169
2014,20,7,20,176
2014,21,9,21,185
2014,22,8,22,193
2014,23,15,23,208
2014,24,8,24,216
2014,25,20,25,236
2014,26,18,26,254
2014,27,13,27,267
2014,28,25,28,292
2014,29,21,29,313
2014,30,22,30,335
2014,31,40,31,375
2014,32,25,32,400
2014,33,40,33,440
2014,34,30,34,470
2014,35,24,35,494
2014,36,22,36,516
2014,37,24,37,540
2014,38,18,38,558
2014,39,15,39,573
2014,40,11,40,584
2014,41,14,41,598
2014,42,18,42,616
2014,43,25,43,641
2014,44,9,44,650
2014,45,13,45,663
2014,46,15,46,678
2014,47,15,47,693
2014,48,9,48,702
2014,49,20,49,722
2014,50,7,50,729
2014,51,7,51,736
2014,52,4,52,740
2014,53,9,53,749
2015,1,13,54,762
2015,2,10,55,772
2015,3,10,56,782
2015,4,7,57,789
2015,5,12,58,801
2015,6,10,59,811
2015,7,12,60,823
2015,8,8,61,831
2015,9,6,62,837
2015,10,7,63,844
2015,11,12,64,856
2015,12,5,65,861
2015,13,5,66,866
2015,14,7,67,873
2015,15,9,68,882
2015,16,9,69,891
2015,17,9,70,900
2015,18,9,71,909
2015,19,20,72,929
2015,20,8,73,937
2015,21,28,74,965
2015,22,10,75,975
2015,23,25,76,1000
2015,24,25,77,1025
2015,25,16,78,1041
2015,26,21,79,1062
2015,27,28,80,1090
2015,28,18,81,1108
2015,29,20,82,1128
2015,30,17,83,1145
2015,31,25,84,1170
2015,32,16,85,1186
2015,33,35,86,1221
2015,34,26,87,1247
2015,35,21,88,1268
2015,36,27,89,1295
2015,37,26,90,1321
2015,38,19,91,1340
2015,39,18,92,1358
2015,40,26,93,1384
2015,41,15,94,1399
2015,42,15,95,1414
2015,43,18,96,1432
2015,44,16,97,1448
2015,45,14,98,1462
2015,46,9,99,1471
2015,47,9,100,1480
2015,48,12,101,1492
2015,49,10,102,1502
2015,50,10,103,1512
2015,51,4,104,1516
2015,52,5,105,1521
2016,1,8,106,1529
2016,2,8,107,1537
2016,3,12,108,1549
2016,4,7,109,1556
2016,5,7,110,1563
2016,6,11,111,1574
2016,7,5,112,1579
2016,8,9,113,1588
2016,9,10,114,1598
2016,10,13,115,1611
2016,11,2,116,1613
2016,12,9,117,1622
2016,13,8,118,1630
2016,14,13,119,1643
2016,15,12,120,1655
2016,16,11,121,1666
2016,17,3,122,1669
2016,18,11,123,1680
2016,19,11,124,1691
2016,20,12,125,1703
2016,21,5,126,1708
2016,22,1,127,1709
2016,23,0,128,1709
2016,24,4,129,1713
2016,25,8,130,1721
2016,26,6,131,1727
2016,27,15,132,1742
2016,28,20,133,1762
2016,29,20,134,1782
2016,30,20,135,1802
2016,31,25,136,1827
2016,32,32,137,1859
2016,33,31,138,1890
2016,34,25,139,1915
2016,35,27,140,1942
2016,36,16,141,1958
2016,37,23,142,1981
2016,38,21,143,2002
2016,39,23,144,2025
2016,40,4,145,2029
2016,41,15,146,2044
2016,42,9,147,2053
2016,43,9,148,2062
2016,44,11,149,2073
2016,45,13,150,2086
2016,46,21,151,2107
2016,47,10,152,2117
2016,48,10,153,2127
2016,49,2,154,2129
2016,50,3,155,2132
2016,51,3,156,2135
2016,52,1,157,2136
2017,1,1,158,2137
2017,2,6,159,2143
2017,3,10,160,2153
2017,4,8,161,2161
2017,5,7,162,2168
2017,6,10,163,2178
2017,7,8,164,2186
2017,8,10,165,2196
2017,9,4,166,2200
2017,10,8,167,2208
2017,11,0,168,2208
2017,12,9,169,2217
2017,13,7,170,2224
2017,14,10,171,2234
2017,15,8,172,2242
