Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,3,1,3
2014,2,1,2,4
2014,3,3,3,7
2014,4,1,4,8
2014,5,3,5,11
2014,6,1,6,12
2014,7,2,7,14
2014,8,2,8,16
2014,9,3,9,19
2014,10,1,10,20
2014,11,2,11,22
2014,12,4,12,26
2014,13,1,13,27
2014,14,5,14,32
2014,15,0,15,32
2014,16,4,16,36
2014,17,4,17,40
2014,18,3,18,43
2014,19,6,19,49
2014,20,2,20,51
2014,21,1,21,52
2014,22,2,22,54
2014,23,5,23,59
2014,24,0,24,59
2014,25,5,25,64
2014,26,6,26,70
2014,27,6,27,76
2014,28,4,28,80
2014,29,8,29,88
2014,30,4,30,92
2014,31,5,31,97
2014,32,1,32,98
2014,33,5,33,103
2014,34,2,34,105
2014,35,30,35,135
2014,36,6,36,141
2014,37,8,37,149
2014,38,4,38,153
2014,39,4,39,157
2014,40,1,40,158
2014,41,3,41,161
2014,42,5,42,166
2014,43,3,43,169
2014,44,7,44,176
2014,45,6,45,182
2014,46,3,46,185
2014,47,2,47,187
2014,48,2,48,189
2014,49,1,49,190
2014,50,5,50,195
2014,51,3,51,198
2014,52,0,52,198
2014,53,1,53,199
2015,1,1,54,200
2015,2,1,55,201
2015,3,1,56,202
2015,4,3,57,205
2015,5,1,58,206
2015,6,1,59,207
2015,7,0,60,207
2015,8,0,61,207
2015,9,3,62,210
2015,10,4,63,214
2015,11,3,64,217
2015,12,2,65,219
2015,13,4,66,223
2015,14,5,67,228
2015,15,4,68,232
2015,16,4,69,236
2015,17,2,70,238
2015,18,7,71,245
2015,19,3,72,248
2015,20,5,73,253
2015,21,6,74,259
2015,22,6,75,265
2015,23,2,76,267
2015,24,4,77,271
2015,25,4,78,275
2015,26,4,79,279
2015,27,1,80,280
2015,28,4,81,284
2015,29,6,82,290
2015,30,8,83,298
2015,31,5,84,303
2015,32,6,85,309
2015,33,3,86,312
2015,34,6,87,318
2015,35,2,88,320
2015,36,7,89,327
2015,37,6,90,333
2015,38,9,91,342
2015,39,3,92,345
2015,40,1,93,346
2015,41,3,94,349
2015,42,6,95,355
2015,43,2,96,357
2015,44,0,97,357
2015,45,6,98,363
2015,46,4,99,367
2015,47,5,100,372
2015,48,4,101,376
2015,49,5,102,381
2015,50,5,103,386
2015,51,1,104,387
2015,52,2,105,389
2016,1,1,106,390
2016,2,4,107,394
2016,3,4,108,398
2016,4,3,109,401
2016,5,0,110,401
2016,6,3,111,404
2016,7,0,112,404
2016,8,4,113,408
2016,9,1,114,409
2016,10,2,115,411
2016,11,4,116,415
2016,12,4,117,419
2016,13,0,118,419
2016,14,0,119,419
2016,15,5,120,424
2016,16,6,121,430
2016,17,8,122,438
2016,18,5,123,443
2016,19,2,124,445
2016,20,0,125,445
2016,21,4,126,449
2016,22,2,127,451
2016,23,7,128,458
2016,24,6,129,464
2016,25,8,130,472
2016,26,0,131,472
2016,27,6,132,478
2016,28,6,133,484
2016,29,7,134,491
2016,30,4,135,495
2016,31,4,136,499
2016,32,9,137,508
2016,33,16,138,524
2016,34,6,139,530
2016,35,7,140,537
2016,36,6,141,543
2016,37,8,142,551
2016,38,4,143,555
2016,39,8,144,563
2016,40,6,145,569
2016,41,2,146,571
2016,42,5,147,576
2016,43,5,148,581
2016,44,3,149,584
2016,45,4,150,588
2016,46,2,151,590
2016,47,0,152,590
2016,48,0,153,590
2016,49,0,154,590
2016,50,3,155,593
2016,51,0,156,593
2016,52,0,157,593
2017,1,0,158,593
2017,2,0,159,593
2017,3,0,160,593
2017,4,2,161,595
2017,5,0,162,595
2017,6,0,163,595
2017,7,0,164,595
2017,8,0,165,595
2017,9,1,166,596
2017,10,0,167,596
2017,11,0,168,596
2017,12,0,169,596
2017,13,1,170,597
2017,14,1,171,598
2017,15,0,172,598
