Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,4,4,4
2014,5,2,5,6
2014,6,2,6,8
2014,7,0,7,8
2014,8,13,8,21
2014,9,9,9,30
2014,10,0,10,30
2014,11,7,11,37
2014,12,17,12,54
2014,13,12,13,66
2014,14,9,14,75
2014,15,0,15,75
2014,16,10,16,85
2014,17,11,17,96
2014,18,16,18,112
2014,19,12,19,124
2014,20,11,20,135
2014,21,17,21,152
2014,22,21,22,173
2014,23,25,23,198
2014,24,6,24,204
2014,25,29,25,233
2014,26,17,26,250
2014,27,18,27,268
2014,28,27,28,295
2014,29,11,29,306
2014,30,38,30,344
2014,31,29,31,373
2014,32,27,32,400
2014,33,47,33,447
2014,34,31,34,478
2014,35,17,35,495
2014,36,26,36,521
2014,37,23,37,544
2014,38,16,38,560
2014,39,23,39,583
2014,40,20,40,603
2014,41,16,41,619
2014,42,20,42,639
2014,43,25,43,664
2014,44,0,44,664
2014,45,26,45,690
2014,46,12,46,702
2014,47,11,47,713
2014,48,4,48,717
2014,49,17,49,734
2014,50,12,50,746
2014,51,23,51,769
2014,52,1,52,770
2014,53,0,53,770
2015,1,0,54,770
2015,2,1,55,771
2015,3,10,56,781
2015,4,0,57,781
2015,5,8,58,789
2015,6,3,59,792
2015,7,8,60,800
2015,8,0,61,800
2015,9,13,62,813
2015,10,25,63,838
2015,11,12,64,850
2015,12,8,65,858
2015,13,17,66,875
2015,14,20,67,895
2015,15,10,68,905
2015,16,0,69,905
2015,17,18,70,923
2015,18,15,71,938
2015,19,36,72,974
2015,20,6,73,980
2015,21,0,74,980
2015,22,30,75,1010
2015,23,17,76,1027
2015,24,9,77,1036
2015,25,16,78,1052
2015,26,12,79,1064
2015,27,32,80,1096
2015,28,21,81,1117
2015,29,32,82,1149
2015,30,41,83,1190
2015,31,48,84,1238
2015,32,47,85,1285
2015,33,41,86,1326
2015,34,23,87,1349
2015,35,55,88,1404
2015,36,7,89,1411
2015,37,49,90,1460
2015,38,76,91,1536
2015,39,53,92,1589
2015,40,39,93,1628
2015,41,16,94,1644
2015,42,14,95,1658
2015,43,25,96,1683
2015,44,22,97,1705
2015,45,9,98,1714
2015,46,18,99,1732
2015,47,16,100,1748
2015,48,19,101,1767
2015,49,32,102,1799
2015,50,15,103,1814
2015,51,12,104,1826
2015,52,8,105,1834
2016,1,0,106,1834
2016,2,1,107,1835
2016,3,4,108,1839
2016,4,8,109,1847
2016,5,10,110,1857
2016,6,13,111,1870
2016,7,8,112,1878
2016,8,23,113,1901
2016,9,11,114,1912
2016,10,11,115,1923
2016,11,9,116,1932
2016,12,11,117,1943
2016,13,14,118,1957
2016,14,24,119,1981
2016,15,15,120,1996
2016,16,25,121,2021
2016,17,29,122,2050
2016,18,11,123,2061
2016,19,15,124,2076
2016,20,8,125,2084
2016,21,22,126,2106
2016,22,8,127,2114
2016,23,9,128,2123
2016,24,20,129,2143
2016,25,11,130,2154
2016,26,30,131,2184
2016,27,10,132,2194
2016,28,30,133,2224
2016,29,20,134,2244
2016,30,23,135,2267
2016,31,16,136,2283
2016,32,22,137,2305
2016,33,14,138,2319
2016,34,23,139,2342
2016,35,26,140,2368
2016,36,16,141,2384
2016,37,16,142,2400
2016,38,25,143,2425
2016,39,13,144,2438
2016,40,9,145,2447
2016,41,21,146,2468
2016,42,32,147,2500
2016,43,4,148,2504
2016,44,21,149,2525
2016,45,28,150,2553
2016,46,20,151,2573
2016,47,8,152,2581
2016,48,10,153,2591
2016,49,23,154,2614
2016,50,6,155,2620
2016,51,30,156,2650
2016,52,5,157,2655
2017,1,0,158,2655
2017,2,1,159,2656
2017,3,0,160,2656
2017,4,5,161,2661
2017,5,0,162,2661
2017,6,5,163,2666
2017,7,7,164,2673
2017,8,19,165,2692
2017,9,0,166,2692
2017,10,4,167,2696
2017,11,49,168,2745
2017,12,2,169,2747
2017,13,24,170,2771
2017,14,12,171,2783
2017,15,8,172,2791
