Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,2,2,2
2014,3,0,3,2
2014,4,1,4,3
2014,5,2,5,5
2014,6,1,6,6
2014,7,4,7,10
2014,8,3,8,13
2014,9,1,9,14
2014,10,2,10,16
2014,11,2,11,18
2014,12,4,12,22
2014,13,0,13,22
2014,14,5,14,27
2014,15,3,15,30
2014,16,5,16,35
2014,17,4,17,39
2014,18,3,18,42
2014,19,2,19,44
2014,20,5,20,49
2014,21,1,21,50
2014,22,4,22,54
2014,23,3,23,57
2014,24,0,24,57
2014,25,9,25,66
2014,26,1,26,67
2014,27,2,27,69
2014,28,12,28,81
2014,29,4,29,85
2014,30,4,30,89
2014,31,11,31,100
2014,32,8,32,108
2014,33,8,33,116
2014,34,7,34,123
2014,35,2,35,125
2014,36,3,36,128
2014,37,3,37,131
2014,38,9,38,140
2014,39,12,39,152
2014,40,7,40,159
2014,41,3,41,162
2014,42,3,42,165
2014,43,4,43,169
2014,44,3,44,172
2014,45,2,45,174
2014,46,9,46,183
2014,47,2,47,185
2014,48,2,48,187
2014,49,4,49,191
2014,50,0,50,191
2014,51,2,51,193
2014,52,2,52,195
2014,53,2,53,197
2015,1,2,54,199
2015,2,2,55,201
2015,3,3,56,204
2015,4,3,57,207
2015,5,1,58,208
2015,6,0,59,208
2015,7,0,60,208
2015,8,6,61,214
2015,9,3,62,217
2015,10,1,63,218
2015,11,7,64,225
2015,12,1,65,226
2015,13,0,66,226
2015,14,2,67,228
2015,15,2,68,230
2015,16,1,69,231
2015,17,4,70,235
2015,18,9,71,244
2015,19,1,72,245
2015,20,5,73,250
2015,21,1,74,251
2015,22,5,75,256
2015,23,4,76,260
2015,24,5,77,265
2015,25,6,78,271
2015,26,7,79,278
2015,27,16,80,294
2015,28,8,81,302
2015,29,9,82,311
2015,30,4,83,315
2015,31,3,84,318
2015,32,14,85,332
2015,33,14,86,346
2015,34,8,87,354
2015,35,6,88,360
2015,36,6,89,366
2015,37,4,90,370
2015,38,6,91,376
2015,39,6,92,382
2015,40,19,93,401
2015,41,2,94,403
2015,42,9,95,412
2015,43,7,96,419
2015,44,3,97,422
2015,45,6,98,428
2015,46,4,99,432
2015,47,5,100,437
2015,48,5,101,442
2015,49,8,102,450
2015,50,6,103,456
2015,51,1,104,457
2015,52,4,105,461
2016,1,3,106,464
2016,2,2,107,466
2016,3,0,108,466
2016,4,1,109,467
2016,5,4,110,471
2016,6,2,111,473
2016,7,3,112,476
2016,8,1,113,477
2016,9,1,114,478
2016,10,4,115,482
2016,11,2,116,484
2016,12,2,117,486
2016,13,5,118,491
2016,14,2,119,493
2016,15,1,120,494
2016,16,3,121,497
2016,17,6,122,503
2016,18,1,123,504
2016,19,1,124,505
2016,20,4,125,509
2016,21,4,126,513
2016,22,3,127,516
2016,23,7,128,523
2016,24,8,129,531
2016,25,4,130,535
2016,26,11,131,546
2016,27,5,132,551
2016,28,11,133,562
2016,29,9,134,571
2016,30,13,135,584
2016,31,6,136,590
2016,32,13,137,603
2016,33,14,138,617
2016,34,11,139,628
2016,35,14,140,642
2016,36,6,141,648
2016,37,14,142,662
2016,38,14,143,676
2016,39,3,144,679
2016,40,10,145,689
2016,41,4,146,693
2016,42,11,147,704
2016,43,1,148,705
2016,44,9,149,714
2016,45,1,150,715
2016,46,5,151,720
2016,47,2,152,722
2016,48,2,153,724
2016,49,3,154,727
2016,50,2,155,729
2016,51,0,156,729
2016,52,0,157,729
2017,1,0,158,729
2017,2,5,159,734
2017,3,1,160,735
2017,4,3,161,738
2017,5,2,162,740
2017,6,0,163,740
2017,7,3,164,743
2017,8,0,165,743
2017,9,3,166,746
2017,10,2,167,748
2017,11,0,168,748
2017,12,5,169,753
2017,13,3,170,756
2017,14,3,171,759
2017,15,3,172,762
