Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,1,2,1
2014,3,1,3,2
2014,4,3,4,5
2014,5,1,5,6
2014,6,1,6,7
2014,7,3,7,10
2014,8,0,8,10
2014,9,2,9,12
2014,10,1,10,13
2014,11,2,11,15
2014,12,0,12,15
2014,13,1,13,16
2014,14,3,14,19
2014,15,4,15,23
2014,16,2,16,25
2014,17,0,17,25
2014,18,1,18,26
2014,19,3,19,29
2014,20,2,20,31
2014,21,0,21,31
2014,22,0,22,31
2014,23,0,23,31
2014,24,1,24,32
2014,25,1,25,33
2014,26,0,26,33
2014,27,1,27,34
2014,28,2,28,36
2014,29,2,29,38
2014,30,1,30,39
2014,31,1,31,40
2014,32,2,32,42
2014,33,1,33,43
2014,34,0,34,43
2014,35,2,35,45
2014,36,2,36,47
2014,37,1,37,48
2014,38,11,38,59
2014,39,3,39,62
2014,40,1,40,63
2014,41,0,41,63
2014,42,3,42,66
2014,43,1,43,67
2014,44,0,44,67
2014,45,3,45,70
2014,46,0,46,70
2014,47,1,47,71
2014,48,0,48,71
2014,49,0,49,71
2014,50,4,50,75
2014,51,0,51,75
2014,52,0,52,75
2014,53,1,53,76
2015,1,0,54,76
2015,2,0,55,76
2015,3,2,56,78
2015,4,0,57,78
2015,5,0,58,78
2015,6,0,59,78
2015,7,0,60,78
2015,8,0,61,78
2015,9,0,62,78
2015,10,0,63,78
2015,11,0,64,78
2015,12,0,65,78
2015,13,0,66,78
2015,14,0,67,78
2015,15,0,68,78
2015,16,0,69,78
2015,17,0,70,78
2015,18,0,71,78
2015,19,1,72,79
2015,20,0,73,79
2015,21,5,74,84
2015,22,0,75,84
2015,23,0,76,84
2015,24,8,77,92
2015,25,1,78,93
2015,26,0,79,93
2015,27,0,80,93
2015,28,1,81,94
2015,29,1,82,95
2015,30,2,83,97
2015,31,2,84,99
2015,32,1,85,100
2015,33,3,86,103
2015,34,5,87,108
2015,35,6,88,114
2015,36,0,89,114
2015,37,3,90,117
2015,38,3,91,120
2015,39,1,92,121
2015,40,10,93,131
2015,41,4,94,135
2015,42,9,95,144
2015,43,2,96,146
2015,44,2,97,148
2015,45,5,98,153
2015,46,2,99,155
2015,47,0,100,155
2015,48,2,101,157
2015,49,6,102,163
2015,50,2,103,165
2015,51,2,104,167
2015,52,1,105,168
2016,1,5,106,173
2016,2,0,107,173
2016,3,3,108,176
2016,4,3,109,179
2016,5,0,110,179
2016,6,1,111,180
2016,7,1,112,181
2016,8,5,113,186
2016,9,5,114,191
2016,10,5,115,196
2016,11,5,116,201
2016,12,2,117,203
2016,13,7,118,210
2016,14,7,119,217
2016,15,6,120,223
2016,16,1,121,224
2016,17,0,122,224
2016,18,3,123,227
2016,19,4,124,231
2016,20,2,125,233
2016,21,0,126,233
2016,22,0,127,233
2016,23,3,128,236
2016,24,0,129,236
2016,25,2,130,238
2016,26,0,131,238
2016,27,0,132,238
2016,28,0,133,238
2016,29,0,134,238
2016,30,0,135,238
2016,31,0,136,238
2016,32,0,137,238
2016,33,0,138,238
2016,34,0,139,238
2016,35,0,140,238
2016,36,0,141,238
2016,37,0,142,238
2016,38,0,143,238
2016,39,0,144,238
2016,40,0,145,238
2016,41,7,146,245
2016,42,0,147,245
2016,43,1,148,246
2016,44,0,149,246
2016,45,2,150,248
2016,46,2,151,250
2016,47,0,152,250
2016,48,3,153,253
2016,49,2,154,255
2016,50,2,155,257
2016,51,1,156,258
2016,52,0,157,258
2017,1,0,158,258
2017,2,1,159,259
2017,3,1,160,260
2017,4,3,161,263
2017,5,3,162,266
2017,6,2,163,268
2017,7,1,164,269
2017,8,2,165,271
2017,9,1,166,272
2017,10,0,167,272
2017,11,0,168,272
2017,12,1,169,273
2017,13,3,170,276
2017,14,2,171,278
2017,15,1,172,279
