Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,2,1,2
2014,2,1,2,3
2014,3,6,3,9
2014,4,8,4,17
2014,5,24,5,41
2014,6,5,6,46
2014,7,13,7,59
2014,8,0,8,59
2014,9,3,9,62
2014,10,12,10,74
2014,11,5,11,79
2014,12,2,12,81
2014,13,0,13,81
2014,14,4,14,85
2014,15,7,15,92
2014,16,3,16,95
2014,17,0,17,95
2014,18,6,18,101
2014,19,3,19,104
2014,20,15,20,119
2014,21,8,21,127
2014,22,1,22,128
2014,23,16,23,144
2014,24,9,24,153
2014,25,11,25,164
2014,26,8,26,172
2014,27,5,27,177
2014,28,10,28,187
2014,29,5,29,192
2014,30,0,30,192
2014,31,13,31,205
2014,32,10,32,215
2014,33,25,33,240
2014,34,18,34,258
2014,35,24,35,282
2014,36,0,36,282
2014,37,20,37,302
2014,38,10,38,312
2014,39,15,39,327
2014,40,9,40,336
2014,41,9,41,345
2014,42,23,42,368
2014,43,0,43,368
2014,44,16,44,384
2014,45,27,45,411
2014,46,20,46,431
2014,47,0,47,431
2014,48,8,48,439
2014,49,9,49,448
2014,50,8,50,456
2014,51,39,51,495
2014,52,9,52,504
2014,53,7,53,511
2015,1,29,54,540
2015,2,15,55,555
2015,3,19,56,574
2015,4,36,57,610
2015,5,83,58,693
2015,6,9,59,702
2015,7,24,60,726
2015,8,6,61,732
2015,9,7,62,739
2015,10,4,63,743
2015,11,0,64,743
2015,12,8,65,751
2015,13,5,66,756
2015,14,1,67,757
2015,15,9,68,766
2015,16,5,69,771
2015,17,10,70,781
2015,18,5,71,786
2015,19,5,72,791
2015,20,13,73,804
2015,21,12,74,816
2015,22,9,75,825
2015,23,9,76,834
2015,24,7,77,841
2015,25,24,78,865
2015,26,3,79,868
2015,27,3,80,871
2015,28,17,81,888
2015,29,14,82,902
2015,30,3,83,905
2015,31,13,84,918
2015,32,29,85,947
2015,33,18,86,965
2015,34,19,87,984
2015,35,9,88,993
2015,36,12,89,1005
2015,37,34,90,1039
2015,38,5,91,1044
2015,39,21,92,1065
2015,40,44,93,1109
2015,41,9,94,1118
2015,42,54,95,1172
2015,43,53,96,1225
2015,44,8,97,1233
2015,45,12,98,1245
2015,46,30,99,1275
2015,47,9,100,1284
2015,48,15,101,1299
2015,49,6,102,1305
2015,50,16,103,1321
2015,51,7,104,1328
2015,52,1,105,1329
2016,1,4,106,1333
2016,2,2,107,1335
2016,3,1,108,1336
2016,4,5,109,1341
2016,5,1,110,1342
2016,6,3,111,1345
2016,7,6,112,1351
2016,8,4,113,1355
2016,9,2,114,1357
2016,10,3,115,1360
2016,11,5,116,1365
2016,12,4,117,1369
2016,13,2,118,1371
2016,14,3,119,1374
2016,15,7,120,1381
2016,16,6,121,1387
2016,17,4,122,1391
2016,18,2,123,1393
2016,19,4,124,1397
2016,20,0,125,1397
2016,21,0,126,1397
2016,22,9,127,1406
2016,23,4,128,1410
2016,24,3,129,1413
2016,25,3,130,1416
2016,26,4,131,1420
2016,27,4,132,1424
2016,28,4,133,1428
2016,29,5,134,1433
2016,30,3,135,1436
2016,31,9,136,1445
2016,32,2,137,1447
2016,33,9,138,1456
2016,34,5,139,1461
2016,35,10,140,1471
2016,36,10,141,1481
2016,37,9,142,1490
2016,38,2,143,1492
2016,39,5,144,1497
2016,40,4,145,1501
2016,41,4,146,1505
2016,42,7,147,1512
2016,43,6,148,1518
2016,44,6,149,1524
2016,45,3,150,1527
2016,46,2,151,1529
2016,47,9,152,1538
2016,48,5,153,1543
2016,49,8,154,1551
2016,50,5,155,1556
2016,51,2,156,1558
2016,52,0,157,1558
2017,1,2,158,1560
2017,2,0,159,1560
2017,3,4,160,1564
2017,4,2,161,1566
2017,5,3,162,1569
2017,6,2,163,1571
2017,7,4,164,1575
2017,8,2,165,1577
2017,9,3,166,1580
2017,10,2,167,1582
2017,11,0,168,1582
2017,12,1,169,1583
2017,13,2,170,1585
2017,14,2,171,1587
2017,15,7,172,1594
