Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,2,1,2
2014,2,1,2,3
2014,3,0,3,3
2014,4,3,4,6
2014,5,5,5,11
2014,6,6,6,17
2014,7,2,7,19
2014,8,3,8,22
2014,9,1,9,23
2014,10,2,10,25
2014,11,2,11,27
2014,12,0,12,27
2014,13,2,13,29
2014,14,5,14,34
2014,15,4,15,38
2014,16,2,16,40
2014,17,7,17,47
2014,18,6,18,53
2014,19,3,19,56
2014,20,3,20,59
2014,21,4,21,63
2014,22,5,22,68
2014,23,1,23,69
2014,24,9,24,78
2014,25,8,25,86
2014,26,11,26,97
2014,27,5,27,102
2014,28,1,28,103
2014,29,5,29,108
2014,30,5,30,113
2014,31,7,31,120
2014,32,7,32,127
2014,33,7,33,134
2014,34,6,34,140
2014,35,3,35,143
2014,36,12,36,155
2014,37,7,37,162
2014,38,4,38,166
2014,39,8,39,174
2014,40,6,40,180
2014,41,2,41,182
2014,42,0,42,182
2014,43,3,43,185
2014,44,7,44,192
2014,45,6,45,198
2014,46,8,46,206
2014,47,2,47,208
2014,48,3,48,211
2014,49,10,49,221
2014,50,6,50,227
2014,51,6,51,233
2014,52,1,52,234
2014,53,2,53,236
2015,1,2,54,238
2015,2,8,55,246
2015,3,7,56,253
2015,4,7,57,260
2015,5,7,58,267
2015,6,4,59,271
2015,7,4,60,275
2015,8,2,61,277
2015,9,3,62,280
2015,10,4,63,284
2015,11,9,64,293
2015,12,5,65,298
2015,13,2,66,300
2015,14,2,67,302
2015,15,6,68,308
2015,16,2,69,310
2015,17,1,70,311
2015,18,1,71,312
2015,19,0,72,312
2015,20,0,73,312
2015,21,2,74,314
2015,22,4,75,318
2015,23,4,76,322
2015,24,3,77,325
2015,25,13,78,338
2015,26,1,79,339
2015,27,2,80,341
2015,28,1,81,342
2015,29,2,82,344
2015,30,5,83,349
2015,31,6,84,355
2015,32,6,85,361
2015,33,4,86,365
2015,34,4,87,369
2015,35,1,88,370
2015,36,4,89,374
2015,37,2,90,376
2015,38,5,91,381
2015,39,10,92,391
2015,40,2,93,393
2015,41,2,94,395
2015,42,1,95,396
2015,43,7,96,403
2015,44,1,97,404
2015,45,7,98,411
2015,46,1,99,412
2015,47,6,100,418
2015,48,5,101,423
2015,49,4,102,427
2015,50,2,103,429
2015,51,0,104,429
2015,52,2,105,431
2016,1,3,106,434
2016,2,4,107,438
2016,3,0,108,438
2016,4,2,109,440
2016,5,3,110,443
2016,6,2,111,445
2016,7,2,112,447
2016,8,3,113,450
2016,9,0,114,450
2016,10,2,115,452
2016,11,5,116,457
2016,12,3,117,460
2016,13,3,118,463
2016,14,3,119,466
2016,15,1,120,467
2016,16,3,121,470
2016,17,2,122,472
2016,18,1,123,473
2016,19,2,124,475
2016,20,2,125,477
2016,21,0,126,477
2016,22,0,127,477
2016,23,0,128,477
2016,24,0,129,477
2016,25,2,130,479
2016,26,4,131,483
2016,27,2,132,485
2016,28,4,133,489
2016,29,2,134,491
2016,30,3,135,494
2016,31,1,136,495
2016,32,6,137,501
2016,33,3,138,504
2016,34,2,139,506
2016,35,2,140,508
2016,36,5,141,513
2016,37,3,142,516
2016,38,4,143,520
2016,39,3,144,523
2016,40,0,145,523
2016,41,0,146,523
2016,42,3,147,526
2016,43,1,148,527
2016,44,1,149,528
2016,45,5,150,533
2016,46,2,151,535
2016,47,1,152,536
2016,48,4,153,540
2016,49,1,154,541
2016,50,1,155,542
2016,51,1,156,543
2016,52,0,157,543
2017,1,0,158,543
2017,2,2,159,545
2017,3,3,160,548
2017,4,7,161,555
2017,5,4,162,559
2017,6,3,163,562
2017,7,2,164,564
2017,8,1,165,565
2017,9,3,166,568
2017,10,2,167,570
2017,11,2,168,572
2017,12,5,169,577
2017,13,0,170,577
2017,14,3,171,580
2017,15,3,172,583
