Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,1,1,1
2014,2,3,2,4
2014,3,3,3,7
2014,4,1,4,8
2014,5,2,5,10
2014,6,1,6,11
2014,7,0,7,11
2014,8,0,8,11
2014,9,1,9,12
2014,10,1,10,13
2014,11,1,11,14
2014,12,0,12,14
2014,13,2,13,16
2014,14,1,14,17
2014,15,3,15,20
2014,16,0,16,20
2014,17,0,17,20
2014,18,16,18,36
2014,19,11,19,47
2014,20,14,20,61
2014,21,19,21,80
2014,22,30,22,110
2014,23,35,23,145
2014,24,0,24,145
2014,25,0,25,145
2014,26,39,26,184
2014,27,32,27,216
2014,28,37,28,253
2014,29,37,29,290
2014,30,31,30,321
2014,31,22,31,343
2014,32,33,32,376
2014,33,0,33,376
2014,34,29,34,405
2014,35,21,35,426
2014,36,26,36,452
2014,37,0,37,452
2014,38,0,38,452
2014,39,7,39,459
2014,40,0,40,459
2014,41,44,41,503
2014,42,35,42,538
2014,43,48,43,586
2014,44,35,44,621
2014,45,30,45,651
2014,46,38,46,689
2014,47,0,47,689
2014,48,39,48,728
2014,49,43,49,771
2014,50,41,50,812
2014,51,20,51,832
2014,52,14,52,846
2014,53,5,53,851
2015,1,19,54,870
2015,2,14,55,884
2015,3,21,56,905
2015,4,24,57,929
2015,5,19,58,948
2015,6,19,59,967
2015,7,10,60,977
2015,8,5,61,982
2015,9,0,62,982
2015,10,0,63,982
2015,11,0,64,982
2015,12,0,65,982
2015,13,0,66,982
2015,14,0,67,982
2015,15,0,68,982
2015,16,0,69,982
2015,17,0,70,982
2015,18,0,71,982
2015,19,0,72,982
2015,20,0,73,982
2015,21,0,74,982
2015,22,0,75,982
2015,23,0,76,982
2015,24,0,77,982
2015,25,0,78,982
2015,26,0,79,982
2015,27,0,80,982
2015,28,0,81,982
2015,29,0,82,982
2015,30,0,83,982
2015,31,0,84,982
2015,32,0,85,982
2015,33,0,86,982
2015,34,0,87,982
2015,35,0,88,982
2015,36,0,89,982
2015,37,0,90,982
2015,38,0,91,982
2015,39,0,92,982
2015,40,0,93,982
2015,41,0,94,982
2015,42,0,95,982
2015,43,0,96,982
2015,44,0,97,982
2015,45,0,98,982
2015,46,0,99,982
2015,47,0,100,982
2015,48,0,101,982
2015,49,0,102,982
2015,50,0,103,982
2015,51,0,104,982
2015,52,0,105,982
2016,1,0,106,982
2016,2,0,107,982
2016,3,0,108,982
2016,4,0,109,982
2016,5,0,110,982
2016,6,0,111,982
2016,7,0,112,982
2016,8,0,113,982
2016,9,0,114,982
2016,10,0,115,982
2016,11,0,116,982
2016,12,0,117,982
2016,13,0,118,982
2016,14,0,119,982
2016,15,0,120,982
2016,16,0,121,982
2016,17,0,122,982
2016,18,0,123,982
2016,19,0,124,982
2016,20,0,125,982
2016,21,0,126,982
2016,22,0,127,982
2016,23,0,128,982
2016,24,0,129,982
2016,25,0,130,982
2016,26,0,131,982
2016,27,0,132,982
2016,28,0,133,982
2016,29,0,134,982
2016,30,0,135,982
2016,31,0,136,982
2016,32,0,137,982
2016,33,0,138,982
2016,34,0,139,982
2016,35,0,140,982
2016,36,0,141,982
2016,37,0,142,982
2016,38,0,143,982
2016,39,0,144,982
2016,40,0,145,982
2016,41,0,146,982
2016,42,0,147,982
2016,43,0,148,982
2016,44,0,149,982
2016,45,0,150,982
2016,46,0,151,982
2016,47,0,152,982
2016,48,9,153,991
2016,49,0,154,991
2016,50,0,155,991
2016,51,0,156,991
2016,52,0,157,991
2017,1,0,158,991
2017,2,0,159,991
2017,3,0,160,991
2017,4,5,161,996
2017,5,0,162,996
2017,6,2,163,998
2017,7,2,164,1000
2017,8,5,165,1005
2017,9,6,166,1011
2017,10,0,167,1011
2017,11,0,168,1011
2017,12,2,169,1013
2017,13,7,170,1020
2017,14,3,171,1023
2017,15,3,172,1026
