Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,1,2,1
2014,3,3,3,4
2014,4,0,4,4
2014,5,0,5,4
2014,6,1,6,5
2014,7,1,7,6
2014,8,0,8,6
2014,9,0,9,6
2014,10,1,10,7
2014,11,0,11,7
2014,12,1,12,8
2014,13,0,13,8
2014,14,0,14,8
2014,15,0,15,8
2014,16,0,16,8
2014,17,0,17,8
2014,18,3,18,11
2014,19,2,19,13
2014,20,1,20,14
2014,21,1,21,15
2014,22,3,22,18
2014,23,0,23,18
2014,24,1,24,19
2014,25,2,25,21
2014,26,1,26,22
2014,27,1,27,23
2014,28,1,28,24
2014,29,1,29,25
2014,30,0,30,25
2014,31,0,31,25
2014,32,0,32,25
2014,33,2,33,27
2014,34,1,34,28
2014,35,6,35,34
2014,36,1,36,35
2014,37,5,37,40
2014,38,1,38,41
2014,39,2,39,43
2014,40,2,40,45
2014,41,2,41,47
2014,42,3,42,50
2014,43,4,43,54
2014,44,3,44,57
2014,45,1,45,58
2014,46,3,46,61
2014,47,2,47,63
2014,48,2,48,65
2014,49,2,49,67
2014,50,2,50,69
2014,51,4,51,73
2014,52,1,52,74
2014,53,0,53,74
2015,1,0,54,74
2015,2,1,55,75
2015,3,3,56,78
2015,4,1,57,79
2015,5,1,58,80
2015,6,2,59,82
2015,7,1,60,83
2015,8,3,61,86
2015,9,1,62,87
2015,10,1,63,88
2015,11,1,64,89
2015,12,0,65,89
2015,13,1,66,90
2015,14,0,67,90
2015,15,0,68,90
2015,16,4,69,94
2015,17,1,70,95
2015,18,0,71,95
2015,19,6,72,101
2015,20,2,73,103
2015,21,0,74,103
2015,22,3,75,106
2015,23,4,76,110
2015,24,0,77,110
2015,25,7,78,117
2015,26,7,79,124
2015,27,1,80,125
2015,28,7,81,132
2015,29,4,82,136
2015,30,4,83,140
2015,31,10,84,150
2015,32,3,85,153
2015,33,6,86,159
2015,34,6,87,165
2015,35,5,88,170
2015,36,9,89,179
2015,37,1,90,180
2015,38,2,91,182
2015,39,2,92,184
2015,40,4,93,188
2015,41,3,94,191
2015,42,3,95,194
2015,43,9,96,203
2015,44,7,97,210
2015,45,6,98,216
2015,46,3,99,219
2015,47,4,100,223
2015,48,3,101,226
2015,49,6,102,232
2015,50,8,103,240
2015,51,2,104,242
2015,52,0,105,242
2016,1,3,106,245
2016,2,4,107,249
2016,3,3,108,252
2016,4,9,109,261
2016,5,2,110,263
2016,6,3,111,266
2016,7,5,112,271
2016,8,10,113,281
2016,9,0,114,281
2016,10,7,115,288
2016,11,11,116,299
2016,12,2,117,301
2016,13,7,118,308
2016,14,4,119,312
2016,15,4,120,316
2016,16,11,121,327
2016,17,6,122,333
2016,18,4,123,337
2016,19,11,124,348
2016,20,6,125,354
2016,21,4,126,358
2016,22,4,127,362
2016,23,3,128,365
2016,24,2,129,367
2016,25,14,130,381
2016,26,2,131,383
2016,27,2,132,385
2016,28,4,133,389
2016,29,0,134,389
2016,30,3,135,392
2016,31,8,136,400
2016,32,4,137,404
2016,33,2,138,406
2016,34,3,139,409
2016,35,2,140,411
2016,36,2,141,413
2016,37,1,142,414
2016,38,2,143,416
2016,39,4,144,420
2016,40,4,145,424
2016,41,2,146,426
2016,42,2,147,428
2016,43,2,148,430
2016,44,3,149,433
2016,45,2,150,435
2016,46,0,151,435
2016,47,0,152,435
2016,48,0,153,435
2016,49,3,154,438
2016,50,0,155,438
2016,51,4,156,442
2016,52,3,157,445
2017,1,3,158,448
2017,2,1,159,449
2017,3,1,160,450
2017,4,2,161,452
2017,5,3,162,455
2017,6,2,163,457
2017,7,2,164,459
2017,8,1,165,460
2017,9,2,166,462
2017,10,0,167,462
2017,11,1,168,463
2017,12,3,169,466
2017,13,0,170,466
2017,14,4,171,470
2017,15,1,172,471
